,acchr,dayofweek
0,8,2
1,19,6
2,0,4
3,5,6
4,18,2
5,9,3
6,2,5
7,15,7
8,6,6
9,12,5
10,7,2
11,11,6
12,15,3
13,16,5
14,3,6
15,15,1
16,14,7
17,10,1
18,19,1
19,15,6
20,2,3
21,2,6
22,0,7
23,22,5
24,18,1
25,20,1
26,21,1
27,18,1
28,18,7
29,17,3
30,6,3
31,0,5
32,10,3
33,1,7
34,19,5
35,22,7
36,19,7
37,20,3
38,14,3
39,1,7
40,13,6
41,2,7
42,22,7
43,18,4
44,14,7
45,9,5
46,18,4
47,22,7
48,12,7
49,20,5
50,0,1
51,13,1
52,21,2
53,22,2
54,19,2
55,15,4
56,12,1
57,16,6
58,15,2
59,0,3
60,16,4
61,15,7
62,0,1
63,18,7
64,12,5
65,14,3
66,10,7
67,18,1
68,22,6
69,20,2
70,16,5
71,2,5
72,23,2
73,16,3
74,22,6
75,17,5
76,13,5
77,13,7
78,13,7
79,7,6
80,22,4
81,22,3
82,8,2
83,20,7
84,1,7
85,19,5
86,15,1
87,20,3
88,15,7
89,17,5
90,21,6
91,13,4
92,14,1
93,4,6
94,13,1
95,14,1
96,21,3
97,11,3
98,21,2
99,0,5
100,15,4
101,12,5
102,21,2
103,16,4
104,19,3
105,18,7
106,1,7
107,11,4
108,23,2
109,15,2
110,0,7
111,13,1
112,6,5
113,11,7
114,16,4
115,0,7
116,15,6
117,18,4
118,22,1
119,14,2
120,21,1
121,6,5
122,13,1
123,7,2
124,19,7
125,10,6
126,10,6
127,17,5
128,19,4
129,20,1
130,23,7
131,0,7
132,15,6
133,19,1
134,19,2
135,17,6
136,17,6
137,7,2
138,16,1
139,19,1
140,20,5
141,8,6
142,16,4
143,18,2
144,14,4
145,16,3
146,14,3
147,8,2
148,21,4
149,1,1
150,12,2
151,23,7
152,11,4
153,17,5
154,11,3
155,17,5
156,21,6
157,8,4
158,16,3
159,19,1
160,21,2
161,1,6
162,4,3
163,22,7
164,18,7
165,16,3
166,2,5
167,17,2
168,5,1
169,15,3
170,20,5
171,10,5
172,1,5
173,6,4
174,5,4
175,14,3
176,10,7
177,7,2
178,16,6
179,18,5
180,21,2
