,acchr,dayofweek
0,15,3
1,6,4
2,20,4
3,0,2
4,11,6
5,0,1
6,21,5
7,18,7
8,23,6
9,2,7
10,3,7
11,2,1
12,19,7
13,1,2
14,1,2
15,18,4
16,3,5
17,20,5
18,1,7
19,1,7
20,12,6
21,1,7
22,8,7
23,22,4
24,1,1
25,6,1
26,0,1
27,13,4
28,0,1
29,14,6
30,5,7
31,0,1
32,4,1
33,21,7
34,4,2
35,3,1
36,2,1
37,5,6
38,2,7
39,11,1
40,4,1
41,2,1
42,23,6
43,19,6
44,7,5
45,22,6
46,4,6
47,0,7
48,4,7
49,23,3
50,3,1
51,2,1
52,16,7
53,1,7
54,22,6
55,2,3
56,23,5
57,2,1
58,4,7
59,0,7
60,4,1
61,2,1
62,1,7
63,23,6
64,2,1
65,23,2
66,3,7
67,1,7
68,1,1
69,5,6
70,3,1
71,5,1
72,1,6
73,4,3
74,1,7
75,0,4
76,15,5
77,1,4
78,22,7
79,3,7
80,3,3
81,1,7
82,3,7
83,0,5
84,2,7
85,3,1
86,20,7
87,4,7
88,3,6
89,1,6
90,7,1
91,0,1
92,22,2
93,23,5
94,1,6
95,19,6
96,1,4
97,19,3
98,4,1
99,3,7
100,1,5
101,20,7
102,5,1
103,19,3
104,0,1
105,0,7
106,1,6
107,21,5
108,17,6
109,2,2
110,4,1
111,6,7
112,23,6
113,22,7
114,3,7
115,12,7
116,3,6
117,23,5
118,2,1
119,1,1
120,18,1
121,3,7
122,23,7
123,2,1
124,12,4
125,12,6
126,1,6
127,19,2
128,5,7
129,1,4
130,6,1
131,2,7
132,6,7
133,0,7
134,4,1
135,23,5
136,0,1
137,22,6
138,11,3
139,3,1
140,3,1
141,1,7
142,1,1
143,1,7
144,23,5
145,1,4
146,12,5
147,2,6
148,14,3
149,4,7
150,21,2
151,19,6
152,2,7
153,21,4
154,22,6
155,22,4
156,13,6
157,2,7
158,23,2
159,7,1
160,3,1
161,2,7
162,19,1
163,7,7
164,2,7
165,0,1
166,2,5
167,21,6
168,16,1
169,0,1
170,3,2
171,7,1
172,0,7
173,3,7
174,7,1
175,23,7
176,22,6
177,2,1
178,6,6
179,2,7
180,5,7
181,22,6
182,0,1
183,23,2
184,1,2
185,2,4
186,6,1
187,4,1
188,23,1
189,3,6
190,3,7
191,3,6
192,23,4
193,18,2
194,5,1
195,23,1
196,1,4
197,2,2
198,3,1
199,13,6
200,2,5
201,2,5
202,13,5
203,2,7
204,8,3
205,23,5
206,19,7
207,0,2
208,21,5
209,15,1
210,9,3
211,17,6
212,3,5
213,2,1
214,7,7
215,1,1
216,6,7
217,23,3
218,19,3
219,4,1
220,20,2
221,23,2
222,2,7
223,1,2
224,5,7
225,5,2
226,0,5
227,99,7
228,21,7
229,22,2
230,3,1
231,1,2
232,23,7
233,2,7
234,21,2
235,0,1
236,99,1
237,1,1
238,2,2
239,21,6
240,5,7
241,20,5
242,23,6
243,17,1
244,22,6
245,1,6
246,4,5
247,1,1
248,20,3
249,0,6
250,19,2
251,1,5
252,19,5
253,21,7
254,23,4
255,23,6
256,0,1
257,18,6
258,4,7
259,16,1
260,18,3
261,17,7
262,22,3
263,20,3
264,19,7
265,7,7
266,1,5
267,17,2
268,21,2
269,2,7
270,13,2
271,99,7
272,15,6
273,17,7
274,5,7
275,20,3
276,18,4
277,8,7
278,23,7
279,3,1
280,4,1
281,21,1
282,2,2
283,19,4
284,22,1
285,3,1
286,1,6
287,1,1
288,2,1
289,22,1
290,99,1
291,23,4
292,2,1
293,18,1
294,23,7
295,18,2
296,22,5
297,3,7
298,19,7
299,20,1
300,1,4
301,21,1
302,2,7
303,2,7
304,3,6
305,21,2
306,21,7
307,2,1
308,99,4
309,18,4
310,23,7
311,15,1
312,0,4
313,3,5
314,3,5
315,23,7
316,3,1
317,15,1
318,19,1
319,2,1
320,2,6
321,18,5
322,15,5
323,1,1
324,3,7
325,1,6
326,1,1
327,23,5
328,22,3
329,1,7
330,17,4
331,1,2
332,3,7
333,2,7
334,4,1
335,2,5
336,1,6
337,21,2
338,0,3
339,3,1
340,20,7
341,21,2
342,0,1
343,0,7
344,0,2
345,0,2
346,4,7
347,3,7
348,2,6
349,20,4
350,2,1
351,22,4
352,17,6
353,0,7
354,2,4
355,5,7
356,23,5
357,1,1
358,4,1
359,20,4
360,21,1
361,7,4
362,3,7
363,3,7
364,20,5
365,17,2
366,22,2
367,0,1
368,19,2
369,3,1
370,0,1
371,22,5
372,21,1
373,23,7
374,19,7
375,2,6
376,23,5
377,23,5
378,10,1
379,16,7
380,12,1
381,17,7
382,18,5
383,3,1
384,2,7
385,18,2
386,23,6
387,5,2
388,21,7
389,2,2
390,2,2
391,16,1
392,16,1
393,2,7
394,10,4
395,0,5
396,21,3
397,20,3
398,19,5
399,4,1
400,11,1
401,5,5
402,9,4
403,23,6
404,23,6
405,2,6
406,3,7
407,2,1
408,2,1
409,5,7
410,2,7
411,3,6
412,3,6
413,6,1
414,0,7
415,2,2
416,2,6
417,2,1
418,21,4
419,4,1
420,6,7
421,3,4
422,23,5
423,18,7
424,2,5
425,23,1
426,20,6
427,2,6
428,0,1
429,2,3
430,23,3
431,2,3
432,21,4
433,23,6
434,22,1
435,15,3
436,17,7
437,3,7
438,1,6
439,3,5
440,2,1
441,0,7
442,17,6
443,0,2
444,23,3
445,4,7
446,23,7
447,1,3
448,2,1
449,0,6
450,1,6
451,2,7
452,1,1
453,2,1
454,2,1
455,23,7
456,23,2
457,22,3
458,11,2
459,1,7
460,1,6
461,9,7
462,20,7
463,19,1
464,23,3
465,2,6
466,1,6
467,0,4
468,20,5
469,2,4
470,22,7
471,18,5
472,20,2
473,13,1
474,12,5
475,20,3
476,3,1
477,2,6
478,22,7
479,22,5
480,2,3
481,2,3
482,16,7
483,0,4
484,0,7
485,1,6
486,15,6
487,3,6
488,6,1
489,23,7
490,3,7
491,3,1
492,3,7
493,2,1
494,3,4
495,0,5
496,1,2
497,1,2
498,2,6
499,16,1
500,23,6
501,2,7
502,3,2
503,3,1
504,5,1
505,2,3
506,21,5
507,0,2
508,6,2
509,0,7
510,3,7
511,0,3
512,20,3
513,5,6
514,3,7
515,22,5
516,2,6
517,19,7
518,5,6
519,19,7
520,2,5
521,2,1
522,22,4
523,2,3
524,3,1
525,20,5
526,1,5
527,0,6
528,21,6
529,21,1
530,23,1
531,17,7
532,23,7
533,0,4
534,5,1
535,1,1
536,2,6
537,23,6
538,1,1
539,23,7
540,2,7
541,19,5
542,3,4
543,3,7
544,6,6
545,2,7
546,1,6
547,2,6
548,18,7
549,3,3
550,21,4
551,2,1
552,2,4
553,4,1
554,1,2
555,12,3
556,21,6
557,2,2
558,1,1
559,5,5
560,7,6
561,2,7
562,7,7
563,1,7
564,2,4
565,23,4
566,2,7
567,20,7
568,20,3
569,4,7
570,12,2
571,7,1
572,5,1
573,13,1
574,17,7
575,1,7
576,4,6
577,4,1
578,1,1
579,1,6
580,1,7
581,0,2
582,14,1
583,4,1
584,20,2
585,21,1
586,23,7
587,2,7
588,0,1
589,23,6
590,23,6
591,22,6
592,22,7
593,99,1
594,21,6
595,12,5
596,23,1
597,2,7
598,20,7
599,1,2
600,1,3
601,2,5
602,21,4
603,21,7
604,16,7
605,1,1
606,20,1
607,4,1
608,1,2
609,17,2
610,22,1
611,0,7
612,1,1
613,19,3
614,20,7
615,22,7
616,22,1
617,14,6
618,23,6
619,6,1
620,2,2
621,5,7
622,4,5
623,23,5
624,21,6
625,19,7
626,1,1
627,20,4
628,8,2
629,2,1
630,2,7
631,23,1
632,2,7
633,3,1
634,2,7
635,1,7
636,1,4
637,2,7
638,2,1
639,0,4
640,22,1
641,2,7
642,22,1
643,8,1
644,2,6
645,16,7
646,6,7
647,2,1
648,4,7
649,3,6
650,22,2
651,0,1
652,3,6
653,6,1
654,1,5
655,4,7
656,2,1
657,23,2
658,8,7
659,17,2
660,0,1
661,2,3
662,4,4
663,2,5
664,1,1
665,22,2
666,2,1
667,22,3
668,0,5
669,3,1
