,acchr,dayofweek
0,8,3
1,21,5
2,7,5
3,17,1
4,19,5
5,9,1
6,18,1
7,21,4
8,21,5
9,15,2
10,16,2
11,21,1
12,15,4
13,20,1
14,11,4
15,20,6
16,17,1
17,12,2
18,18,1
19,14,4
20,18,4
21,14,7
22,11,5
23,14,1
24,6,3
25,13,2
26,22,6
27,12,7
28,16,1
29,17,4
30,20,5
31,16,4
32,16,6
33,21,2
34,14,7
35,14,6
36,18,7
37,0,1
38,14,6
39,15,2
40,23,6
41,20,7
42,16,1
43,23,5
44,13,6
45,13,7
46,19,5
47,13,1
48,7,5
49,15,7
50,0,1
51,22,5
52,21,5
53,21,6
54,21,5
55,7,2
56,1,7
57,6,2
58,2,1
59,17,3
60,16,4
61,12,7
62,15,3
63,19,6
64,23,2
65,21,2
66,21,6
67,20,2
68,19,3
69,18,7
70,9,1
71,15,6
72,14,6
73,16,7
74,20,2
75,22,6
76,17,6
77,15,4
78,11,7
79,13,7
80,17,3
81,20,2
82,16,5
83,4,3
84,22,4
85,15,2
86,16,4
87,15,2
88,5,4
89,13,3
90,14,5
91,19,1
92,19,4
93,19,4
94,6,2
95,1,2
96,19,5
97,17,4
98,21,2
99,19,2
100,15,5
101,18,5
102,16,7
103,14,5
104,21,2
105,10,2
106,18,6
107,1,7
108,9,1
109,22,7
110,7,6
111,16,6
112,20,6
113,4,3
114,9,4
115,18,7
116,15,2
117,21,5
118,19,2
119,14,3
120,11,6
121,20,7
122,5,4
123,14,2
124,17,6
125,18,3
126,18,3
127,20,4
128,15,5
129,21,6
130,19,2
131,19,6
132,0,3
133,19,6
134,21,1
135,13,1
136,12,3
137,11,7
138,13,4
139,17,7
140,17,7
141,1,5
142,16,4
143,16,6
144,11,7
145,13,4
146,19,5
147,19,5
148,22,1
149,14,4
150,8,2
151,19,3
152,20,3
153,18,6
154,16,6
155,10,4
156,10,4
157,7,3
158,20,2
159,17,2
160,22,7
161,21,2
162,9,4
163,13,3
164,14,4
165,20,7
166,16,7
167,17,2
168,5,7
169,1,4
170,15,7
171,22,4
172,19,1
173,18,1
174,18,2
175,3,5
176,7,5
177,14,1
178,23,6
179,8,5
180,18,4
181,3,7
182,15,6
183,17,3
184,12,4
185,2,1
186,2,7
187,11,6
188,14,7
189,18,4
190,19,3
191,0,7
192,12,6
193,17,1
194,14,7
195,7,5
196,18,3
197,19,7
198,9,7
199,18,6
200,12,2
201,19,7
202,21,7
203,14,2
204,17,3
205,23,7
206,1,7
207,7,3
208,21,2
209,15,4
210,22,3
211,21,4
212,19,4
213,18,2
214,21,2
215,5,3
216,21,7
217,22,6
218,19,2
219,15,3
220,12,3
221,17,2
222,23,1
223,22,2
224,22,6
225,1,2
226,13,2
227,20,6
228,17,2
229,13,3
230,99,2
231,11,2
232,19,3
233,13,4
234,20,7
235,13,4
236,15,6
237,19,2
238,3,7
239,13,4
240,19,3
241,21,6
242,18,3
243,2,4
244,2,4
245,9,2
246,18,3
247,12,3
248,6,6
249,18,7
250,15,2
251,18,7
252,16,5
253,17,3
254,12,1
255,14,2
256,16,4
257,23,3
258,15,7
259,13,1
260,20,5
261,19,6
262,4,1
263,99,1
264,23,7
265,4,6
266,16,3
267,8,6
268,7,4
269,16,4
270,10,7
271,14,4
272,21,2
273,0,3
274,8,5
275,17,3
276,18,5
277,2,7
278,19,7
279,18,6
280,18,4
281,21,4
282,14,3
283,99,3
284,13,5
285,10,2
286,9,1
287,21,3
288,22,1
289,19,1
290,13,6
291,15,6
292,13,6
293,0,3
294,5,5
295,17,3
296,15,6
297,20,3
298,19,2
299,17,5
300,23,7
301,16,7
302,16,3
303,20,7
304,21,2
305,10,1
306,4,3
307,18,1
308,15,1
309,22,7
310,21,7
311,13,3
312,3,4
313,14,6
314,20,4
315,9,2
316,22,6
317,19,4
318,11,4
319,16,3
320,22,6
321,16,4
322,16,1
323,5,6
324,23,7
325,15,1
326,16,4
327,22,5
328,99,4
329,1,7
330,20,2
331,23,5
332,18,4
333,9,3
334,15,4
335,22,6
336,13,5
337,20,2
338,13,5
339,15,6
340,14,6
341,20,6
342,0,2
343,21,2
344,17,5
345,16,2
346,14,5
347,1,1
348,13,6
349,22,3
350,12,6
351,10,6
352,22,4
353,11,1
354,17,3
355,13,7
356,23,4
357,1,3
358,13,7
359,1,6
360,18,5
361,16,5
362,9,7
363,0,1
364,1,4
365,13,3
366,20,4
367,10,6
368,22,4
369,7,6
370,6,5
371,19,6
372,7,2
373,19,5
374,1,1
375,21,4
376,20,1
377,15,4
378,19,6
379,20,5
380,7,4
381,18,1
382,18,2
383,18,2
384,15,2
385,13,3
386,12,5
387,7,4
388,12,7
389,20,2
390,22,3
391,18,2
392,20,2
393,18,1
394,8,2
395,20,4
396,21,6
397,15,1
398,13,6
399,20,5
400,13,1
401,18,7
402,2,5
403,13,1
404,22,6
405,18,7
406,17,4
407,21,5
408,15,2
409,3,2
410,1,1
411,20,2
412,0,4
413,23,3
414,14,3
415,18,7
416,19,2
417,21,1
418,15,7
419,15,2
420,23,2
421,17,5
422,13,5
423,21,2
424,15,4
425,19,4
426,21,3
427,20,5
428,20,7
429,21,6
430,16,7
431,18,2
432,16,6
433,16,4
434,21,2
435,22,7
436,14,6
437,19,6
438,12,1
439,19,7
440,23,7
441,19,5
442,9,4
443,12,1
444,19,1
445,19,6
446,21,6
447,22,3
448,20,7
449,17,1
450,2,7
451,23,1
452,17,2
453,20,7
454,8,1
455,18,5
456,20,7
457,20,5
458,20,5
459,7,3
460,20,1
461,1,2
462,12,6
463,20,6
464,22,1
465,16,4
466,19,7
467,0,7
468,19,4
469,21,1
470,20,2
471,10,4
472,23,4
473,17,5
474,18,5
475,19,5
476,17,2
477,17,5
478,7,4
479,23,7
480,1,1
481,22,1
482,18,6
483,19,5
484,18,3
485,7,1
486,15,2
487,14,1
488,23,6
489,17,3
490,17,7
491,18,4
492,15,5
493,15,1
494,11,5
495,15,2
496,5,4
497,17,6
498,2,5
499,8,1
500,15,1
501,0,4
502,6,4
503,23,3
504,21,3
505,17,6
506,2,7
507,10,1
508,16,4
509,22,6
510,5,3
511,22,7
512,6,7
513,17,1
514,12,5
515,11,5
516,14,3
517,22,2
518,22,6
519,22,4
520,7,2
521,21,4
522,18,5
523,3,7
524,16,7
525,18,7
526,21,5
527,12,2
528,13,6
529,22,7
530,7,3
531,5,3
532,19,5
533,18,4
534,16,2
535,21,3
536,5,3
537,17,4
538,16,3
539,20,3
540,20,3
541,14,7
542,15,7
543,17,1
544,9,3
545,14,7
546,20,4
547,6,2
548,7,2
549,20,2
550,22,1
551,20,6
552,18,4
553,16,1
554,19,4
555,19,4
556,12,1
557,3,7
558,20,3
559,19,2
560,8,2
561,9,1
562,7,3
563,20,7
564,18,4
565,1,4
566,18,4
567,12,5
568,18,6
569,19,4
570,23,4
571,2,1
572,23,5
573,18,1
574,18,2
575,20,3
576,7,5
577,21,5
578,22,3
579,18,1
580,17,2
581,11,5
582,23,6
583,7,3
584,18,7
585,20,5
586,7,7
587,11,3
588,22,4
589,5,2
590,16,6
591,20,1
592,0,2
593,13,3
594,16,5
595,13,6
596,15,7
597,23,7
598,16,7
599,13,7
600,14,5
601,18,5
602,18,5
603,19,7
604,20,3
605,0,3
606,19,3
607,23,7
608,20,4
609,20,3
610,6,2
611,0,6
612,13,7
613,23,1
614,23,6
615,20,7
616,6,4
617,11,5
618,6,5
619,5,7
620,20,3
621,2,1
622,11,4
623,15,6
624,9,2
625,8,3
626,7,3
627,18,2
628,4,5
629,17,1
630,19,2
631,11,5
632,11,3
633,19,2
634,18,5
635,11,3
636,6,3
637,20,1
638,15,1
639,10,2
640,15,6
641,19,1
642,21,1
643,12,7
644,22,6
645,23,1
646,14,2
647,16,4
648,15,7
649,14,2
