,acchr,dayofweek
0,17,2
1,10,7
2,14,4
3,13,7
4,19,5
5,8,6
6,0,1
7,13,2
8,17,2
9,20,7
10,23,3
11,9,7
12,16,1
13,17,1
14,16,2
15,18,4
16,13,2
17,6,1
18,23,2
19,20,7
20,13,2
21,17,2
22,20,2
23,16,4
24,17,3
25,16,5
26,13,7
27,10,6
28,7,4
29,18,7
30,15,2
31,23,6
32,16,1
33,15,7
34,22,5
35,21,5
36,9,3
37,16,5
38,16,4
39,12,7
40,6,6
41,15,3
42,16,5
43,15,1
44,14,7
45,10,1
46,12,6
47,0,7
48,22,5
49,18,7
50,17,3
51,6,3
52,0,5
53,11,4
54,10,3
55,1,7
56,19,5
57,4,2
58,13,6
59,22,7
60,18,4
61,22,6
62,17,6
63,15,4
64,22,7
65,11,7
66,17,3
67,22,2
68,19,6
69,15,4
70,12,1
71,19,6
72,16,6
73,15,2
74,0,3
75,15,7
76,15,7
77,19,1
78,0,1
79,23,6
80,14,3
81,10,7
82,18,7
83,22,6
84,21,2
85,7,6
86,22,4
87,8,2
88,15,5
89,18,5
90,14,5
91,20,7
92,10,2
93,9,1
94,7,5
95,1,7
96,7,6
97,20,6
98,4,3
99,9,4
100,15,2
101,15,1
102,20,3
103,17,5
104,21,6
105,14,1
106,13,1
107,14,1
108,21,5
109,19,2
110,21,3
111,17,6
112,18,3
113,15,4
114,16,4
115,18,7
116,13,2
117,11,4
118,7,6
119,19,6
120,0,3
121,21,1
122,13,1
123,12,3
124,17,7
125,17,7
126,13,1
127,6,5
128,11,7
129,16,6
130,11,7
131,14,5
132,15,6
133,15,6
134,18,4
135,21,1
136,16,5
137,6,5
138,19,7
139,10,6
140,17,5
141,18,6
142,16,6
143,19,4
144,10,4
145,10,4
146,7,3
147,17,2
148,13,3
149,20,7
150,1,4
151,15,7
152,3,5
153,23,7
154,15,6
155,17,6
156,17,6
157,7,2
158,16,5
159,0,7
160,20,5
161,17,3
162,8,6
163,18,2
164,14,4
165,2,1
166,12,6
167,11,7
168,14,7
169,7,5
170,18,3
171,9,7
172,18,6
173,12,2
174,11,4
175,12,2
176,17,5
177,11,3
178,14,2
179,17,3
180,22,6
181,23,7
182,1,7
183,7,3
184,15,4
185,17,5
186,19,4
187,1,6
188,22,7
189,18,7
190,21,7
191,2,5
192,12,3
193,17,2
194,5,1
195,13,2
196,15,3
197,20,5
198,6,4
199,2,5
200,14,3
201,13,3
202,11,6
203,11,2
204,0,1
205,13,7
206,2,5
207,17,7
208,20,4
209,9,6
210,13,1
211,22,7
212,19,3
213,15,3
214,16,5
215,18,3
216,18,6
217,2,4
218,2,4
219,6,6
220,15,2
221,18,7
222,12,7
223,16,5
224,10,5
225,16,2
226,17,3
227,18,7
228,16,2
229,23,3
230,15,7
231,13,1
232,20,5
233,19,6
234,16,4
235,15,2
236,18,7
237,19,2
238,17,3
239,4,1
240,23,7
241,4,6
242,16,3
243,8,6
244,7,4
245,8,5
246,2,7
247,18,4
248,14,3
249,99,3
250,10,2
251,15,6
