,acchr,dayofweek
0,8,4
1,16,1
2,15,7
3,22,4
4,22,4
5,17,1
6,7,2
7,11,5
8,18,7
9,12,2
10,16,5
11,17,4
12,18,7
13,18,7
14,1,4
15,18,3
16,10,4
17,10,7
18,11,6
19,13,1
20,15,1
21,6,2
22,9,1
23,0,4
24,10,7
25,14,7
26,16,2
27,18,7
28,10,1
29,4,1
30,12,3
31,11,4
32,7,5
33,15,2
34,18,3
35,18,3
36,13,7
37,14,6
38,17,2
39,17,2
40,17,7
41,9,7
42,22,1
43,12,7
44,11,6
45,8,6
46,20,2
47,12,7
48,14,7
49,12,4
50,11,7
51,19,3
52,16,5
53,12,2
54,9,6
55,18,3
56,17,1
57,8,2
58,7,4
59,22,4
60,20,4
61,16,6
62,23,6
63,13,6
64,13,6
65,17,2
66,18,3
67,12,4
68,15,1
69,8,3
70,15,3
71,13,3
72,1,4
73,15,6
74,7,5
75,5,3
76,20,3
77,7,2
78,19,2
79,20,6
80,19,7
81,12,1
82,17,3
83,9,2
84,4,5
85,17,6
86,16,7
87,20,3
88,0,1
89,10,5
90,19,7
91,17,3
92,12,4
93,22,6
94,22,6
95,16,3
96,9,5
97,21,5
98,10,6
99,10,6
100,10,6
101,20,6
102,8,6
103,7,4
104,15,6
105,16,5
106,23,7
107,21,6
108,12,1
109,1,7
110,9,3
111,21,5
112,19,5
113,8,3
114,12,2
115,18,3
116,18,7
117,15,3
118,9,6
119,19,5
120,11,4
121,9,7
122,17,4
123,10,2
124,99,3
125,14,5
126,13,4
127,22,5
128,7,4
129,8,3
130,17,4
131,7,3
132,12,6
133,19,7
134,10,3
135,1,4
136,18,4
137,5,2
138,7,4
139,14,4
140,10,2
141,21,4
142,15,6
143,4,6
144,12,1
145,21,5
146,18,7
147,15,7
148,11,4
149,12,4
150,21,5
151,11,6
152,18,7
153,9,3
154,9,3
155,6,5
156,16,5
157,12,7
158,12,2
159,13,5
160,16,7
161,8,5
162,9,7
163,16,2
164,11,5
165,15,3
166,5,3
167,9,6
168,12,6
169,18,1
170,7,6
171,10,7
172,15,7
173,9,5
174,15,1
175,15,6
176,6,6
177,10,3
178,10,3
179,7,4
180,13,6
181,16,1
182,20,6
183,20,6
184,19,3
185,6,4
186,15,3
187,12,1
188,15,4
189,10,4
190,21,3
191,13,4
192,13,4
193,7,1
194,8,4
195,20,7
196,12,6
197,19,7
198,15,6
199,20,7
200,12,6
201,6,5
202,8,4
203,11,4
204,16,2
205,19,2
206,19,2
207,22,2
208,23,3
209,17,4
210,7,7
211,12,7
212,4,6
213,15,2
214,16,2
215,14,3
216,8,6
217,10,6
218,18,2
219,11,3
220,12,4
221,18,7
222,22,3
223,4,1
224,12,7
225,8,5
226,2,5
227,15,5
228,14,3
229,0,7
230,12,2
231,14,4
232,11,2
233,18,5
234,9,2
235,17,3
236,10,6
237,11,5
238,6,6
239,18,4
240,5,5
241,9,5
242,11,1
243,0,3
244,1,6
245,14,4
246,18,1
247,15,3
248,17,3
249,15,3
250,4,5
251,14,1
252,16,1
253,8,4
254,11,4
255,14,2
256,12,3
257,17,3
258,23,4
259,15,5
260,99,1
261,13,2
262,11,2
263,22,5
264,23,1
265,17,2
266,15,3
267,11,4
268,20,1
269,5,2
270,15,6
271,22,5
272,5,7
273,9,2
274,11,2
275,14,3
276,8,7
277,16,3
278,17,1
279,1,6
280,9,2
281,11,2
282,14,4
283,0,5
284,17,6
285,19,1
286,15,7
287,9,4
288,14,1
289,12,6
290,15,7
291,18,1
292,9,2
293,12,3
294,11,4
295,18,4
296,11,5
297,5,2
298,14,4
299,4,1
