,acchr,dayofweek
0,7,2
1,18,7
2,18,7
3,18,7
4,1,4
5,11,6
6,6,2
7,10,1
8,18,3
9,18,3
10,17,7
11,9,7
12,11,6
13,12,2
14,18,3
15,8,2
16,17,2
17,13,3
18,19,7
19,12,1
20,4,5
21,16,7
22,0,1
23,10,5
24,12,4
25,16,3
26,9,5
27,10,6
28,20,6
29,7,4
30,15,6
31,12,1
32,12,2
33,15,3
34,11,4
35,10,2
36,13,4
37,7,4
38,12,6
39,1,4
40,5,2
41,7,4
42,14,4
43,10,2
44,15,6
45,4,6
46,12,1
47,18,7
48,11,4
49,12,4
50,21,5
51,18,7
52,9,3
53,9,3
54,16,5
55,13,5
56,16,7
57,9,7
58,16,2
59,11,5
60,15,3
61,5,3
62,9,6
63,12,6
64,7,6
65,10,7
66,15,7
67,9,5
68,15,1
69,15,6
70,6,6
71,10,3
72,10,3
73,13,6
74,16,1
75,20,6
76,20,6
77,6,4
78,15,3
79,15,4
80,7,1
81,20,7
82,19,7
83,15,6
84,20,7
85,6,5
86,8,4
87,11,4
88,16,2
89,19,2
90,19,2
91,22,2
92,23,3
93,17,4
94,7,7
95,12,7
96,4,6
97,15,2
98,16,2
99,14,3
100,8,6
101,10,6
102,18,2
103,11,3
104,12,4
105,18,7
106,22,3
107,12,7
108,8,5
109,15,5
110,14,3
111,0,7
112,12,2
113,14,4
114,18,5
115,9,2
116,17,3
117,10,6
118,11,5
119,6,6
120,18,4
121,5,5
122,9,5
123,11,1
124,0,3
125,1,6
126,14,4
127,18,1
128,15,3
129,17,3
130,15,3
131,4,5
132,14,1
133,16,1
134,8,4
135,11,4
136,14,2
137,12,3
138,17,3
139,23,4
140,15,5
141,99,1
142,13,2
143,11,2
144,22,5
145,17,2
146,15,3
147,11,4
148,20,1
149,5,2
150,15,6
151,22,5
152,5,7
153,9,2
154,11,2
155,8,7
156,16,3
157,17,1
158,1,6
159,9,2
160,11,2
161,14,4
162,0,5
163,17,6
164,19,1
165,15,7
166,9,4
167,14,1
168,12,6
169,15,7
170,18,1
171,9,2
172,12,3
173,11,4
174,18,4
175,5,2
176,14,4
177,4,1
178,16,1
179,1,2
180,13,3
181,16,5
182,13,6
183,13,1
184,21,3
185,5,6
186,14,3
187,11,6
188,0,4
189,17,6
190,16,6
191,14,3
192,23,2
193,19,7
194,12,1
195,14,6
196,16,7
197,20,7
198,15,1
199,9,1
200,7,4
201,15,7
202,15,4
203,16,2
204,14,2
205,14,4
206,13,5
207,4,6
208,16,6
209,8,1
210,3,2
211,9,2
212,15,3
213,12,5
214,14,6
215,22,7
216,11,6
217,11,7
218,7,1
219,5,6
220,16,7
221,14,3
222,20,4
223,9,1
224,0,2
225,20,2
226,23,7
227,1,1
228,4,1
229,15,3
230,7,3
231,3,5
232,15,7
233,0,4
234,11,2
235,10,2
236,11,3
237,9,7
238,14,7
239,11,5
240,7,1
241,7,6
242,17,3
243,6,2
244,11,2
245,12,2
246,13,6
247,16,2
248,10,6
249,12,2
250,6,2
251,12,7
252,16,5
253,8,6
254,17,4
255,7,2
256,14,3
257,1,6
258,19,6
259,14,3
260,19,6
261,0,6
262,17,6
263,15,4
264,15,2
265,13,5
266,16,4
267,12,7
268,15,2
269,10,6
270,10,5
271,21,6
272,3,6
273,15,4
274,2,1
275,20,7
276,23,2
277,14,5
278,7,3
279,10,1
280,7,4
281,7,3
282,9,5
283,20,3
284,15,1
285,14,3
286,14,3
287,14,5
288,20,6
289,12,2
290,9,5
291,5,2
292,9,4
293,9,4
294,14,1
295,5,5
296,5,5
297,20,6
298,14,5
299,9,1
300,9,1
301,2,7
302,7,6
303,16,1
304,21,3
305,12,3
306,8,6
307,17,4
308,16,3
309,13,3
310,5,4
311,19,5
312,0,2
313,12,1
314,22,4
315,18,5
316,16,6
317,10,1
318,20,6
319,12,5
320,13,5
321,7,3
322,20,3
323,8,5
324,11,5
325,20,7
326,8,2
327,10,6
328,1,2
329,16,4
330,18,2
331,8,2
332,21,2
333,22,7
334,5,3
335,10,4
336,21,2
337,2,1
338,12,5
339,12,4
340,16,3
341,14,6
342,9,6
343,6,4
344,12,3
345,2,4
346,17,4
347,15,4
348,8,7
349,15,5
350,17,7
351,20,5
352,13,7
353,20,3
354,16,2
355,11,5
356,16,4
357,12,1
358,22,2
359,20,3
360,12,2
361,18,1
362,22,5
363,15,2
364,7,5
365,12,7
366,23,7
367,13,2
368,18,3
369,18,3
370,16,4
371,20,5
372,15,1
373,16,2
374,9,3
375,12,5
376,14,6
377,12,3
378,12,3
379,16,5
380,17,6
381,8,2
382,20,4
383,14,6
384,15,4
385,13,4
386,10,3
387,9,7
388,12,2
389,6,5
390,6,5
391,3,6
392,10,6
393,9,2
394,15,3
395,10,6
396,11,3
397,20,7
398,15,1
399,14,1
400,23,2
401,15,1
402,20,2
403,15,1
404,6,5
405,16,6
406,10,3
407,11,5
408,9,6
409,15,2
410,14,6
411,11,2
412,4,3
413,21,6
414,20,1
415,15,4
416,14,1
417,5,6
418,22,4
419,5,4
420,12,7
421,17,3
422,14,7
423,12,6
424,5,6
425,11,6
426,10,2
427,11,2
428,16,5
429,16,5
430,12,7
431,11,7
432,23,6
433,14,2
434,10,5
435,11,7
436,22,4
437,20,7
438,18,3
439,7,3
440,18,7
441,11,3
442,16,1
443,7,6
444,21,7
445,14,7
446,14,7
447,9,2
448,15,4
449,17,2
450,1,5
451,17,2
452,9,3
453,16,4
454,11,2
455,23,3
456,14,7
457,11,4
458,23,2
459,10,1
460,20,7
461,13,5
462,17,2
463,14,6
464,10,5
465,19,3
466,16,4
467,21,2
468,18,3
469,7,3
470,13,3
471,7,5
472,14,7
473,13,6
474,7,6
475,14,6
476,14,6
477,7,2
478,17,1
479,4,5
480,12,3
481,19,6
482,12,6
483,13,3
484,16,4
485,9,1
486,18,3
487,16,4
488,12,5
489,8,6
490,10,3
491,14,4
492,8,1
493,18,7
494,8,1
495,18,4
496,13,5
497,20,6
498,21,6
499,13,7
500,22,4
501,14,6
502,3,1
503,20,1
504,10,3
505,18,5
506,17,6
507,18,1
508,17,4
509,15,6
510,12,5
511,11,2
512,15,3
513,15,3
514,7,2
515,13,3
516,16,7
517,7,2
518,12,4
519,14,7
520,12,1
521,14,1
522,14,1
523,15,1
524,8,3
525,4,4
526,18,4
527,17,6
528,21,7
529,9,5
530,13,1
531,15,7
532,23,1
533,7,2
534,12,3
535,8,2
536,10,6
537,20,5
538,14,3
539,20,3
540,12,7
541,7,5
542,15,2
543,10,4
544,10,6
545,14,3
546,8,1
547,10,6
548,22,7
549,21,2
550,16,7
551,16,2
552,16,2
553,19,3
554,16,5
555,21,6
556,15,2
557,12,4
558,15,4
559,9,4
560,18,1
561,12,5
562,16,5
563,15,6
564,10,2
565,18,7
566,9,5
567,5,2
568,10,3
569,13,7
570,10,4
571,12,7
572,9,3
573,19,7
574,23,5
575,16,2
576,11,7
577,9,4
578,2,6
579,6,6
580,16,4
581,15,7
582,6,4
583,16,3
584,0,1
585,8,4
586,0,2
587,19,1
588,13,3
589,8,5
590,0,7
591,16,5
592,8,2
593,17,5
594,13,7
595,5,2
596,11,3
597,22,6
598,15,1
599,6,2
600,20,7
601,19,2
602,9,3
603,15,4
604,13,2
605,14,7
606,8,6
607,8,2
608,13,6
609,16,6
610,7,7
611,23,6
612,14,2
613,18,2
614,10,6
615,4,7
616,19,3
617,16,2
618,13,3
619,14,2
620,14,2
621,5,3
622,21,2
623,10,6
624,13,4
625,10,5
626,21,7
627,16,6
628,16,7
629,11,4
630,14,6
631,14,6
632,10,2
633,11,7
634,11,4
635,11,4
636,12,2
637,10,5
638,15,6
639,16,1
640,21,4
641,11,4
642,18,7
643,14,2
644,12,5
645,13,6
646,10,7
647,19,5
648,13,3
649,13,2
650,0,6
651,15,3
652,13,6
653,0,2
654,12,7
655,23,5
656,8,2
657,12,6
658,13,7
659,3,7
660,15,6
661,16,3
662,15,2
663,3,1
664,14,1
665,13,1
666,11,6
667,21,7
668,12,7
669,9,4
670,20,3
671,2,1
672,6,4
673,14,7
674,15,6
675,8,4
676,12,3
677,6,6
678,6,5
679,9,7
680,6,7
681,15,7
682,19,4
683,9,7
684,15,3
685,12,2
686,12,2
687,14,5
688,18,3
689,18,6
690,19,7
691,18,1
692,5,5
693,12,5
694,20,6
695,21,1
696,12,4
