,acchr,dayofweek
0,17,1
1,18,4
2,13,2
3,18,7
4,15,2
5,23,6
6,16,1
7,15,7
8,22,5
9,21,5
10,9,3
11,16,4
12,12,7
13,6,6
14,15,3
15,16,5
16,15,1
17,14,7
18,10,1
19,12,6
20,0,7
21,22,5
22,18,7
23,17,3
24,6,3
25,0,5
26,10,3
27,1,7
28,19,5
29,13,6
30,22,7
31,18,4
32,22,6
33,17,6
34,15,4
35,22,7
36,11,7
37,17,3
38,22,2
39,19,6
40,15,4
41,12,1
42,16,6
43,15,2
44,0,3
45,15,7
46,19,1
47,0,1
48,23,6
49,14,3
50,10,7
51,18,7
52,22,6
53,21,2
54,7,6
55,22,4
56,8,2
57,15,5
58,18,5
59,14,5
60,20,7
61,10,2
62,9,1
63,7,5
64,1,7
65,7,6
66,20,6
67,4,3
68,9,4
69,15,2
70,15,1
71,20,3
72,17,5
73,21,6
74,14,1
75,13,1
76,14,1
77,21,5
78,19,2
79,21,3
80,17,6
81,18,3
82,15,4
83,16,4
84,18,7
85,11,4
86,19,6
87,0,3
88,21,1
89,13,1
90,12,3
91,17,7
92,17,7
93,13,1
94,6,5
95,11,7
96,16,6
97,11,7
98,14,5
99,15,6
100,18,4
101,21,1
102,6,5
103,19,7
104,10,6
105,17,5
106,18,6
107,16,6
108,19,4
109,10,4
110,10,4
111,7,3
112,17,2
113,13,3
114,20,7
115,1,4
116,15,7
117,3,5
118,23,7
119,15,6
120,17,6
121,17,6
122,7,2
123,20,5
124,17,3
125,8,6
126,18,2
127,14,4
128,12,6
129,14,7
130,7,5
131,18,3
132,9,7
133,18,6
134,12,2
135,11,4
136,12,2
137,17,5
138,11,3
139,14,2
140,17,3
141,23,7
142,1,7
143,7,3
144,15,4
145,17,5
146,19,4
147,1,6
148,22,7
149,18,7
150,21,7
151,2,5
152,12,3
153,17,2
154,5,1
155,13,2
156,15,3
157,20,5
158,6,4
159,14,3
160,13,3
161,11,6
162,11,2
163,13,7
164,2,5
165,17,7
166,20,4
167,9,6
168,22,7
169,19,3
170,15,3
171,16,5
172,18,3
173,18,6
174,2,4
175,6,6
176,15,2
177,18,7
178,16,5
179,10,5
180,17,3
181,18,7
182,16,2
183,23,3
184,15,7
185,13,1
186,20,5
187,19,6
188,16,4
189,15,2
190,18,7
191,19,2
192,4,1
193,23,7
194,4,6
195,16,3
196,8,6
197,7,4
198,8,5
199,2,7
200,18,4
201,14,3
202,99,3
203,10,2
204,15,6
205,18,7
206,14,3
207,14,4
208,18,3
209,22,1
210,22,1
211,15,6
212,0,3
213,15,5
214,10,6
215,20,3
216,19,2
217,17,5
218,16,3
219,4,3
220,18,1
221,15,1
222,21,2
223,16,7
224,2,3
225,22,6
226,17,3
227,20,3
228,0,2
229,19,4
230,15,2
231,16,3
232,16,4
233,16,1
234,13,6
235,16,4
236,20,2
237,18,5
238,17,6
239,18,4
240,14,5
241,16,5
242,16,3
243,22,5
244,21,2
245,10,3
246,9,3
247,22,6
248,17,2
249,20,2
250,12,4
251,20,7
252,15,6
253,14,6
254,21,2
255,17,5
256,16,2
257,14,7
258,16,7
259,16,4
260,16,4
261,15,4
262,1,2
263,7,4
264,17,5
265,13,6
266,12,6
267,10,6
268,11,1
269,17,3
270,13,7
271,16,4
272,23,4
273,1,3
274,1,6
275,9,7
276,0,1
277,1,4
278,13,3
279,22,4
280,7,6
281,19,2
282,19,6
283,19,5
284,19,6
285,6,2
286,19,7
287,14,2
288,15,2
289,17,4
290,7,4
291,22,7
292,18,1
293,18,2
294,18,2
295,20,1
296,13,5
297,12,5
298,18,2
299,18,1
300,8,2
301,15,6
302,21,6
303,13,6
304,13,1
305,23,7
306,19,1
307,15,6
308,17,3
309,17,6
310,7,3
311,14,4
312,19,5
313,7,5
314,16,1
315,14,4
316,15,2
317,0,1
318,23,3
319,14,3
320,22,7
321,18,7
322,19,2
323,23,2
324,18,3
325,15,3
326,15,4
327,19,4
328,20,5
329,16,7
330,18,2
331,22,7
332,16,4
333,14,6
334,23,3
335,18,7
336,17,2
337,12,1
338,19,7
339,23,7
340,19,6
341,22,6
342,17,1
343,15,3
344,7,5
345,7,5
346,13,7
347,7,7
348,2,7
349,17,7
350,20,7
351,8,1
352,18,5
353,6,2
354,12,6
355,15,2
356,16,1
357,18,6
358,5,1
359,21,1
360,21,1
361,16,4
362,23,4
363,23,3
364,0,2
365,21,1
366,23,5
367,10,4
368,17,5
369,23,4
370,18,2
371,17,2
372,11,2
373,10,3
374,12,7
375,17,4
376,18,3
377,6,3
378,6,6
379,11,2
380,17,3
381,20,2
382,17,7
383,15,5
384,18,7
385,7,3
386,15,1
387,4,1
388,15,1
389,4,1
390,18,6
391,11,5
392,1,4
393,5,4
394,16,4
395,23,7
396,8,6
397,8,1
398,15,1
399,21,3
400,17,6
401,2,7
402,10,1
403,16,4
404,16,1
405,5,3
406,3,1
407,17,1
408,12,5
409,14,3
410,15,5
411,14,5
412,15,7
413,7,2
414,21,4
415,18,5
416,3,7
417,20,6
418,16,7
419,13,6
420,19,2
421,7,3
422,5,3
423,19,5
424,16,2
425,5,3
426,17,4
427,12,2
428,20,3
429,20,3
430,14,7
431,15,6
432,9,3
433,6,3
434,21,4
435,15,6
436,14,3
437,18,2
438,5,3
439,18,1
440,10,6
441,10,6
442,7,5
443,7,2
444,20,2
445,7,6
446,7,6
447,9,2
448,16,3
449,11,7
450,11,7
451,20,3
452,23,5
453,18,4
454,19,2
455,20,7
456,14,1
457,2,3
458,22,1
459,14,1
460,8,3
461,10,1
462,15,2
463,10,7
464,4,6
465,18,7
466,22,1
467,2,2
468,19,6
469,19,4
470,13,2
471,18,1
472,13,1
473,19,4
474,5,6
475,5,1
476,19,7
477,7,1
478,12,1
479,23,7
480,16,3
481,16,3
482,3,7
483,10,3
484,21,1
485,20,6
486,8,3
487,7,7
488,7,2
489,7,3
490,20,7
491,2,2
492,1,4
493,12,5
494,18,6
495,2,1
496,7,5
497,17,3
498,23,6
499,7,3
500,22,4
501,16,6
502,13,3
503,19,6
504,23,7
505,16,7
506,10,1
507,6,6
508,13,7
509,0,3
510,22,1
511,1,7
512,23,7
513,20,4
514,14,3
515,14,6
516,6,2
517,22,7
518,20,3
519,10,6
520,7,1
521,18,5
522,16,3
523,9,3
524,11,5
525,6,5
526,5,7
527,20,3
528,2,1
529,11,4
530,2,3
531,15,1
532,8,5
533,20,7
534,8,3
535,7,3
536,22,7
537,21,4
538,21,5
539,4,5
540,20,4
541,11,5
542,7,7
543,11,3
544,20,4
545,19,2
546,18,5
547,20,3
548,17,1
549,7,6
550,1,3
551,11,3
552,6,3
553,20,1
554,17,5
555,15,1
556,21,2
557,10,6
558,14,2
559,15,6
560,19,1
561,21,1
562,12,7
563,23,7
564,23,1
565,15,6
566,16,4
567,14,2
568,18,4
569,13,7
570,11,1
571,11,1
572,14,7
573,21,6
574,7,5
575,22,6
576,5,4
577,20,5
578,14,4
579,22,2
580,16,5
581,18,3
582,14,2
583,16,3
584,22,6
585,6,5
586,12,5
587,12,5
588,10,6
589,13,5
590,12,7
591,10,5
592,6,5
593,12,2
594,22,4
595,15,1
596,11,2
597,8,4
598,7,6
599,6,6
600,6,6
601,18,7
602,17,2
603,6,4
604,6,4
605,10,6
606,21,7
607,6,2
608,23,3
609,16,5
610,16,5
611,10,1
612,14,5
613,22,6
614,17,4
615,12,4
616,0,1
617,5,2
618,12,7
619,8,4
620,16,7
621,15,3
622,10,2
623,7,7
624,14,6
625,19,2
626,19,2
627,21,7
628,7,6
629,7,4
630,16,7
631,22,6
632,19,1
633,12,1
634,15,4
635,12,7
636,20,4
637,2,6
638,21,5
639,16,4
640,21,6
641,9,4
642,13,4
643,17,2
644,15,1
645,17,4
646,19,2
647,10,5
648,22,7
649,5,4
650,20,2
651,20,2
652,0,6
653,19,7
654,10,1
655,17,7
656,16,5
657,16,2
658,12,1
659,7,6
660,20,7
661,12,6
662,16,1
663,12,3
664,23,7
665,21,7
666,22,5
667,7,2
668,12,6
669,15,4
670,7,5
671,18,3
672,11,2
673,19,3
674,13,7
675,18,3
676,17,5
677,18,7
678,13,2
679,1,7
680,20,2
681,2,6
682,2,1
683,5,2
684,2,1
685,15,7
686,22,3
687,8,6
688,17,1
689,6,6
690,19,7
691,0,3
692,18,2
693,6,2
694,15,7
695,10,7
696,0,6
697,14,3
698,6,3
699,22,7
700,7,3
701,16,5
702,18,1
703,14,2
704,13,7
705,11,7
706,15,4
707,17,3
708,18,3
709,8,3
710,2,6
711,17,6
712,17,6
713,16,1
714,20,7
715,19,7
716,10,4
717,13,7
718,16,3
719,16,3
720,17,7
721,17,5
722,15,4
723,16,6
724,17,5
725,16,5
726,14,2
727,8,1
728,18,6
729,16,3
730,7,4
731,6,5
732,13,6
733,16,7
734,20,1
735,22,6
736,11,5
737,22,4
738,18,1
739,6,4
740,10,6
741,10,2
742,17,2
743,19,5
744,5,3
745,20,4
746,1,2
747,18,3
748,15,6
749,13,2
750,16,5
751,21,4
752,12,3
753,1,5
754,3,6
755,22,7
756,9,1
757,12,6
758,11,7
759,7,4
760,16,2
761,1,1
762,14,7
763,11,4
764,6,3
765,11,1
766,19,3
767,13,1
768,5,1
769,23,6
770,15,4
771,15,2
772,13,1
773,19,2
774,13,2
775,11,1
776,9,4
777,14,7
778,22,6
779,11,3
780,15,5
781,16,5
782,10,4
783,9,3
784,19,7
785,6,3
786,18,2
787,14,6
788,10,4
789,8,4
790,12,4
791,9,2
