,acchr,dayofweek
0,8,4
1,17,1
2,15,7
3,22,4
4,17,1
5,7,2
6,12,2
7,18,7
8,1,4
9,18,3
10,10,4
11,10,7
12,6,2
13,9,1
14,0,4
15,10,7
16,16,2
17,11,4
18,7,5
19,18,3
20,18,3
21,13,7
22,14,6
23,17,2
24,17,2
25,17,7
26,9,7
27,22,1
28,0,4
29,12,7
30,11,6
31,20,2
32,12,7
33,14,7
34,12,4
35,16,5
36,12,2
37,9,6
38,8,2
39,7,4
40,1,7
41,22,4
42,20,4
43,18,4
44,16,6
45,23,6
46,13,6
47,13,6
48,17,2
49,13,2
50,1,4
51,5,3
52,7,2
53,19,2
54,22,1
55,20,6
56,19,7
57,12,1
58,17,3
59,9,2
60,4,5
61,17,6
62,0,1
63,18,7
64,17,3
65,21,5
66,12,4
67,22,6
68,22,6
69,16,3
70,9,5
71,21,5
72,10,6
73,10,6
74,10,6
75,20,6
76,8,6
77,7,4
78,15,6
79,23,7
80,12,1
81,1,7
82,9,3
83,9,1
84,8,3
85,12,2
86,18,3
87,18,7
88,18,6
89,15,3
90,21,5
91,9,6
92,19,5
93,10,2
94,99,3
95,18,4
96,13,4
97,22,5
98,7,4
99,19,7
100,10,1
101,17,4
102,7,3
103,16,4
104,12,6
105,19,7
106,10,3
107,1,4
108,18,4
109,9,1
110,7,4
111,14,4
112,21,4
113,15,6
114,4,6
115,12,1
116,21,5
117,18,7
118,20,5
119,14,3
120,11,4
121,21,5
122,11,6
123,23,3
124,18,7
125,9,3
126,9,3
127,6,5
128,6,5
129,12,2
130,13,5
131,16,7
132,9,7
133,16,2
134,11,5
135,15,3
136,9,6
137,18,1
138,10,7
139,15,7
140,9,5
141,15,1
142,8,7
143,15,6
144,6,6
145,10,3
146,10,3
147,7,4
148,13,6
149,16,1
150,20,6
151,20,6
152,19,3
153,6,4
154,15,3
155,15,4
156,10,4
157,13,4
158,7,1
159,8,4
160,9,5
161,19,7
162,12,6
163,6,5
164,8,4
165,11,4
166,0,2
167,0,1
168,16,2
169,19,2
170,19,2
171,23,3
172,17,4
173,7,7
174,12,7
175,4,6
176,15,2
177,16,2
178,23,3
179,10,6
180,10,5
181,18,2
182,21,2
183,11,3
184,12,4
185,18,7
186,22,3
187,4,1
188,12,7
189,19,3
190,18,5
191,8,5
192,2,5
193,15,5
194,14,3
195,12,7
196,0,7
197,12,2
198,14,4
199,18,5
200,7,6
201,9,2
202,17,3
203,10,6
204,7,4
205,11,5
206,3,6
207,6,6
208,7,4
209,5,5
210,9,5
211,11,1
212,13,5
213,14,4
214,18,1
215,15,3
216,2,6
217,4,5
218,10,1
219,8,4
220,7,4
221,11,4
222,12,3
223,17,3
224,2,3
225,23,4
226,15,5
227,15,5
228,13,2
229,11,2
230,22,5
231,23,1
232,20,2
233,11,4
234,23,7
235,5,2
236,22,5
237,5,7
238,9,2
239,9,4
240,11,2
241,14,3
242,10,4
243,21,4
244,9,2
245,23,4
246,5,6
247,16,3
248,17,1
249,0,6
250,6,5
251,4,4
252,11,2
253,14,4
254,0,5
255,17,6
256,6,7
257,19,1
258,9,4
259,14,1
260,15,7
261,18,1
262,9,2
263,12,3
264,18,4
265,11,5
266,11,5
267,5,2
268,4,1
269,13,3
270,13,1
271,21,3
272,14,3
273,0,4
274,17,6
275,16,6
276,14,3
277,21,1
278,23,2
279,23,4
280,2,7
281,12,1
282,8,6
283,4,3
284,20,7
285,20,7
286,15,1
287,5,5
288,13,4
289,19,3
290,2,2
291,15,2
292,11,4
293,7,2
294,9,1
295,12,4
296,19,1
297,21,2
298,15,7
299,7,5
300,15,4
301,5,5
302,22,5
303,12,2
304,16,2
305,21,6
306,19,1
307,3,2
308,14,2
309,18,2
310,13,5
311,4,6
312,8,1
313,18,1
314,3,2
315,9,2
316,15,3
317,14,6
318,22,7
319,11,7
320,7,1
321,19,6
322,11,6
323,19,4
324,5,6
325,16,7
326,1,1
327,3,2
328,14,3
329,20,4
330,9,1
331,5,2
332,6,5
333,16,5
334,21,4
335,21,4
336,12,3
337,19,3
338,12,5
339,0,2
340,3,5
341,18,1
342,13,5
343,0,2
344,20,2
345,23,7
346,1,1
347,4,1
348,15,3
349,11,4
350,14,6
351,9,7
352,4,1
353,7,3
354,11,6
355,15,7
356,17,7
357,0,4
358,12,5
359,14,2
360,11,3
361,10,2
362,9,7
363,14,7
364,16,6
365,6,2
366,10,5
367,18,7
368,19,3
369,14,5
370,19,4
371,19,7
372,1,7
