,acchr,dayofweek
0,17,7
1,21,3
2,15,3
3,6,4
4,3,5
5,21,2
6,23,2
7,1,3
8,20,4
9,0,2
10,11,6
11,0,1
12,21,5
13,18,7
14,23,6
15,2,7
16,3,7
17,2,1
18,19,7
19,1,2
20,1,2
21,18,4
22,20,7
23,3,5
24,20,5
25,1,7
26,1,7
27,12,6
28,1,7
29,8,7
30,22,4
31,1,4
32,2,6
33,22,3
34,2,7
35,1,7
36,4,7
37,1,1
38,6,1
39,0,1
40,13,4
41,23,3
42,2,7
43,22,7
44,6,6
45,0,1
46,14,6
47,5,7
48,6,6
49,5,6
50,15,7
51,15,7
52,0,1
53,4,1
54,21,7
55,2,7
56,4,2
57,3,1
58,2,1
59,5,6
60,6,1
61,2,7
62,5,5
63,23,3
64,11,1
65,4,1
66,2,1
67,99,2
68,23,6
69,19,6
70,1,3
71,7,5
72,22,6
73,4,6
74,0,7
75,15,4
76,0,1
77,4,1
78,21,6
79,4,7
80,23,2
81,23,3
82,20,7
83,3,1
84,2,1
85,16,7
86,1,7
87,22,6
88,2,3
89,23,5
90,1,3
91,0,7
92,2,1
93,2,1
94,18,2
95,16,3
96,9,2
97,4,7
98,0,7
99,4,1
100,13,6
101,21,4
102,2,1
103,1,7
104,23,6
105,1,7
106,7,5
107,2,5
108,1,7
109,2,1
110,23,2
111,3,7
112,18,3
113,1,7
114,1,1
115,5,6
116,3,1
117,5,1
118,4,1
119,1,6
120,4,3
121,2,7
122,19,1
123,5,7
124,4,7
125,22,7
126,1,7
127,23,7
128,17,4
129,0,4
130,15,5
131,1,4
132,22,7
133,3,7
134,3,3
135,21,6
136,1,7
137,4,7
138,4,7
139,3,7
140,0,4
141,0,5
142,5,1
143,2,7
144,3,1
145,1,5
146,20,7
147,4,7
148,9,7
149,3,6
150,1,6
151,7,1
152,0,7
153,17,5
154,0,1
155,22,2
156,23,5
157,1,6
158,19,7
159,19,6
160,1,4
161,19,3
162,4,1
163,3,7
164,1,5
165,23,6
166,20,7
167,5,1
168,19,3
169,0,1
170,22,1
171,5,7
172,0,2
173,3,5
174,0,7
175,1,6
176,1,6
177,21,5
178,17,6
179,2,2
