,acchr,dayofweek
0,17,1
1,7,2
2,18,7
3,1,4
4,6,2
5,18,3
6,18,3
7,17,7
8,9,7
9,0,4
10,11,6
11,12,2
12,8,2
13,17,2
14,22,1
15,19,7
16,12,1
17,4,5
18,0,1
19,18,7
20,21,5
21,12,4
22,16,3
23,9,5
24,10,6
25,20,6
26,7,4
27,15,6
28,12,1
29,12,2
30,18,6
31,15,3
32,21,5
33,10,2
34,18,4
35,13,4
36,7,4
37,16,4
38,12,6
39,1,4
40,9,1
41,7,4
42,14,4
43,15,6
44,4,6
45,12,1
46,18,7
47,20,5
48,14,3
49,11,4
50,21,5
51,23,3
52,18,7
53,9,3
54,9,3
55,13,5
56,16,7
57,9,7
58,16,2
59,11,5
60,15,3
61,9,6
62,10,7
63,15,7
64,9,5
65,15,1
66,8,7
67,15,6
68,6,6
69,10,3
70,10,3
71,7,4
72,13,6
73,16,1
74,20,6
75,20,6
76,6,4
77,15,3
78,15,4
79,7,1
80,9,5
81,19,7
82,6,5
83,8,4
84,11,4
85,0,2
86,0,1
87,16,2
88,19,2
89,19,2
90,23,3
91,17,4
92,7,7
93,12,7
94,4,6
95,15,2
96,16,2
97,23,3
98,10,6
99,10,5
100,18,2
101,21,2
102,11,3
103,12,4
104,18,7
105,22,3
106,12,7
107,19,3
108,18,5
109,8,5
110,15,5
111,14,3
112,12,7
113,0,7
114,12,2
115,14,4
116,18,5
117,7,6
118,9,2
119,17,3
120,10,6
121,7,4
122,11,5
123,3,6
124,6,6
125,7,4
126,5,5
127,9,5
128,11,1
129,13,5
130,14,4
131,18,1
132,15,3
133,2,6
134,4,5
135,10,1
136,8,4
137,7,4
138,11,4
139,12,3
140,17,3
141,2,3
142,23,4
143,15,5
144,15,5
145,13,2
146,11,2
147,22,5
148,20,2
149,11,4
150,23,7
151,5,2
152,22,5
153,5,7
154,9,2
155,9,4
156,11,2
157,10,4
158,21,4
159,9,2
160,23,4
161,5,6
162,16,3
163,17,1
164,0,6
165,6,5
166,11,2
167,14,4
168,0,5
169,17,6
170,6,7
171,19,1
172,9,4
173,14,1
174,15,7
175,18,1
176,9,2
177,12,3
178,18,4
179,11,5
180,5,2
181,4,1
182,13,3
183,13,1
184,21,3
185,14,3
186,0,4
187,17,6
188,16,6
189,14,3
190,21,1
191,23,2
192,23,4
193,2,7
194,12,1
195,8,6
196,4,3
197,20,7
198,20,7
199,15,1
200,5,5
201,15,2
202,11,4
203,9,1
204,21,2
205,15,7
206,7,5
207,15,4
208,5,5
209,16,2
210,21,6
211,14,2
212,13,5
213,4,6
214,8,1
215,3,2
216,9,2
217,15,3
218,14,6
219,22,7
220,11,7
221,7,1
222,19,6
223,19,4
224,5,6
225,16,7
226,14,3
227,20,4
228,9,1
229,5,2
230,6,5
231,21,4
232,13,5
233,0,2
234,20,2
235,23,7
236,1,1
237,4,1
238,15,3
239,11,4
240,14,6
241,7,3
242,11,6
243,15,7
244,0,4
245,10,2
246,9,7
247,14,7
248,16,6
249,19,4
250,19,7
251,1,7
252,11,3
253,11,5
254,7,1
255,9,1
256,21,5
257,17,3
258,9,7
259,21,3
260,11,1
261,12,2
262,13,6
263,16,2
264,10,6
265,12,2
266,11,5
267,16,6
268,6,2
269,12,7
270,16,5
271,8,6
272,17,4
273,7,2
274,14,3
275,1,6
276,19,6
277,19,6
278,0,6
279,17,6
280,15,4
281,15,2
282,13,5
283,16,4
284,12,7
285,15,2
286,10,6
287,10,5
288,21,6
289,3,6
290,15,4
291,2,1
292,23,2
293,12,2
294,18,6
295,14,5
296,10,6
297,10,1
298,7,4
299,7,3
300,9,5
301,20,3
302,9,6
303,9,1
304,15,1
305,14,3
306,14,3
307,14,5
308,20,6
309,12,2
310,9,5
311,12,2
312,7,4
313,20,1
314,5,2
315,20,1
316,9,4
317,7,5
318,14,1
319,5,5
320,5,5
321,20,6
322,14,5
323,9,1
324,9,1
325,2,7
326,16,1
327,21,3
328,12,3
329,18,1
330,17,4
331,13,3
332,19,5
333,9,4
334,0,2
335,16,7
336,19,6
337,18,2
338,12,1
339,9,5
340,22,4
341,21,6
342,18,5
343,18,5
344,16,6
345,10,1
346,20,6
347,13,5
348,7,3
349,20,3
350,8,5
351,11,5
352,8,2
353,10,6
354,16,4
355,18,2
356,8,2
357,21,2
358,22,7
359,5,3
360,10,4
361,21,2
362,2,1
363,14,4
364,14,6
365,9,6
366,6,4
367,12,3
368,2,4
369,17,4
370,15,4
371,19,2
372,15,5
373,17,7
374,20,5
375,13,7
376,20,3
377,16,2
378,11,5
379,16,4
380,12,1
381,22,2
382,20,3
383,20,3
384,12,2
385,15,2
386,14,1
387,18,1
388,22,5
389,0,2
390,15,2
391,7,5
392,19,6
393,13,2
394,12,7
395,23,7
396,13,2
397,18,3
398,18,3
399,16,4
400,20,5
401,18,2
402,14,4
403,15,1
404,16,2
405,9,3
406,12,5
407,14,6
408,12,3
409,12,3
410,16,5
411,17,6
412,20,4
413,14,6
414,15,4
415,13,4
416,10,3
417,9,7
418,6,5
419,3,6
420,18,4
421,13,5
422,10,6
423,9,2
424,15,3
425,9,3
426,11,3
427,20,7
428,15,1
429,23,2
430,15,1
431,15,1
432,6,5
433,16,6
434,10,3
435,12,2
436,11,5
437,9,6
438,15,2
439,14,6
440,11,2
441,4,3
442,21,6
443,15,4
444,5,6
445,5,4
446,12,7
447,12,6
448,5,6
449,11,6
450,11,2
451,16,5
452,8,3
453,11,7
454,18,2
455,10,5
456,11,7
457,22,4
458,20,7
459,18,3
460,18,3
461,7,3
462,18,7
463,16,1
464,7,6
465,14,7
466,14,7
467,11,3
468,9,2
469,22,6
470,15,4
471,17,2
472,1,5
473,9,3
474,16,4
475,11,4
476,23,2
477,10,1
478,20,7
479,17,2
480,14,6
481,16,4
482,18,3
483,7,3
484,13,3
485,7,5
486,14,7
487,13,6
488,7,6
489,14,6
490,14,6
491,15,4
492,7,2
493,17,1
494,4,5
495,19,6
496,12,6
497,13,3
498,15,4
499,16,4
500,18,3
501,16,4
502,12,5
503,21,6
504,8,1
505,18,7
506,8,1
507,18,4
508,13,5
509,22,3
510,20,6
511,21,6
512,22,4
513,20,1
514,18,5
515,6,1
516,17,6
517,18,1
518,17,4
519,9,6
520,11,2
521,15,3
522,15,3
523,7,2
524,13,3
525,16,7
526,7,2
527,20,3
528,12,4
529,12,1
530,14,1
531,14,1
532,15,1
533,4,4
534,18,4
535,21,7
536,23,1
537,7,2
538,12,3
539,8,2
540,10,6
541,20,5
542,14,3
543,20,3
544,12,7
545,7,5
546,15,2
547,10,4
548,14,3
549,22,7
550,20,7
551,21,2
552,16,2
553,16,2
554,16,5
555,21,6
556,12,4
557,15,4
558,9,4
559,18,1
560,12,5
561,16,5
562,10,2
563,18,7
564,9,5
565,5,2
566,10,3
567,11,6
568,13,7
569,9,4
570,14,6
571,10,4
572,12,7
573,9,3
574,19,7
575,16,2
576,11,7
577,7,7
578,9,4
579,2,6
580,16,4
581,15,7
582,6,4
583,16,3
584,0,1
585,8,4
586,0,2
587,19,1
588,13,3
589,8,5
590,0,7
591,8,2
592,18,3
593,17,5
594,5,2
595,11,3
596,18,5
597,22,6
598,15,1
599,6,2
600,20,7
601,19,2
602,15,4
603,14,7
604,20,7
605,6,6
606,7,7
607,10,7
608,18,2
609,4,7
610,19,3
611,19,3
612,13,3
613,14,2
614,14,2
615,5,3
616,21,2
617,13,4
618,21,7
619,11,4
620,14,6
621,14,6
622,10,2
623,13,1
624,11,7
625,11,4
626,11,4
627,10,5
628,15,6
629,16,1
630,21,4
631,11,4
632,13,6
633,10,7
634,19,5
635,10,3
636,13,3
637,13,2
638,15,3
639,13,6
640,0,2
641,12,7
642,23,5
643,8,2
644,12,6
645,13,7
646,3,7
647,16,3
648,3,1
649,14,1
650,13,1
651,11,6
652,21,7
653,12,7
654,20,3
655,2,1
656,6,4
657,23,7
658,14,7
659,8,4
660,6,5
661,9,7
662,6,7
663,15,7
664,19,4
665,9,7
666,18,6
667,15,3
668,12,2
669,14,5
670,11,6
671,18,3
672,18,6
673,19,7
674,18,1
675,5,5
676,12,5
677,20,6
678,21,1
679,12,4
680,20,3
681,12,2
682,10,2
683,9,1
684,0,5
685,2,6
686,11,4
687,13,2
688,16,1
689,14,5
690,4,4
691,13,2
692,21,4
693,16,4
694,12,3
695,6,2
696,20,7
697,11,5
698,2,1
699,11,3
700,9,5
701,18,4
702,12,5
703,14,7
704,17,6
705,21,5
706,12,7
707,11,7
708,0,6
709,23,4
710,23,4
711,18,7
712,17,3
713,6,6
714,11,7
715,2,3
716,16,1
717,17,4
718,17,4
719,11,6
720,6,5
721,22,3
722,13,5
723,19,2
724,19,2
725,13,2
726,13,2
727,18,5
728,5,7
729,5,7
730,15,2
731,11,7
732,17,4
733,21,6
734,12,4
735,14,7
736,4,2
737,17,2
738,5,6
739,17,6
740,18,1
741,12,4
742,14,6
743,13,6
744,14,3
745,9,3
746,6,5
747,6,5
748,5,6
749,9,2
750,9,6
751,17,2
752,5,7
753,1,6
754,21,3
755,11,4
756,23,5
757,6,6
758,16,6
759,14,1
760,12,1
761,6,2
762,17,5
763,11,1
764,10,3
765,23,6
766,17,7
767,14,1
768,17,4
769,11,1
770,16,7
771,19,7
772,5,6
773,18,6
774,13,7
775,20,1
776,9,7
777,16,5
778,7,4
779,17,3
780,11,1
781,11,6
782,16,3
783,18,7
784,12,5
785,4,3
786,3,3
787,14,5
788,12,7
789,5,1
790,11,3
791,5,3
792,22,4
793,6,4
794,6,6
795,14,4
796,4,5
797,14,2
798,13,1
799,0,4
800,23,5
801,11,1
802,10,4
803,10,5
804,8,5
805,7,3
806,12,7
807,18,4
808,18,5
809,16,7
810,11,5
811,16,4
812,11,3
813,13,5
814,11,4
815,23,6
816,10,4
817,10,3
818,16,4
819,11,4
820,23,1
821,7,6
822,15,1
823,4,4
824,19,2
825,12,7
826,9,2
827,14,3
828,12,5
829,10,1
830,21,7
831,12,6
832,16,7
833,17,6
834,20,1
835,19,4
836,22,2
837,12,3
838,11,5
839,21,2
840,7,4
841,13,2
842,8,3
843,17,2
844,16,5
845,7,7
846,23,4
847,9,6
848,13,5
849,15,5
850,22,1
851,22,1
852,21,1
853,8,3
854,14,6
855,9,4
856,0,1
857,13,1
858,9,2
859,13,1
860,15,3
861,20,4
862,8,3
863,16,4
864,13,1
865,8,5
866,15,1
867,10,7
868,6,3
869,14,2
870,1,3
871,18,6
872,18,6
873,6,4
874,9,6
875,16,1
876,5,6
877,8,5
878,17,7
879,4,7
880,16,7
881,0,7
882,19,4
883,12,2
884,12,7
885,12,1
886,10,3
887,9,4
888,15,6
889,20,7
890,11,5
891,13,4
892,5,7
893,17,5
894,8,6
895,17,4
896,17,7
897,8,3
898,19,3
899,12,5
900,13,6
901,14,5
902,20,2
903,23,1
904,20,2
905,18,3
906,16,4
907,20,6
908,16,6
909,19,4
910,3,5
911,16,2
912,22,1
913,8,1
914,5,2
915,8,7
916,11,5
