,acchr,dayofweek
0,16,2
1,8,4
2,17,1
3,8,2
4,17,2
5,19,6
6,20,4
7,14,4
8,14,7
9,8,6
10,19,2
11,18,7
12,13,4
13,17,5
14,17,2
15,19,6
16,0,1
17,17,5
18,13,2
19,3,7
20,9,7
21,20,1
22,18,4
23,22,6
24,19,6
25,21,5
26,12,7
27,15,6
28,7,4
29,16,2
30,8,1
31,17,4
32,23,2
33,20,7
34,19,1
35,13,2
36,22,7
37,17,2
38,16,4
39,17,5
40,16,4
41,17,3
42,16,5
43,13,7
44,21,1
45,6,6
46,0,4
47,5,6
48,20,4
49,9,3
50,2,5
51,15,7
52,6,6
53,7,2
54,15,3
55,5,4
56,3,6
57,15,1
58,14,7
59,10,1
60,19,1
61,15,6
62,2,6
63,0,7
64,22,5
65,18,1
66,21,1
67,18,1
68,18,7
69,6,3
70,0,5
71,11,4
72,10,3
73,14,3
74,1,7
75,21,3
76,21,6
77,13,6
78,2,7
79,22,7
80,21,1
81,20,5
82,0,7
83,9,5
84,18,4
85,23,6
86,12,7
87,13,1
88,21,2
89,22,2
90,19,7
91,15,4
92,16,6
93,0,3
94,16,4
95,15,7
96,0,1
97,18,7
98,12,5
99,10,7
100,12,7
101,18,1
102,2,5
103,23,2
104,16,3
105,17,5
106,23,1
107,13,7
108,7,6
109,22,4
110,22,3
111,8,2
112,20,6
113,1,7
114,19,5
115,15,1
116,20,3
117,17,5
118,21,6
119,13,4
120,14,1
121,4,6
122,13,1
123,14,1
124,21,3
125,11,3
126,21,2
127,0,5
128,15,4
129,12,5
130,21,2
131,16,4
132,19,3
133,1,7
134,11,4
135,18,4
136,11,4
137,23,2
138,7,6
139,15,2
140,0,7
141,6,5
142,11,7
143,0,7
144,15,6
145,15,6
146,18,4
147,12,2
148,22,1
149,14,2
150,21,1
151,14,6
152,16,5
153,6,5
154,7,2
155,6,6
156,10,6
157,17,5
158,20,1
159,23,7
160,0,7
161,15,6
162,16,4
163,5,1
164,19,2
165,17,6
166,17,6
167,23,7
168,19,4
169,3,7
170,16,1
171,16,5
172,23,7
173,17,2
174,0,4
175,21,2
176,0,7
177,19,1
178,21,6
179,16,4
180,14,3
181,1,6
182,8,2
183,1,1
184,12,2
185,17,5
186,17,5
187,18,5
188,22,7
189,22,6
190,21,6
191,21,6
192,8,4
193,16,3
194,19,1
195,21,2
196,1,7
197,1,6
198,4,3
199,22,7
200,3,1
201,18,7
202,16,3
203,2,5
204,17,2
205,5,1
206,19,5
207,20,5
208,10,5
209,1,5
210,6,4
211,5,4
212,1,1
213,2,5
214,14,3
215,21,6
216,15,5
217,10,7
218,4,6
219,18,5
220,21,2
221,16,4
222,13,7
223,2,7
224,4,3
225,9,6
226,22,7
227,20,4
228,17,5
229,20,3
230,16,5
231,1,1
232,18,6
233,18,3
234,20,1
235,12,7
236,16,5
237,8,6
238,15,3
239,10,5
240,6,3
241,20,1
242,18,7
243,3,7
244,1,4
245,14,2
246,15,3
247,16,4
248,15,2
249,22,1
250,18,1
251,19,2
252,17,3
253,17,4
254,14,4
255,18,5
256,15,6
257,18,3
258,14,3
259,23,7
260,10,2
261,6,3
262,7,3
263,18,5
264,7,7
265,19,2
266,19,1
267,22,5
268,15,2
269,21,4
270,12,2
271,18,3
272,22,1
273,18,6
274,6,6
275,23,7
276,15,3
277,5,5
278,23,3
279,14,2
280,8,7
281,23,7
282,23,7
283,20,7
284,5,6
285,12,6
286,22,3
287,14,7
288,21,7
289,18,7
290,1,1
291,11,2
292,15,5
293,10,6
294,2,6
295,18,4
296,0,7
297,21,6
298,2,6
299,15,5
300,16,7
301,5,3
302,2,3
303,0,7
304,17,3
305,20,3
306,0,2
307,16,1
308,15,2
309,15,3
310,9,2
311,18,3
312,13,6
313,23,7
314,18,3
315,18,5
316,17,6
317,3,6
318,14,5
319,16,3
320,17,2
321,21,2
322,20,1
323,10,3
324,18,3
325,12,4
326,20,7
327,16,7
328,22,1
329,11,3
330,16,4
331,1,5
332,15,4
333,1,2
334,16,1
335,19,6
336,6,1
337,9,2
338,19,7
339,16,7
340,14,1
341,1,1
342,22,4
343,16,4
344,10,2
345,7,7
346,1,1
347,11,5
348,21,5
349,23,6
350,18,4
351,19,2
352,19,6
353,7,3
354,6,4
355,14,1
356,19,7
357,19,7
358,23,7
359,18,6
360,0,1
361,20,1
362,10,7
363,0,6
364,17,4
365,6,4
366,22,7
367,13,4
368,18,2
369,11,2
370,23,7
371,3,7
372,19,1
373,23,1
374,15,6
375,6,1
376,20,5
377,17,3
378,14,4
379,8,4
380,19,3
381,2,1
382,19,1
383,16,1
384,2,1
385,18,1
386,18,7
387,19,4
388,1,1
389,14,4
390,1,6
391,15,1
392,2,1
393,15,1
394,6,4
395,18,3
396,20,1
397,16,6
398,10,6
399,18,5
400,18,7
401,22,7
402,1,6
403,15,3
404,7,5
405,7,5
406,23,3
407,7,5
408,16,2
409,13,5
410,13,7
411,7,7
412,17,7
413,20,7
414,15,2
415,18,6
416,21,1
417,21,1
418,16,4
419,21,2
420,18,4
421,14,4
422,23,4
423,13,1
424,0,2
425,1,3
426,17,1
427,18,1
428,14,5
429,5,1
430,23,5
431,21,6
432,2,1
433,9,1
434,2,7
435,14,3
436,18,2
437,19,2
438,20,6
439,10,3
440,19,5
441,12,7
442,17,4
443,18,3
444,15,3
445,20,2
446,22,5
447,14,1
448,6,3
449,6,6
450,11,2
451,18,2
452,20,2
453,18,5
454,14,5
455,14,5
456,18,1
457,22,1
458,7,3
459,15,1
460,4,1
461,18,6
462,23,7
463,23,3
464,16,3
465,16,1
466,18,3
467,14,5
468,15,7
469,20,6
470,22,4
471,19,2
472,2,4
473,17,3
474,0,2
475,8,6
476,6,3
477,3,1
478,7,3
479,21,4
480,15,6
481,14,3
482,18,2
483,16,5
484,5,3
485,18,1
486,10,6
487,10,6
488,8,7
489,20,3
490,19,1
491,19,2
492,9,7
493,7,6
494,7,6
495,7,6
496,9,2
497,20,5
498,16,3
499,20,3
500,22,4
501,11,7
502,23,1
503,18,2
504,7,1
505,0,1
506,17,1
507,2,6
508,18,4
509,14,1
510,2,3
511,5,2
512,22,1
513,23,6
514,8,5
515,17,6
516,14,1
517,8,3
518,2,5
519,10,1
520,15,2
521,4,3
522,18,3
523,10,7
524,1,6
525,4,6
526,20,3
527,19,3
528,20,3
529,2,2
530,7,1
531,2,2
532,16,3
533,19,6
534,13,2
535,17,2
536,18,5
537,14,3
538,18,5
539,18,1
540,6,2
541,20,7
542,13,1
543,5,5
544,13,1
545,21,4
546,5,6
547,5,1
548,7,1
549,23,7
550,21,2
551,20,4
552,10,3
553,21,1
554,3,4
555,20,6
556,8,3
557,8,7
558,7,7
559,4,2
560,22,7
561,19,5
562,7,2
563,11,2
564,14,5
565,11,2
566,11,7
567,8,2
568,9,5
569,12,5
570,2,2
571,17,2
572,15,2
573,19,1
574,20,3
575,10,1
576,6,6
577,0,7
578,19,6
579,20,3
580,10,3
581,22,1
582,0,7
583,1,7
584,14,3
585,6,2
586,22,7
587,10,6
588,21,4
589,7,1
590,15,1
591,15,6
592,21,2
593,7,3
594,18,2
595,2,3
596,15,1
597,22,3
598,8,5
599,20,1
600,16,6
601,1,5
602,7,7
603,20,4
604,11,4
605,6,7
606,20,1
607,0,2
608,18,1
609,20,5
610,15,3
611,20,3
612,7,6
613,14,5
614,4,1
615,21,2
616,2,5
617,10,6
618,20,2
619,11,3
620,0,7
621,6,6
622,23,7
623,23,4
624,15,6
625,18,4
626,0,7
627,11,1
628,11,1
629,22,3
630,14,7
631,22,6
632,4,7
633,9,7
634,15,5
635,15,5
636,22,2
637,1,4
638,18,3
639,11,2
640,14,2
641,22,6
642,6,5
643,18,2
644,12,5
645,12,5
646,10,6
647,13,5
648,12,7
649,6,5
650,16,3
651,13,2
652,20,3
653,11,2
654,21,2
655,8,4
656,21,7
657,19,1
658,6,6
659,21,7
660,15,4
661,6,2
662,17,4
663,5,2
664,9,2
665,11,2
666,21,5
667,16,4
668,21,6
669,21,5
670,16,7
671,19,7
672,13,4
673,0,1
674,15,1
675,17,4
676,19,7
677,19,2
678,10,5
679,22,4
680,20,2
681,19,7
682,17,7
683,12,1
684,7,6
685,16,1
686,23,7
687,12,1
688,2,1
689,19,3
690,7,3
691,12,4
692,22,4
693,12,6
694,12,1
695,18,7
696,13,2
697,4,6
698,1,7
699,2,6
700,21,6
701,0,2
702,17,1
703,0,7
704,19,7
705,3,1
706,11,3
707,17,4
708,21,5
709,14,3
710,6,3
711,22,5
712,22,7
713,9,1
714,19,3
715,15,4
716,19,2
717,17,3
718,6,4
719,2,6
720,17,1
721,17,6
722,16,1
723,21,4
724,1,7
725,12,2
726,99,7
727,21,3
728,15,5
729,15,5
730,2,5
731,8,2
732,19,7
733,13,7
734,20,7
735,16,3
736,22,6
737,17,5
738,14,7
739,21,7
740,17,7
741,17,5
742,5,2
743,16,6
744,17,5
745,18,6
746,22,6
747,20,1
748,23,1
749,15,6
750,18,2
751,3,7
752,22,3
753,14,2
754,12,3
755,1,5
756,3,6
757,22,7
758,11,3
759,22,2
760,18,2
761,7,7
762,19,2
763,14,1
764,12,6
765,12,6
766,7,4
767,16,2
768,12,1
769,1,1
770,14,7
771,15,1
772,2,4
773,16,6
774,6,3
775,20,3
776,23,5
777,11,1
778,13,1
779,3,4
780,23,6
781,15,4
782,2,1
783,15,2
784,13,1
785,14,2
786,4,2
787,18,6
788,19,2
789,22,3
790,22,5
791,2,4
792,0,7
793,22,6
794,11,3
795,5,5
796,3,7
797,18,5
798,22,2
799,6,6
800,13,7
801,8,3
802,6,3
803,23,3
804,14,6
805,10,4
806,0,5
807,8,4
808,6,6
809,12,4
810,17,1
811,23,5
812,15,2
813,15,2
814,1,1
815,9,3
816,16,4
817,21,5
818,19,7
819,9,1
820,22,1
821,9,4
822,5,7
823,5,7
824,19,4
825,23,7
826,20,4
827,16,2
828,4,7
829,3,2
830,2,7
831,0,5
832,19,3
833,12,2
834,20,1
835,11,5
836,14,6
837,21,1
838,18,6
839,2,7
840,3,7
841,2,7
842,16,1
843,1,2
844,23,1
845,14,7
846,13,4
847,11,5
848,13,5
849,22,6
850,7,3
851,5,5
852,0,4
853,22,1
854,23,2
855,22,5
856,8,4
857,21,2
858,17,7
859,20,7
860,13,7
861,19,3
862,15,2
863,4,6
864,7,5
865,3,7
866,4,7
867,12,1
868,14,6
869,21,7
870,8,5
871,18,5
872,15,3
873,2,1
874,9,6
875,10,7
876,4,6
877,16,5
878,6,5
879,20,2
880,20,2
881,15,2
882,0,7
883,17,6
884,20,2
885,21,1
886,0,2
887,21,7
888,10,3
889,20,1
890,18,2
891,4,4
892,18,3
893,5,7
894,23,1
895,19,7
896,0,5
897,21,6
898,10,4
899,2,3
900,20,7
901,22,4
902,5,7
903,22,4
904,16,7
905,9,5
906,8,1
907,18,3
908,13,7
909,21,2
910,6,5
911,22,5
912,4,7
913,14,5
914,11,4
915,17,7
916,18,3
917,15,4
918,4,6
919,17,3
920,20,3
921,15,4
922,3,7
923,12,3
924,5,3
925,18,7
926,16,6
927,10,4
928,9,6
929,9,7
930,23,6
931,21,5
932,13,6
933,17,4
934,16,7
935,16,7
936,2,7
937,6,2
938,20,1
939,21,7
940,1,1
941,15,1
942,13,4
943,18,4
944,16,5
945,9,4
946,12,1
947,21,7
948,15,1
949,20,2
950,16,4
951,21,6
952,20,2
953,1,1
954,13,6
955,7,4
956,18,7
957,14,2
958,1,3
959,12,6
960,7,6
961,2,7
962,7,6
963,9,6
964,9,6
965,19,1
966,12,2
967,3,6
968,9,3
969,22,1
970,0,1
971,1,2
972,15,6
973,1,1
974,12,2
975,21,7
976,9,4
977,1,7
978,12,4
979,16,6
980,13,5
981,7,2
982,19,2
983,14,2
984,13,1
985,13,1
986,9,3
987,20,6
988,9,7
989,11,2
990,16,7
991,12,2
992,22,1
993,19,5
994,22,5
995,23,6
996,21,4
997,0,6
998,17,6
999,12,7
1000,8,1
1001,11,7
1002,21,5
1003,20,1
1004,13,2
1005,22,1
1006,19,6
1007,21,7
1008,99,2
1009,19,7
1010,2,2
1011,17,1
1012,13,4
1013,19,2
1014,20,6
1015,18,7
1016,14,5
1017,3,4
1018,15,3
1019,23,7
1020,17,5
1021,10,6
1022,20,6
1023,21,3
1024,18,5
1025,16,3
1026,1,7
1027,22,5
1028,4,1
1029,12,7
1030,2,6
1031,9,7
1032,22,6
1033,21,7
1034,7,2
1035,23,4
1036,22,6
1037,23,2
1038,13,5
1039,1,7
1040,15,7
1041,14,7
1042,15,1
1043,4,3
1044,11,2
1045,18,4
1046,4,4
1047,8,2
1048,13,3
1049,11,3
1050,22,3
1051,8,4
1052,23,7
1053,14,2
1054,16,1
1055,23,4
1056,14,1
1057,7,6
1058,20,5
1059,20,4
1060,14,1
1061,7,3
1062,22,5
1063,2,3
1064,15,5
1065,13,1
1066,17,7
1067,12,4
1068,7,7
1069,20,6
1070,2,1
1071,23,7
1072,0,6
1073,22,5
1074,14,1
1075,22,5
1076,3,5
1077,7,6
1078,21,4
1079,3,1
1080,20,7
1081,23,6
1082,12,3
1083,14,3
1084,2,4
1085,8,7
1086,7,1
1087,13,7
1088,23,4
1089,3,6
1090,2,2
1091,17,4
1092,9,3
1093,9,3
1094,20,1
1095,14,1
1096,6,2
1097,16,4
1098,10,4
1099,19,4
1100,19,2
1101,18,5
1102,12,3
1103,12,3
1104,11,2
1105,14,6
1106,16,5
1107,4,4
1108,22,7
1109,12,4
1110,18,4
1111,21,5
1112,7,2
1113,3,5
1114,7,7
1115,22,2
1116,21,6
1117,16,3
1118,21,6
1119,18,7
1120,2,7
1121,20,1
1122,4,7
1123,16,2
1124,13,6
1125,22,1
1126,10,1
1127,21,1
1128,10,5
1129,13,3
1130,18,1
1131,21,2
1132,2,3
1133,16,5
1134,9,1
1135,17,5
1136,20,5
1137,1,7
1138,16,3
1139,18,1
1140,12,2
1141,5,2
1142,15,3
1143,18,4
1144,19,7
1145,16,7
1146,13,7
1147,17,6
1148,20,1
1149,14,7
1150,18,5
1151,12,5
1152,5,3
1153,7,2
1154,22,2
1155,15,7
1156,16,2
1157,19,3
1158,0,1
1159,14,3
1160,18,6
1161,6,6
1162,17,3
1163,21,5
1164,7,7
1165,19,2
1166,17,2
1167,16,5
1168,23,2
1169,9,4
1170,3,7
1171,18,7
1172,22,6
1173,22,6
1174,14,6
1175,13,4
1176,22,5
1177,1,6
1178,21,7
1179,14,2
1180,8,7
1181,21,5
1182,2,2
1183,17,5
1184,23,4
1185,14,2
1186,16,4
1187,6,1
1188,12,4
1189,6,3
1190,18,5
1191,16,4
1192,14,7
1193,5,3
1194,22,1
1195,5,3
1196,13,4
1197,6,4
1198,8,2
1199,8,2
1200,21,4
1201,21,4
1202,18,6
1203,8,6
1204,17,7
1205,15,5
1206,16,3
1207,1,2
1208,14,6
1209,21,5
1210,20,1
1211,10,6
1212,4,4
1213,14,3
1214,19,5
1215,21,7
1216,12,2
1217,12,7
1218,7,7
1219,21,5
1220,7,4
1221,14,7
1222,16,1
1223,23,1
1224,18,1
1225,8,6
1226,7,2
1227,5,4
1228,16,4
1229,10,5
1230,4,1
1231,18,4
1232,11,7
1233,22,6
1234,21,2
1235,20,3
1236,12,5
1237,19,6
1238,19,6
1239,23,2
1240,14,3
1241,20,3
1242,17,3
1243,3,7
1244,19,4
1245,10,5
1246,18,5
1247,22,3
1248,21,7
1249,23,4
1250,22,3
1251,16,3
1252,17,2
1253,5,3
1254,23,6
1255,4,1
1256,13,7
1257,4,7
1258,17,1
1259,20,6
1260,9,1
1261,18,5
1262,8,5
1263,6,1
1264,20,7
1265,5,7
1266,21,6
1267,16,3
1268,22,3
1269,20,2
1270,21,7
1271,6,4
1272,22,7
1273,3,7
1274,11,3
1275,15,5
1276,2,1
1277,3,6
1278,9,2
1279,15,7
1280,18,4
1281,17,2
1282,18,7
1283,14,7
1284,16,5
1285,14,3
1286,15,1
1287,23,7
1288,0,7
1289,11,6
1290,6,4
1291,13,5
1292,9,5
1293,21,7
1294,1,7
1295,8,6
1296,15,6
1297,12,5
1298,5,2
1299,13,7
1300,12,5
1301,7,7
1302,12,3
1303,19,3
1304,20,5
1305,17,1
1306,23,3
1307,12,1
1308,22,4
1309,20,5
1310,5,2
1311,14,3
1312,21,5
1313,10,7
1314,6,2
1315,19,3
1316,5,4
1317,12,2
1318,15,3
1319,14,2
1320,0,6
1321,1,1
1322,14,2
1323,18,2
1324,12,5
