,acchr,dayofweek
0,8,2
1,19,6
2,0,4
3,5,6
4,9,3
5,2,5
6,15,7
7,6,6
8,7,2
9,15,3
10,3,6
11,15,1
12,14,7
13,10,1
14,19,1
15,15,6
16,2,6
17,0,7
18,22,5
19,18,1
20,21,1
21,18,1
22,18,7
23,6,3
24,0,5
25,10,3
26,14,3
27,1,7
28,13,6
29,2,7
30,22,7
31,9,5
32,18,4
33,12,7
34,13,1
35,21,2
36,22,2
37,15,4
38,16,6
39,0,3
40,16,4
41,0,1
42,18,7
43,12,5
44,10,7
45,18,1
46,2,5
47,23,2
48,16,3
49,17,5
50,13,7
51,7,6
52,22,4
53,22,3
54,8,2
55,1,7
56,19,5
57,15,1
58,20,3
59,17,5
60,21,6
61,13,4
62,14,1
63,4,6
64,13,1
65,14,1
66,21,3
67,11,3
68,21,2
69,0,5
70,15,4
71,12,5
72,21,2
73,16,4
74,19,3
75,1,7
76,11,4
77,23,2
78,15,2
79,0,7
80,6,5
81,11,7
82,0,7
83,15,6
84,18,4
85,22,1
86,14,2
87,21,1
88,6,5
89,7,2
90,10,6
91,17,5
92,20,1
93,23,7
94,0,7
95,15,6
96,19,2
97,17,6
98,17,6
99,16,1
100,19,1
101,16,4
102,14,3
103,8,2
104,1,1
105,12,2
106,17,5
107,21,6
108,8,4
109,16,3
110,19,1
111,21,2
112,1,6
113,4,3
114,22,7
115,18,7
116,16,3
117,2,5
118,17,2
119,5,1
120,20,5
121,10,5
122,1,5
123,6,4
124,5,4
125,14,3
126,10,7
127,18,5
128,21,2
129,13,7
130,2,7
131,4,3
132,9,6
133,22,7
134,16,5
135,18,6
136,20,1
137,10,5
138,6,3
139,20,1
140,18,7
141,3,7
142,14,2
143,16,4
144,15,2
145,22,1
146,18,1
147,19,2
148,17,4
149,18,5
150,15,6
151,18,3
152,14,3
153,23,7
154,10,2
155,7,3
156,18,5
157,7,7
158,22,5
159,18,3
160,22,1
161,5,5
162,23,3
163,14,2
164,23,7
165,14,7
166,18,7
167,1,1
168,15,5
169,10,6
170,15,5
171,16,7
172,5,3
173,2,3
174,0,7
175,17,3
176,20,3
177,0,2
178,16,1
179,15,2
180,15,3
