,acchr,dayofweek
0,8,4
1,15,7
2,22,4
3,17,1
4,7,2
5,12,2
6,18,7
7,1,4
8,18,3
9,10,4
10,10,7
11,6,2
12,9,1
13,0,4
14,10,7
15,16,2
16,11,4
17,7,5
18,18,3
19,18,3
20,13,7
21,14,6
22,17,2
23,17,2
24,17,7
25,9,7
26,22,1
27,12,7
28,11,6
29,20,2
30,12,7
31,14,7
32,12,4
33,16,5
34,12,2
35,9,6
36,8,2
37,7,4
38,22,4
39,20,4
40,16,6
41,23,6
42,13,6
43,13,6
44,17,2
45,1,4
46,5,3
47,7,2
48,19,2
49,20,6
50,19,7
51,12,1
52,17,3
53,9,2
54,4,5
55,17,6
56,0,1
57,17,3
58,12,4
59,22,6
60,22,6
61,16,3
62,9,5
63,21,5
64,10,6
65,10,6
66,10,6
67,20,6
68,8,6
69,7,4
70,15,6
71,23,7
72,12,1
73,1,7
74,9,3
75,8,3
76,12,2
77,18,3
78,18,7
79,15,3
80,9,6
81,19,5
82,10,2
83,99,3
84,13,4
85,22,5
86,7,4
87,17,4
88,7,3
89,12,6
90,19,7
91,10,3
92,1,4
93,18,4
94,7,4
95,14,4
96,21,4
97,15,6
98,4,6
99,12,1
100,21,5
101,18,7
102,11,4
103,21,5
104,11,6
105,18,7
106,9,3
107,9,3
108,6,5
109,12,2
110,13,5
111,16,7
112,9,7
113,16,2
114,11,5
115,15,3
116,9,6
117,18,1
118,10,7
119,15,7
120,9,5
121,15,1
122,15,6
123,6,6
124,10,3
125,10,3
126,13,6
127,16,1
128,20,6
129,20,6
130,19,3
131,6,4
132,15,3
133,15,4
134,10,4
135,13,4
136,7,1
137,8,4
138,19,7
139,12,6
140,6,5
141,8,4
142,11,4
143,16,2
144,19,2
145,19,2
146,23,3
147,17,4
148,7,7
149,12,7
150,4,6
151,15,2
152,16,2
153,10,6
154,18,2
155,11,3
156,12,4
157,18,7
158,22,3
159,4,1
160,12,7
161,8,5
162,2,5
163,14,3
164,0,7
165,12,2
166,14,4
167,18,5
168,9,2
169,17,3
170,10,6
171,11,5
172,6,6
173,5,5
174,9,5
175,11,1
176,14,4
177,18,1
178,15,3
179,4,5
180,8,4
181,11,4
182,12,3
183,17,3
184,23,4
185,15,5
186,13,2
