,acchr,dayofweek
0,0,7
1,23,5
2,2,7
3,3,6
4,19,5
5,0,7
6,2,7
7,19,5
8,3,7
9,3,6
10,0,4
11,23,4
12,19,1
13,99,1
14,2,3
15,18,1
16,17,1
17,20,7
18,23,5
19,18,1
20,18,2
21,21,6
22,12,4
23,22,7
24,6,6
25,5,1
26,23,3
27,1,2
28,7,7
29,21,2
30,1,3
31,2,5
32,3,3
33,23,5
34,23,1
35,10,3
36,1,4
37,20,3
38,5,6
39,2,3
40,2,2
41,2,7
42,3,1
43,23,6
44,13,6
45,21,6
46,8,3
47,2,5
48,2,5
49,13,5
50,3,7
51,20,7
52,4,1
53,6,5
54,2,7
55,2,6
56,2,6
57,1,7
58,22,7
59,8,3
60,0,6
61,0,7
62,15,1
63,0,1
64,1,7
65,2,7
66,4,1
67,14,2
68,20,6
69,23,5
70,16,5
71,19,7
72,3,7
73,19,7
74,23,2
75,21,7
76,0,2
77,21,5
78,15,1
79,21,5
80,22,2
81,9,3
82,17,6
83,3,5
84,22,7
85,2,1
86,7,7
87,1,1
88,6,7
89,23,3
90,19,3
91,0,1
92,4,1
93,5,1
94,20,2
95,23,2
96,2,7
97,5,7
98,1,2
99,8,4
100,21,3
101,3,7
102,3,7
103,5,7
104,6,7
105,6,1
106,5,2
107,0,5
108,0,1
109,1,1
110,99,7
111,1,7
112,21,7
113,22,2
114,3,1
115,1,2
116,19,4
117,23,7
118,1,1
119,22,1
120,2,7
121,21,2
122,0,1
123,22,4
124,0,5
125,99,1
126,1,1
127,2,2
128,7,2
129,3,7
130,3,7
131,21,6
132,5,7
133,1,6
134,20,5
135,23,6
136,17,1
137,22,6
138,1,6
139,4,5
140,22,6
141,1,1
142,20,3
143,0,6
144,19,2
145,1,1
146,1,5
147,19,5
148,21,7
149,23,4
150,23,6
151,0,1
152,18,6
153,1,2
154,1,1
155,4,7
156,16,1
157,16,1
158,18,3
159,1,1
160,1,6
161,17,7
162,21,5
163,2,7
164,22,1
165,22,3
166,22,3
167,20,3
168,1,1
169,18,1
170,99,7
171,19,7
172,7,7
173,21,4
174,1,5
175,17,2
176,21,2
177,2,7
178,13,2
179,0,5
180,2,7
181,99,7
182,15,6
183,2,7
184,2,7
185,17,7
186,5,7
187,20,3
188,18,4
189,8,7
190,23,7
191,3,1
192,4,1
193,9,1
194,21,1
195,0,1
196,0,1
197,2,2
198,19,4
199,22,1
200,3,1
201,1,6
202,22,6
203,1,4
204,1,1
205,4,1
206,2,7
207,2,7
208,20,6
209,2,1
210,0,2
211,6,1
212,22,1
213,99,1
214,1,2
215,23,4
216,2,1
217,18,1
218,23,7
219,18,2
220,22,5
221,3,7
222,2,1
223,19,7
224,23,7
225,20,1
226,15,5
227,2,7
228,1,6
229,4,1
230,99,2
231,1,4
232,15,3
233,1,7
234,21,7
235,21,1
236,22,4
237,3,5
238,2,7
239,21,4
240,2,7
241,0,7
242,3,6
243,21,1
244,21,2
245,21,7
246,2,1
247,2,1
248,5,1
249,6,2
250,3,6
251,0,5
252,1,7
253,99,4
254,18,4
255,1,6
256,1,6
257,20,6
258,20,6
259,2,1
260,1,7
261,22,7
262,23,7
263,1,7
264,15,1
265,0,4
266,3,5
267,3,5
268,23,7
269,3,1
270,14,2
271,9,6
272,15,1
273,3,1
274,3,1
275,2,6
276,2,7
277,18,4
278,15,1
279,18,4
280,19,7
281,1,1
282,1,1
283,1,1
284,3,1
285,3,1
286,3,5
287,2,1
288,2,1
289,2,1
290,0,1
291,2,6
292,2,7
293,4,2
294,21,3
295,2,1
296,1,1
297,23,7
298,19,1
299,3,1
300,3,1
301,19,5
302,2,1
303,2,6
304,18,5
305,2,1
306,15,5
307,1,1
308,3,7
309,3,7
310,1,7
311,2,2
312,2,1
313,1,6
314,5,2
315,1,1
316,1,6
317,7,7
318,23,5
319,5,2
320,0,3
321,1,6
322,21,2
323,22,3
324,22,5
325,3,6
326,3,6
327,4,1
328,7,1
329,8,2
330,2,7
331,4,1
332,0,3
333,1,7
334,5,2
335,21,6
336,2,7
337,17,4
338,19,7
339,2,1
340,2,1
341,1,2
342,2,1
343,3,2
344,18,4
345,3,3
346,3,7
347,1,1
348,10,2
349,22,6
350,23,1
351,18,4
352,2,5
353,6,1
354,2,7
355,3,6
356,4,1
357,1,1
358,1,7
359,18,2
360,4,1
361,2,5
362,1,6
363,1,7
364,23,7
365,2,7
366,21,2
367,5,4
368,2,5
369,2,5
370,20,6
371,23,3
372,0,3
373,3,1
374,7,1
375,6,1
376,20,7
377,21,2
378,2,1
379,3,4
380,0,3
381,0,6
382,2,7
383,0,1
384,22,5
385,0,7
386,23,6
387,3,6
388,2,6
389,22,7
390,0,2
391,0,2
392,23,4
393,23,5
394,10,2
395,21,1
396,4,7
397,3,7
398,2,6
399,20,4
400,20,7
401,23,1
402,23,7
403,3,1
404,0,7
405,22,7
406,2,1
407,5,7
408,3,1
409,22,4
410,15,7
411,3,3
412,17,6
413,1,2
414,23,3
415,21,2
416,7,6
417,0,7
418,5,1
419,2,4
420,5,7
421,23,5
422,1,6
423,3,7
424,6,7
425,1,1
426,10,7
427,3,1
428,4,1
429,10,1
430,5,1
431,2,1
432,0,4
433,1,4
434,22,7
435,23,3
436,20,5
437,5,7
438,20,4
439,21,1
440,4,5
441,22,1
442,7,4
443,2,7
444,3,7
445,3,7
446,1,5
447,20,5
448,18,7
449,17,7
450,1,1
451,1,4
452,17,2
453,22,2
454,19,4
455,0,1
456,19,2
457,3,1
458,0,1
459,22,5
460,0,1
461,2,5
462,21,6
463,5,7
464,2,7
465,1,7
466,20,5
467,3,6
468,21,1
469,23,7
470,2,7
471,19,7
472,2,6
473,23,5
474,23,5
475,10,1
476,16,7
477,1,1
478,21,2
479,12,1
480,1,5
481,17,7
482,18,5
483,0,1
484,3,1
485,2,7
486,18,2
487,23,6
488,5,2
489,21,7
490,2,2
491,2,2
492,15,7
493,16,1
494,16,1
495,2,7
496,10,4
497,0,5
498,23,7
499,1,1
500,21,3
501,20,3
502,15,2
503,19,5
504,3,7
505,3,7
506,4,1
507,0,1
508,23,4
509,3,1
510,20,2
511,3,1
512,11,1
513,5,5
514,1,6
515,9,4
516,23,6
517,2,5
518,23,4
519,3,7
520,23,2
521,1,6
522,7,6
523,5,7
524,4,2
525,4,1
526,18,7
527,3,6
528,1,7
529,1,6
530,1,1
531,19,7
532,1,7
533,23,7
534,23,6
535,6,7
536,0,6
537,0,1
538,6,3
539,2,6
540,16,7
541,4,3
542,7,7
543,21,4
544,2,6
545,19,6
546,3,7
547,1,7
548,2,1
549,2,1
550,0,1
551,2,1
552,5,7
553,22,6
554,1,6
555,2,7
556,2,7
557,4,7
558,5,7
559,22,5
560,2,1
561,4,1
562,1,7
563,1,7
564,23,5
565,22,3
566,2,7
567,3,7
568,8,1
569,18,1
570,3,6
571,3,6
572,2,3
573,6,1
574,0,7
575,2,2
576,21,7
577,5,7
578,2,6
579,14,6
580,22,2
581,22,6
582,2,1
583,21,4
584,21,4
585,4,1
586,6,2
587,4,4
588,19,7
589,15,4
590,5,1
591,2,4
592,6,7
593,20,1
594,1,1
595,23,2
596,3,4
597,0,4
598,23,5
599,18,7
600,22,3
601,2,5
602,23,1
603,20,6
604,2,6
605,2,6
606,0,1
607,99,5
608,21,6
609,1,1
610,2,3
611,23,3
612,3,7
613,2,3
614,19,4
615,21,4
616,2,7
617,5,7
618,3,5
619,11,1
620,23,6
621,4,7
622,1,4
623,6,3
624,22,1
625,6,3
626,15,3
627,23,6
628,17,7
629,3,7
630,23,6
631,0,4
632,6,7
633,3,5
634,23,3
635,1,6
636,1,6
637,20,1
638,21,2
639,3,5
640,1,1
641,21,7
642,0,5
643,3,1
644,2,1
645,23,3
646,0,7
647,17,6
648,3,7
649,4,7
650,2,4
651,7,2
652,4,1
653,2,7
654,1,5
655,23,3
656,23,4
657,2,3
658,3,1
659,0,2
660,23,3
661,17,3
662,17,5
663,4,7
664,4,7
665,23,7
666,2,7
667,0,6
668,1,3
669,15,5
670,5,1
671,2,1
672,22,5
673,1,7
674,0,6
675,1,6
676,1,5
677,2,7
678,0,3
679,1,1
680,1,1
681,23,2
682,1,7
683,1,7
684,0,7
685,0,5
686,23,4
687,3,7
688,20,3
689,22,5
690,3,6
691,2,1
692,2,7
693,3,1
694,22,3
695,1,7
696,3,7
697,1,6
698,23,7
699,1,6
700,4,3
701,2,6
702,4,1
703,22,1
704,18,4
705,8,1
706,5,2
707,2,1
708,6,4
709,1,7
710,19,6
711,2,1
712,1,7
713,2,1
714,4,6
715,19,1
716,20,1
717,15,7
718,0,7
719,1,6
720,0,3
721,3,7
722,3,7
723,18,3
724,17,7
725,2,6
726,0,6
727,23,7
728,1,1
729,2,1
730,1,6
731,1,6
732,1,4
733,1,4
734,23,2
735,23,5
736,19,2
737,22,3
738,11,2
739,4,1
740,1,7
741,21,5
742,1,1
743,23,7
744,1,6
745,9,7
746,1,6
747,3,1
748,16,7
749,0,2
750,20,7
751,19,1
752,12,5
753,4,7
754,3,6
755,10,3
756,4,7
757,17,3
758,1,1
759,21,1
760,1,3
761,5,1
762,8,7
763,0,7
764,22,1
765,21,6
766,16,2
767,23,6
768,22,4
769,10,4
770,21,4
771,3,4
772,23,3
773,0,5
774,7,5
775,23,3
776,1,1
777,4,7
778,21,5
779,2,6
780,16,3
781,3,7
782,1,6
783,0,4
784,3,7
785,23,3
786,20,5
787,2,4
788,1,7
789,0,2
790,22,7
791,18,5
792,18,7
793,21,2
794,20,2
795,18,1
796,13,1
797,5,1
798,12,5
799,1,1
800,0,1
801,20,3
802,0,6
803,3,1
804,2,1
805,2,6
806,22,7
807,22,5
808,17,1
809,20,6
810,2,1
811,2,2
812,2,1
813,18,5
814,23,6
815,23,5
816,15,7
817,12,1
818,2,4
819,4,4
820,1,5
821,2,7
822,1,1
823,2,3
824,2,3
825,2,7
826,1,1
827,4,7
828,23,5
829,23,5
