,acchr,dayofweek
0,14,6
1,16,1
2,22,4
3,11,5
4,18,7
5,16,5
6,11,3
7,17,4
8,18,7
9,13,7
10,2,7
11,9,7
12,22,6
13,7,7
14,11,6
15,13,1
16,15,1
17,8,2
18,14,7
19,6,1
20,18,7
21,10,1
22,7,3
23,4,1
24,12,3
25,15,2
26,5,6
27,8,6
28,11,7
29,19,3
30,18,3
31,17,1
32,14,3
33,18,3
34,12,4
35,18,3
36,15,1
37,8,3
38,15,3
39,19,7
40,13,3
41,15,6
42,15,6
43,7,5
44,20,3
45,19,6
46,1,7
47,16,7
48,20,3
49,10,5
50,19,7
51,9,5
52,16,5
53,21,6
54,6,4
55,21,5
56,19,5
57,11,4
58,9,7
59,17,4
60,14,5
61,8,3
62,20,2
63,15,7
64,16,6
65,6,3
66,5,2
67,10,2
68,15,7
69,12,4
70,16,5
71,12,7
72,8,5
73,5,3
74,12,6
75,7,6
76,4,5
77,7,4
78,12,1
79,21,3
80,13,4
81,20,7
82,12,6
83,15,6
84,20,7
85,10,7
86,11,2
87,16,2
88,22,2
89,15,6
90,17,6
91,14,3
92,14,4
93,18,7
94,8,6
95,14,7
96,7,3
97,4,5
98,11,1
99,10,7
100,15,4
101,18,5
102,21,7
103,15,5
104,0,1
105,3,7
106,6,4
107,11,2
108,16,2
109,11,3
110,10,4
111,12,1
112,11,2
113,18,4
114,12,2
115,17,7
116,11,1
117,0,3
118,1,6
119,17,3
120,6,4
121,15,3
122,11,2
123,14,2
124,15,3
125,14,1
126,16,1
127,17,3
128,14,2
129,99,1
130,17,7
131,17,2
132,15,3
133,20,1
134,15,6
135,6,1
136,13,5
137,8,7
138,6,3
139,11,5
140,21,7
141,8,2
142,13,6
143,21,3
144,17,6
145,1,6
146,9,2
147,19,5
148,14,2
149,8,1
150,15,7
151,12,6
152,7,5
153,6,7
154,11,4
155,14,4
156,16,1
157,1,2
158,16,5
159,13,6
160,5,6
161,20,7
162,11,6
163,19,7
164,0,3
165,14,6
166,16,7
167,2,6
168,13,4
169,8,4
170,7,4
171,21,6
172,6,3
173,19,5
174,6,3
175,20,6
176,2,1
177,14,4
178,16,6
179,12,5
180,10,4
181,11,6
182,16,7
183,19,3
184,3,4
185,20,6
186,0,3
187,17,5
188,20,2
189,19,5
190,9,3
191,22,4
192,14,3
193,18,6
194,16,3
195,9,7
196,13,3
197,5,5
198,6,6
199,5,6
200,3,5
201,11,2
202,11,3
203,21,2
204,12,5
205,19,5
206,5,5
207,19,4
208,1,7
209,19,2
210,18,4
211,17,7
212,9,5
213,7,6
214,6,6
215,99,3
216,21,7
217,6,2
218,11,6
219,12,2
220,17,3
221,12,7
222,20,5
223,19,3
224,20,5
225,11,4
226,11,3
227,18,2
228,16,6
229,10,2
230,12,2
231,11,3
232,12,4
233,19,4
234,17,1
235,16,4
236,19,4
237,10,4
238,11,2
239,7,1
240,11,7
241,13,7
242,15,2
243,21,2
244,13,7
245,18,5
246,7,2
247,16,2
248,6,5
249,6,5
250,8,1
251,11,3
