,acchr,dayofweek
0,14,6
1,8,4
2,17,1
3,16,1
4,15,7
5,22,4
6,22,4
7,17,1
8,7,2
9,11,5
10,17,1
11,18,7
12,12,2
13,16,5
14,11,3
15,11,3
16,17,4
17,18,7
18,18,7
19,1,4
20,18,3
21,10,4
22,13,7
23,2,7
24,7,6
25,10,7
26,9,7
27,22,6
28,7,7
29,11,6
30,13,1
31,15,1
32,6,2
33,8,2
34,8,2
35,9,1
36,0,4
37,10,7
38,14,7
39,16,2
40,6,1
41,18,7
42,10,1
43,7,3
44,4,1
45,12,3
46,11,4
47,7,5
48,15,2
49,18,3
50,18,3
51,13,7
52,14,6
53,17,2
54,17,2
55,17,7
56,9,7
57,5,6
58,22,1
59,16,2
60,0,4
61,12,7
62,11,6
63,17,7
64,8,6
65,20,2
66,12,7
67,14,7
68,12,4
69,11,7
70,19,3
71,16,5
72,12,2
73,12,2
74,9,6
75,18,3
76,10,4
77,17,1
78,8,2
79,7,4
80,1,7
81,22,4
82,11,3
83,20,4
84,16,4
85,18,4
86,16,6
87,23,6
88,14,3
89,17,3
90,13,6
91,13,6
92,0,2
93,17,2
94,18,3
95,12,4
96,13,2
97,18,3
98,15,1
99,8,3
100,15,3
101,19,7
102,13,3
103,1,4
104,99,4
105,15,6
106,15,6
107,7,5
108,5,3
109,20,3
110,7,2
111,23,6
112,19,6
113,19,2
114,22,1
115,20,6
116,19,7
117,12,1
118,17,3
119,1,7
120,9,7
121,9,2
122,4,5
123,17,6
124,16,7
125,11,4
126,20,3
127,0,1
128,18,7
129,10,5
130,19,7
131,17,3
132,21,5
133,12,4
134,22,6
135,22,6
136,16,3
137,9,5
138,21,5
139,10,6
140,10,6
141,9,5
142,10,6
143,20,6
144,7,2
145,8,6
146,7,4
147,15,6
148,16,5
149,23,7
150,19,7
151,21,6
152,12,1
153,1,7
154,9,3
155,6,4
156,21,5
157,9,1
158,17,5
159,3,3
160,19,5
161,8,3
162,12,2
163,18,3
164,18,7
165,18,6
166,15,3
167,21,5
168,9,6
169,19,5
170,14,7
171,11,4
172,9,7
173,17,4
174,10,2
175,99,3
176,18,4
177,6,3
178,14,5
179,13,4
180,22,5
181,7,4
182,19,7
183,8,3
184,10,1
185,17,4
186,7,3
187,20,2
188,16,4
189,12,6
190,19,7
191,15,7
192,10,3
193,6,6
194,6,6
195,16,6
196,9,4
197,6,3
198,1,4
199,18,4
200,9,1
201,5,2
202,7,4
203,14,4
204,10,2
205,21,4
206,15,6
207,4,6
208,12,1
209,21,5
210,18,7
211,20,5
212,15,7
213,1,1
214,14,3
215,11,4
216,12,4
217,21,5
218,11,6
219,14,6
220,23,3
221,18,7
222,9,3
223,9,3
224,6,5
225,6,5
226,16,5
227,12,7
228,12,2
229,13,5
230,16,7
231,8,5
232,9,7
233,16,2
234,11,5
235,15,3
236,5,3
237,9,6
238,12,6
239,18,1
240,7,6
241,10,7
242,15,7
243,4,5
244,4,5
245,9,5
246,15,1
247,8,7
248,15,6
249,6,6
250,10,3
251,10,3
252,2,4
253,7,4
254,7,4
255,13,6
256,16,1
257,20,6
258,20,6
259,19,3
260,6,4
261,15,3
262,12,1
263,15,4
264,10,4
265,21,3
266,13,4
267,13,4
268,7,1
269,8,4
270,9,5
271,20,7
272,12,6
273,19,7
274,15,6
275,20,7
276,12,6
277,6,5
278,5,3
279,8,4
280,11,4
281,10,7
282,11,2
283,0,2
284,0,1
285,16,2
286,16,2
