,acchr,dayofweek
0,8,3
1,21,5
2,16,2
3,14,4
4,8,4
5,17,1
6,7,5
7,18,1
8,17,1
9,20,7
10,19,3
11,17,7
12,8,2
13,17,2
14,8,2
15,19,6
16,18,2
17,10,7
18,9,1
19,18,2
20,20,4
21,14,4
22,18,4
23,14,7
24,13,7
25,8,5
26,19,5
27,9,1
28,18,1
29,21,4
30,20,2
31,8,6
32,19,2
33,11,4
34,19,6
35,18,7
36,13,4
37,11,7
38,17,5
39,13,4
40,8,4
41,21,5
42,13,3
43,17,5
44,15,2
45,16,2
46,21,2
47,8,4
48,17,2
49,13,1
50,21,2
51,19,6
52,18,5
53,21,1
54,20,1
55,15,4
56,0,1
57,17,5
58,7,7
59,14,3
60,13,2
61,20,1
62,22,5
63,17,2
64,20,4
65,20,7
66,23,3
67,10,5
68,18,4
69,11,4
70,16,2
71,20,6
72,3,7
73,9,7
74,16,1
75,16,4
76,20,1
77,8,4
78,12,7
79,12,6
80,18,4
81,22,6
82,19,6
83,20,2
84,19,6
85,20,7
86,21,5
87,17,1
88,14,1
89,12,2
90,12,7
91,18,1
92,1,7
93,18,3
94,12,7
95,12,5
96,16,5
97,16,2
98,14,4
99,15,4
100,18,4
101,14,7
102,11,5
103,14,1
104,6,3
105,8,6
106,13,2
107,15,5
108,14,7
109,22,6
110,15,6
111,7,4
112,16,2
113,19,3
114,6,1
115,8,1
116,7,2
117,9,7
118,12,7
119,16,1
120,17,4
121,11,3
122,17,4
123,17,1
124,23,2
125,20,7
126,19,1
127,13,2
128,20,6
129,20,5
130,22,7
131,17,2
132,20,2
133,16,4
134,18,1
135,15,3
136,16,4
137,17,5
138,16,6
139,16,4
140,17,3
141,11,7
142,16,5
143,13,7
144,21,2
145,10,6
146,14,7
147,12,4
148,21,1
149,6,6
150,7,4
151,12,1
152,22,5
153,14,6
154,1,2
155,18,7
156,0,1
157,20,1
158,14,6
159,15,2
160,0,4
161,5,6
162,15,3
163,20,4
164,23,6
165,20,7
166,16,1
167,18,7
168,13,7
169,6,2
170,23,5
171,5,5
172,13,6
173,12,4
174,13,7
175,9,5
176,19,5
177,13,1
178,7,5
179,15,7
180,11,1
181,0,1
182,22,5
183,21,5
184,21,6
185,18,2
186,21,5
187,9,3
188,16,5
189,22,7
190,22,7
191,14,3
192,7,2
193,9,7
194,1,7
195,6,2
196,18,4
197,18,4
198,2,1
199,2,5
200,17,3
201,16,4
202,12,7
203,15,7
204,6,6
205,12,5
206,7,2
207,14,6
208,11,6
209,16,4
210,15,3
211,5,4
212,15,3
213,16,5
214,3,6
215,15,1
216,14,7
217,10,1
218,2,2
219,2,2
220,11,2
221,19,6
222,17,1
223,19,1
224,7,5
225,8,4
226,15,6
227,14,1
228,12,6
229,9,7
230,2,3
231,2,6
232,22,7
233,2,7
234,4,1
235,0,7
236,15,2
237,8,4
238,14,4
239,22,5
240,23,2
241,18,1
242,20,1
243,21,1
244,18,1
245,18,1
246,18,7
247,17,3
248,6,3
249,0,5
250,11,4
251,10,3
252,1,7
253,19,5
254,1,2
255,22,7
256,19,7
257,20,3
258,14,3
259,4,2
260,23,2
261,21,2
262,1,7
263,21,3
264,21,6
265,21,6
266,13,6
267,2,7
268,22,7
269,8,4
270,0,7
271,21,1
272,18,3
273,18,4
274,1,1
275,20,2
276,19,3
277,17,7
278,1,1
279,1,7
280,18,4
281,8,5
282,20,5
283,7,3
284,18,7
285,15,7
286,9,1
287,15,6
288,14,6
289,16,7
290,20,2
291,22,6
292,23,5
293,17,6
294,0,7
295,14,7
296,15,4
297,9,5
298,18,4
299,22,7
300,11,7
301,13,7
302,17,3
303,21,7
304,5,7
305,23,6
306,20,2
307,16,5
308,4,3
309,12,7
310,20,5
311,22,4
312,0,1
313,13,1
314,18,1
315,6,4
316,21,2
317,22,2
318,19,7
319,19,2
320,15,2
321,20,4
322,19,6
323,15,1
324,16,4
325,15,2
326,21,7
327,20,1
328,5,4
329,13,3
330,15,4
331,12,1
332,19,6
333,16,6
334,15,2
335,0,3
336,16,4
337,7,4
338,21,3
339,15,7
340,15,7
341,14,5
342,19,1
343,0,1
344,19,4
345,19,4
346,23,6
347,6,2
348,15,4
349,1,2
350,19,5
351,18,7
352,12,5
353,17,4
354,14,3
355,10,7
356,21,5
357,0,6
358,12,7
359,10,2
360,13,7
361,18,7
362,18,1
363,3,5
364,18,4
365,3,6
366,22,6
367,20,2
368,16,5
369,2,5
370,23,2
371,23,2
372,16,3
373,22,6
374,17,5
375,0,3
376,13,5
377,13,7
378,19,6
379,23,1
380,21,2
381,13,7
382,7,6
383,22,4
384,22,3
385,0,3
386,19,2
387,8,2
388,5,7
389,13,3
390,15,5
391,18,5
392,20,1
393,0,7
394,20,6
395,19,1
396,16,7
397,11,4
398,15,7
399,14,5
400,12,5
401,20,7
402,21,2
403,10,2
404,5,2
405,18,6
406,0,5
407,1,7
408,9,1
409,22,7
410,15,3
411,16,5
412,7,5
413,1,7
414,15,1
415,17,3
416,7,6
417,16,6
418,19,6
419,20,6
420,4,3
421,9,4
422,18,7
423,15,2
424,19,5
425,15,1
426,20,3
427,15,7
428,21,6
429,17,5
430,21,6
431,13,4
432,14,1
433,4,6
434,13,1
435,2,6
436,14,1
437,21,5
438,19,2
439,21,3
440,21,7
441,11,3
442,14,3
443,11,6
444,20,7
445,5,4
446,21,2
447,0,5
448,21,4
449,15,6
450,14,2
451,17,6
452,17,6
453,20,7
454,18,3
455,14,3
456,21,5
457,15,4
458,12,5
459,21,2
460,16,4
461,22,4
462,19,3
463,18,7
464,1,7
465,18,3
466,18,4
467,22,4
468,13,2
469,11,4
470,20,4
471,18,4
472,11,4
473,23,2
474,15,5
475,21,6
476,7,6
477,19,2
478,20,5
479,7,4
480,15,2
481,0,7
482,21,3
483,6,2
484,15,4
485,18,1
486,15,1
487,17,6
488,9,6
489,7,7
490,19,6
491,0,3
492,19,6
493,21,1
494,12,7
495,13,1
496,12,3
497,7,4
498,17,2
499,11,7
500,13,4
501,17,7
502,17,7
503,16,5
504,22,3
505,15,5
506,23,3
507,23,3
508,1,5
509,14,4
510,3,7
511,17,7
512,23,7
513,17,4
514,13,1
515,11,3
516,13,3
517,16,4
518,6,5
519,11,7
520,16,4
521,16,6
522,11,7
523,9,6
524,13,4
525,19,5
526,19,5
527,22,1
528,14,5
529,13,6
530,9,2
531,14,4
532,0,7
533,13,2
534,12,1
535,13,1
536,15,6
537,15,6
538,18,4
539,15,6
540,12,2
541,21,5
542,22,1
543,14,2
544,21,1
545,14,6
546,16,5
547,6,5
548,13,1
549,7,2
550,19,7
551,1,1
552,6,6
553,10,6
554,10,6
555,14,3
556,21,6
557,16,2
558,17,5
559,2,6
560,8,2
561,19,3
562,20,3
563,18,6
564,16,6
565,19,4
566,17,2
567,10,4
568,10,4
569,7,3
570,20,2
571,17,2
572,22,1
573,22,7
574,21,2
575,9,4
576,13,3
577,14,4
578,20,7
579,16,7
580,17,2
581,5,7
582,1,4
583,15,7
584,16,2
585,22,4
586,19,1
587,18,1
588,18,2
589,3,5
590,20,1
591,23,7
592,0,7
593,15,6
594,16,4
595,19,1
596,19,1
597,5,1
598,19,6
599,19,2
600,17,6
601,15,6
602,17,6
603,7,2
604,8,7
605,20,7
606,9,1
607,11,7
608,23,7
609,19,4
610,3,7
611,12,3
612,16,1
613,16,5
614,23,7
615,17,2
616,0,4
617,21,2
618,17,2
619,0,7
620,19,1
621,15,4
622,15,4
623,8,1
624,17,4
625,21,6
626,7,5
627,14,1
628,23,6
629,8,5
630,18,4
631,3,7
632,14,1
633,12,4
634,20,5
635,15,6
636,3,3
637,17,3
638,11,7
639,8,6
640,16,4
641,7,1
642,18,2
643,14,4
644,12,4
645,13,7
646,2,1
647,16,3
648,19,6
649,14,3
