,acchr,dayofweek
0,20,2
1,2,7
2,23,7
3,15,3
4,6,4
5,5,6
6,23,6
7,20,4
8,0,2
9,11,6
10,0,1
11,21,5
12,18,7
13,22,1
14,1,1
15,23,6
16,2,7
17,3,7
18,2,7
19,2,7
20,1,1
21,23,7
22,23,7
23,3,7
24,2,1
25,19,7
26,1,2
27,1,2
28,18,4
29,3,5
30,20,5
31,1,7
32,1,7
33,12,6
34,1,7
35,1,1
36,8,7
37,22,4
38,1,1
39,6,1
40,0,1
41,1,2
42,13,4
43,20,1
44,3,7
45,5,4
46,0,1
47,23,7
48,14,6
49,2,7
50,5,7
51,0,1
52,21,6
53,4,1
54,21,7
55,4,7
56,4,2
57,3,1
58,2,1
59,5,7
60,23,7
61,5,6
62,2,7
63,10,5
64,1,3
65,7,7
66,2,1
67,4,1
68,19,2
69,11,1
70,9,7
71,2,7
72,4,1
73,1,6
74,2,1
75,21,7
76,23,6
77,19,6
78,4,2
79,4,7
80,7,5
81,18,1
82,22,6
83,4,6
84,0,7
85,2,1
86,2,7
87,4,7
88,2,1
89,2,1
90,23,7
91,16,7
92,2,1
93,23,3
94,3,1
95,20,7
96,2,1
97,16,7
98,1,7
99,22,6
100,23,3
101,2,3
102,0,7
103,23,5
104,2,6
105,2,1
106,3,6
107,2,7
108,2,7
109,4,7
110,23,1
111,0,7
112,23,4
113,23,4
114,2,3
115,4,1
116,1,7
117,2,1
118,4,1
119,1,7
120,23,6
121,2,1
122,23,2
123,3,7
124,1,7
125,1,1
126,19,4
127,5,6
128,3,1
129,6,7
130,5,1
131,1,6
132,19,7
133,4,3
134,1,7
135,0,4
136,2,1
137,15,5
138,23,5
139,1,4
140,22,7
141,3,7
142,0,7
143,3,3
144,1,7
145,99,1
146,3,7
147,5,7
148,3,7
149,5,4
150,0,5
151,2,1
152,23,5
153,2,7
154,3,1
155,22,6
156,20,7
157,4,7
158,23,5
159,3,6
160,1,6
161,7,1
162,5,7
163,0,1
164,22,2
165,23,5
166,6,1
167,2,1
168,1,6
169,19,6
170,1,4
171,19,3
172,2,7
173,23,1
174,1,7
175,4,1
176,3,7
177,15,7
178,1,5
179,20,7
180,5,1
181,19,3
182,0,1
183,99,3
184,4,7
185,0,7
186,3,1
187,1,6
188,3,2
189,3,7
190,2,6
191,21,5
192,17,6
193,2,2
194,4,1
195,6,7
196,0,6
197,23,6
198,22,7
199,18,3
200,3,7
201,12,7
202,21,1
203,3,1
204,3,6
205,23,6
206,23,5
207,2,1
208,1,1
209,18,1
210,3,7
211,0,6
212,23,7
213,4,2
214,2,1
215,12,4
216,4,1
217,12,7
218,19,1
219,23,5
220,2,1
221,12,2
222,22,6
223,21,6
224,12,6
225,1,6
226,2,7
227,19,2
228,0,1
229,0,1
230,4,1
231,5,7
232,2,7
233,3,6
234,1,4
235,21,6
236,23,5
237,6,1
238,2,7
239,2,6
240,4,7
241,6,7
242,0,7
243,2,7
244,4,1
245,4,1
246,23,5
247,0,1
248,1,7
249,22,6
250,23,6
251,6,7
252,5,1
253,2,7
254,11,3
255,3,1
256,3,1
257,1,7
258,23,3
259,2,1
260,1,1
261,1,7
262,23,5
263,1,4
264,3,1
265,3,3
266,3,1
267,14,7
268,12,5
269,1,7
270,2,6
271,2,5
272,14,3
273,4,7
274,21,2
275,19,6
276,2,7
277,4,6
278,21,4
279,22,6
280,2,1
281,22,4
282,13,6
283,1,3
284,2,7
285,23,3
286,23,2
287,1,7
288,3,6
289,7,1
290,1,4
291,1,5
292,18,3
293,5,3
294,3,1
295,2,7
296,19,1
297,7,7
298,2,7
299,2,4
300,7,7
301,0,1
302,2,5
303,23,1
304,21,6
305,16,1
306,5,1
307,0,1
308,3,2
309,4,7
310,2,2
311,7,1
312,2,1
313,0,7
314,3,7
315,7,1
316,23,7
317,6,7
318,21,7
319,22,6
320,2,1
321,2,1
322,6,6
323,6,1
324,3,7
325,10,7
326,23,6
327,1,7
328,20,5
329,2,7
330,5,7
331,22,6
332,23,6
333,0,1
334,23,2
335,1,2
336,2,4
337,1,6
338,6,1
339,22,7
340,4,1
341,23,1
342,22,2
343,0,7
344,23,5
345,3,6
346,2,7
347,3,7
348,3,6
349,0,4
350,23,4
351,19,1
352,2,3
353,18,1
354,20,7
355,18,2
356,21,6
357,12,4
358,5,1
359,23,1
360,1,4
361,2,3
362,2,2
363,3,1
364,13,6
365,2,5
366,2,5
367,13,5
368,3,7
369,2,7
370,2,6
371,1,7
372,8,3
373,14,2
374,23,5
375,16,5
376,19,7
377,23,2
378,0,2
379,21,5
380,15,1
381,21,5
382,9,3
383,17,6
384,3,5
385,22,7
386,2,1
387,7,7
388,1,1
389,6,7
390,23,3
391,19,3
392,0,1
393,4,1
394,20,2
395,23,2
396,2,7
397,5,7
398,1,2
399,3,7
400,3,7
401,5,7
402,6,7
403,6,1
404,5,2
405,0,5
406,1,1
407,99,7
408,1,7
409,21,7
410,22,2
411,3,1
412,1,2
413,19,4
414,23,7
415,1,1
416,22,1
417,2,7
418,21,2
419,0,1
420,22,4
421,0,5
422,99,1
423,1,1
424,2,2
425,7,2
426,3,7
427,3,7
428,21,6
429,5,7
430,1,6
431,20,5
432,23,6
433,17,1
434,22,6
435,1,6
436,4,5
437,22,6
438,1,1
439,20,3
440,0,6
441,19,2
442,1,1
443,1,5
444,19,5
445,21,7
446,23,4
447,23,6
448,0,1
449,18,6
450,1,2
451,1,1
452,4,7
453,16,1
454,18,3
455,1,1
456,1,6
457,17,7
458,2,7
459,22,1
460,22,3
461,20,3
462,1,1
463,18,1
464,99,7
465,19,7
466,7,7
467,1,5
468,17,2
469,21,2
470,2,7
471,13,2
472,0,5
473,2,7
474,99,7
475,15,6
476,2,7
477,2,7
478,17,7
479,5,7
480,20,3
481,18,4
482,8,7
483,23,7
484,3,1
485,4,1
486,9,1
487,21,1
488,0,1
489,0,1
490,2,2
491,19,4
492,22,1
493,3,1
494,1,6
495,1,4
496,1,1
497,2,7
498,2,7
499,2,1
500,0,2
501,6,1
502,22,1
503,99,1
504,1,2
505,23,4
506,2,1
507,18,1
508,23,7
509,18,2
510,22,5
511,3,7
512,19,7
513,23,7
514,20,1
515,15,5
516,2,7
517,99,2
518,1,4
519,21,1
520,2,7
521,21,4
