,acchr,dayofweek
0,7,2
1,17,1
2,18,7
3,18,7
4,18,7
5,1,4
6,2,7
7,7,6
8,11,6
9,6,2
10,8,2
11,8,2
12,6,1
13,10,1
14,18,3
15,18,3
16,17,7
17,9,7
18,5,6
19,16,2
20,11,6
21,17,7
22,12,2
23,18,3
24,8,2
25,11,3
26,17,2
27,13,3
28,19,7
29,12,1
30,9,7
31,4,5
32,16,7
33,11,4
34,0,1
35,10,5
36,12,4
37,16,3
38,9,5
39,10,6
40,20,6
41,7,4
42,15,6
43,12,1
44,12,2
45,15,3
46,11,4
47,10,2
48,13,4
49,7,4
50,12,6
51,6,6
52,6,6
53,16,6
54,9,4
55,1,4
56,5,2
57,7,4
58,14,4
59,10,2
60,15,6
61,4,6
62,12,1
63,18,7
64,1,1
65,11,4
66,12,4
67,21,5
68,14,6
69,18,7
70,9,3
71,9,3
72,16,5
73,13,5
74,16,7
75,9,7
76,16,2
77,11,5
78,15,3
79,5,3
80,9,6
81,12,6
82,7,6
83,10,7
84,15,7
85,4,5
86,9,5
87,15,1
88,15,6
89,6,6
90,10,3
91,10,3
92,2,4
93,13,6
94,16,1
95,20,6
96,20,6
97,6,4
98,15,3
99,15,4
100,7,1
101,20,7
102,19,7
103,15,6
104,20,7
105,6,5
106,8,4
107,11,4
108,10,7
109,16,2
110,19,2
111,19,2
112,22,2
113,23,3
114,17,4
115,15,6
116,17,6
117,7,7
118,12,7
119,8,4
120,4,6
121,15,2
122,16,2
123,14,3
124,8,6
125,10,6
126,14,7
127,18,2
128,11,3
129,19,1
130,20,7
131,12,4
132,5,7
133,18,7
134,22,3
135,10,7
136,12,7
137,14,3
138,14,5
139,18,5
140,8,5
141,15,5
142,0,1
143,14,3
144,0,7
145,12,2
146,14,4
147,18,5
148,9,2
149,20,5
150,17,3
151,10,6
152,11,5
153,6,6
154,9,6
155,12,1
156,11,2
157,18,4
158,14,4
159,21,1
160,5,5
161,9,5
162,8,2
163,11,1
164,0,3
165,1,6
166,9,4
167,14,4
168,18,1
169,15,3
170,17,3
171,15,3
172,4,5
173,10,1
174,14,1
175,9,2
176,20,2
177,16,1
178,8,4
179,11,4
180,14,2
181,12,3
182,17,3
183,23,4
184,15,5
185,99,1
186,11,3
187,18,3
188,13,2
189,10,4
190,11,2
191,1,3
192,22,5
193,17,2
194,15,3
195,11,4
196,3,7
197,20,1
198,5,2
199,15,6
200,22,5
201,5,7
202,9,2
203,11,2
204,13,6
205,8,7
206,16,3
207,21,7
208,17,1
209,17,6
210,1,6
211,9,2
212,11,2
213,14,4
214,0,5
215,17,6
216,19,1
217,15,7
218,9,4
219,14,1
220,12,6
221,15,7
222,18,1
223,9,2
224,12,3
225,11,4
226,18,4
227,5,2
228,14,4
229,4,1
230,16,1
231,1,2
232,13,3
233,16,5
234,13,6
235,13,1
236,21,3
237,5,6
238,14,3
239,11,6
240,0,4
241,17,6
242,16,6
243,17,2
244,14,3
245,23,2
246,19,7
247,12,1
248,14,6
249,16,7
250,20,7
251,15,1
252,8,4
253,9,1
254,7,4
255,15,7
256,10,7
257,15,4
258,16,2
259,14,2
260,14,4
261,13,5
262,4,6
263,16,6
264,8,1
265,3,2
266,9,2
267,15,3
268,12,5
269,14,6
270,22,7
271,10,4
272,11,6
273,11,7
274,7,1
275,20,6
276,5,6
277,16,7
278,14,3
279,20,4
280,9,1
281,0,2
282,20,2
283,23,7
284,1,1
285,4,1
286,15,3
287,7,3
288,3,5
289,15,7
290,0,4
291,11,2
292,10,2
293,11,3
294,9,7
295,14,7
296,16,4
297,11,5
298,7,1
299,11,2
300,7,6
301,17,3
302,6,2
303,11,2
304,12,2
305,13,6
306,16,2
307,10,6
308,12,2
309,12,2
310,13,7
311,6,2
312,12,7
313,16,5
314,8,6
315,17,4
316,7,2
317,14,3
318,1,6
319,19,6
320,14,3
321,19,6
322,12,2
323,0,6
324,17,6
325,15,4
326,6,6
327,15,2
328,13,5
329,16,4
330,12,7
331,15,2
332,10,6
333,10,5
334,21,6
335,3,6
336,15,4
337,2,1
338,20,7
339,23,2
340,11,3
341,14,5
342,19,2
343,7,3
344,10,1
345,7,4
346,7,3
347,9,5
348,13,5
349,20,3
350,20,7
351,15,1
352,14,3
353,14,3
354,14,5
355,20,6
356,12,2
357,9,5
358,5,2
359,9,4
360,9,4
361,14,1
362,5,5
363,5,5
364,20,6
365,14,5
366,9,1
367,9,1
368,16,4
369,6,4
370,2,7
371,7,6
372,16,6
373,11,1
374,16,1
375,21,3
376,12,3
377,8,6
378,15,2
379,12,3
380,9,4
381,17,4
382,16,3
383,13,3
384,21,3
385,5,4
386,19,5
387,5,6
388,14,2
389,13,2
390,9,6
391,0,2
392,19,5
393,22,4
394,12,1
395,22,4
396,11,2
397,18,5
398,18,6
399,16,6
400,10,1
401,20,6
402,12,5
403,16,7
404,13,5
405,7,3
406,20,3
407,8,5
408,11,5
409,20,7
410,13,3
411,8,2
412,10,6
413,1,2
414,16,4
415,18,2
416,19,2
417,8,2
418,21,2
419,22,7
420,5,3
421,13,7
422,18,7
423,10,4
424,21,2
425,2,1
426,12,5
427,12,4
428,16,3
429,14,6
430,9,6
431,6,4
432,19,7
433,19,6
434,12,3
435,2,4
436,17,4
437,15,4
438,8,7
439,16,6
440,7,2
441,13,4
442,15,5
443,17,7
444,17,6
445,20,5
446,13,7
447,16,3
448,20,3
449,11,3
450,19,2
451,2,4
452,16,2
453,11,5
454,16,4
455,12,1
456,21,5
457,22,2
458,19,3
459,20,3
460,12,2
461,15,6
462,18,1
463,22,5
464,15,2
465,7,5
466,10,3
467,18,1
468,17,6
469,12,7
470,21,3
471,23,7
472,13,2
473,14,4
474,18,3
475,18,3
476,16,4
477,20,5
478,15,1
479,13,6
480,16,2
481,9,3
482,12,5
483,13,6
484,14,6
485,12,3
486,12,3
487,16,5
488,17,6
489,8,2
490,20,4
491,14,6
492,15,4
493,13,4
494,10,3
495,9,7
496,12,2
497,6,5
498,6,5
499,3,6
500,10,6
501,9,2
502,15,3
503,10,6
504,11,3
505,20,7
506,15,1
507,14,1
508,23,2
509,15,1
510,20,2
511,15,1
512,6,5
513,16,6
514,6,2
515,10,3
516,11,5
517,9,6
518,15,2
519,14,6
520,11,2
521,4,3
522,21,6
523,20,1
524,15,4
525,14,1
526,5,6
527,22,4
528,5,4
529,12,7
530,17,3
531,14,7
532,12,6
533,5,6
534,11,6
535,10,2
536,11,2
537,16,5
538,16,5
539,12,7
540,11,7
541,23,6
542,14,2
543,10,5
544,11,7
545,22,4
546,20,7
547,18,3
548,7,3
549,18,7
550,11,3
551,16,1
552,6,3
553,7,6
554,21,7
555,14,7
556,14,7
557,9,2
558,13,4
559,15,4
560,17,2
561,13,2
562,1,5
563,17,2
564,9,3
565,16,4
566,11,2
567,23,3
568,4,1
569,20,3
570,14,7
571,11,4
572,23,2
573,10,1
574,20,7
575,13,5
576,17,2
577,17,2
578,14,6
579,8,5
580,10,5
581,16,7
582,20,1
583,16,5
584,20,6
585,19,3
586,19,5
587,13,4
588,19,6
589,9,2
590,0,1
591,16,4
592,6,5
593,21,2
594,18,3
595,7,3
596,13,3
597,7,5
598,14,7
599,13,6
600,14,6
601,7,6
602,7,6
603,22,6
604,14,6
605,17,5
606,5,6
607,11,4
608,14,6
609,7,2
610,6,2
611,17,1
612,4,5
613,14,6
614,12,3
615,9,6
616,15,3
617,19,6
618,12,6
619,13,6
620,6,5
621,6,5
622,13,3
623,16,4
624,9,1
625,18,3
626,5,4
627,16,4
628,12,5
629,12,4
630,8,6
631,10,3
632,14,4
633,20,1
634,21,2
635,8,1
636,16,1
637,18,7
638,8,1
639,18,4
640,15,1
641,13,5
642,20,6
643,21,6
644,17,3
645,17,6
646,13,7
647,22,4
648,14,6
649,3,1
650,6,6
651,20,1
652,10,3
653,18,5
654,15,5
655,17,6
656,18,1
657,17,4
658,15,6
659,12,5
660,9,3
661,11,2
662,15,3
663,15,3
664,10,2
665,15,4
666,7,2
667,13,3
668,16,7
669,13,7
670,7,2
671,12,4
672,14,7
673,12,1
674,14,1
675,14,1
676,15,1
677,8,3
678,4,4
679,17,2
680,18,4
681,5,6
682,17,6
683,16,3
684,6,1
685,21,7
686,10,2
687,16,3
688,16,3
689,9,5
690,8,6
691,13,1
692,7,2
693,4,6
694,15,7
695,23,1
696,7,2
697,8,4
698,17,6
699,12,3
700,14,7
701,8,2
702,10,6
703,20,5
704,16,3
705,14,3
706,20,3
707,12,7
708,2,1
709,7,5
710,15,2
711,10,4
712,10,6
713,14,3
714,3,1
715,8,1
716,10,6
717,22,7
718,21,2
719,14,2
720,17,6
721,16,7
722,14,4
723,14,4
724,6,3
725,9,7
726,9,7
727,16,2
728,16,2
729,15,6
730,19,3
731,16,5
732,4,5
733,12,5
734,21,6
735,16,3
736,16,3
737,15,2
738,12,4
739,15,4
740,9,4
741,18,1
742,12,5
743,16,5
744,15,6
745,10,2
746,12,4
747,18,7
748,9,5
749,5,2
750,10,3
751,13,7
752,10,4
753,12,7
754,9,3
755,19,7
756,23,5
757,16,2
758,11,7
759,9,4
760,2,6
761,6,6
762,16,4
763,15,7
764,6,4
765,16,3
766,11,5
767,0,1
768,8,4
769,9,2
770,15,3
771,0,2
772,19,1
773,13,3
774,8,5
775,0,7
776,16,5
777,8,2
778,15,3
779,7,7
780,17,5
781,14,4
782,13,7
783,5,2
784,11,3
785,22,6
786,11,4
787,13,1
788,15,1
789,6,2
790,20,7
791,18,1
792,15,2
793,7,2
794,11,7
795,16,2
796,14,4
797,15,5
798,15,7
799,19,2
800,6,5
801,9,3
802,15,4
803,12,2
804,13,2
805,14,7
806,8,6
807,8,2
808,8,7
809,13,6
810,7,2
811,16,6
812,7,7
813,14,2
814,11,6
815,5,2
816,23,6
817,14,2
818,18,2
819,10,2
820,10,2
821,10,6
822,4,7
823,10,4
824,19,3
825,13,2
826,13,1
827,14,6
828,16,2
829,16,5
830,13,3
831,11,7
832,14,2
833,14,2
834,19,5
835,19,5
836,17,5
837,5,3
838,21,2
839,10,6
840,12,2
841,13,4
842,10,5
843,21,7
844,16,6
845,17,1
846,16,7
847,11,4
848,14,6
849,14,6
850,10,2
851,17,6
852,18,4
853,23,7
854,3,7
855,11,7
856,11,4
857,11,4
858,12,2
859,4,4
860,10,5
861,15,6
862,16,1
863,21,4
864,11,4
865,18,7
866,14,2
867,12,5
868,13,6
869,10,7
870,0,1
871,19,5
872,13,3
873,13,2
874,5,3
875,0,6
876,15,3
877,13,6
878,0,2
879,12,7
880,17,7
881,23,5
882,11,6
883,8,2
884,6,7
885,12,6
886,13,7
887,3,7
888,13,3
889,13,3
890,5,5
891,18,4
892,15,6
893,6,4
894,16,3
895,15,2
896,16,7
897,3,1
898,14,1
899,13,1
900,6,3
901,11,6
902,21,7
903,12,7
904,11,4
905,14,2
906,9,4
907,20,3
908,5,1
909,2,1
910,14,3
911,6,4
912,13,7
913,13,2
914,14,7
915,15,6
916,8,4
917,12,3
918,6,6
919,6,5
920,9,7
921,13,7
922,6,7
923,17,7
924,15,5
925,99,6
926,15,7
927,14,4
928,7,7
929,19,4
930,9,7
931,15,3
932,12,2
933,12,2
934,14,5
935,18,3
936,10,4
937,18,6
938,19,7
939,18,1
940,5,5
941,12,5
942,20,6
943,21,1
944,12,4
945,20,3
946,12,2
947,10,2
948,9,1
949,15,6
950,0,5
951,2,6
952,11,4
953,13,2
954,16,1
955,11,2
956,14,5
957,19,7
958,4,4
959,13,2
960,21,4
961,16,4
962,12,3
963,12,3
964,6,2
965,19,2
966,0,4
967,20,7
968,11,5
969,2,1
970,11,3
971,9,5
972,9,6
973,18,4
974,19,6
975,7,6
976,12,5
977,14,7
978,17,6
979,21,5
980,12,7
981,11,7
982,23,4
983,18,7
984,13,2
985,8,1
986,17,3
987,6,6
988,11,7
989,16,1
990,17,4
991,17,4
992,11,6
993,6,5
994,22,3
995,13,5
996,19,2
997,20,6
998,13,1
999,13,6
1000,20,5
1001,15,3
1002,12,1
1003,5,7
1004,15,7
1005,16,7
1006,20,4
1007,9,4
1008,9,3
1009,16,7
1010,17,4
1011,13,2
1012,21,6
1013,12,4
1014,15,6
1015,14,7
1016,13,6
1017,4,3
1018,18,7
1019,11,4
1020,12,6
1021,11,2
1022,5,6
1023,17,6
1024,18,1
1025,6,3
1026,12,4
1027,14,6
1028,13,6
1029,16,2
1030,17,1
1031,9,3
