,acchr,dayofweek
0,17,1
1,7,2
2,17,1
3,18,7
4,1,4
5,7,6
6,6,2
7,8,2
8,18,3
9,18,3
10,17,7
11,9,7
12,16,2
13,0,4
14,11,6
15,17,7
16,12,2
17,8,2
18,11,3
19,17,2
20,99,4
21,22,1
22,19,7
23,12,1
24,9,7
25,4,5
26,11,4
27,0,1
28,18,7
29,21,5
30,12,4
31,16,3
32,9,5
33,10,6
34,20,6
35,7,4
36,15,6
37,12,1
38,12,2
39,18,6
40,15,3
41,21,5
42,10,2
43,18,4
44,6,3
45,13,4
46,7,4
47,16,4
48,12,6
49,6,6
50,6,6
51,9,4
52,1,4
53,9,1
54,7,4
55,14,4
56,15,6
57,4,6
58,12,1
59,18,7
60,20,5
61,1,1
62,14,3
63,11,4
64,21,5
65,14,6
66,23,3
67,18,7
68,9,3
69,9,3
70,13,5
71,16,7
72,9,7
73,16,2
74,11,5
75,15,3
76,9,6
77,10,7
78,15,7
79,4,5
80,9,5
81,15,1
82,8,7
83,15,6
84,6,6
85,10,3
86,10,3
87,2,4
88,7,4
89,13,6
90,16,1
91,20,6
92,20,6
93,6,4
94,15,3
95,15,4
96,7,1
97,9,5
98,19,7
99,6,5
100,5,3
101,8,4
102,11,4
103,0,2
104,0,1
105,16,2
106,19,2
107,19,2
108,23,3
109,17,4
110,17,6
111,7,7
112,12,7
113,8,4
114,4,6
115,15,2
116,16,2
117,23,3
118,10,6
119,10,5
120,9,1
121,18,2
122,21,2
123,11,3
124,19,1
125,20,7
126,12,4
127,5,7
128,18,7
129,22,3
130,12,7
131,19,3
132,14,3
133,18,3
134,14,5
135,18,5
136,5,6
137,8,5
138,15,5
139,21,6
140,14,3
141,12,7
142,0,7
143,12,2
144,14,4
145,18,5
146,7,6
147,9,2
148,20,5
149,7,1
150,17,3
151,10,6
152,7,4
153,11,5
154,3,6
155,6,6
156,9,6
157,13,6
158,21,7
159,7,4
160,14,4
161,21,1
162,5,5
163,9,5
164,8,2
165,13,2
166,11,1
167,9,4
168,13,5
169,14,4
170,18,1
171,15,3
172,2,6
173,7,3
174,4,5
175,10,1
176,10,1
177,9,2
178,20,2
179,8,4
180,7,4
181,11,4
182,12,3
183,17,3
184,2,3
185,23,4
186,15,5
187,15,5
188,11,3
189,18,3
190,13,2
191,10,4
192,11,2
193,1,3
194,22,5
195,20,2
196,11,4
197,3,7
198,23,7
199,5,2
200,22,5
201,5,7
202,9,2
203,9,4
204,11,2
205,13,6
206,10,4
207,21,4
208,9,2
209,23,4
210,5,6
211,3,3
212,16,3
213,17,1
214,0,6
215,6,5
216,11,2
217,14,4
218,0,5
219,17,6
220,6,7
221,19,1
222,9,4
223,14,1
224,15,7
225,18,1
226,9,2
227,12,3
228,18,4
229,12,3
230,11,5
231,5,2
232,4,1
233,13,3
234,13,1
235,21,3
236,14,3
237,0,4
238,17,6
239,16,6
240,17,2
241,14,3
242,21,1
243,23,2
244,23,4
245,2,7
246,12,1
247,8,6
248,4,3
249,20,7
250,20,7
251,15,1
252,5,5
253,15,2
254,11,4
255,9,1
256,21,2
257,15,7
258,10,7
259,7,5
260,15,4
261,5,5
262,16,2
263,21,6
264,14,2
265,13,5
266,4,6
267,8,1
268,3,2
269,9,2
270,15,3
271,14,6
272,22,7
273,11,7
274,7,1
275,19,2
276,19,6
277,19,4
278,5,6
279,16,7
280,14,3
281,20,4
282,9,1
283,5,2
284,6,5
285,3,3
286,21,4
287,13,5
288,0,2
289,20,2
290,23,7
291,1,1
292,4,1
293,15,3
294,11,4
295,14,6
296,18,6
297,7,3
298,11,6
299,15,7
300,0,4
301,10,2
302,9,7
303,14,7
304,9,2
305,16,4
306,16,6
307,19,4
308,19,7
309,1,7
310,11,3
311,11,5
312,7,1
313,9,1
314,11,2
315,21,5
316,17,3
317,9,7
318,21,3
319,11,1
320,12,2
321,13,6
322,16,2
323,10,6
324,12,2
325,12,2
326,11,5
327,16,6
328,6,2
329,12,7
330,16,5
331,8,6
332,17,4
333,7,2
334,14,3
335,1,6
336,19,6
337,19,6
338,0,6
339,12,4
340,17,6
341,15,4
342,6,6
343,15,2
344,13,5
345,16,4
346,12,7
347,15,2
348,10,6
349,10,5
350,21,6
351,3,6
352,15,4
353,2,1
354,23,2
355,12,2
356,11,3
357,18,6
358,14,5
359,10,6
360,10,1
361,22,3
362,7,4
363,7,3
364,9,5
365,13,5
366,20,3
367,9,6
368,20,7
369,9,1
370,15,1
371,14,3
372,14,3
373,10,3
374,14,5
375,20,6
376,12,2
377,9,5
378,12,2
379,7,4
380,20,1
381,5,2
382,20,1
383,9,4
384,7,5
385,14,1
386,5,5
387,5,5
388,20,6
389,14,5
390,9,1
391,9,1
392,6,2
393,6,4
394,2,7
395,11,1
396,16,1
397,21,3
398,12,3
399,0,2
400,18,1
401,18,4
402,12,3
403,9,4
404,17,4
405,13,3
406,21,3
407,19,5
408,5,6
409,14,2
410,9,4
411,13,2
412,0,2
413,16,7
414,19,5
415,20,3
416,19,6
417,22,4
418,18,2
419,12,1
420,9,5
421,22,4
422,21,6
423,18,5
424,11,2
425,18,5
426,18,6
427,16,6
428,10,1
429,20,6
430,13,5
431,7,3
432,20,3
433,8,5
434,11,5
435,13,3
436,8,2
437,10,6
438,16,4
439,18,2
440,19,2
441,8,2
442,21,2
443,22,7
444,5,3
445,10,4
446,21,2
447,2,1
448,14,4
449,14,6
450,9,6
451,6,4
452,19,6
453,12,3
454,2,4
455,17,4
456,15,4
457,16,6
458,19,2
459,13,4
460,15,5
461,17,7
462,20,5
463,13,7
464,16,3
465,20,3
466,11,3
467,2,4
468,16,2
469,11,5
470,16,4
471,12,1
472,21,5
473,22,2
474,19,3
475,20,3
476,20,3
477,12,2
478,15,2
479,15,6
480,14,1
481,18,1
482,22,5
483,0,2
484,5,5
485,15,2
486,7,5
487,10,3
488,18,1
489,19,6
490,13,2
491,12,7
492,21,3
493,23,7
494,13,2
495,18,3
496,18,3
497,16,4
498,20,5
499,18,2
500,14,4
501,15,1
502,16,2
503,9,3
504,12,5
505,20,6
506,13,6
507,14,1
508,14,6
509,12,3
510,12,3
511,16,5
512,17,6
513,20,4
514,14,6
515,18,2
516,15,4
517,13,4
518,10,3
519,9,7
520,6,5
521,3,6
522,18,4
523,13,5
524,10,6
525,9,2
526,15,3
527,9,3
528,11,3
529,20,7
530,15,1
531,23,2
532,15,1
533,8,2
534,15,1
535,6,5
536,16,6
537,6,2
538,10,3
539,12,2
540,11,5
541,9,6
542,15,2
543,14,6
544,11,2
545,4,3
546,21,6
547,15,4
548,5,6
549,5,4
550,12,7
551,12,6
552,5,6
553,11,6
554,11,2
555,16,5
556,8,3
557,11,7
558,18,2
559,10,5
560,11,7
561,22,4
562,20,7
563,18,3
564,18,3
565,7,3
566,18,7
567,16,1
568,6,3
569,7,6
570,14,7
571,14,7
572,5,6
573,11,3
574,21,4
575,9,2
576,22,6
577,15,4
578,17,2
579,1,5
580,9,3
581,16,4
582,20,3
583,11,4
584,23,2
585,10,1
586,20,7
587,17,2
588,17,2
589,14,6
590,8,5
591,16,7
592,20,1
593,16,5
594,13,4
595,9,2
596,16,4
597,18,3
598,7,3
599,13,3
600,7,5
601,14,7
602,13,6
603,14,6
604,7,6
605,22,6
606,14,6
607,17,5
608,14,6
609,15,4
610,7,2
611,17,1
612,4,5
613,14,6
614,19,6
615,12,6
616,6,5
617,13,3
618,15,4
619,16,4
620,18,3
621,5,4
622,16,4
623,12,5
624,12,4
625,21,6
626,20,1
627,21,2
628,8,1
629,16,1
630,18,7
631,8,1
632,18,4
633,15,6
634,15,1
635,13,5
636,22,3
637,20,6
638,21,6
639,17,6
640,22,4
641,6,6
642,20,1
643,18,5
644,15,5
645,6,1
646,17,6
647,18,1
648,17,4
649,9,6
650,11,2
651,15,3
652,15,3
653,10,2
654,15,4
655,7,2
656,13,3
657,16,7
658,7,2
659,20,3
660,12,4
661,12,1
662,14,1
663,14,1
664,15,1
665,4,4
666,17,2
667,18,4
668,5,6
669,16,3
670,6,1
671,21,7
672,10,2
673,16,3
674,4,6
675,23,1
676,7,2
677,8,4
678,17,6
679,12,3
680,14,7
681,8,2
682,10,6
683,20,5
684,14,3
685,20,3
686,12,7
687,2,1
688,7,5
689,15,2
690,10,4
691,14,3
692,3,1
693,22,7
694,20,7
695,21,2
696,14,4
697,14,4
698,9,7
699,16,2
700,16,2
701,15,6
702,16,5
703,4,5
704,12,5
705,21,6
706,16,3
707,12,4
708,15,4
709,9,4
710,18,1
711,12,5
712,16,5
713,10,2
714,12,4
715,18,7
716,9,5
717,5,2
718,10,3
719,11,6
720,13,7
721,9,4
722,14,6
723,10,4
724,12,7
725,9,3
726,19,7
727,16,2
728,11,7
729,17,3
730,20,2
731,7,7
732,9,4
733,2,6
734,16,4
735,15,7
736,6,4
737,16,3
738,0,1
739,8,4
740,9,2
741,15,3
742,0,2
743,19,1
744,13,3
745,8,5
746,0,7
747,8,2
748,15,3
749,18,3
750,17,5
751,14,4
752,5,2
753,11,3
754,18,5
755,22,6
756,13,1
757,15,1
758,6,2
759,20,7
760,15,2
761,7,2
762,11,7
763,16,2
764,14,4
765,15,5
766,15,7
767,19,2
768,6,5
769,15,4
770,12,2
771,14,7
772,20,7
773,21,6
774,8,7
775,9,3
776,6,6
777,7,7
778,10,7
779,14,2
780,11,6
781,5,2
782,18,2
783,10,2
784,10,2
785,4,7
786,10,4
787,19,3
788,19,3
789,20,7
790,13,2
791,13,1
792,16,5
793,13,3
794,14,2
795,14,2
796,19,5
797,17,5
798,10,2
799,5,3
800,21,2
801,12,2
802,13,4
803,21,7
804,17,1
805,11,4
806,14,6
807,14,6
808,10,2
809,17,6
810,13,1
811,18,4
812,23,7
813,3,7
814,11,7
815,11,4
816,11,4
817,10,5
818,15,6
819,16,1
820,21,4
821,11,4
822,13,6
823,10,7
824,0,1
825,19,5
826,10,3
827,13,3
828,13,2
829,5,3
830,15,3
831,13,6
832,0,2
833,12,7
834,17,7
835,23,5
836,8,2
837,12,6
838,13,7
839,3,7
840,13,3
841,5,5
842,18,4
843,6,4
844,6,4
845,16,3
846,16,7
847,3,1
848,14,1
849,13,1
850,6,3
851,11,6
852,21,7
853,12,7
854,11,4
855,14,2
856,20,3
857,5,1
858,2,1
859,14,3
860,6,4
861,13,7
862,13,2
863,23,7
864,16,2
865,14,7
866,8,4
867,6,5
868,9,7
869,13,7
870,6,7
871,17,7
872,15,5
873,99,6
874,15,7
875,14,4
876,7,7
877,19,4
878,9,7
879,18,6
880,15,3
881,12,2
882,14,5
883,11,6
884,18,3
885,10,4
886,18,6
887,19,7
888,18,1
889,5,5
890,12,5
891,20,6
892,21,1
893,12,4
894,20,3
895,12,2
896,10,2
897,9,1
898,0,5
899,2,6
900,11,4
901,13,2
902,16,1
903,14,5
904,4,4
905,13,2
906,21,4
907,16,4
908,12,3
909,6,2
910,20,7
911,11,5
912,2,1
913,11,3
914,9,5
915,9,6
916,18,4
