,acchr,dayofweek
0,15,3
1,6,4
2,0,2
3,0,1
4,21,5
5,18,7
6,22,1
7,23,6
8,2,7
9,3,7
10,2,7
11,23,7
12,2,1
13,19,7
14,1,2
15,1,7
16,12,6
17,8,7
18,22,4
19,6,1
20,0,1
21,1,2
22,13,4
23,20,1
24,3,7
25,0,1
26,0,1
27,4,1
28,4,7
29,4,2
30,3,1
31,2,1
32,5,6
33,2,7
34,7,7
35,2,1
36,11,1
37,2,7
38,4,1
39,1,6
40,2,1
41,21,7
42,23,6
43,19,6
44,4,7
45,7,5
46,4,6
47,0,7
48,2,7
49,4,7
50,23,3
51,3,1
52,20,7
53,2,1
54,16,7
55,1,7
56,2,3
57,0,7
58,2,6
59,2,7
60,0,7
61,23,4
62,2,3
63,1,7
64,2,1
65,1,7
66,23,6
67,2,1
68,1,1
69,5,6
70,1,6
71,19,7
72,1,7
73,0,4
74,15,5
75,23,5
76,1,4
77,22,7
78,3,7
79,3,3
80,1,7
81,99,1
82,3,7
83,5,7
84,3,7
85,2,7
86,3,1
87,20,7
88,4,7
89,23,5
90,1,6
91,7,1
92,5,7
93,22,2
94,23,5
95,19,6
96,1,4
97,23,1
98,1,7
99,3,7
100,1,5
101,20,7
102,5,1
103,19,3
104,99,3
105,4,7
106,0,7
107,3,1
108,3,2
109,21,5
110,17,6
111,6,7
112,3,7
113,12,7
114,3,6
115,2,1
116,18,1
117,3,7
118,23,7
119,4,2
120,2,1
121,4,1
122,22,6
123,12,6
124,1,6
125,5,7
126,3,6
127,1,4
128,23,5
129,6,1
130,2,7
131,4,7
132,6,7
133,0,7
134,2,7
135,4,1
136,23,5
137,0,1
138,5,1
139,11,3
140,1,7
141,23,3
142,2,1
143,1,1
144,1,7
145,23,5
146,1,4
147,3,1
148,3,3
149,12,5
150,2,6
151,14,3
152,4,7
153,21,4
154,22,6
155,2,1
156,22,4
157,23,3
158,23,2
159,3,6
160,7,1
161,3,1
162,2,7
163,19,1
164,2,7
165,0,1
166,21,6
167,16,1
168,0,1
169,3,2
170,2,1
171,0,7
172,3,7
173,7,1
174,23,7
175,6,6
176,3,7
177,20,5
178,5,7
179,22,6
180,0,1
181,1,2
182,2,4
183,6,1
184,4,1
185,23,1
186,23,5
187,3,6
188,2,7
189,3,7
190,3,6
191,23,4
192,18,1
193,18,2
194,21,6
195,5,1
196,2,3
197,3,1
198,13,6
199,13,5
200,2,7
201,14,2
202,23,5
203,16,5
204,19,7
205,21,5
206,15,1
207,9,3
208,17,6
209,2,1
210,7,7
211,1,1
212,6,7
213,23,3
214,19,3
215,4,1
216,23,2
217,2,7
218,1,2
219,3,7
220,5,7
221,6,1
222,5,2
223,0,5
224,1,1
225,99,7
226,1,7
227,21,7
228,22,2
229,3,1
230,1,2
231,23,7
232,2,7
233,21,2
234,22,4
235,99,1
236,2,2
237,7,2
238,3,7
239,3,7
240,21,6
241,20,5
242,23,6
243,17,1
244,22,6
245,1,6
246,4,5
247,1,1
248,20,3
249,19,2
250,1,1
251,1,5
252,19,5
253,23,4
254,23,6
255,0,1
256,18,6
257,1,1
258,16,1
259,18,3
260,17,7
261,99,7
262,19,7
263,7,7
264,1,5
265,17,2
266,21,2
267,13,2
268,15,6
269,17,7
270,5,7
271,18,4
272,8,7
273,23,7
274,3,1
275,4,1
276,9,1
277,21,1
278,0,1
279,2,2
280,19,4
281,3,1
282,1,6
283,1,1
284,2,7
285,2,1
286,6,1
287,22,1
288,99,1
289,1,2
290,23,4
291,18,1
292,23,7
293,18,2
294,22,5
295,19,7
296,20,1
297,15,5
298,99,2
299,2,7
300,2,7
301,21,1
302,21,2
303,21,7
304,2,1
305,3,6
306,99,4
307,18,4
308,20,6
309,23,7
310,15,1
311,0,4
312,3,5
313,3,5
314,23,7
315,15,1
316,19,1
317,2,1
318,2,6
319,18,5
320,15,5
321,3,7
322,1,6
323,5,2
324,1,1
325,23,5
326,1,6
327,22,3
328,3,6
329,3,6
330,4,1
331,1,7
332,17,4
333,1,2
334,10,2
335,2,7
336,4,1
337,2,5
338,1,6
339,2,7
340,21,2
341,2,5
342,20,6
343,23,3
344,0,3
345,21,2
346,0,1
347,0,7
348,0,2
349,0,2
350,4,7
351,3,7
352,2,6
353,20,4
354,0,7
355,2,1
356,22,4
357,17,6
358,1,2
359,7,6
360,0,7
361,2,4
362,5,7
363,23,5
364,3,7
365,1,1
366,4,1
367,20,4
368,21,1
369,7,4
370,3,7
371,3,7
372,20,5
373,17,2
374,19,4
375,0,1
376,19,2
377,3,1
378,0,1
379,22,5
380,0,1
381,21,1
382,23,7
383,19,7
384,23,5
385,10,1
386,16,7
387,21,2
388,12,1
389,17,7
390,18,5
391,3,1
392,2,7
393,18,2
394,23,6
395,2,2
396,16,1
397,10,4
398,0,5
399,1,1
400,20,3
401,4,1
402,11,1
403,5,5
404,9,4
405,2,5
406,4,2
407,23,6
408,2,6
409,4,3
410,3,7
411,2,1
412,2,1
413,2,1
414,5,7
415,2,7
416,3,6
417,2,3
418,6,1
419,0,7
420,2,2
421,2,6
422,2,1
423,21,4
424,4,1
425,6,2
426,15,4
427,3,4
428,23,5
429,18,7
430,2,5
431,20,6
432,2,6
433,0,1
434,2,3
435,23,3
436,2,3
437,21,4
438,2,7
439,11,1
440,23,6
441,22,1
442,15,3
443,17,7
444,3,7
445,23,6
446,3,5
447,0,7
448,17,6
449,0,2
450,23,7
451,1,3
452,15,5
453,2,1
454,0,6
455,1,6
456,1,5
457,2,7
458,1,1
459,1,1
460,1,7
461,23,7
462,1,1
463,2,1
464,1,6
465,1,4
466,22,3
467,11,2
468,1,1
469,1,6
470,9,7
471,20,7
472,19,1
473,23,3
474,1,1
475,4,7
476,21,5
477,2,6
478,16,3
479,3,7
480,1,6
481,3,7
482,20,5
483,2,4
484,22,7
485,18,5
486,18,7
487,20,2
488,13,1
489,12,5
490,20,3
491,3,1
492,2,1
493,2,6
494,22,7
495,2,7
496,16,7
497,1,6
498,15,6
499,3,6
500,6,1
501,23,7
502,4,2
503,3,7
504,3,7
505,3,4
506,2,6
507,16,1
508,23,6
509,3,2
510,5,1
511,0,2
512,2,7
513,2,1
514,5,4
515,0,5
516,23,3
517,3,7
518,0,3
519,20,3
520,3,7
521,0,7
522,2,6
523,1,1
524,19,7
525,5,6
526,19,7
527,19,7
528,2,5
529,2,1
530,6,7
531,3,1
532,6,7
533,0,7
534,1,5
535,0,6
536,21,6
537,21,1
538,23,1
539,17,7
540,23,7
541,0,5
542,0,4
543,1,1
544,2,6
545,0,7
546,12,5
547,4,5
548,1,1
549,6,3
550,2,7
551,9,2
552,19,5
553,3,4
554,3,7
555,22,2
556,6,6
557,2,6
558,18,7
559,21,4
560,1,1
561,2,1
562,4,1
563,12,3
564,21,6
565,2,2
566,1,1
567,0,6
568,5,5
569,7,6
570,2,7
571,7,7
572,2,4
573,2,2
574,23,4
575,2,7
576,20,7
577,20,3
578,1,7
579,4,7
580,12,2
581,7,1
582,5,1
583,13,1
584,17,7
585,1,7
586,4,6
587,4,1
588,15,1
589,1,6
590,1,7
591,0,2
592,14,1
593,20,2
594,4,1
595,20,2
596,2,7
597,23,7
598,2,7
599,0,7
600,0,1
601,23,6
602,22,6
603,22,7
604,99,1
605,21,6
606,12,5
607,1,2
608,1,3
609,14,5
610,2,5
611,21,4
612,21,7
613,16,7
614,20,1
615,0,7
616,4,1
617,1,2
618,17,2
619,2,1
620,22,1
621,0,7
622,1,1
623,19,3
624,20,7
625,22,7
626,22,1
627,2,4
628,4,7
629,14,6
630,23,6
631,6,1
632,2,2
633,5,7
634,21,7
635,6,7
636,4,5
637,23,5
638,21,6
639,19,7
640,1,1
641,20,4
642,8,2
643,2,1
644,2,7
645,23,1
646,3,5
647,2,7
648,3,1
649,2,7
650,1,7
651,1,1
652,1,4
653,2,1
654,0,4
655,3,1
656,22,1
657,2,7
658,22,1
659,8,1
660,2,6
661,16,7
662,20,5
663,2,7
664,6,7
665,2,1
666,4,1
667,4,7
668,1,1
669,3,6
