,acchr,dayofweek
0,8,2
1,19,6
2,0,4
3,5,6
4,15,3
5,9,3
6,14,3
7,2,5
8,15,7
9,6,6
10,7,2
11,15,3
12,3,6
13,15,1
14,14,7
15,10,1
16,2,2
17,17,1
18,19,1
19,15,6
20,2,6
21,2,7
22,0,7
23,22,5
24,23,2
25,18,1
26,21,1
27,18,1
28,18,7
29,6,3
30,0,5
31,10,3
32,14,3
33,1,7
34,13,6
35,2,7
36,22,7
37,1,1
38,8,5
39,9,5
40,18,4
41,12,7
42,13,1
43,18,1
44,21,2
45,22,2
46,15,4
47,16,6
48,0,3
49,16,4
50,0,1
51,18,7
52,12,5
53,10,7
54,21,5
55,18,1
56,2,5
57,23,2
58,16,3
59,17,5
60,13,7
61,7,6
62,22,4
63,22,3
64,8,2
65,16,5
66,1,7
67,19,5
68,15,1
69,20,3
70,21,6
71,17,5
72,21,6
73,13,4
74,14,1
75,4,6
76,13,1
77,2,6
78,14,1
79,21,3
80,11,3
81,21,2
82,0,5
83,15,4
84,12,5
85,21,2
86,16,4
87,22,4
88,19,3
89,1,7
90,11,4
91,23,2
92,15,2
93,0,7
94,15,4
95,12,7
96,22,3
97,11,3
98,6,5
99,11,7
100,0,7
101,12,1
102,15,6
103,18,4
104,21,5
105,22,1
106,14,2
107,21,1
108,6,5
109,7,2
110,1,1
111,10,6
112,14,3
113,17,5
114,2,6
115,20,1
116,23,7
117,0,7
118,15,6
119,19,2
120,17,6
121,17,6
122,20,7
123,9,1
124,11,7
125,16,1
126,19,1
127,17,4
128,16,4
129,14,3
130,8,2
131,1,1
132,12,2
133,17,5
134,17,6
135,12,6
136,16,2
137,21,6
138,8,4
139,16,3
140,19,1
141,21,2
142,1,6
143,4,3
144,22,7
145,18,7
146,6,2
147,16,3
148,2,5
149,17,2
150,5,1
151,20,5
152,10,5
153,1,5
154,6,4
155,5,4
156,14,3
157,10,7
158,18,5
159,21,2
160,13,7
161,20,4
162,2,7
163,4,3
164,9,6
165,22,7
166,23,7
167,16,5
168,18,6
169,8,7
170,20,1
171,10,5
172,6,3
173,20,1
174,21,4
175,20,1
176,18,7
177,3,7
178,14,2
179,17,6
180,15,6
