,acchr,dayofweek
0,8,3
1,21,5
2,7,5
3,18,1
4,17,1
5,20,7
6,19,5
7,9,1
8,18,1
9,21,4
10,20,2
11,21,5
12,15,2
13,16,2
14,18,5
15,21,1
16,15,4
17,20,1
18,11,4
19,16,2
20,20,6
21,20,2
22,17,1
23,12,2
24,18,1
25,12,7
26,14,4
27,18,4
28,14,7
29,11,5
30,14,1
31,6,3
32,13,2
33,14,7
34,22,6
35,12,7
36,16,1
37,17,4
38,20,6
39,20,5
40,16,4
41,16,6
42,21,2
43,14,7
44,14,6
45,18,7
46,0,1
47,20,1
48,14,6
49,15,2
50,23,6
51,20,7
52,16,1
53,13,7
54,6,2
55,23,5
56,13,6
57,12,4
58,13,7
59,9,5
60,19,5
61,13,1
62,7,5
63,15,7
64,0,1
65,22,5
66,21,5
67,21,6
68,21,5
69,22,7
70,22,7
71,7,2
72,9,7
73,1,7
74,6,2
75,18,4
76,2,1
77,17,3
78,16,4
79,12,7
80,16,4
81,15,3
82,11,2
83,19,6
84,23,2
85,21,2
86,21,6
87,20,2
88,19,3
89,17,7
90,1,7
91,7,3
92,18,7
93,9,1
94,15,6
95,14,6
96,16,7
97,20,2
98,22,6
99,17,6
100,15,4
101,11,7
102,13,7
103,17,3
104,21,7
105,5,7
106,20,2
107,16,5
108,4,3
109,22,4
110,15,2
111,15,1
112,16,4
113,15,2
114,20,1
115,5,4
116,13,3
117,14,5
118,19,1
119,19,4
120,19,4
121,6,2
122,1,2
123,19,5
124,17,4
125,10,2
126,13,7
127,21,2
128,0,3
129,19,2
130,5,7
131,15,5
132,18,5
133,19,1
134,16,7
135,11,4
136,14,5
137,12,5
138,21,2
139,10,2
140,18,6
141,0,5
142,1,7
143,9,1
144,22,7
145,15,3
146,15,1
147,7,6
148,16,6
149,19,6
150,20,6
151,4,3
152,9,4
153,18,7
154,15,2
155,21,5
156,19,2
157,14,3
158,11,6
159,20,7
160,5,4
161,21,4
162,15,6
163,14,2
164,17,6
165,17,6
166,20,7
167,18,3
168,14,3
169,18,3
170,22,4
171,20,4
172,15,5
173,21,6
174,19,2
175,7,4
176,15,1
177,17,6
178,9,6
179,7,7
180,19,6
181,0,3
182,19,6
183,21,1
184,13,1
185,12,3
186,7,4
187,17,2
188,11,7
189,13,4
190,17,7
191,17,7
192,16,5
193,15,5
194,23,3
195,1,5
196,14,4
197,17,7
198,23,7
199,17,4
200,16,4
201,16,6
202,11,7
203,9,6
204,13,4
205,19,5
206,19,5
207,22,1
208,13,6
209,14,4
210,8,2
211,19,3
212,20,3
213,18,6
214,16,6
215,17,2
216,10,4
217,10,4
218,7,3
219,20,2
220,17,2
221,22,7
222,21,2
223,9,4
224,13,3
225,14,4
226,20,7
227,16,7
228,17,2
229,5,7
230,1,4
231,15,7
232,22,4
233,19,1
234,18,1
235,18,2
236,3,5
237,7,5
238,14,1
239,23,6
240,8,5
241,18,4
242,3,7
243,15,6
244,17,3
245,7,1
246,12,4
247,2,1
248,2,7
249,11,6
250,11,6
251,11,3
252,14,7
253,18,4
254,19,3
255,0,7
256,12,6
257,17,1
258,8,6
259,15,4
260,14,7
261,17,1
262,7,5
263,18,3
264,15,7
265,19,7
266,11,3
267,17,6
268,21,6
269,17,6
270,9,7
271,18,6
272,12,2
273,19,7
274,21,7
275,14,2
276,19,2
277,17,3
278,16,1
279,22,7
280,23,7
281,0,7
282,1,7
283,7,3
284,21,2
285,15,4
286,22,3
287,21,4
288,7,7
289,20,6
290,19,4
291,16,2
292,16,1
293,21,2
294,18,2
295,99,1
296,20,2
297,20,3
298,21,2
299,16,3
300,5,3
301,21,7
302,22,6
303,19,2
304,15,3
305,12,3
306,17,2
307,23,1
308,22,2
309,22,6
310,1,2
311,5,4
312,13,2
313,20,6
314,17,2
315,13,3
316,99,2
317,15,7
318,11,2
319,19,3
320,19,3
321,23,6
322,13,4
323,20,7
324,13,4
325,15,6
326,16,1
327,19,2
328,3,7
329,7,6
330,13,4
331,19,3
332,21,6
333,18,3
334,2,4
335,2,4
336,5,7
337,9,2
338,18,3
339,12,3
340,6,6
341,18,7
342,15,2
343,18,7
344,14,1
345,6,4
346,16,5
347,17,3
348,21,3
349,12,1
350,14,2
351,16,4
352,23,3
353,0,7
354,15,7
355,13,1
356,20,5
357,19,6
358,4,1
359,16,3
360,99,1
361,23,7
362,7,3
363,2,7
364,4,6
365,16,3
366,8,6
367,7,4
368,16,4
369,10,7
370,14,4
371,14,7
372,21,2
373,0,3
374,8,5
375,17,3
376,18,5
377,2,7
378,19,7
379,7,2
380,18,6
381,18,4
382,21,4
383,14,3
384,99,3
385,13,5
386,10,2
387,16,4
388,18,7
389,9,1
390,7,3
391,21,3
392,17,1
393,22,1
394,19,1
395,13,6
396,15,6
397,1,1
398,13,6
399,0,3
400,5,5
401,17,3
402,15,3
403,7,3
404,15,6
405,20,3
406,19,2
407,17,5
408,23,7
409,16,7
410,16,3
411,20,7
412,21,2
413,10,1
414,17,3
415,4,3
416,18,1
417,17,4
418,15,1
419,22,7
420,21,7
421,13,3
422,1,5
423,3,4
424,14,6
425,20,4
426,9,2
427,22,6
428,20,3
429,8,4
430,19,4
431,11,4
432,16,3
433,22,6
434,16,4
435,17,3
436,16,1
437,5,6
438,22,1
439,23,7
440,19,1
441,15,1
442,16,4
443,22,5
444,99,4
445,1,7
446,20,2
447,23,5
448,18,4
449,9,3
450,15,4
451,22,6
452,1,3
453,13,5
454,20,2
455,12,2
456,13,5
457,17,1
458,8,3
459,15,6
460,14,6
461,20,6
462,21,6
463,0,2
464,15,3
465,21,2
466,17,5
467,16,2
468,14,5
469,1,1
470,15,1
471,13,6
472,22,3
473,12,6
474,16,6
475,22,5
476,10,6
477,22,4
478,11,1
479,17,3
480,13,7
481,17,3
482,23,4
483,1,3
484,13,7
485,1,6
486,18,5
487,17,3
488,16,5
489,21,3
490,9,7
491,14,4
492,20,7
493,0,1
494,1,4
495,23,7
496,13,3
497,18,7
498,20,4
499,13,4
500,10,6
501,22,4
502,21,4
503,7,6
504,19,4
505,18,5
506,6,3
507,13,2
508,18,3
509,19,7
510,20,6
511,7,6
512,6,5
513,19,6
514,21,5
515,7,2
516,19,5
517,1,1
518,21,4
519,20,1
520,15,4
521,19,6
522,20,5
523,10,2
524,12,1
525,7,4
526,15,4
527,18,1
528,18,2
529,18,2
530,15,2
531,17,6
532,13,3
533,5,5
534,12,5
535,7,4
536,12,7
537,17,3
538,16,2
539,21,6
540,20,2
541,22,3
542,18,2
543,20,2
544,18,1
545,8,2
546,20,4
547,21,6
548,15,1
549,13,6
550,20,5
551,13,1
552,18,7
553,2,5
554,13,1
555,15,4
556,22,6
557,18,7
558,17,4
559,21,5
560,15,3
561,19,6
562,15,2
563,19,4
564,3,2
565,1,1
566,12,7
567,20,2
568,14,3
569,0,4
570,23,3
571,17,3
572,14,3
573,14,6
574,2,7
575,18,7
576,18,3
577,19,2
578,21,1
579,15,7
580,15,2
581,23,2
582,11,2
583,14,1
584,17,5
585,13,5
586,21,2
587,15,4
588,19,4
589,21,3
590,20,5
591,13,5
592,20,7
593,21,6
594,0,3
595,16,7
596,18,2
597,21,2
598,21,2
599,7,4
600,2,5
601,16,6
602,16,4
603,21,2
604,22,7
605,14,6
606,17,2
607,19,6
608,21,6
609,12,1
610,19,7
611,23,7
612,19,5
613,9,4
614,20,4
615,22,5
616,12,1
617,19,1
618,19,6
619,21,6
620,22,3
621,20,7
622,14,3
623,20,4
624,17,1
625,2,7
626,23,1
627,17,2
628,20,7
629,8,1
630,18,5
631,20,5
632,20,7
633,20,5
634,20,5
635,7,3
636,11,7
637,20,1
638,1,2
639,12,6
640,20,5
641,8,1
642,20,6
643,14,3
644,22,1
645,19,2
646,16,4
647,23,5
648,19,7
649,0,7
