,acchr,dayofweek
0,17,2
1,10,7
2,14,4
3,13,7
4,19,5
5,8,6
6,11,4
7,8,4
8,8,4
9,0,1
10,13,2
11,17,2
12,20,7
13,23,3
14,16,2
15,9,7
16,16,1
17,20,7
18,17,1
19,14,1
20,12,5
21,16,2
22,18,4
23,13,2
24,14,7
25,6,1
26,7,2
27,9,7
28,23,2
29,20,7
30,13,2
31,17,2
32,20,2
33,16,4
34,17,3
35,16,5
36,13,7
37,10,6
38,7,4
39,18,7
40,15,2
41,23,6
42,16,1
43,13,7
44,9,5
45,15,7
46,22,5
47,21,5
48,9,3
49,16,5
50,9,7
51,16,4
52,12,7
53,6,6
54,14,6
55,16,4
56,15,3
57,16,5
58,15,1
59,14,7
60,10,1
61,2,2
62,2,2
63,11,2
64,12,6
65,4,1
66,0,7
67,22,5
68,18,7
69,17,3
70,6,3
71,0,5
72,11,4
73,10,3
74,1,7
75,19,5
76,4,2
77,13,6
78,22,7
79,0,7
80,18,4
81,18,4
82,8,5
83,22,6
84,17,6
85,15,4
86,22,7
87,11,7
88,17,3
89,22,2
90,19,6
91,15,1
92,15,4
93,12,1
94,19,6
95,16,6
96,15,2
97,0,3
98,7,4
99,15,7
100,15,7
101,19,1
102,0,1
103,23,6
104,14,3
105,10,7
106,21,5
107,10,2
108,18,7
109,22,6
110,21,2
111,7,6
112,22,4
113,8,2
114,5,7
115,15,5
116,18,5
117,19,1
118,14,5
119,20,7
120,10,2
121,9,1
122,7,5
123,1,7
124,15,1
125,7,6
126,20,6
127,4,3
128,9,4
129,15,2
130,15,1
131,20,3
132,17,5
133,21,6
134,14,1
135,13,1
136,2,6
137,14,1
138,21,5
139,19,2
140,21,3
141,21,4
142,15,6
143,17,6
144,20,7
145,18,3
146,15,4
147,16,4
148,18,7
149,13,2
150,11,4
151,7,6
152,15,1
153,17,6
154,9,6
155,19,6
156,0,3
157,21,1
158,13,1
159,12,3
160,17,2
161,17,7
162,17,7
163,16,5
164,15,5
165,14,4
166,17,7
167,13,1
168,6,5
169,11,7
170,16,6
171,11,7
172,14,5
173,13,2
174,12,1
175,13,1
176,15,6
177,15,6
178,18,4
179,15,6
180,21,1
181,16,5
182,6,5
183,19,7
184,1,1
185,10,6
186,14,3
187,17,5
188,2,6
189,18,6
190,16,6
191,19,4
192,17,2
193,10,4
194,10,4
195,7,3
196,17,2
197,13,3
198,20,7
199,1,4
200,15,7
201,16,2
202,3,5
203,23,7
204,15,6
205,19,6
206,17,6
207,17,6
208,7,2
209,8,7
210,9,1
211,16,5
212,0,7
213,14,1
214,12,4
215,20,5
216,17,3
217,8,6
218,18,2
219,14,4
220,2,1
221,11,6
222,11,3
223,12,6
224,11,7
225,8,6
226,15,4
227,14,7
228,7,5
229,18,3
230,15,7
231,11,3
232,17,6
233,17,6
234,9,7
235,18,6
236,12,2
237,11,4
238,12,2
239,17,5
240,11,3
241,12,6
242,14,2
243,14,1
244,17,3
245,22,6
246,23,7
247,1,7
248,7,3
249,15,4
250,17,5
251,7,7
