,acchr,dayofweek
0,21,5
1,16,2
2,17,1
3,7,5
4,18,1
5,19,3
6,18,2
7,18,1
8,21,4
9,20,2
10,19,2
11,18,7
12,17,5
13,13,3
14,15,2
15,21,2
16,17,2
17,21,2
18,19,6
19,21,1
20,17,5
21,14,3
22,20,4
23,8,4
24,18,4
25,22,6
26,19,6
27,20,2
28,19,6
29,21,5
30,18,1
31,12,7
32,14,4
33,14,1
34,6,3
35,22,6
36,7,4
37,19,3
38,8,1
39,20,6
40,20,5
41,16,4
42,18,1
43,17,5
44,16,4
45,11,7
46,21,2
47,14,7
48,6,6
49,22,5
50,14,6
51,20,4
52,7,5
53,22,7
54,7,5
55,22,7
56,8,4
57,18,1
58,21,2
59,21,6
60,21,1
61,18,3
62,19,3
63,0,7
64,21,7
65,23,6
66,20,2
67,6,4
68,19,7
69,20,4
70,20,1
71,15,4
72,12,7
73,20,1
74,0,7
75,5,2
76,21,5
77,18,3
78,18,4
79,18,4
80,15,5
81,21,6
82,21,3
83,18,1
84,19,6
85,17,4
86,13,3
87,6,6
88,22,7
89,16,4
90,23,7
91,12,3
92,0,4
93,17,2
94,21,6
95,3,7
96,19,3
97,0,7
98,23,7
99,15,4
100,19,7
101,21,7
102,19,2
103,22,7
104,19,2
105,15,3
106,23,1
107,19,5
108,15,5
109,20,7
110,12,6
111,20,3
112,6,4
113,16,5
114,15,3
115,21,3
116,8,3
117,22,2
118,13,5
119,6,3
120,19,1
121,11,2
122,21,3
123,6,6
124,0,1
125,15,3
126,22,3
127,19,2
128,3,6
129,13,6
130,5,5
131,3,1
132,22,6
133,17,3
134,18,4
135,21,6
136,17,3
137,22,7
138,21,7
139,2,6
140,20,1
141,16,4
142,18,4
143,13,7
144,18,5
145,14,5
146,16,5
147,11,5
148,23,6
149,18,5
150,0,4
151,19,6
152,18,6
153,20,2
154,21,1
155,20,4
156,3,7
157,19,5
158,21,3
159,8,4
160,13,1
161,10,6
162,16,6
163,23,3
164,20,7
165,2,2
166,14,5
167,21,6
168,21,4
169,2,1
170,23,4
171,2,7
172,14,3
173,7,4
174,18,2
175,19,5
176,23,6
177,21,7
178,23,3
179,22,4
180,2,5
181,23,2
182,0,1
183,14,3
184,22,6
185,14,6
186,20,4
187,4,2
188,18,1
189,18,5
190,19,6
191,20,3
192,18,5
193,21,3
194,19,3
195,1,2
196,13,7
197,1,5
198,18,2
199,3,4
200,20,1
201,0,2
202,19,4
203,19,2
204,18,4
205,20,2
206,22,6
207,0,7
208,17,6
209,22,6
210,19,7
211,23,4
212,22,4
213,4,6
214,21,6
215,0,2
216,0,7
217,19,5
218,0,1
219,19,7
220,5,2
221,11,3
222,21,5
223,6,4
224,20,1
225,7,7
226,19,3
227,20,2
228,20,1
229,19,2
230,21,4
231,1,7
232,4,7
233,16,1
234,11,3
235,19,2
236,19,2
237,1,1
238,7,1
239,3,4
240,17,5
241,4,2
242,22,3
243,21,5
244,0,6
245,5,6
246,6,2
247,18,2
248,1,4
249,10,7
250,21,7
251,22,3
252,22,1
253,22,3
254,6,3
255,3,2
256,21,2
257,2,7
258,18,4
259,19,5
260,3,2
261,5,5
262,15,2
263,20,5
264,3,7
265,2,1
266,1,4
267,22,2
268,4,6
269,5,6
270,0,2
271,20,1
272,4,4
273,2,1
274,0,5
275,22,4
276,13,6
277,6,5
278,8,3
279,18,3
280,19,7
281,15,2
282,18,7
283,15,2
284,22,5
285,3,7
286,6,6
287,21,7
288,21,6
289,19,3
290,9,6
291,19,1
292,22,1
293,14,6
294,1,1
295,20,7
296,11,2
297,20,5
298,19,2
299,21,3
300,2,7
301,21,7
302,19,5
303,22,6
304,5,3
305,22,1
306,19,5
307,23,1
308,21,6
309,13,1
310,9,5
311,20,7
312,3,6
313,20,1
314,19,3
315,21,6
316,15,3
317,18,7
318,3,7
319,5,2
320,18,6
321,21,1
322,21,6
323,22,5
324,21,6
325,20,3
326,20,5
327,15,5
328,22,1
329,20,1
330,13,7
331,5,7
332,12,5
333,18,5
334,18,3
335,19,2
336,5,4
337,21,7
338,23,4
339,20,1
340,5,3
341,22,3
342,5,1
343,21,1
344,19,4
345,4,7
346,20,4
347,2,1
348,19,1
349,19,3
350,0,4
351,23,6
352,21,1
353,6,4
354,13,4
355,6,7
356,23,4
357,5,4
358,23,6
359,0,1
360,22,7
361,0,6
362,0,6
363,22,7
364,3,7
365,3,6
366,5,6
367,23,3
368,23,5
369,3,6
370,2,3
371,18,5
372,16,3
373,8,3
374,23,2
375,17,5
376,23,7
377,22,6
378,17,5
379,6,4
380,18,6
381,0,4
382,20,7
383,7,3
384,3,2
385,18,5
386,23,5
387,13,5
388,1,5
389,9,1
390,6,6
391,22,7
392,17,2
393,19,2
394,22,6
395,20,7
396,18,4
397,11,2
398,21,5
399,18,5
400,22,1
401,2,1
402,21,3
403,20,2
404,12,4
405,5,5
406,22,3
407,0,2
408,6,1
409,9,2
410,5,2
411,0,1
412,19,5
413,6,6
414,3,1
415,18,2
416,20,7
417,10,3
418,6,6
419,20,3
420,6,3
421,1,7
422,13,4
423,3,2
424,18,4
425,23,5
426,21,6
427,13,1
428,21,3
429,22,3
430,21,6
431,19,1
432,20,2
433,21,7
434,6,2
435,21,2
436,4,7
437,8,4
438,99,3
439,21,6
440,11,7
441,1,1
442,6,6
443,18,4
444,23,3
445,20,5
446,18,1
447,22,6
448,6,5
449,20,2
450,19,7
451,17,2
452,19,5
453,21,5
454,12,5
455,18,1
456,5,6
457,5,4
458,7,7
459,1,7
460,3,1
461,23,5
462,9,6
463,5,4
464,17,7
465,22,2
466,5,5
467,20,4
468,4,1
469,23,3
470,22,2
471,20,2
472,2,1
473,6,7
474,20,3
475,21,7
476,22,1
477,2,6
478,6,5
479,22,6
480,18,5
481,9,2
482,20,3
483,21,4
484,19,1
485,12,2
486,6,3
487,21,6
488,7,7
489,23,6
490,17,7
491,21,4
492,17,1
493,19,4
494,19,1
495,1,4
496,22,7
497,19,1
498,5,2
499,19,5
500,0,2
501,18,2
502,20,1
503,20,6
504,5,2
505,7,7
506,21,7
507,20,5
508,21,7
509,13,4
510,0,6
511,21,1
512,18,2
513,4,3
514,17,6
515,3,7
516,20,1
517,1,1
518,18,7
519,7,4
520,16,2
521,2,5
522,19,3
523,21,4
524,20,2
525,2,7
526,7,1
527,21,6
528,2,7
529,16,3
530,6,5
531,21,1
532,19,2
533,22,5
534,21,2
535,9,2
536,11,2
537,8,2
538,6,3
539,16,2
540,17,4
541,20,2
542,23,6
543,21,1
544,13,5
545,11,5
546,7,5
547,23,3
548,4,1
549,13,2
