,acchr,dayofweek
0,8,4
1,16,1
2,15,7
3,22,4
4,22,4
5,17,1
6,7,2
7,11,5
8,17,1
9,18,7
10,12,2
11,16,5
12,11,3
13,17,4
14,18,7
15,18,7
16,1,4
17,18,3
18,10,4
19,13,7
20,2,7
21,7,6
22,10,7
23,9,7
24,7,7
25,11,6
26,13,1
27,15,1
28,6,2
29,8,2
30,8,2
31,9,1
32,0,4
33,10,7
34,14,7
35,16,2
36,6,1
37,18,7
38,10,1
39,7,3
40,4,1
41,12,3
42,11,4
43,7,5
44,15,2
45,18,3
46,18,3
47,13,7
48,14,6
49,17,2
50,17,2
51,17,7
52,9,7
53,5,6
54,22,1
55,16,2
56,12,7
57,11,6
58,17,7
59,8,6
60,20,2
61,12,7
62,14,7
63,12,4
64,11,7
65,19,3
66,16,5
67,12,2
68,12,2
69,9,6
70,18,3
71,10,4
72,17,1
73,8,2
74,7,4
75,22,4
76,11,3
77,20,4
78,16,4
79,16,6
80,23,6
81,14,3
82,17,3
83,13,6
84,13,6
85,0,2
86,17,2
87,18,3
88,12,4
89,18,3
90,15,1
91,8,3
92,15,3
93,13,3
94,1,4
95,15,6
96,7,5
97,5,3
98,20,3
99,7,2
100,23,6
101,19,2
102,20,6
103,19,7
104,12,1
105,17,3
106,1,7
107,9,7
108,9,2
109,4,5
110,17,6
111,16,7
112,11,4
113,20,3
114,0,1
115,10,5
116,19,7
117,17,3
118,12,4
119,22,6
120,22,6
121,16,3
122,9,5
123,21,5
124,10,6
125,10,6
126,10,6
127,20,6
128,7,2
129,8,6
130,7,4
131,15,6
132,16,5
133,23,7
134,19,7
135,21,6
136,12,1
137,1,7
138,9,3
139,21,5
140,17,5
141,3,3
142,19,5
143,8,3
144,12,2
145,18,3
146,18,7
147,15,3
148,9,6
149,19,5
150,14,7
151,11,4
152,9,7
153,17,4
154,10,2
155,99,3
156,14,5
157,13,4
158,22,5
159,7,4
160,8,3
161,17,4
162,7,3
163,12,6
164,19,7
165,10,3
166,6,6
167,6,6
168,16,6
169,9,4
170,1,4
171,18,4
172,5,2
173,7,4
174,14,4
175,10,2
176,21,4
177,15,6
178,4,6
179,12,1
180,21,5
181,18,7
182,15,7
183,1,1
184,11,4
185,12,4
186,21,5
187,11,6
188,14,6
189,18,7
190,9,3
191,9,3
192,6,5
193,16,5
194,12,7
195,12,2
196,13,5
197,16,7
198,8,5
199,9,7
200,16,2
201,11,5
202,15,3
203,5,3
204,9,6
205,12,6
206,18,1
207,7,6
208,10,7
209,15,7
210,4,5
211,9,5
212,15,1
213,15,6
214,6,6
215,10,3
216,10,3
217,2,4
218,7,4
219,13,6
220,16,1
221,20,6
222,20,6
223,19,3
224,6,4
225,15,3
226,12,1
227,15,4
228,10,4
229,21,3
230,13,4
231,13,4
232,7,1
233,8,4
234,20,7
235,12,6
236,19,7
237,15,6
238,20,7
239,12,6
240,6,5
241,8,4
242,11,4
243,10,7
244,16,2
245,19,2
246,19,2
247,22,2
248,23,3
249,17,4
250,15,6
251,17,6
252,7,7
253,12,7
254,8,4
255,4,6
256,15,2
257,16,2
258,14,3
259,8,6
260,10,6
261,14,7
262,18,2
263,11,3
264,19,1
265,20,7
266,12,4
267,5,7
268,18,7
269,22,3
270,4,1
271,10,7
272,12,7
273,14,3
274,14,5
275,18,5
276,8,5
277,2,5
278,15,5
279,0,1
280,14,3
281,23,6
282,0,7
283,12,2
284,14,4
285,11,2
286,18,5
287,9,2
288,20,5
289,17,3
290,10,6
291,11,5
292,6,6
293,9,6
294,12,1
295,11,2
296,18,4
297,14,4
298,21,1
299,5,5
