,acchr,dayofweek
0,8,2
1,19,6
2,17,1
3,18,4
4,13,2
5,18,7
6,0,1
7,20,1
8,14,6
9,15,2
10,0,4
11,5,6
12,15,3
13,23,6
14,20,7
15,16,1
16,18,7
17,13,7
18,6,2
19,23,5
20,5,5
21,13,6
22,12,4
23,13,7
24,9,5
25,13,1
26,15,7
27,0,1
28,22,5
29,21,5
30,21,6
31,18,2
32,21,5
33,9,3
34,22,7
35,14,3
36,7,2
37,9,7
38,1,7
39,6,2
40,18,4
41,2,1
42,2,5
43,17,3
44,16,4
45,12,7
46,15,7
47,6,6
48,12,5
49,7,2
50,14,6
51,11,6
52,16,4
53,15,3
54,15,3
55,16,5
56,3,6
57,15,1
58,14,7
59,10,1
60,2,2
61,11,2
62,17,1
63,19,1
64,8,4
65,15,6
66,12,6
67,2,3
68,2,6
69,2,7
70,0,7
71,14,4
72,22,5
73,23,2
74,18,1
75,20,1
76,21,1
77,18,1
78,18,7
79,17,3
80,6,3
81,0,5
82,10,3
83,1,7
84,19,5
85,22,7
86,19,7
87,20,3
88,14,3
89,23,2
90,1,7
91,21,6
92,13,6
93,2,7
94,22,7
95,18,4
96,20,2
97,17,7
98,1,1
99,1,7
100,18,4
101,8,5
102,15,7
103,9,1
104,15,6
105,20,2
106,22,6
107,23,5
108,17,6
109,14,7
110,15,4
111,9,5
112,18,4
113,22,7
114,11,7
115,13,7
116,17,3
117,5,7
118,16,5
119,12,7
120,20,5
121,22,4
122,0,1
123,13,1
124,18,1
125,21,2
126,22,2
127,19,2
128,19,6
129,15,1
130,16,4
131,15,2
132,5,4
133,15,4
134,12,1
135,16,6
136,15,2
137,0,3
138,16,4
139,21,3
140,15,7
141,14,5
142,19,1
143,0,1
144,19,4
145,23,6
146,6,2
147,1,2
148,19,5
149,18,7
150,12,5
151,17,4
152,14,3
153,10,7
154,21,5
155,0,6
156,10,2
157,13,7
158,18,7
159,18,1
160,3,5
161,18,4
162,22,6
163,20,2
164,16,5
165,2,5
166,23,2
167,16,3
168,22,6
169,17,5
170,13,5
171,13,7
172,21,2
173,13,7
174,7,6
175,22,4
176,22,3
177,19,2
178,8,2
179,5,7
180,13,3
