,acchr,dayofweek
0,17,1
1,18,4
2,13,2
3,18,7
4,0,1
5,20,1
6,14,6
7,15,2
8,23,6
9,20,7
10,16,1
11,13,7
12,6,2
13,23,5
14,13,6
15,12,4
16,13,7
17,9,5
18,13,1
19,15,7
20,0,1
21,22,5
22,21,5
23,21,6
24,21,5
25,22,7
26,7,2
27,9,7
28,1,7
29,6,2
30,18,4
31,2,1
32,17,3
33,16,4
34,12,7
35,16,4
36,15,3
37,11,2
38,23,2
39,21,6
40,20,2
41,17,7
42,1,7
43,9,1
44,15,6
45,20,2
46,22,6
47,17,6
48,15,4
49,11,7
50,13,7
51,17,3
52,5,7
53,16,5
54,22,4
55,15,1
56,16,4
57,15,2
58,5,4
59,14,5
60,19,1
61,19,4
62,6,2
63,1,2
64,19,5
65,17,4
66,10,2
67,13,7
68,21,2
69,19,2
70,5,7
71,15,5
72,18,5
73,19,1
74,16,7
75,11,4
76,14,5
77,12,5
78,21,2
79,10,2
80,1,7
81,9,1
82,22,7
83,15,3
84,15,1
85,7,6
86,16,6
87,19,6
88,20,6
89,4,3
90,9,4
91,18,7
92,15,2
93,21,5
94,19,2
95,14,3
96,11,6
97,20,7
98,5,4
99,21,4
100,15,6
101,14,2
102,17,6
103,17,6
104,20,7
105,18,3
106,14,3
107,22,4
108,20,4
109,7,4
110,15,1
111,17,6
112,9,6
113,7,7
114,19,6
115,0,3
116,21,1
117,13,1
118,12,3
119,7,4
120,17,2
121,11,7
122,13,4
123,17,7
124,17,7
125,16,5
126,15,5
127,23,3
128,1,5
129,14,4
130,17,7
131,23,7
132,16,4
133,16,6
134,11,7
135,9,6
136,19,5
137,13,6
138,14,4
139,8,2
140,19,3
141,20,3
142,18,6
143,16,6
144,17,2
145,10,4
146,10,4
147,7,3
148,20,2
149,17,2
150,9,4
151,13,3
152,20,7
153,16,7
154,17,2
155,5,7
156,1,4
157,15,7
158,22,4
159,19,1
160,18,1
161,18,2
162,3,5
163,14,1
164,23,6
165,8,5
166,15,6
167,17,3
168,7,1
169,2,7
170,11,6
171,11,3
172,18,4
173,12,6
174,17,1
175,8,6
176,15,4
177,14,7
178,7,5
179,18,3
180,15,7
181,11,3
182,17,6
183,9,7
184,18,6
185,12,2
186,19,7
187,14,2
188,17,3
189,16,1
190,22,7
191,23,7
192,0,7
193,1,7
194,7,3
195,21,2
196,15,4
197,22,3
198,21,4
199,7,7
200,20,6
201,19,4
202,16,2
203,16,1
204,21,2
205,99,1
206,20,2
207,20,3
208,21,2
209,16,3
210,5,3
211,21,7
212,22,6
213,12,3
214,22,2
215,22,6
216,1,2
217,5,4
218,13,2
219,17,2
220,13,3
221,99,2
222,11,2
223,19,3
224,19,3
225,23,6
226,13,4
227,20,7
228,13,4
229,15,6
230,16,1
231,19,2
232,3,7
233,7,6
234,13,4
235,19,3
236,21,6
237,18,3
238,2,4
239,5,7
240,9,2
241,18,3
242,12,3
243,6,6
244,18,7
245,15,2
246,18,7
247,14,1
248,16,5
249,17,3
250,12,1
251,14,2
252,16,4
253,23,3
254,0,7
255,15,7
256,13,1
257,20,5
258,19,6
259,4,1
260,16,3
261,99,1
262,23,7
263,7,3
264,2,7
265,4,6
266,16,3
267,8,6
268,7,4
269,16,4
270,10,7
271,14,4
272,14,7
273,21,2
274,0,3
275,8,5
276,17,3
277,18,5
278,2,7
279,19,7
280,7,2
281,18,6
282,18,4
283,21,4
284,14,3
285,99,3
286,10,2
287,16,4
288,18,7
289,9,1
290,7,3
291,17,1
292,22,1
293,19,1
294,13,6
295,15,6
296,1,1
297,0,3
298,15,3
299,7,3
300,20,3
301,19,2
302,17,5
303,23,7
304,16,3
305,20,7
306,21,2
307,10,1
308,4,3
309,18,1
310,17,4
311,15,1
312,13,3
313,1,5
314,3,4
315,14,6
316,20,4
317,9,2
318,22,6
319,20,3
320,8,4
321,19,4
322,11,4
323,16,3
324,22,6
325,16,4
326,16,1
327,22,1
328,23,7
329,19,1
330,15,1
331,16,4
332,22,5
333,99,4
334,1,7
335,20,2
336,9,3
337,15,4
338,22,6
339,1,3
340,13,5
341,20,2
342,13,5
343,8,3
344,15,6
345,14,6
346,20,6
347,21,6
348,0,2
349,15,3
350,21,2
351,17,5
352,16,2
353,14,5
354,1,1
355,15,1
356,13,6
357,22,3
358,12,6
359,16,6
360,22,5
361,10,6
362,22,4
363,11,1
364,17,3
365,13,7
366,17,3
367,23,4
368,1,3
369,1,6
370,17,3
371,21,3
372,9,7
373,14,4
374,20,7
375,0,1
376,1,4
377,23,7
378,13,3
379,18,7
380,20,4
381,13,4
382,10,6
383,22,4
384,21,4
385,7,6
386,19,4
387,6,3
388,13,2
389,18,3
390,19,7
391,20,6
392,7,6
393,6,5
394,19,6
395,21,5
396,7,2
397,19,5
398,1,1
399,21,4
400,20,1
401,15,4
402,19,6
403,10,2
404,7,4
405,15,4
406,18,1
407,18,2
408,18,2
409,15,2
410,17,6
411,5,5
412,12,5
413,17,3
414,16,2
415,21,6
416,22,3
417,18,2
418,18,1
419,8,2
420,21,6
421,15,1
422,13,6
423,20,5
424,13,1
425,18,7
426,2,5
427,15,4
428,18,7
429,17,4
430,21,5
431,19,6
432,15,2
433,1,1
434,12,7
435,20,2
436,14,3
437,23,3
438,17,3
439,14,3
440,14,6
441,2,7
442,18,7
443,18,3
444,19,2
445,21,1
446,15,7
447,15,2
448,23,2
449,11,2
450,14,1
451,17,5
452,13,5
453,21,2
454,15,4
455,19,4
456,21,3
457,20,5
458,13,5
459,20,7
460,21,6
461,0,3
462,16,7
463,18,2
464,21,2
465,2,5
466,16,4
467,21,2
468,22,7
469,14,6
470,17,2
471,19,6
472,21,6
473,12,1
474,19,7
475,23,7
476,19,5
477,9,4
478,20,4
479,22,5
480,12,1
481,19,1
482,19,6
483,21,6
484,22,3
485,20,7
486,14,3
487,20,4
488,17,1
489,2,7
490,23,1
491,17,2
492,20,7
493,8,1
494,20,5
495,20,7
496,20,5
497,20,5
498,7,3
499,11,7
500,20,1
501,1,2
502,12,6
503,20,5
504,8,1
505,20,6
506,14,3
507,22,1
508,19,2
509,16,4
510,23,5
511,19,7
512,0,7
513,19,4
514,21,1
515,10,4
516,17,5
517,18,5
518,19,5
519,16,1
520,17,2
521,4,6
522,17,5
523,5,4
524,6,1
525,23,7
526,1,1
527,18,6
528,14,6
529,15,5
530,11,7
531,7,1
532,15,2
533,14,1
534,23,6
535,17,3
536,17,7
537,18,4
538,15,5
539,12,6
540,15,1
541,11,5
542,15,2
543,5,4
544,17,6
545,9,7
546,2,5
547,8,1
548,15,1
549,0,4
550,6,4
551,23,3
552,21,3
553,17,6
554,2,7
555,10,1
556,16,4
557,22,6
558,5,3
559,22,7
560,6,7
561,17,1
562,12,5
563,11,5
564,23,7
565,15,2
566,14,3
567,20,7
568,8,1
569,22,2
570,22,6
571,22,7
572,22,4
573,7,2
574,21,4
575,18,5
576,3,7
577,16,7
578,18,7
579,21,5
580,13,6
581,22,7
582,7,3
583,5,3
584,19,5
585,18,4
586,16,2
587,21,3
588,5,3
589,17,4
590,16,3
591,22,5
592,16,6
593,20,3
594,20,3
595,14,7
596,15,7
597,17,1
598,9,3
599,12,3
600,14,7
601,20,4
602,6,2
603,7,2
604,20,2
605,22,1
606,21,6
607,20,6
608,18,4
609,8,2
610,16,1
611,19,4
612,19,4
613,12,1
614,3,7
615,6,3
616,20,3
617,19,2
618,22,6
619,3,3
620,8,2
621,17,1
622,9,1
623,7,3
624,20,7
625,18,4
626,1,4
627,18,4
628,12,5
629,18,6
630,19,4
631,20,4
632,23,4
633,2,1
634,23,5
635,17,1
636,18,1
637,18,2
638,20,3
639,7,5
640,21,5
641,22,3
642,11,2
643,11,5
644,23,6
645,7,3
646,18,7
647,20,5
648,11,3
649,22,4
650,5,2
651,16,6
652,20,1
653,13,3
654,16,5
655,13,6
656,15,7
657,23,7
658,16,7
659,12,2
660,13,7
661,14,5
662,18,5
663,19,7
664,20,3
665,0,3
666,23,7
667,20,4
668,20,3
669,6,2
670,0,6
671,23,1
672,23,6
673,20,7
674,6,4
675,11,5
676,6,5
677,5,7
678,20,3
679,2,1
680,17,2
681,11,4
682,12,5
683,15,6
684,19,1
685,9,2
686,15,1
687,8,3
688,7,3
689,0,2
690,18,2
691,2,1
692,4,5
693,9,3
694,9,3
695,11,5
696,11,3
697,19,2
698,18,5
699,7,6
700,11,3
701,6,3
702,20,1
703,15,1
704,10,2
705,12,5
706,22,7
707,15,6
708,19,1
709,21,1
710,12,7
711,19,4
712,23,1
713,14,2
714,16,4
715,15,7
716,7,2
717,14,2
718,22,7
719,21,6
720,0,2
721,13,1
722,5,4
723,7,2
724,20,5
725,10,5
726,6,3
727,19,6
728,17,2
729,19,3
730,20,6
731,6,4
732,6,4
733,18,6
734,10,6
735,16,6
736,15,2
737,15,2
738,18,4
739,12,5
740,16,6
741,10,1
742,14,5
743,8,4
744,17,4
745,7,6
746,7,7
747,8,2
748,19,1
749,0,5
750,14,6
751,19,3
752,17,3
753,19,2
754,19,2
755,22,6
756,7,7
757,12,7
758,21,7
759,22,6
760,8,6
761,18,2
762,21,7
763,7,6
764,7,4
765,16,7
766,21,2
767,22,6
768,19,1
769,14,3
770,19,7
771,0,7
772,12,1
773,10,4
774,15,4
775,12,7
776,20,4
777,8,2
778,17,7
779,13,1
780,5,7
781,22,1
782,22,7
783,20,2
784,0,6
785,20,1
786,9,6
787,14,1
788,16,2
789,12,6
790,17,6
791,8,6
