,acchr,dayofweek
0,17,1
1,18,4
2,13,2
3,18,7
4,15,2
5,23,6
6,16,1
7,13,7
8,9,5
9,15,7
10,22,5
11,21,5
12,9,3
13,9,7
14,16,4
15,12,7
16,6,6
17,14,6
18,16,4
19,15,3
20,16,5
21,15,1
22,14,7
23,10,1
24,2,2
25,11,2
26,12,6
27,0,7
28,22,5
29,18,7
30,17,3
31,6,3
32,0,5
33,10,3
34,1,7
35,19,5
36,13,6
37,22,7
38,18,4
39,18,4
40,8,5
41,22,6
42,17,6
43,15,4
44,22,7
45,11,7
46,17,3
47,22,2
48,19,6
49,15,1
50,15,4
51,12,1
52,16,6
53,15,2
54,0,3
55,15,7
56,19,1
57,0,1
58,23,6
59,14,3
60,10,7
61,21,5
62,10,2
63,18,7
64,22,6
65,21,2
66,7,6
67,22,4
68,8,2
69,5,7
70,15,5
71,18,5
72,19,1
73,14,5
74,20,7
75,10,2
76,9,1
77,7,5
78,1,7
79,15,1
80,7,6
81,20,6
82,4,3
83,9,4
84,15,2
85,15,1
86,20,3
87,17,5
88,21,6
89,14,1
90,13,1
91,2,6
92,14,1
93,21,5
94,19,2
95,21,3
96,21,4
97,15,6
98,17,6
99,20,7
100,18,3
101,15,4
102,16,4
103,18,7
104,11,4
105,15,1
106,17,6
107,9,6
108,19,6
109,0,3
110,21,1
111,13,1
112,12,3
113,17,2
114,17,7
115,17,7
116,16,5
117,15,5
118,14,4
119,17,7
120,13,1
121,6,5
122,11,7
123,16,6
124,11,7
125,14,5
126,13,2
127,12,1
128,13,1
129,15,6
130,18,4
131,15,6
132,21,1
133,6,5
134,19,7
135,1,1
136,10,6
137,14,3
138,17,5
139,2,6
140,18,6
141,16,6
142,19,4
143,17,2
144,10,4
145,10,4
146,7,3
147,17,2
148,13,3
149,20,7
150,1,4
151,15,7
152,16,2
153,3,5
154,23,7
155,15,6
156,19,6
157,17,6
158,17,6
159,7,2
160,9,1
161,20,5
162,17,3
163,8,6
164,18,2
165,14,4
166,11,3
167,12,6
168,8,6
169,15,4
170,14,7
171,7,5
172,18,3
173,15,7
174,11,3
175,17,6
176,9,7
177,18,6
178,12,2
179,11,4
180,12,2
181,17,5
182,11,3
183,12,6
184,14,2
185,17,3
186,23,7
187,1,7
188,7,3
189,15,4
190,17,5
191,7,7
192,20,6
193,19,4
194,16,2
195,16,1
196,21,2
197,1,6
198,22,7
199,18,7
200,16,3
201,6,2
202,21,7
203,2,5
204,12,3
205,17,2
206,5,1
207,13,2
208,15,3
209,20,5
210,6,4
211,14,3
212,13,3
213,11,6
214,11,2
215,13,7
216,2,5
217,17,7
218,20,4
219,9,6
220,7,6
221,22,7
222,23,7
223,19,3
224,15,3
225,16,5
226,18,3
227,18,6
228,2,4
229,8,7
230,6,6
231,15,2
232,18,7
233,16,5
234,10,5
235,17,3
236,18,7
237,16,2
238,17,6
239,15,6
240,23,3
241,15,7
242,13,1
243,20,5
244,19,6
245,19,2
246,16,4
247,15,2
248,15,5
249,18,7
250,19,2
251,23,6
252,4,1
253,0,2
254,23,7
255,4,6
256,16,3
257,8,6
258,7,4
259,14,7
260,8,5
261,2,7
262,18,4
263,14,3
264,99,3
265,10,2
266,15,6
267,18,7
268,16,4
269,14,3
270,18,7
271,14,4
272,18,3
273,17,1
274,22,1
275,22,1
276,15,6
277,1,1
278,0,3
279,15,5
280,10,6
281,15,3
282,20,3
283,19,2
284,17,5
285,16,3
286,9,4
287,4,3
288,18,1
289,17,4
290,15,1
291,21,2
292,16,7
293,2,3
294,22,6
295,20,3
296,16,6
297,17,3
298,20,3
299,3,4
300,0,2
301,19,4
302,15,2
303,16,3
304,16,4
305,13,4
306,16,1
307,23,7
308,22,1
309,13,6
310,21,5
311,16,4
312,20,2
313,14,4
314,18,5
315,17,6
316,18,4
317,14,5
318,16,5
319,16,3
320,22,5
321,21,2
322,10,3
323,9,3
324,23,6
325,22,6
326,17,2
327,23,7
328,20,2
329,12,4
330,20,7
331,8,3
332,15,6
333,14,6
334,15,3
335,21,2
336,17,5
337,16,2
338,14,7
339,16,7
340,7,4
341,7,4
342,9,6
343,16,4
344,16,4
345,15,4
346,1,2
347,17,2
348,7,4
349,15,6
350,19,1
351,17,5
352,13,6
353,12,6
354,10,6
355,11,1
356,17,3
357,13,7
358,21,7
359,16,4
360,17,3
361,23,4
362,1,3
363,1,6
364,17,3
365,9,7
366,20,7
367,0,1
368,1,4
369,23,7
370,13,3
371,18,7
372,13,4
373,22,4
374,21,4
375,7,6
376,6,3
377,13,2
378,16,1
379,7,6
380,2,1
381,19,2
382,19,6
383,23,6
384,6,5
385,19,5
386,19,6
387,7,5
388,9,6
389,6,2
390,19,7
391,18,6
392,14,2
393,15,2
394,14,3
395,17,4
396,19,7
397,7,4
398,22,7
399,15,4
400,18,1
401,18,2
402,18,2
403,20,1
404,5,5
405,13,5
406,12,5
407,21,6
408,21,6
409,18,2
410,18,1
411,8,2
412,15,6
413,21,6
414,13,6
415,13,1
416,23,7
417,19,1
418,15,6
419,17,3
420,17,6
421,7,3
422,16,3
423,14,4
424,19,5
425,15,4
426,7,5
427,16,1
428,19,2
429,14,4
430,15,2
431,0,1
432,12,7
433,16,5
434,23,3
435,17,3
436,14,3
437,14,6
438,2,7
439,22,7
440,18,7
441,18,3
442,19,2
443,23,2
444,11,2
445,14,1
446,18,3
447,15,3
448,15,4
449,19,4
450,20,5
451,13,5
452,0,3
453,16,7
454,18,2
455,21,2
456,22,7
457,16,4
458,14,6
459,23,3
460,7,3
461,18,7
462,17,2
463,12,1
464,19,7
465,23,7
466,19,6
467,22,6
468,6,4
469,13,3
470,20,4
471,17,1
472,15,3
473,7,5
474,7,5
475,13,7
476,7,7
477,2,7
478,17,7
479,20,7
480,8,1
481,18,5
482,20,5
483,18,6
484,6,2
485,11,7
486,12,6
487,15,2
488,16,1
489,18,6
490,5,1
491,8,1
492,21,1
493,21,1
494,16,4
495,23,5
496,23,4
497,23,3
498,0,2
499,21,1
500,23,5
501,15,6
502,10,4
503,17,5
504,19,4
505,23,5
506,23,4
507,18,2
508,16,1
509,17,2
510,5,4
511,11,2
512,14,6
513,10,3
514,8,2
515,12,7
516,12,5
517,17,4
518,18,3
519,6,3
520,6,6
521,11,2
522,17,3
523,20,2
524,17,7
525,16,2
526,15,5
527,18,7
528,7,3
529,15,1
530,4,1
531,12,6
532,15,1
533,4,1
534,18,6
535,11,5
536,1,4
537,5,4
538,9,7
539,16,4
540,23,7
541,8,6
542,8,1
543,15,1
544,6,1
545,21,3
546,17,6
547,2,7
548,10,1
549,16,4
550,16,1
551,5,3
552,3,1
553,10,4
554,17,1
555,12,5
556,23,7
557,15,2
558,14,3
559,20,7
560,0,6
561,8,1
562,15,5
563,14,5
564,15,7
565,22,7
566,7,2
567,21,4
568,18,5
569,3,7
570,20,6
571,16,7
572,13,6
573,19,2
574,7,3
575,5,3
576,19,5
577,16,2
578,5,3
579,17,4
580,12,2
581,20,3
582,20,3
583,14,7
584,15,6
585,9,3
586,6,3
587,12,3
588,21,4
589,15,6
590,14,3
591,18,2
592,5,3
593,18,1
594,10,6
595,10,6
596,7,5
597,7,2
598,20,2
599,6,6
600,7,6
601,7,6
602,9,2
603,16,3
604,11,7
605,11,7
606,8,4
607,20,3
608,3,6
609,14,3
610,18,3
611,23,5
612,18,4
613,8,2
614,11,7
615,19,2
616,14,5
617,20,7
618,14,1
619,2,3
620,22,1
621,17,2
622,14,1
623,8,3
624,10,1
625,15,2
626,10,7
627,4,6
628,18,7
629,22,1
630,2,2
631,19,6
632,19,4
633,13,2
634,18,1
635,13,1
636,19,4
637,5,6
638,5,1
639,19,7
640,7,1
641,12,1
642,23,7
643,16,3
644,16,3
645,3,7
646,10,3
647,21,1
648,12,3
649,20,6
650,8,3
651,7,7
652,3,3
653,7,2
654,7,3
655,20,7
656,2,2
657,1,4
658,12,5
659,6,3
660,18,6
661,2,1
662,17,7
663,7,5
664,17,3
665,23,6
666,7,3
667,22,4
668,16,6
669,13,3
670,19,6
671,23,7
672,16,7
673,10,1
674,6,6
675,13,7
676,0,3
677,15,2
678,22,1
679,1,7
680,23,7
681,20,4
682,14,3
683,21,5
684,14,6
685,6,2
686,22,7
687,20,3
688,10,6
689,7,1
690,18,5
691,15,4
692,16,3
693,9,3
694,11,5
695,6,5
696,16,6
697,5,7
698,20,3
699,2,1
700,17,2
701,11,4
702,2,3
703,12,5
704,15,1
705,19,1
706,14,3
707,0,2
708,8,5
709,20,7
710,8,3
711,5,5
712,7,3
713,22,7
714,9,5
715,21,4
716,21,5
717,4,5
718,9,3
719,20,4
720,7,3
721,11,5
722,7,7
723,11,3
724,10,6
725,20,4
726,11,6
727,19,2
728,22,7
729,18,5
730,20,3
731,17,1
732,7,6
733,1,3
734,11,3
735,6,3
736,20,1
737,17,5
738,15,1
739,21,2
740,23,6
741,10,6
742,14,2
743,12,5
744,22,7
745,9,7
746,15,6
747,19,1
748,21,1
749,12,7
750,23,7
751,23,1
752,15,6
753,16,4
754,7,2
755,14,2
756,18,4
757,7,3
758,14,1
759,13,7
760,21,7
761,11,1
762,11,1
763,17,1
764,14,7
765,21,6
766,7,5
767,22,6
768,13,1
769,5,4
770,7,2
771,20,5
772,14,4
773,15,1
774,22,2
775,16,5
776,18,3
777,14,2
778,16,3
779,22,6
780,6,5
781,12,5
782,12,5
783,10,6
784,13,5
785,12,7
786,10,5
787,6,5
788,12,2
789,22,4
790,15,1
791,11,2
