,acchr,dayofweek
0,8,3
1,21,5
2,16,2
3,17,1
4,7,5
5,18,1
6,20,7
7,19,3
8,18,2
9,19,5
10,18,1
11,21,4
12,20,2
13,19,2
14,18,7
15,17,5
16,13,3
17,15,2
18,21,2
19,17,2
20,21,2
21,19,6
22,21,1
23,17,5
24,14,3
25,20,4
26,8,4
27,18,4
28,22,6
29,19,6
30,20,2
31,19,6
32,21,5
33,18,1
34,12,7
35,14,4
36,14,1
37,6,3
38,22,6
39,7,4
40,16,2
41,19,3
42,8,1
43,20,6
44,20,5
45,16,4
46,18,1
47,17,5
48,16,4
49,11,7
50,21,2
51,14,7
52,6,6
53,22,5
54,14,6
55,20,4
56,7,5
57,22,7
58,7,5
59,22,7
60,8,4
61,18,1
62,4,2
63,21,2
64,21,6
65,21,1
66,18,3
67,19,3
68,0,7
69,21,7
70,23,6
71,20,2
72,4,3
73,6,4
74,19,7
75,20,4
76,20,1
77,15,7
78,15,4
79,12,7
80,20,1
81,0,7
82,5,2
83,21,5
84,18,3
85,18,4
86,18,4
87,15,5
88,21,6
89,21,3
90,18,1
91,19,6
92,17,4
93,13,3
94,16,5
95,6,6
96,22,7
97,16,4
98,23,7
99,12,3
100,0,4
101,17,2
102,21,6
103,3,7
104,2,1
105,19,3
106,0,7
107,23,7
108,15,4
109,19,7
110,21,7
111,19,2
112,22,7
113,19,2
114,15,3
115,23,1
116,19,5
117,15,5
118,20,7
119,12,6
120,20,3
121,6,4
122,16,5
123,15,3
124,21,3
125,8,3
126,22,2
127,14,4
128,13,5
129,6,3
130,19,1
131,11,2
132,21,3
133,6,6
134,0,1
135,23,7
136,15,3
137,22,3
138,19,2
139,3,6
140,13,6
141,5,5
142,3,1
143,22,6
144,17,3
145,18,4
146,21,6
147,17,3
148,22,7
149,21,7
150,2,6
151,20,1
152,16,4
153,18,4
154,13,7
155,18,5
156,14,5
157,16,5
158,11,5
159,23,6
160,18,5
161,0,4
162,19,6
163,18,6
164,20,2
165,21,1
166,20,4
167,3,7
168,19,5
169,21,3
170,8,4
171,13,1
172,19,5
173,10,6
174,16,6
175,23,3
176,20,7
177,2,2
178,14,5
179,21,6
180,21,4
181,2,1
182,2,6
183,23,4
184,2,7
185,14,3
186,7,4
187,18,2
188,22,1
189,19,5
190,18,3
191,23,6
192,21,7
193,23,3
194,22,4
195,18,2
196,5,7
197,2,5
198,23,2
199,0,1
200,14,3
201,22,6
202,7,1
203,18,5
204,19,7
205,14,6
206,20,4
207,4,2
208,18,1
209,18,5
210,19,6
211,20,3
212,18,5
213,21,3
214,19,3
215,1,2
216,13,7
217,1,5
218,18,2
219,3,4
220,20,1
221,0,2
222,19,4
223,19,2
224,18,4
225,20,2
226,22,6
227,12,2
228,0,7
229,15,5
230,17,6
231,15,4
232,22,6
233,19,7
234,23,4
235,22,6
236,22,4
237,23,7
238,4,6
239,21,6
240,0,2
241,0,7
242,19,5
243,0,1
244,19,7
245,5,2
246,11,3
247,21,5
248,6,4
249,20,1
250,7,7
251,19,3
252,20,2
253,20,1
254,19,2
255,21,4
256,19,7
257,1,7
258,4,7
259,16,1
260,11,3
261,19,2
262,19,2
263,1,1
264,7,1
265,3,4
266,17,5
267,4,2
268,22,3
269,21,5
270,0,6
271,5,6
272,6,2
273,18,2
274,1,4
275,10,7
276,21,7
277,22,3
278,22,1
279,22,3
280,6,3
281,3,2
282,21,2
283,2,7
284,18,4
285,19,5
286,3,2
287,5,5
288,15,2
289,20,5
290,3,7
291,2,1
292,1,4
293,22,2
294,4,6
295,5,6
296,0,2
297,20,1
298,4,4
299,2,1
300,0,5
301,22,4
302,13,6
303,6,5
304,8,3
305,18,3
306,19,7
307,15,2
308,18,7
309,15,2
310,22,5
311,3,7
312,6,6
313,21,7
314,21,6
315,19,3
316,9,6
317,19,1
318,22,1
319,14,6
320,1,1
321,20,7
322,11,2
323,20,5
324,19,2
325,21,3
326,2,7
327,21,7
328,19,5
329,22,6
330,23,7
331,5,3
332,22,1
333,9,6
334,19,5
335,23,1
336,21,6
337,13,1
338,9,5
339,20,7
340,3,6
341,20,1
342,19,3
343,21,6
344,15,3
345,18,7
346,3,7
347,5,2
348,18,6
349,21,1
350,21,6
351,17,5
352,22,5
353,21,6
354,5,1
355,20,3
356,20,5
357,15,5
358,22,1
359,22,1
360,19,4
361,15,5
362,20,1
363,13,7
364,5,7
365,12,5
366,18,5
367,23,1
368,18,3
369,19,2
370,23,2
371,5,4
372,21,7
373,23,4
374,20,1
375,5,3
376,22,3
377,5,1
378,21,1
379,19,4
380,4,7
381,20,4
382,13,6
383,2,1
384,19,1
385,19,3
386,0,4
387,23,6
388,21,1
389,6,4
390,13,4
391,6,7
392,23,4
393,5,4
394,23,6
395,0,1
396,5,5
397,11,4
398,22,7
399,11,2
400,0,6
401,0,6
402,22,7
403,11,6
404,3,7
405,17,7
406,3,6
407,5,6
408,23,3
409,23,5
410,3,6
411,11,4
412,2,3
413,18,5
414,16,3
415,8,3
416,23,2
417,17,5
418,23,7
419,22,6
420,17,5
421,6,4
422,18,6
423,0,4
424,20,7
425,7,3
426,3,2
427,18,5
428,23,5
429,11,5
430,13,5
431,1,5
432,9,1
433,2,1
434,6,6
435,22,7
436,6,2
437,17,2
438,19,2
439,22,6
440,20,7
441,18,4
442,21,1
443,11,2
444,20,4
445,21,5
446,18,5
447,22,1
448,2,1
449,21,3
450,0,7
451,20,2
452,12,4
453,5,5
454,22,3
455,0,2
456,6,1
457,9,2
458,5,2
459,0,1
460,19,5
461,6,6
462,3,1
463,18,2
464,20,7
465,10,3
466,6,6
467,20,3
468,6,3
469,1,7
470,13,4
471,3,2
472,18,4
473,23,5
474,21,6
475,13,1
476,21,3
477,22,3
478,21,6
479,19,1
480,20,2
481,21,7
482,6,2
483,21,2
484,4,7
485,8,4
486,99,3
487,21,6
488,11,7
489,1,1
490,6,6
491,18,4
492,23,3
493,20,5
494,18,1
495,22,6
496,6,5
497,20,2
498,19,7
499,17,2
500,22,3
501,19,5
502,21,5
503,16,6
504,12,5
505,18,1
506,5,6
507,5,4
508,2,6
509,7,7
510,1,7
511,3,1
512,23,5
513,9,6
514,5,4
515,17,7
516,22,2
517,5,5
518,20,4
519,4,1
520,15,1
521,23,3
522,22,2
523,20,2
524,2,1
525,2,3
526,6,7
527,20,3
528,21,7
529,22,1
530,2,6
531,6,5
532,22,6
533,18,5
534,9,2
535,20,3
536,23,6
537,21,4
538,3,1
539,19,1
540,12,2
541,23,6
542,6,3
543,5,2
544,21,6
545,7,7
546,23,6
547,17,7
548,21,4
549,17,1
550,19,4
551,19,1
552,1,4
553,22,7
554,19,1
555,5,2
556,19,5
557,0,2
558,18,2
559,20,1
560,20,6
561,5,2
562,20,6
563,7,7
564,4,7
565,8,3
566,21,7
567,20,5
568,21,7
569,13,4
570,21,1
571,0,6
572,21,1
573,18,2
574,4,3
575,17,6
576,2,7
577,3,7
578,20,1
579,1,1
580,18,7
581,7,4
582,16,2
583,2,5
584,19,3
585,21,4
586,20,2
587,2,7
588,1,3
589,7,1
590,21,6
591,2,7
592,16,3
593,6,5
594,21,1
595,1,6
596,19,2
597,22,5
598,21,2
599,9,2
600,11,2
601,8,2
602,20,6
603,6,3
604,16,2
605,17,4
606,20,2
607,23,6
608,6,6
609,21,1
610,13,5
611,11,5
612,7,5
613,23,3
614,4,1
615,13,2
616,18,1
617,8,2
618,19,1
619,5,5
620,1,5
621,9,2
622,0,5
623,8,7
624,1,4
625,23,7
626,19,7
627,13,7
628,9,3
629,23,1
630,21,3
631,6,3
632,17,2
633,9,6
634,9,6
635,19,4
636,10,4
637,16,3
638,19,4
639,7,1
640,18,5
641,19,3
642,21,7
643,3,6
644,19,2
645,21,5
646,17,2
647,23,7
648,21,3
649,15,4
