,acchr,dayofweek
0,17,7
1,21,3
2,15,3
3,6,4
4,3,5
5,21,2
6,0,6
7,23,6
8,23,2
9,1,3
10,20,4
11,0,2
12,11,6
13,0,1
14,21,5
15,18,7
16,22,1
17,23,6
18,2,7
19,3,7
20,2,7
21,23,7
22,23,7
23,2,1
24,19,7
25,1,2
26,1,2
27,18,4
28,20,7
29,3,5
30,20,5
31,1,7
32,1,7
33,12,6
34,1,7
35,1,1
36,8,7
37,22,4
38,17,7
39,1,4
40,2,6
41,22,3
42,2,7
43,1,7
44,4,7
45,1,1
46,6,1
47,0,1
48,1,2
49,13,4
50,20,1
51,3,1
52,23,3
53,2,7
54,6,5
55,22,7
56,3,7
57,6,6
58,10,6
59,5,7
60,0,1
61,14,6
62,5,7
63,6,6
64,5,2
65,5,6
66,4,1
67,15,7
68,15,7
69,0,1
70,4,1
71,21,7
72,2,7
73,4,7
74,2,7
75,4,2
76,3,1
77,2,1
78,5,6
79,6,1
80,2,7
81,4,1
82,23,6
83,5,5
84,7,7
85,0,1
86,2,1
87,23,3
88,0,3
89,11,1
90,2,7
91,4,1
92,5,2
93,3,5
94,1,6
95,2,1
96,99,2
97,21,7
98,23,6
99,19,6
100,4,7
101,1,3
102,7,5
103,22,6
104,4,6
105,0,7
106,15,4
107,0,1
108,4,1
109,21,6
110,2,1
111,2,7
112,4,7
113,23,2
114,2,1
115,4,4
116,23,3
117,20,7
118,3,1
119,20,7
120,2,1
121,16,7
122,1,7
123,22,6
124,23,3
125,2,3
126,0,7
127,23,5
128,2,6
129,1,3
130,21,5
131,9,5
132,0,7
133,1,7
134,2,1
135,2,1
136,18,2
137,16,3
138,9,2
139,3,6
140,2,7
141,2,7
142,4,7
143,23,1
144,0,7
145,23,4
146,23,4
147,2,3
148,4,1
149,1,7
150,13,6
151,21,4
152,2,1
153,1,7
154,23,6
155,2,5
156,1,7
157,7,5
158,2,5
159,1,7
160,2,1
161,23,2
162,22,5
163,3,7
164,18,3
165,1,7
166,1,1
167,2,6
168,5,6
169,3,1
170,5,1
171,4,1
172,4,7
173,1,6
174,19,7
175,4,3
176,2,7
177,19,1
178,5,7
179,4,7
