,acchr,dayofweek
0,16,2
1,8,4
2,17,1
3,8,2
4,17,2
5,19,6
6,20,4
7,14,4
8,14,7
9,8,5
10,8,6
11,19,2
12,18,7
13,13,4
14,17,5
15,8,4
16,17,2
17,19,6
18,0,1
19,17,5
20,14,3
21,13,2
22,3,7
23,9,7
24,20,1
25,12,6
26,18,4
27,22,6
28,19,6
29,21,5
30,12,7
31,1,7
32,15,6
33,7,4
34,16,2
35,8,1
36,9,7
37,17,4
38,17,1
39,23,2
40,20,7
41,19,1
42,13,2
43,22,7
44,17,2
45,16,4
46,17,5
47,16,4
48,17,3
49,16,5
50,13,7
51,21,1
52,6,6
53,22,5
54,0,4
55,5,6
56,15,3
57,20,4
58,9,3
59,14,3
60,18,4
61,2,5
62,15,7
63,6,6
64,7,2
65,15,3
66,5,4
67,3,6
68,15,1
69,14,7
70,10,1
71,2,2
72,2,2
73,17,1
74,19,1
75,15,6
76,14,1
77,9,7
78,2,6
79,2,7
80,0,7
81,15,2
82,22,5
83,23,2
84,18,1
85,21,1
86,18,1
87,18,7
88,6,3
89,0,5
90,11,4
91,10,3
92,14,3
93,1,7
94,21,3
95,21,6
96,13,6
97,2,7
98,22,7
99,0,7
100,21,1
101,1,1
102,8,5
103,20,5
104,0,7
105,9,5
106,18,4
107,23,6
108,12,7
109,13,1
110,18,1
111,21,2
112,22,2
113,19,7
114,21,7
115,15,4
116,16,6
117,0,3
118,16,4
119,7,4
120,15,7
121,0,1
122,15,4
123,18,7
124,12,5
125,10,7
126,21,5
127,12,7
128,18,1
129,3,6
130,2,5
131,23,2
132,16,3
133,17,5
134,23,1
135,13,7
136,7,6
137,22,4
138,22,3
139,8,2
140,0,7
141,20,6
142,16,5
143,1,7
144,19,5
145,15,1
146,20,3
147,21,6
148,17,5
149,21,6
150,13,4
151,14,1
152,4,6
153,13,1
154,2,6
155,14,1
156,21,3
157,11,3
158,21,2
159,0,5
160,15,4
161,12,5
162,21,2
163,16,4
164,22,4
165,19,3
166,1,7
167,11,4
168,18,4
169,11,4
170,23,2
171,7,6
172,15,2
173,0,7
174,21,3
175,15,4
176,18,1
177,12,7
178,22,3
179,23,3
180,11,3
181,6,5
182,11,7
183,0,7
184,12,1
185,15,6
186,15,6
187,18,4
188,12,2
189,21,5
190,22,1
191,14,2
192,21,1
193,14,6
194,16,5
195,6,5
196,7,2
197,1,1
198,6,6
199,10,6
200,14,3
201,17,5
202,2,6
203,20,1
204,23,7
205,0,7
206,15,6
207,16,4
208,5,1
209,19,2
210,17,6
211,17,6
212,8,7
213,20,7
214,9,1
215,11,7
216,23,7
217,19,4
218,3,7
219,16,1
220,16,5
221,23,7
222,17,2
223,0,4
224,21,2
225,17,2
226,0,7
227,19,1
228,17,4
229,21,6
230,14,1
231,12,4
232,16,4
233,14,3
234,1,6
235,8,2
236,23,7
237,15,4
238,19,1
239,1,1
240,17,6
241,22,5
242,12,2
243,17,5
244,17,6
245,3,6
246,12,6
247,17,5
248,18,5
249,22,7
250,22,6
251,16,1
252,16,2
253,21,6
254,21,6
255,8,4
256,16,3
257,4,7
258,19,1
259,21,2
260,1,7
261,1,6
262,4,3
263,22,7
264,3,1
265,18,7
266,6,2
267,16,3
268,2,5
269,17,2
270,5,1
271,19,5
272,20,5
273,0,1
274,10,5
275,1,5
276,17,1
277,6,4
278,5,4
279,1,1
280,2,5
281,14,3
282,21,6
283,15,5
284,10,7
285,4,6
286,18,5
287,21,2
288,16,4
289,13,7
290,20,4
291,12,6
292,2,7
293,4,3
294,9,6
295,22,7
296,20,4
297,23,7
298,17,5
299,20,3
300,4,1
301,16,5
302,1,1
303,18,6
304,8,7
305,18,3
306,20,1
307,12,7
308,16,5
309,8,6
310,15,3
311,10,5
312,6,3
313,20,1
314,21,4
315,8,6
316,20,1
317,18,7
318,3,7
319,1,4
320,14,2
321,17,6
322,15,6
323,23,2
324,15,3
325,19,2
326,16,4
327,15,2
328,15,5
329,22,1
330,0,5
331,18,1
332,19,2
333,17,3
334,17,4
335,0,2
336,8,3
337,22,2
338,4,1
339,14,4
340,18,5
341,23,7
342,15,6
343,18,3
344,14,3
345,23,7
346,10,2
347,6,3
348,7,3
349,18,5
350,19,6
351,7,7
352,20,1
353,19,2
354,19,1
355,7,2
356,22,5
357,15,2
358,21,4
359,12,2
360,18,3
361,22,3
362,22,1
363,18,6
364,6,6
365,23,7
366,15,3
367,5,5
368,23,3
369,14,2
370,8,7
371,23,7
372,23,7
373,20,7
374,5,6
375,7,4
376,12,6
377,17,6
378,22,3
379,14,7
380,21,7
381,18,7
382,1,1
383,11,2
384,6,5
385,15,5
386,23,6
387,10,6
388,2,6
389,18,4
390,0,7
391,21,6
392,2,6
393,15,5
394,16,7
395,5,3
396,2,3
397,18,6
398,21,5
399,0,7
400,17,3
401,20,3
402,3,4
403,0,2
404,16,1
405,15,2
406,13,4
407,15,3
408,9,2
409,16,6
410,23,7
411,1,2
412,18,3
413,13,6
414,23,7
415,11,7
416,18,3
417,11,5
418,18,5
419,0,5
420,0,5
421,17,6
422,16,4
423,3,6
424,14,5
425,16,3
426,17,2
427,21,2
428,20,1
429,10,3
430,17,6
431,18,3
432,23,6
433,19,2
434,12,4
435,20,7
436,17,6
437,16,7
438,7,4
439,7,4
440,9,6
441,22,1
442,11,3
443,16,4
444,1,5
445,15,4
446,1,2
447,16,1
448,19,6
449,6,1
450,9,2
451,17,2
452,19,7
453,16,7
454,14,1
455,13,5
456,8,6
457,1,1
458,22,4
459,4,6
460,16,4
461,10,2
462,7,7
463,14,5
464,1,1
465,11,5
466,21,5
467,23,6
468,18,4
469,16,1
470,0,4
471,19,2
472,7,5
473,19,6
474,7,3
475,9,6
476,6,4
477,14,1
478,19,7
479,19,7
480,1,7
481,18,6
482,7,4
483,23,7
484,18,6
485,0,1
486,20,1
487,10,7
488,0,6
489,14,3
490,14,3
491,17,4
492,19,7
493,6,4
494,22,7
495,13,4
496,18,2
497,11,2
498,23,7
499,3,7
500,19,1
501,23,1
502,15,6
503,6,1
504,20,5
505,17,3
506,14,4
507,19,5
508,20,7
509,0,7
510,14,6
511,16,2
512,1,2
513,8,4
514,20,1
515,16,3
516,19,3
517,2,1
518,1,4
519,19,1
520,16,1
521,2,1
522,18,1
523,18,7
524,19,4
525,1,1
526,14,4
527,1,6
528,19,5
529,15,1
530,2,1
531,17,1
532,15,1
533,3,6
534,6,4
535,18,3
536,20,1
537,2,6
538,16,6
539,13,4
540,10,6
541,14,2
542,18,5
543,17,3
544,22,3
545,7,3
546,18,7
547,22,7
548,1,6
549,22,4
550,6,4
551,13,3
552,15,3
553,7,5
554,7,5
555,23,3
556,7,5
557,16,2
558,11,3
559,13,5
560,13,7
561,7,7
562,17,7
563,20,7
564,15,2
565,18,6
566,21,1
567,21,1
568,16,4
569,21,2
570,18,4
571,7,7
572,14,4
573,23,5
574,23,4
575,13,1
576,0,2
577,1,3
578,17,1
579,18,1
580,14,5
581,5,1
582,23,5
583,15,6
584,21,6
585,2,1
586,9,1
587,2,7
588,23,5
589,14,3
590,18,2
591,15,5
592,19,2
593,5,7
594,20,6
595,10,3
596,19,5
597,12,7
598,17,4
599,18,3
600,15,3
601,20,2
602,22,5
603,14,1
604,7,5
605,6,3
606,6,6
607,11,2
608,16,1
609,18,2
610,20,2
611,16,2
612,18,5
613,14,5
614,14,5
615,18,1
616,22,1
617,7,3
618,15,1
619,4,1
620,18,6
621,23,7
622,23,3
623,6,1
624,16,3
625,16,1
626,18,3
627,14,5
628,15,7
629,20,6
630,22,4
631,19,2
632,2,4
633,17,3
634,0,2
635,8,6
636,6,3
637,3,1
638,7,3
639,21,4
640,15,6
641,13,7
642,14,3
643,18,2
644,16,5
645,5,3
646,18,1
647,10,6
648,10,6
649,8,7
650,20,3
651,19,1
652,19,2
653,9,7
654,19,2
655,6,6
656,7,6
657,7,6
658,7,6
659,9,2
660,20,5
661,16,3
662,20,3
663,19,4
664,22,4
665,3,6
666,11,7
667,23,1
668,18,2
669,7,1
670,14,3
671,0,1
672,3,1
673,5,7
674,11,7
675,17,1
676,14,5
677,2,6
678,18,4
679,14,1
680,2,3
681,5,2
682,22,1
683,19,2
684,23,6
685,17,2
686,8,5
687,17,6
688,14,1
689,5,3
690,8,3
691,2,5
692,3,1
693,10,1
694,15,2
695,4,3
696,18,3
697,10,7
698,1,6
699,4,6
700,20,3
701,7,1
702,19,3
703,20,3
704,2,2
705,7,1
706,2,2
707,16,3
708,19,6
709,99,6
710,13,2
711,17,2
712,18,5
713,14,3
714,18,5
715,18,1
716,6,2
717,20,7
718,13,1
719,5,5
720,6,1
721,13,1
722,21,4
723,5,6
724,5,1
725,7,1
726,23,7
727,21,2
728,7,6
729,20,4
730,10,3
731,21,1
732,3,4
733,20,6
734,8,3
735,8,7
736,7,7
737,16,6
738,4,2
739,22,7
740,19,5
741,7,2
742,11,2
743,14,5
744,7,1
745,11,2
746,11,7
747,8,2
748,9,5
749,12,5
750,2,2
751,17,2
752,15,2
753,19,1
754,21,7
755,17,7
756,20,3
757,10,1
758,6,6
759,0,7
760,19,6
761,19,6
762,20,3
763,21,3
764,10,3
765,6,3
766,15,2
767,22,1
768,0,7
769,1,7
770,12,4
771,1,2
772,14,3
773,6,2
774,22,7
775,10,6
776,21,4
777,7,1
778,15,1
779,15,6
780,16,6
781,21,2
782,19,1
783,7,3
784,18,2
785,2,3
786,15,1
787,22,3
788,0,2
789,8,5
790,20,1
791,16,6
792,19,7
793,1,5
794,7,7
795,20,4
796,11,4
797,6,7
798,20,1
799,7,3
800,0,2
801,18,1
802,11,6
803,20,5
804,15,3
805,22,7
806,20,3
807,7,6
808,14,5
809,4,1
810,21,2
811,23,6
812,2,5
813,10,6
814,20,2
815,11,3
816,0,7
817,6,6
818,23,7
819,23,4
820,15,6
821,12,2
822,18,4
823,7,3
824,0,7
825,21,7
826,11,1
827,11,1
828,17,1
829,22,3
830,14,7
831,22,6
832,4,7
833,9,7
834,15,5
835,15,5
836,15,1
837,22,2
838,1,4
839,18,3
840,11,2
841,14,2
842,22,6
843,6,5
844,18,2
845,12,5
846,12,5
847,10,6
848,13,5
849,12,7
850,6,5
851,16,3
852,13,2
853,20,3
854,11,2
855,21,2
856,8,4
857,21,7
858,19,1
859,6,6
860,21,7
861,15,4
862,6,2
863,17,4
864,5,2
865,16,3
866,9,5
867,9,2
868,18,2
869,6,6
870,7,4
871,11,2
872,21,5
873,16,4
874,22,5
875,21,6
876,21,5
877,23,6
878,16,7
879,10,2
880,19,7
881,15,7
882,1,6
883,17,1
884,13,4
885,0,1
886,20,5
887,15,1
888,17,4
889,19,7
890,19,2
891,10,5
892,9,7
893,10,3
894,22,4
895,20,2
896,19,7
897,17,7
898,13,4
899,12,1
900,7,6
901,16,1
902,23,7
903,12,1
904,2,1
905,19,3
906,7,3
907,12,4
908,8,4
909,22,4
910,12,6
911,12,1
912,18,7
913,13,2
914,4,6
915,1,7
916,2,6
917,21,6
918,0,2
919,17,1
920,1,2
921,0,7
922,19,7
923,8,2
924,3,1
925,23,2
926,10,4
927,11,3
928,17,4
929,0,3
930,21,5
931,7,4
932,14,3
933,6,3
934,22,5
935,22,7
936,9,1
937,15,5
938,19,3
939,13,4
940,15,1
941,15,4
942,19,2
943,21,1
944,17,3
945,6,4
946,2,6
947,17,1
948,10,4
949,17,6
950,16,1
951,21,4
952,1,7
953,12,2
954,16,6
955,99,7
956,21,3
957,15,5
958,15,5
959,2,5
960,8,2
961,19,7
962,13,7
963,20,7
964,16,3
965,22,6
966,17,5
967,14,7
968,21,7
969,17,7
970,17,5
971,5,2
972,16,6
973,17,5
974,18,6
975,10,2
976,22,6
977,2,1
978,20,1
979,23,1
980,15,6
981,18,2
982,3,7
983,22,3
984,14,2
985,12,3
986,1,5
987,3,6
988,22,7
989,11,3
990,22,2
991,18,2
992,7,7
993,19,2
994,14,1
995,12,6
996,12,6
997,7,4
998,16,2
999,14,6
1000,2,1
1001,13,6
1002,12,1
1003,22,4
1004,1,4
1005,1,1
1006,4,7
1007,13,1
1008,16,1
1009,14,7
1010,23,2
1011,15,1
1012,2,4
1013,8,1
1014,16,5
1015,16,6
1016,14,5
1017,6,3
1018,20,3
1019,23,5
1020,11,1
1021,13,1
1022,14,4
1023,16,7
1024,8,5
1025,15,1
1026,3,4
1027,23,6
1028,16,6
1029,15,4
1030,2,1
1031,15,2
1032,21,4
1033,13,1
1034,14,2
1035,9,2
1036,17,3
1037,17,5
1038,4,2
1039,18,6
1040,19,2
1041,22,3
1042,22,5
1043,2,4
1044,0,7
1045,22,6
1046,23,7
1047,11,3
1048,4,1
1049,6,5
1050,5,5
1051,3,7
1052,18,5
1053,22,2
1054,15,6
1055,6,6
1056,13,7
1057,8,3
1058,6,3
1059,23,3
1060,14,6
1061,10,4
1062,0,5
1063,8,4
1064,6,6
1065,12,4
1066,17,1
1067,23,5
1068,15,2
1069,15,2
1070,1,1
1071,9,3
1072,16,4
1073,21,5
1074,19,7
1075,22,3
1076,21,2
1077,9,1
1078,19,1
1079,22,1
1080,9,4
1081,6,4
1082,6,2
1083,5,7
1084,5,7
1085,19,4
1086,23,7
1087,14,3
1088,20,4
1089,21,5
1090,8,1
1091,16,2
1092,4,7
1093,3,2
1094,3,3
1095,2,7
1096,0,5
1097,19,3
1098,12,2
1099,20,1
1100,11,5
1101,14,6
1102,21,1
1103,18,6
1104,2,7
1105,3,7
1106,2,7
1107,16,1
1108,1,2
1109,23,1
1110,14,7
1111,13,4
1112,11,5
1113,13,5
1114,22,6
1115,7,3
1116,5,5
1117,0,4
1118,22,1
1119,23,2
1120,22,5
1121,8,4
1122,21,2
1123,17,7
1124,20,7
1125,0,7
1126,13,7
1127,22,4
1128,19,3
1129,15,2
1130,4,6
1131,7,5
1132,3,7
1133,4,7
1134,12,1
1135,1,6
1136,14,6
1137,21,7
1138,8,5
1139,10,2
1140,18,5
1141,16,1
1142,15,3
1143,2,1
1144,2,2
1145,9,6
1146,10,7
1147,4,6
1148,16,5
1149,6,5
1150,20,2
1151,20,2
1152,15,2
1153,0,7
1154,17,6
1155,20,2
1156,21,1
1157,0,2
1158,21,7
1159,10,3
1160,20,1
1161,18,2
1162,4,4
1163,18,3
1164,5,7
1165,23,1
1166,6,2
1167,8,3
1168,19,7
1169,0,5
1170,16,6
1171,21,6
1172,10,4
1173,2,3
1174,20,7
1175,22,4
1176,5,7
1177,22,4
1178,16,7
1179,9,5
1180,10,3
1181,8,1
1182,18,3
1183,13,7
1184,21,2
1185,6,5
1186,22,5
1187,4,7
1188,14,5
1189,11,4
1190,16,4
1191,7,7
1192,10,6
1193,17,7
1194,18,3
1195,15,4
1196,4,6
1197,17,3
1198,20,3
1199,15,4
1200,3,7
1201,12,3
1202,5,3
1203,18,7
1204,16,6
1205,10,4
1206,9,6
1207,9,7
1208,19,7
1209,15,2
1210,10,1
1211,23,6
1212,21,5
1213,13,6
1214,17,4
1215,21,3
1216,16,7
1217,17,5
1218,5,4
1219,16,7
1220,16,7
1221,11,1
1222,2,6
1223,2,7
1224,6,2
1225,20,1
1226,21,7
1227,1,1
1228,7,3
1229,16,3
1230,15,1
1231,13,4
1232,18,4
1233,0,7
1234,16,5
1235,4,2
1236,9,4
1237,21,1
1238,12,1
1239,21,7
1240,15,1
1241,20,2
1242,16,4
1243,21,6
1244,20,2
1245,1,1
1246,13,6
1247,14,6
1248,16,6
1249,7,4
1250,18,7
1251,14,2
1252,1,3
1253,12,6
1254,7,6
1255,2,7
1256,7,6
1257,9,6
1258,9,6
1259,19,1
1260,12,2
1261,3,6
1262,9,3
1263,22,1
1264,9,3
1265,0,1
1266,10,1
1267,1,2
1268,15,6
1269,1,1
1270,12,2
1271,21,7
1272,9,4
1273,1,7
1274,12,4
1275,15,7
1276,16,6
1277,13,2
1278,14,7
1279,13,5
1280,7,2
1281,19,2
1282,14,2
1283,13,1
1284,13,1
1285,9,3
1286,20,6
1287,9,7
1288,11,2
1289,16,7
1290,12,2
1291,22,1
1292,19,5
1293,22,5
1294,23,6
1295,21,4
1296,6,1
1297,0,6
1298,17,6
1299,12,7
1300,8,1
1301,11,7
1302,21,5
1303,20,1
1304,13,2
1305,22,1
1306,19,6
1307,21,7
1308,99,2
1309,19,7
1310,21,3
1311,2,2
1312,17,1
1313,13,4
1314,19,2
1315,20,6
1316,18,7
1317,14,5
1318,8,3
1319,3,4
1320,15,3
1321,23,7
1322,17,5
1323,10,6
1324,20,6
