,acchr,dayofweek
0,8,2
1,19,6
2,17,1
3,18,4
4,13,2
5,18,7
6,0,1
7,20,1
8,14,6
9,15,2
10,0,4
11,5,6
12,15,3
13,18,7
14,13,7
15,6,2
16,23,5
17,5,5
18,12,4
19,13,7
20,13,1
21,0,1
22,22,5
23,21,5
24,9,3
25,22,7
26,14,3
27,9,7
28,1,7
29,6,2
30,18,4
31,2,1
32,2,5
33,17,3
34,16,4
35,12,7
36,15,7
37,6,6
38,7,2
39,16,4
40,15,3
41,15,3
42,3,6
43,15,1
44,14,7
45,10,1
46,2,2
47,17,1
48,19,1
49,15,6
50,2,6
51,2,7
52,0,7
53,22,5
54,23,2
55,18,1
56,21,1
57,18,1
58,18,7
59,6,3
60,0,5
61,10,3
62,14,3
63,1,7
64,21,6
65,13,6
66,2,7
67,22,7
68,1,1
69,8,5
70,15,7
71,22,6
72,23,5
73,15,4
74,9,5
75,18,4
76,11,7
77,13,7
78,17,3
79,5,7
80,12,7
81,22,4
82,13,1
83,18,1
84,21,2
85,22,2
86,16,4
87,15,2
88,5,4
89,15,4
90,16,6
91,0,3
92,16,4
93,21,3
94,14,5
95,0,1
96,19,4
97,23,6
98,19,5
99,18,7
100,12,5
101,17,4
102,10,7
103,21,5
104,13,7
105,18,7
106,18,1
107,3,5
108,2,5
109,23,2
110,16,3
111,17,5
112,21,2
113,13,7
114,7,6
115,22,4
116,22,3
117,8,2
118,5,7
119,19,1
120,11,4
121,15,7
122,14,5
123,12,5
124,21,2
125,1,7
126,22,7
127,15,3
128,16,5
129,7,5
130,1,7
131,15,1
132,7,6
133,16,6
134,19,6
135,20,6
136,9,4
137,18,7
138,19,5
139,15,1
140,20,3
141,21,6
142,17,5
143,21,6
144,13,4
145,14,1
146,4,6
147,13,1
148,2,6
149,14,1
150,21,5
151,21,3
152,11,3
153,11,6
154,20,7
155,5,4
156,21,2
157,0,5
158,21,4
159,14,2
160,17,6
161,20,7
162,14,3
163,15,4
164,12,5
165,21,2
166,16,4
167,22,4
168,19,3
169,1,7
170,11,4
171,20,4
172,23,2
173,15,2
174,0,7
175,15,4
176,15,1
177,17,6
178,7,7
179,21,1
180,12,7
