,acchr,dayofweek
0,7,2
1,17,1
2,18,7
3,1,4
4,7,6
5,6,2
6,8,2
7,18,3
8,18,3
9,17,7
10,9,7
11,16,2
12,11,6
13,17,7
14,12,2
15,8,2
16,11,3
17,17,2
18,19,7
19,12,1
20,9,7
21,4,5
22,11,4
23,0,1
24,12,4
25,16,3
26,9,5
27,10,6
28,20,6
29,7,4
30,15,6
31,12,1
32,12,2
33,15,3
34,10,2
35,13,4
36,7,4
37,12,6
38,6,6
39,6,6
40,9,4
41,1,4
42,7,4
43,14,4
44,15,6
45,4,6
46,12,1
47,18,7
48,1,1
49,11,4
50,21,5
51,14,6
52,18,7
53,9,3
54,9,3
55,13,5
56,16,7
57,9,7
58,16,2
59,11,5
60,15,3
61,9,6
62,10,7
63,15,7
64,4,5
65,9,5
66,15,1
67,15,6
68,6,6
69,10,3
70,10,3
71,2,4
72,13,6
73,16,1
74,20,6
75,20,6
76,6,4
77,15,3
78,15,4
79,7,1
80,19,7
81,6,5
82,8,4
83,11,4
84,16,2
85,19,2
86,19,2
87,23,3
88,17,4
89,17,6
90,7,7
91,12,7
92,8,4
93,4,6
94,15,2
95,16,2
96,10,6
97,18,2
98,11,3
99,19,1
100,20,7
101,12,4
102,5,7
103,18,7
104,22,3
105,12,7
106,14,3
107,14,5
108,8,5
109,14,3
110,0,7
111,12,2
112,14,4
113,18,5
114,9,2
115,20,5
116,17,3
117,10,6
118,11,5
119,6,6
120,9,6
121,14,4
122,21,1
123,5,5
124,9,5
125,8,2
126,11,1
127,9,4
128,14,4
129,18,1
130,15,3
131,4,5
132,10,1
133,9,2
134,20,2
135,8,4
136,11,4
137,12,3
138,17,3
139,23,4
140,15,5
141,11,3
142,18,3
143,13,2
144,10,4
145,11,2
146,1,3
147,22,5
148,11,4
149,3,7
150,5,2
151,22,5
152,5,7
153,9,2
154,11,2
155,13,6
156,16,3
157,17,1
158,11,2
159,14,4
160,0,5
161,17,6
162,19,1
163,9,4
164,14,1
165,15,7
166,18,1
167,9,2
168,12,3
169,18,4
170,5,2
171,4,1
172,13,3
173,13,1
174,21,3
175,14,3
176,0,4
177,17,6
178,16,6
179,17,2
180,14,3
181,23,2
182,12,1
183,20,7
184,15,1
185,9,1
186,15,7
187,10,7
188,15,4
189,16,2
190,14,2
191,13,5
192,4,6
193,8,1
194,3,2
195,9,2
196,15,3
197,14,6
198,22,7
199,11,7
200,7,1
201,5,6
202,16,7
203,14,3
204,20,4
205,9,1
206,0,2
207,20,2
208,23,7
209,1,1
210,4,1
211,15,3
212,7,3
213,15,7
214,0,4
215,10,2
216,9,7
217,14,7
218,16,4
219,11,5
220,7,1
221,11,2
222,17,3
223,12,2
224,13,6
225,16,2
226,10,6
227,12,2
228,12,2
229,6,2
230,12,7
231,16,5
232,8,6
233,17,4
234,7,2
235,14,3
236,1,6
237,19,6
238,19,6
239,0,6
240,17,6
241,15,4
242,6,6
243,15,2
244,13,5
245,16,4
246,12,7
247,10,6
248,10,5
249,21,6
250,3,6
251,15,4
252,2,1
253,23,2
254,11,3
255,14,5
256,10,1
257,7,4
258,7,3
259,9,5
260,13,5
261,20,3
262,20,7
263,15,1
264,14,3
265,14,3
266,14,5
267,20,6
268,12,2
269,9,5
270,5,2
271,9,4
272,14,1
273,5,5
274,5,5
275,20,6
276,14,5
277,9,1
278,9,1
279,6,4
280,2,7
281,11,1
282,16,1
283,21,3
284,12,3
285,12,3
286,9,4
287,17,4
288,13,3
289,21,3
290,19,5
291,5,6
292,14,2
293,13,2
294,0,2
295,19,5
296,22,4
297,12,1
298,22,4
299,11,2
300,18,5
301,18,6
302,16,6
303,10,1
304,20,6
305,13,5
306,7,3
307,20,3
308,8,5
309,11,5
310,13,3
311,8,2
312,10,6
313,16,4
314,18,2
315,19,2
316,8,2
317,21,2
318,22,7
319,5,3
320,10,4
321,21,2
322,2,1
323,14,6
324,9,6
325,6,4
326,19,6
327,12,3
328,2,4
329,17,4
330,15,4
331,16,6
332,13,4
333,15,5
334,17,7
335,20,5
336,13,7
337,16,3
338,20,3
339,11,3
340,2,4
341,16,2
342,11,5
343,16,4
344,12,1
345,21,5
346,22,2
347,19,3
348,20,3
349,12,2
350,15,6
351,18,1
352,22,5
353,15,2
354,7,5
355,10,3
356,18,1
357,12,7
358,21,3
359,23,7
360,13,2
361,18,3
362,18,3
363,16,4
364,20,5
365,15,1
366,16,2
367,9,3
368,12,5
369,13,6
370,14,6
371,12,3
372,12,3
373,16,5
374,17,6
375,20,4
376,14,6
377,15,4
378,13,4
379,10,3
380,9,7
381,6,5
382,3,6
383,10,6
384,9,2
385,15,3
386,11,3
387,20,7
388,15,1
389,23,2
390,15,1
391,15,1
392,6,5
393,16,6
394,6,2
395,10,3
396,11,5
397,9,6
398,15,2
399,14,6
400,11,2
401,4,3
402,21,6
403,15,4
404,5,6
405,5,4
406,12,7
407,12,6
408,5,6
409,11,6
410,11,2
411,16,5
412,11,7
413,10,5
414,11,7
415,22,4
416,20,7
417,18,3
418,7,3
419,18,7
420,16,1
421,6,3
422,7,6
423,14,7
424,14,7
425,9,2
426,15,4
427,17,2
428,1,5
429,9,3
430,16,4
431,20,3
432,11,4
433,23,2
434,10,1
435,20,7
436,17,2
437,17,2
438,14,6
439,8,5
440,16,7
441,20,1
442,16,5
443,13,4
444,9,2
445,16,4
446,18,3
447,7,3
448,13,3
449,7,5
450,14,7
451,13,6
452,14,6
453,7,6
454,22,6
455,14,6
456,17,5
457,14,6
458,7,2
459,17,1
460,4,5
461,14,6
462,19,6
463,12,6
464,6,5
465,16,4
466,18,3
467,5,4
468,16,4
469,12,5
470,12,4
471,20,1
472,21,2
473,8,1
474,16,1
475,18,7
476,8,1
477,18,4
478,15,1
479,13,5
480,20,6
481,21,6
482,17,6
483,22,4
484,6,6
485,20,1
486,18,5
487,15,5
488,17,6
489,18,1
490,17,4
491,11,2
492,15,3
493,15,3
494,10,2
495,15,4
496,7,2
497,13,3
498,16,7
499,7,2
500,12,4
501,12,1
502,14,1
503,14,1
504,15,1
505,4,4
506,17,2
507,18,4
508,5,6
509,16,3
510,6,1
511,21,7
512,10,2
513,16,3
514,4,6
515,23,1
516,7,2
517,8,4
518,17,6
519,12,3
520,14,7
521,8,2
522,10,6
523,20,5
524,14,3
525,20,3
526,12,7
527,2,1
528,7,5
529,15,2
530,10,4
531,14,3
532,3,1
533,22,7
534,21,2
535,14,4
536,14,4
537,9,7
538,16,2
539,16,2
540,15,6
541,16,5
542,4,5
543,12,5
544,21,6
545,16,3
546,12,4
547,15,4
548,9,4
549,18,1
550,12,5
551,16,5
552,10,2
553,12,4
554,18,7
555,9,5
556,5,2
557,10,3
558,13,7
559,10,4
560,12,7
561,9,3
562,19,7
563,16,2
564,11,7
565,9,4
566,2,6
567,16,4
568,15,7
569,6,4
570,16,3
571,0,1
572,8,4
573,9,2
574,15,3
575,0,2
576,19,1
577,13,3
578,8,5
579,0,7
580,8,2
581,15,3
582,17,5
583,14,4
584,5,2
585,11,3
586,22,6
587,13,1
588,15,1
589,6,2
590,20,7
591,15,2
592,7,2
593,11,7
594,16,2
595,14,4
596,15,5
597,15,7
598,19,2
599,6,5
600,15,4
601,12,2
602,14,7
603,8,7
604,7,7
605,14,2
606,11,6
607,5,2
608,18,2
609,10,2
610,10,2
611,4,7
612,10,4
613,19,3
614,13,2
615,13,1
616,16,5
617,13,3
618,14,2
619,14,2
620,19,5
621,17,5
622,5,3
623,21,2
624,12,2
625,13,4
626,21,7
627,17,1
628,11,4
629,14,6
630,14,6
631,10,2
632,17,6
633,18,4
634,23,7
635,3,7
636,11,7
637,11,4
638,11,4
639,10,5
640,15,6
641,16,1
642,21,4
643,11,4
644,13,6
645,10,7
646,0,1
647,19,5
648,13,3
649,13,2
650,5,3
651,15,3
652,13,6
653,0,2
654,12,7
655,17,7
656,23,5
657,8,2
658,12,6
659,13,7
660,3,7
661,13,3
662,5,5
663,18,4
664,6,4
665,16,3
666,16,7
667,3,1
668,14,1
669,13,1
670,6,3
671,11,6
672,21,7
673,12,7
674,11,4
675,14,2
676,20,3
677,5,1
678,2,1
679,14,3
680,6,4
681,13,7
682,13,2
683,14,7
684,8,4
685,6,5
686,9,7
687,13,7
688,6,7
689,17,7
690,15,5
691,99,6
692,15,7
693,14,4
694,7,7
695,19,4
696,9,7
697,15,3
698,12,2
699,14,5
700,18,3
701,10,4
702,18,6
703,19,7
704,18,1
705,5,5
706,12,5
707,20,6
708,21,1
709,12,4
710,20,3
711,12,2
712,10,2
713,9,1
714,0,5
715,2,6
716,11,4
717,13,2
718,16,1
719,14,5
720,4,4
721,13,2
722,21,4
723,16,4
724,12,3
725,6,2
726,20,7
727,11,5
728,2,1
729,11,3
730,9,5
731,9,6
732,18,4
733,7,6
734,12,5
735,14,7
736,17,6
737,21,5
738,12,7
739,11,7
740,23,4
741,18,7
742,13,2
743,8,1
744,17,3
745,6,6
746,11,7
747,16,1
748,17,4
749,17,4
750,11,6
751,6,5
752,22,3
753,13,5
754,19,2
755,13,1
756,13,6
757,20,5
758,15,3
759,12,1
760,5,7
761,20,4
762,9,4
763,9,3
764,16,7
765,17,4
766,13,2
767,21,6
768,12,4
769,15,6
770,14,7
771,4,3
772,11,4
773,11,2
774,5,6
775,17,6
776,18,1
777,6,3
778,12,4
779,14,6
780,13,6
781,16,2
782,9,3
783,6,5
784,6,5
785,9,2
786,9,6
787,19,7
788,9,2
789,5,7
790,1,6
791,14,4
792,11,4
793,23,5
794,6,6
795,16,6
796,14,1
797,12,1
798,10,1
799,7,7
800,20,1
801,11,1
802,7,2
803,10,3
804,14,3
805,14,1
806,16,7
807,14,5
808,6,2
809,19,7
810,13,7
811,13,2
812,16,3
813,18,7
814,4,3
815,3,3
816,17,4
817,14,5
818,5,2
819,5,1
820,11,3
821,15,5
822,22,4
823,13,6
824,6,4
825,14,4
826,4,5
827,13,1
828,0,4
829,11,1
830,10,4
831,22,5
832,8,5
833,7,3
834,12,7
835,18,5
836,11,5
837,11,3
838,13,5
839,23,6
840,7,6
841,17,5
842,10,3
843,16,4
844,16,4
845,11,4
846,7,6
847,16,1
848,12,7
849,6,2
850,9,2
851,10,1
852,21,7
853,12,6
854,16,7
855,18,2
856,18,2
857,17,6
858,20,5
859,20,1
860,22,2
861,8,5
862,8,5
863,22,2
864,12,3
865,11,5
866,21,2
867,7,4
868,13,2
869,8,3
870,17,2
871,20,5
872,17,6
873,16,5
874,7,7
875,12,5
876,9,4
877,9,6
878,14,4
879,13,7
880,11,1
881,14,3
882,15,5
883,22,1
884,15,2
885,21,1
886,15,2
887,15,2
888,15,6
889,8,3
890,14,6
891,9,4
892,0,1
893,99,6
894,13,1
895,1,7
896,13,1
897,15,3
898,11,5
899,14,4
900,8,3
901,16,4
902,13,1
903,8,5
904,10,7
905,14,3
906,5,6
907,6,3
908,1,3
909,7,2
910,9,3
911,9,6
912,18,7
913,5,6
914,8,5
915,17,7
916,4,7
917,16,7
918,0,7
919,12,2
920,12,7
921,12,1
922,10,3
923,15,6
924,11,5
925,22,3
926,13,4
927,17,5
928,8,6
929,17,7
930,19,3
931,12,5
932,13,6
933,14,5
934,20,2
935,23,1
936,18,3
937,18,3
938,14,6
939,16,6
940,19,4
941,16,2
942,22,1
943,8,1
944,8,7
945,21,4
946,11,5
947,21,7
948,8,7
949,16,5
950,11,4
951,12,7
952,17,6
953,17,6
954,10,7
955,15,3
956,12,2
957,18,3
958,7,6
959,12,1
960,3,5
961,0,3
962,8,6
963,16,1
964,12,4
965,2,1
966,8,2
967,14,3
968,14,3
969,16,5
970,13,7
971,14,4
972,21,3
973,2,7
974,8,2
975,9,2
976,7,4
977,17,2
978,19,1
979,6,5
980,13,7
981,12,6
982,16,6
983,2,7
984,13,7
985,14,3
986,6,2
987,8,5
988,6,2
989,6,6
990,10,3
991,7,4
992,16,2
993,7,1
994,18,6
995,6,5
996,21,5
997,19,6
998,8,6
999,14,6
1000,17,3
1001,20,2
1002,8,7
1003,13,2
1004,12,7
1005,17,1
1006,16,3
1007,14,7
1008,8,7
1009,1,2
1010,10,2
1011,11,6
1012,7,1
1013,2,1
1014,0,5
1015,6,4
1016,7,4
1017,22,7
1018,17,7
1019,16,6
1020,15,7
1021,6,5
1022,7,5
1023,13,7
1024,4,6
1025,19,1
1026,10,6
1027,16,3
1028,13,4
1029,2,1
1030,5,4
1031,7,7
