,acchr,dayofweek
0,17,1
1,18,4
2,13,2
3,18,7
4,15,2
5,13,7
6,22,5
7,21,5
8,9,3
9,9,7
10,16,4
11,12,7
12,6,6
13,16,4
14,15,3
15,15,1
16,14,7
17,10,1
18,2,2
19,0,7
20,22,5
21,18,7
22,6,3
23,0,5
24,10,3
25,13,6
26,22,7
27,8,5
28,22,6
29,15,4
30,11,7
31,17,3
32,22,2
33,15,4
34,16,6
35,0,3
36,0,1
37,23,6
38,10,7
39,21,5
40,18,7
41,21,2
42,7,6
43,22,4
44,8,2
45,5,7
46,19,1
47,14,5
48,7,5
49,1,7
50,15,1
51,7,6
52,20,6
53,9,4
54,15,1
55,20,3
56,17,5
57,21,6
58,14,1
59,13,1
60,2,6
61,14,1
62,21,5
63,21,3
64,21,4
65,17,6
66,20,7
67,15,4
68,16,4
69,11,4
70,15,1
71,17,6
72,21,1
73,12,3
74,17,7
75,15,5
76,6,5
77,11,7
78,11,7
79,12,1
80,15,6
81,18,4
82,21,1
83,6,5
84,1,1
85,10,6
86,14,3
87,17,5
88,2,6
89,18,6
90,17,2
91,17,2
92,20,7
93,1,4
94,15,7
95,16,2
96,3,5
97,23,7
98,15,6
99,17,6
100,17,6
101,9,1
102,12,6
103,15,4
104,14,7
105,7,5
106,11,3
107,17,6
108,9,7
109,18,6
110,12,2
111,12,2
112,17,5
113,12,6
114,14,2
115,17,3
116,23,7
117,7,3
118,20,6
119,19,4
120,21,2
121,1,6
122,22,7
123,18,7
124,16,3
125,6,2
126,2,5
127,12,3
128,17,2
129,5,1
130,13,2
131,20,5
132,6,4
133,14,3
134,11,6
135,11,2
136,13,7
137,17,7
138,20,4
139,9,6
140,7,6
141,22,7
142,23,7
143,19,3
144,15,3
145,16,5
146,18,3
147,18,6
148,8,7
149,6,6
150,16,5
151,10,5
152,17,3
153,18,7
154,17,6
155,15,6
156,23,3
157,15,7
158,20,5
159,19,2
160,16,4
161,15,2
162,15,5
163,19,2
164,4,1
165,0,2
166,23,7
167,16,3
168,7,4
169,14,7
170,2,7
171,14,3
172,99,3
173,10,2
174,15,6
175,16,4
176,14,3
177,18,7
178,18,3
179,17,1
180,22,1
181,22,1
182,1,1
183,0,3
184,15,5
185,10,6
186,15,3
187,4,3
188,18,1
189,17,4
190,15,1
191,16,7
192,2,3
193,22,6
194,20,3
195,17,3
196,20,3
197,3,4
198,0,2
199,15,2
200,16,4
201,13,4
202,23,7
203,22,1
204,13,6
205,21,5
206,16,4
207,20,2
208,18,5
209,17,6
210,14,5
211,16,3
212,21,2
213,10,3
214,9,3
215,23,6
216,22,6
217,23,7
218,20,2
219,12,4
220,20,7
221,15,6
222,14,6
223,21,2
224,17,5
225,16,2
226,16,7
227,7,4
228,7,4
229,9,6
230,16,4
231,15,4
232,1,2
233,17,2
234,13,6
235,12,6
236,11,1
237,17,3
238,13,7
239,16,4
240,23,4
241,1,3
242,1,6
243,9,7
244,20,7
245,0,1
246,1,4
247,23,7
248,13,4
249,21,4
250,6,3
251,13,2
252,16,1
253,7,6
254,19,2
255,19,6
256,7,5
257,9,6
258,19,7
259,18,6
260,14,3
261,17,4
262,19,7
263,22,7
264,15,4
265,18,1
266,5,5
267,12,5
268,21,6
269,18,2
270,8,2
271,15,6
272,21,6
273,13,6
274,23,7
275,19,1
276,15,6
277,17,3
278,17,6
279,7,3
280,16,3
281,14,4
282,16,1
283,14,4
284,15,2
285,12,7
286,23,3
287,17,3
288,14,6
289,18,7
290,18,3
291,19,2
292,23,2
293,11,2
294,14,1
295,18,3
296,15,4
297,13,5
298,0,3
299,16,7
300,18,2
301,21,2
302,16,4
303,23,3
304,7,3
305,18,7
306,17,2
307,23,7
308,19,6
309,22,6
310,6,4
311,13,3
312,17,1
313,15,3
314,7,5
315,7,5
316,13,7
317,7,7
318,2,7
319,17,7
320,20,7
321,8,1
322,12,6
323,15,2
324,18,6
325,21,1
326,21,1
327,16,4
328,23,5
329,23,4
330,0,2
331,21,1
332,23,5
333,15,6
334,19,4
335,23,5
336,23,4
337,16,1
338,17,2
339,11,2
340,10,3
341,12,7
342,17,4
343,18,3
344,6,3
345,6,6
346,11,2
347,20,2
348,17,7
349,16,2
350,15,5
351,18,7
352,7,3
353,15,1
354,12,6
355,15,1
356,4,1
357,18,6
358,11,5
359,5,4
360,23,7
361,15,1
362,6,1
363,21,3
364,17,6
365,2,7
366,10,1
367,16,1
368,5,3
369,17,1
370,23,7
371,15,2
372,14,3
373,20,7
374,0,6
375,8,1
376,14,5
377,15,7
378,7,2
379,21,4
380,20,6
381,16,7
382,13,6
383,19,2
384,5,3
385,19,5
386,16,2
387,17,4
388,20,3
389,20,3
390,14,7
391,9,3
392,6,3
393,12,3
394,21,4
395,15,6
396,14,3
397,18,2
398,5,3
399,18,1
400,10,6
401,10,6
402,7,2
403,20,2
404,6,6
405,7,6
406,7,6
407,9,2
408,16,3
409,20,3
410,3,6
411,14,3
412,18,4
413,8,2
414,11,7
415,14,5
416,14,1
417,2,3
418,22,1
419,17,2
420,14,1
421,8,3
422,10,1
423,15,2
424,10,7
425,4,6
426,2,2
427,19,6
428,19,4
429,13,2
430,18,1
431,13,1
432,19,4
433,5,6
434,5,1
435,19,7
436,7,1
437,12,1
438,23,7
439,3,7
440,10,3
441,21,1
442,20,6
443,8,3
444,7,7
445,3,3
446,7,2
447,7,3
448,2,2
449,1,4
450,12,5
451,18,6
452,2,1
453,17,7
454,7,5
455,17,3
456,23,6
457,7,3
458,19,6
459,23,7
460,10,1
461,6,6
462,13,7
463,0,3
464,15,2
465,22,1
466,1,7
467,14,3
468,21,5
469,14,6
470,6,2
471,22,7
472,10,6
473,7,1
474,18,5
475,16,3
476,11,5
477,16,6
478,5,7
479,20,3
480,2,1
481,2,3
482,12,5
483,15,1
484,14,3
485,0,2
486,8,5
487,5,5
488,4,5
489,9,3
490,20,4
491,7,3
492,11,5
493,11,3
494,11,6
495,19,2
496,22,7
497,20,3
498,7,6
499,1,3
500,11,3
501,6,3
502,20,1
503,17,5
504,15,1
505,21,2
506,10,6
507,14,2
508,12,5
509,22,7
510,15,6
511,21,1
512,12,7
513,23,7
514,15,6
515,16,4
516,14,2
517,18,4
518,7,3
519,14,1
520,21,7
521,11,1
522,11,1
523,17,1
524,14,7
525,7,5
526,22,6
527,13,1
528,5,4
529,20,5
530,15,1
531,22,2
532,18,3
533,14,2
534,16,3
535,22,6
536,6,5
537,12,5
538,12,5
539,10,6
540,13,5
541,12,7
542,10,5
543,6,5
544,11,2
545,8,4
546,6,6
547,18,7
548,17,2
549,20,6
550,6,4
551,18,6
552,10,6
553,16,6
554,15,2
555,21,7
556,6,2
557,16,5
558,10,1
559,14,5
560,22,6
561,17,4
562,5,2
563,8,4
564,16,7
565,15,3
566,17,4
567,7,7
568,14,6
569,16,3
570,12,7
571,8,6
572,7,6
573,7,4
574,16,7
575,22,6
576,19,1
577,12,1
578,15,4
579,12,7
580,20,4
581,9,5
582,18,2
583,6,6
584,21,5
585,16,4
586,21,6
587,10,2
588,1,6
589,17,1
590,13,4
591,20,5
592,15,1
593,17,4
594,9,4
595,19,2
596,10,5
597,5,4
598,20,2
599,20,2
600,0,6
601,19,7
602,17,7
603,16,2
604,12,1
605,7,6
606,20,7
607,12,6
608,17,6
609,16,1
610,12,3
611,23,7
612,21,7
613,12,6
614,18,3
615,11,2
616,19,3
617,13,7
618,20,7
619,18,3
620,8,4
621,18,7
622,13,2
623,6,3
624,1,7
625,20,2
626,2,6
627,2,1
628,5,2
629,15,7
630,22,3
631,17,1
632,6,6
633,19,7
634,8,2
635,10,4
636,20,5
637,0,3
638,21,7
639,7,7
640,15,1
641,6,2
642,15,7
643,0,6
644,14,4
645,9,6
646,18,7
647,12,7
648,0,2
649,10,5
650,7,4
651,7,4
652,14,3
653,6,3
654,9,2
655,22,7
656,6,5
657,15,3
658,16,5
659,18,1
660,13,7
661,15,4
662,21,1
663,17,3
664,2,6
665,17,6
666,16,1
667,16,6
668,19,7
669,10,4
670,13,7
671,16,3
672,17,7
673,17,5
674,16,6
675,17,5
676,19,2
677,12,6
678,16,5
679,14,2
680,14,2
681,2,1
682,8,1
683,15,4
684,18,5
685,18,6
686,16,3
687,7,4
688,6,5
689,13,6
690,16,7
691,20,1
692,22,6
693,11,5
694,5,6
695,22,4
696,9,1
697,9,3
698,18,1
699,6,4
700,10,2
701,17,2
702,19,5
703,5,3
704,15,6
705,12,3
706,1,5
707,3,6
708,22,7
709,12,6
710,7,4
711,16,2
712,14,6
713,22,4
714,1,1
715,16,1
716,14,7
717,23,2
718,14,5
719,6,3
720,11,1
721,13,1
722,16,7
723,5,1
724,23,6
725,15,4
726,15,2
727,21,4
728,13,1
729,9,2
730,17,3
731,19,2
732,11,3
733,11,1
734,14,7
735,22,6
736,6,6
737,23,7
738,11,3
739,15,5
740,16,5
741,10,4
742,19,7
743,10,5
744,14,4
745,6,3
746,18,2
747,12,1
748,14,6
749,10,4
750,8,4
751,8,4
752,15,6
753,2,7
754,17,6
755,12,4
756,9,2
757,7,5
758,16,1
759,17,1
760,17,1
761,9,3
762,11,3
763,15,2
764,15,2
765,17,5
766,23,5
767,19,2
768,5,7
769,18,4
770,9,3
771,16,4
772,18,3
773,12,3
774,9,1
775,14,2
776,12,6
777,11,6
778,14,7
779,12,2
780,23,7
781,19,1
782,15,4
783,9,4
784,20,3
785,12,1
786,6,2
787,13,1
788,19,3
789,9,3
790,5,7
791,5,7
