,acchr,dayofweek
0,16,4
1,12,6
2,18,3
3,9,6
4,9,6
5,14,6
6,14,4
7,14,5
8,13,6
9,2,2
10,16,3
11,16,3
12,12,2
13,5,6
14,17,3
15,16,4
16,10,6
17,3,4
18,13,7
19,16,6
20,11,4
21,22,7
22,13,2
23,13,2
24,16,5
25,17,1
26,22,6
27,20,6
28,11,2
29,19,3
30,22,7
31,22,6
32,3,2
33,18,6
34,18,6
35,19,2
36,19,2
37,21,6
38,15,6
39,15,2
40,5,2
41,10,1
42,13,5
43,11,2
44,11,2
45,15,5
46,17,1
47,23,4
48,15,2
49,9,5
50,21,4
51,15,5
52,13,7
53,0,2
54,6,7
55,16,1
56,16,1
57,13,4
58,7,5
59,7,5
60,14,7
61,23,3
62,21,5
63,22,2
64,18,4
65,3,7
66,17,3
67,7,5
68,10,6
69,17,1
70,17,1
71,15,4
72,13,2
73,13,2
74,16,5
75,19,7
76,22,6
77,11,2
78,18,6
79,14,3
80,19,3
81,10,4
82,20,1
83,13,1
84,5,5
85,18,2
86,14,3
87,20,4
88,15,7
89,14,2
90,14,2
91,8,4
92,13,5
93,13,5
94,12,3
95,21,6
96,7,2
97,18,1
98,18,1
99,18,3
100,13,4
101,20,2
102,5,5
103,5,5
104,5,5
105,12,2
106,10,7
107,15,2
108,11,7
109,18,3
110,22,5
111,17,6
112,18,7
113,12,5
114,18,4
115,4,7
116,16,1
117,8,4
118,16,1
119,15,7
120,22,4
121,22,4
122,17,1
123,7,2
124,11,5
125,17,1
126,18,7
127,12,2
128,16,5
129,11,3
130,17,4
131,18,7
132,18,7
133,1,4
134,18,3
135,10,4
136,13,7
137,2,7
138,7,6
139,10,7
140,9,7
141,7,7
142,11,6
143,13,1
144,15,1
145,6,2
146,8,2
147,8,2
148,9,1
149,0,4
150,10,7
151,14,7
152,16,2
153,6,1
154,18,7
155,10,1
156,7,3
157,4,1
158,12,3
159,11,4
160,7,5
161,15,2
162,18,3
163,18,3
164,13,7
165,14,6
166,17,2
167,17,2
168,17,7
169,9,7
170,5,6
171,22,1
172,16,2
173,12,7
174,11,6
175,17,7
176,8,6
177,20,2
178,12,7
179,14,7
180,12,4
181,11,7
182,19,3
183,16,5
184,12,2
185,12,2
186,9,6
187,18,3
188,10,4
189,17,1
190,8,2
191,7,4
192,22,4
193,11,3
194,20,4
195,16,4
196,16,6
197,23,6
198,14,3
199,17,3
200,13,6
201,13,6
202,0,2
203,17,2
204,18,3
205,12,4
206,18,3
207,15,1
208,8,3
209,15,3
210,13,3
211,1,4
212,15,6
213,7,5
214,5,3
215,20,3
216,7,2
217,23,6
218,19,2
219,20,6
220,19,7
221,12,1
222,17,3
223,1,7
224,9,7
225,9,2
226,4,5
227,17,6
228,16,7
229,11,4
230,20,3
231,0,1
232,10,5
233,19,7
234,17,3
235,12,4
236,22,6
237,22,6
238,16,3
239,9,5
240,21,5
241,10,6
242,10,6
243,10,6
244,20,6
245,7,2
246,8,6
247,7,4
248,15,6
249,16,5
250,23,7
251,19,7
252,21,6
253,12,1
254,1,7
255,9,3
256,21,5
257,17,5
258,3,3
259,19,5
260,8,3
261,12,2
262,18,3
263,18,7
264,15,3
265,9,6
266,19,5
267,14,7
268,11,4
269,9,7
270,17,4
271,10,2
272,99,3
273,14,5
274,13,4
275,22,5
276,7,4
277,8,3
278,17,4
279,7,3
280,12,6
281,19,7
282,10,3
283,6,6
284,6,6
285,16,6
286,9,4
287,1,4
288,18,4
289,5,2
290,7,4
291,14,4
292,10,2
293,21,4
294,15,6
295,4,6
296,12,1
297,21,5
298,18,7
299,15,7
300,1,1
301,11,4
302,12,4
303,21,5
304,11,6
305,14,6
306,18,7
307,9,3
308,9,3
309,6,5
310,16,5
311,12,7
312,12,2
313,13,5
314,16,7
315,8,5
316,9,7
317,16,2
318,11,5
319,15,3
320,5,3
321,9,6
322,12,6
323,18,1
324,7,6
325,10,7
326,15,7
327,4,5
328,9,5
329,15,1
330,15,6
331,6,6
332,10,3
333,10,3
334,2,4
335,7,4
336,13,6
337,16,1
338,20,6
339,20,6
340,19,3
341,6,4
342,15,3
343,12,1
344,15,4
345,10,4
346,21,3
347,13,4
348,13,4
349,7,1
350,8,4
351,20,7
352,12,6
353,19,7
354,15,6
355,20,7
356,12,6
357,6,5
358,8,4
359,11,4
360,10,7
361,16,2
362,19,2
363,19,2
364,22,2
365,23,3
366,17,4
367,15,6
368,17,6
369,7,7
370,12,7
371,8,4
372,4,6
373,15,2
374,16,2
375,14,3
376,8,6
377,10,6
378,14,7
379,18,2
380,11,3
381,19,1
382,20,7
383,12,4
384,5,7
385,18,7
386,22,3
387,4,1
388,10,7
389,12,7
390,14,3
391,14,5
392,18,5
393,8,5
394,2,5
395,15,5
396,0,1
397,14,3
398,23,6
399,0,7
400,12,2
401,14,4
402,11,2
403,18,5
404,9,2
405,20,5
406,17,3
407,10,6
408,11,5
409,6,6
410,9,6
411,12,1
412,11,2
413,18,4
414,14,4
415,21,1
416,5,5
417,9,5
418,8,2
419,11,1
420,0,3
421,1,6
422,9,4
423,14,4
424,18,1
425,15,3
426,17,3
427,15,3
428,4,5
429,10,1
430,14,1
431,9,2
432,20,2
433,16,1
434,8,4
435,11,4
436,14,2
437,12,3
438,17,3
439,23,4
440,15,5
441,99,1
442,11,3
443,18,3
444,13,2
445,10,4
446,11,2
447,1,3
448,22,5
449,23,1
450,17,2
451,15,3
452,11,4
453,3,7
454,20,1
455,5,2
456,15,6
457,22,5
458,5,7
459,9,2
460,11,2
461,13,6
462,14,3
463,8,7
464,16,3
465,21,7
466,17,1
467,17,6
468,1,6
469,9,2
470,11,2
471,14,4
472,0,5
473,17,6
474,19,1
475,15,7
476,9,4
477,14,1
478,12,6
479,15,7
480,18,1
481,9,2
482,12,3
483,11,4
484,18,4
485,11,5
486,5,2
487,14,4
488,4,1
489,16,1
490,1,2
491,13,3
492,16,5
493,13,6
494,13,1
495,21,3
496,5,6
497,14,3
498,11,6
499,0,4
500,17,6
501,16,6
502,17,2
503,14,3
504,23,2
505,19,7
506,12,1
507,14,6
508,16,7
509,20,7
510,15,1
511,2,6
512,13,4
513,13,4
514,19,3
515,2,2
516,8,4
517,9,1
518,19,1
519,7,4
520,15,7
521,10,7
522,15,4
523,22,5
524,12,2
525,16,2
526,2,1
527,3,2
528,14,2
529,18,2
530,14,4
531,13,5
532,4,6
533,16,6
534,8,1
535,18,1
536,3,2
537,9,2
538,15,3
539,12,5
540,14,6
541,22,7
542,10,4
543,11,6
544,11,7
545,16,7
546,7,1
547,19,3
548,11,6
549,20,6
550,5,6
551,16,7
552,14,3
553,20,4
554,9,1
555,19,5
556,16,5
557,21,4
558,12,3
559,19,3
560,12,5
561,3,5
562,18,1
563,18,6
564,0,2
565,20,2
566,23,7
567,1,1
568,4,1
569,15,3
570,9,7
571,22,5
572,7,3
573,3,5
574,15,7
575,17,7
576,0,4
577,12,5
578,11,2
579,14,2
580,11,3
581,10,2
582,11,3
583,21,2
584,9,7
585,14,7
586,16,4
587,6,2
588,12,5
589,10,5
590,18,7
591,19,3
592,14,5
593,5,5
594,19,4
595,11,5
596,18,4
597,7,1
598,17,7
599,6,4
600,16,1
601,11,7
602,11,2
603,7,6
604,22,7
605,18,6
606,5,4
607,0,1
608,18,7
609,10,6
610,17,3
611,13,3
612,6,2
613,6,2
614,10,6
615,12,2
616,6,3
617,19,4
618,12,7
619,20,5
620,17,2
621,14,5
622,17,6
623,17,3
624,16,6
625,13,4
626,10,2
627,14,4
628,13,7
629,13,1
630,12,1
631,15,7
632,18,4
633,15,6
634,10,1
635,11,4
636,11,3
637,12,1
638,11,4
639,12,4
640,13,3
641,17,3
642,15,7
643,18,2
644,17,1
645,16,4
646,19,4
647,9,6
648,11,4
649,8,5
650,18,6
651,10,5
652,11,2
653,12,2
654,13,6
655,19,5
656,16,2
657,16,2
658,13,7
659,7,3
660,10,6
661,12,2
662,12,2
663,21,2
664,18,4
665,7,3
666,7,3
667,13,7
668,18,5
669,7,2
670,6,2
671,15,4
672,12,7
673,16,5
674,8,6
675,17,4
676,7,2
677,14,3
678,8,1
679,6,2
680,19,2
681,1,6
682,12,1
683,6,3
684,19,6
685,11,3
686,14,3
687,19,6
688,15,4
689,12,2
690,6,2
691,19,7
692,0,6
693,0,3
694,8,6
695,17,6
696,15,4
697,15,4
698,12,1
699,17,1
700,6,6
701,6,6
702,20,7
703,1,6
704,15,2
705,15,2
706,13,5
707,11,6
708,11,7
709,16,4
710,23,6
711,12,7
712,15,2
713,14,1
714,10,6
715,13,7
716,21,7
717,11,5
718,10,5
719,11,1
720,17,4
721,16,7
722,7,4
723,21,6
724,3,6
725,15,4
726,20,7
727,12,3
728,2,1
729,2,7
730,20,7
731,23,2
732,13,6
733,21,1
734,11,3
735,20,5
736,13,5
737,14,5
738,14,1
739,19,2
740,15,3
741,7,3
742,0,2
743,12,5
744,11,2
745,10,1
746,7,4
747,7,3
748,9,5
749,13,5
750,16,4
751,6,5
752,12,7
753,21,2
754,20,3
755,20,7
756,17,4
757,16,7
758,15,1
759,3,4
760,20,7
761,10,1
762,14,3
763,14,3
764,7,4
765,14,5
766,14,5
767,20,6
768,15,4
769,10,6
770,19,7
771,12,2
772,9,5
773,19,2
774,5,2
775,12,5
776,14,4
777,14,5
778,9,4
779,9,4
780,13,1
781,16,3
782,14,1
783,5,5
784,5,5
785,20,6
786,14,5
787,9,1
788,9,1
789,22,7
790,16,4
791,6,4
792,2,7
793,18,3
794,7,6
795,16,6
796,11,1
797,16,1
798,21,3
799,17,1
800,12,3
801,20,2
802,19,6
803,5,2
804,8,6
805,13,1
806,3,6
807,15,2
808,12,3
809,9,4
810,14,2
811,17,4
812,14,7
813,16,3
814,14,2
815,16,2
816,13,3
817,21,3
818,5,4
819,19,5
820,5,6
821,11,4
822,14,2
823,17,7
824,13,2
825,9,6
826,0,2
827,19,5
828,22,4
829,13,2
830,12,1
831,10,7
832,20,1
833,22,4
834,21,7
835,6,3
836,14,6
837,11,2
838,20,3
839,20,3
840,5,5
841,16,3
842,18,2
843,10,2
844,18,5
845,18,6
846,8,5
847,16,6
848,17,2
849,5,7
850,16,4
851,10,1
852,18,5
853,20,6
854,12,5
855,6,3
856,16,7
857,13,5
858,14,6
859,6,3
860,7,3
861,20,3
862,8,5
863,11,5
864,20,7
865,13,3
866,8,2
867,16,2
868,10,6
869,1,2
870,12,5
871,11,3
872,16,3
873,15,4
874,14,5
875,16,5
876,16,4
877,18,7
878,19,1
879,16,4
880,18,2
881,19,2
882,8,2
883,21,2
884,22,7
885,5,3
886,13,7
887,18,7
888,10,4
889,10,6
890,21,7
891,21,2
892,13,6
893,2,1
894,12,5
895,23,2
896,12,4
897,16,3
898,14,6
899,19,7
900,9,6
901,6,4
902,19,7
903,19,6
904,12,3
905,20,6
906,13,3
907,2,4
908,17,4
909,21,5
910,11,1
911,18,7
912,15,4
913,3,7
914,4,6
915,18,7
916,8,7
917,8,7
918,16,6
919,14,5
920,10,3
