,acchr,dayofweek
0,16,4
1,12,6
2,18,3
3,9,6
4,9,6
5,14,6
6,14,4
7,14,5
8,13,6
9,2,2
10,16,3
11,16,3
12,12,2
13,5,6
14,17,3
15,16,4
16,10,6
17,3,4
18,13,7
19,16,6
20,11,4
21,22,7
22,13,2
23,13,2
24,16,5
25,17,1
26,22,6
27,20,6
28,11,2
29,19,3
30,22,7
31,22,6
32,3,2
33,18,6
34,18,6
35,19,2
36,19,2
37,21,6
38,15,6
39,15,2
40,5,2
41,10,1
42,13,5
43,11,2
44,11,2
45,15,5
46,17,1
47,23,4
48,15,2
49,9,5
50,21,4
51,15,5
52,13,7
53,0,2
54,6,7
55,16,1
56,16,1
57,13,4
58,7,5
59,7,5
60,14,7
61,23,3
62,21,5
63,22,2
64,18,4
65,3,7
66,17,3
67,7,5
68,10,6
69,17,1
70,17,1
71,15,4
72,13,2
73,13,2
74,16,5
75,19,7
76,22,6
77,11,2
78,18,6
79,14,3
80,19,3
81,10,4
82,20,1
83,13,1
84,5,5
85,18,2
86,14,3
87,20,4
88,15,7
89,14,2
90,14,2
91,8,4
92,13,5
93,13,5
94,12,3
95,21,6
96,7,2
97,18,1
98,18,1
99,18,3
100,13,4
101,20,2
102,5,5
103,5,5
104,5,5
105,12,2
106,10,7
107,15,2
108,11,7
109,18,3
110,22,5
111,17,6
112,18,7
113,12,5
114,18,4
115,4,7
116,16,1
117,4,1
118,22,6
119,22,6
120,22,7
121,23,7
122,13,7
123,19,4
124,17,7
125,3,7
126,20,3
127,13,6
128,1,6
129,3,4
130,0,6
131,23,4
132,20,7
133,13,5
134,21,6
135,20,4
136,22,7
137,15,6
138,16,6
139,3,7
140,3,7
141,13,6
142,14,7
143,18,1
144,15,3
145,22,2
146,3,1
147,8,3
148,11,7
149,12,5
150,10,4
151,14,3
152,13,7
153,15,4
154,2,7
155,15,3
156,12,3
157,15,5
158,17,1
159,11,1
160,1,3
161,15,7
162,14,1
163,14,1
164,7,2
165,9,3
166,9,3
167,20,6
168,20,6
169,18,4
170,11,6
171,13,1
172,7,5
173,7,5
174,14,7
175,14,7
176,11,3
177,6,2
178,12,2
179,12,2
180,12,2
181,5,6
182,16,4
183,3,1
184,16,6
185,15,4
186,12,7
187,12,7
188,13,2
189,13,7
190,13,7
191,11,7
192,19,3
193,14,3
194,12,5
195,12,5
196,15,1
197,13,7
198,15,4
199,15,4
200,21,6
201,15,6
202,2,1
203,12,6
204,15,5
205,15,5
206,18,1
207,15,2
208,19,5
209,0,1
210,12,5
211,15,3
212,11,7
213,15,7
214,9,3
215,9,3
216,20,6
217,11,6
218,20,2
219,8,4
220,8,4
221,16,1
222,15,7
223,22,4
224,22,4
225,17,1
226,7,2
227,11,5
228,17,1
229,18,7
230,12,2
231,16,5
232,11,3
233,17,4
234,18,7
235,18,7
236,1,4
237,18,3
238,10,4
239,13,7
240,2,7
241,7,6
242,10,7
243,9,7
244,7,7
245,11,6
246,13,1
247,15,1
248,6,2
249,8,2
250,8,2
251,9,1
252,0,4
253,10,7
254,14,7
255,16,2
256,6,1
257,18,7
258,10,1
259,7,3
260,4,1
261,12,3
262,11,4
263,7,5
264,15,2
265,18,3
266,18,3
267,13,7
268,14,6
269,17,2
270,17,2
271,17,7
272,9,7
273,5,6
274,22,1
275,16,2
276,12,7
277,11,6
278,17,7
279,8,6
280,20,2
281,12,7
282,14,7
283,12,4
284,11,7
285,19,3
286,16,5
287,12,2
288,12,2
289,9,6
290,18,3
291,10,4
292,17,1
293,8,2
294,7,4
295,22,4
296,11,3
297,20,4
298,16,4
299,16,6
300,23,6
301,14,3
302,17,3
303,13,6
304,13,6
305,0,2
306,17,2
307,18,3
308,12,4
309,18,3
310,15,1
311,8,3
312,15,3
313,13,3
314,1,4
315,15,6
316,7,5
317,5,3
318,20,3
319,7,2
320,23,6
321,19,2
322,20,6
323,19,7
324,12,1
325,17,3
326,1,7
327,9,7
328,9,2
329,4,5
330,17,6
331,16,7
332,11,4
333,20,3
334,0,1
335,10,5
336,19,7
337,17,3
338,12,4
339,22,6
340,22,6
341,16,3
342,9,5
343,21,5
344,10,6
345,10,6
346,10,6
347,20,6
348,7,2
349,8,6
350,7,4
351,15,6
352,16,5
353,23,7
354,19,7
355,21,6
356,12,1
357,1,7
358,9,3
359,21,5
360,17,5
361,3,3
362,19,5
363,8,3
364,12,2
365,18,3
366,18,7
367,15,3
368,9,6
369,19,5
370,14,7
371,11,4
372,9,7
373,17,4
374,10,2
375,99,3
376,14,5
377,13,4
378,22,5
379,7,4
380,8,3
381,17,4
382,7,3
383,12,6
384,19,7
385,10,3
386,6,6
387,6,6
388,16,6
389,9,4
390,1,4
391,18,4
392,5,2
393,7,4
394,14,4
395,10,2
396,21,4
397,15,6
398,4,6
399,12,1
400,21,5
401,18,7
402,15,7
403,1,1
404,11,4
405,12,4
406,21,5
407,11,6
408,14,6
409,18,7
410,9,3
411,9,3
412,6,5
413,16,5
414,12,7
415,12,2
416,13,5
417,16,7
418,8,5
419,9,7
420,16,2
421,11,5
422,15,3
423,5,3
424,9,6
425,12,6
426,18,1
427,7,6
428,10,7
429,15,7
430,4,5
431,9,5
432,15,1
433,15,6
434,6,6
435,10,3
436,10,3
437,2,4
438,7,4
439,13,6
440,16,1
441,20,6
442,20,6
443,19,3
444,6,4
445,15,3
446,12,1
447,15,4
448,10,4
449,21,3
450,13,4
451,13,4
452,7,1
453,8,4
454,20,7
455,12,6
456,19,7
457,15,6
458,20,7
459,12,6
460,6,5
461,8,4
462,11,4
463,10,7
464,16,2
465,19,2
466,19,2
467,22,2
468,23,3
469,17,4
470,15,6
471,17,6
472,7,7
473,12,7
474,8,4
475,4,6
476,15,2
477,16,2
478,14,3
479,8,6
480,10,6
481,14,7
482,18,2
483,11,3
484,19,1
485,20,7
486,12,4
487,5,7
488,18,7
489,22,3
490,4,1
491,10,7
492,12,7
493,14,3
494,14,5
495,18,5
496,8,5
497,2,5
498,15,5
499,0,1
500,14,3
501,23,6
502,0,7
503,12,2
504,14,4
505,11,2
506,18,5
507,9,2
508,20,5
509,17,3
510,10,6
511,11,5
512,6,6
513,9,6
514,12,1
515,11,2
516,18,4
517,14,4
518,21,1
519,5,5
520,9,5
521,8,2
522,11,1
523,0,3
524,1,6
525,9,4
526,14,4
527,18,1
528,15,3
529,17,3
530,15,3
531,4,5
532,10,1
533,14,1
534,9,2
535,20,2
536,16,1
537,8,4
538,11,4
539,14,2
540,12,3
541,17,3
542,23,4
543,15,5
544,99,1
545,11,3
546,18,3
547,13,2
548,10,4
549,11,2
550,1,3
551,22,5
552,23,1
553,17,2
554,15,3
555,11,4
556,3,7
557,20,1
558,5,2
559,15,6
560,22,5
561,5,7
562,9,2
563,11,2
564,13,6
565,14,3
566,8,7
567,16,3
568,21,7
569,17,1
570,17,6
571,1,6
572,9,2
573,11,2
574,14,4
575,0,5
576,17,6
577,19,1
578,15,7
579,9,4
580,14,1
581,12,6
582,15,7
583,18,1
584,9,2
585,12,3
586,11,4
587,18,4
588,11,5
589,5,2
590,14,4
591,4,1
592,16,1
593,1,2
594,13,3
595,16,5
596,13,6
597,13,1
598,21,3
599,5,6
600,14,3
601,11,6
602,0,4
603,17,6
604,16,6
605,17,2
606,14,3
607,23,2
608,19,7
609,12,1
610,14,6
611,16,7
612,20,7
613,15,1
614,2,6
615,13,4
616,13,4
617,19,3
618,2,2
619,8,4
620,9,1
621,19,1
622,7,4
623,15,7
624,10,7
625,15,4
626,22,5
627,12,2
628,16,2
629,2,1
630,3,2
631,14,2
632,18,2
633,14,4
634,13,5
635,4,6
636,16,6
637,8,1
638,18,1
639,3,2
640,9,2
641,15,3
642,12,5
643,14,6
644,22,7
645,10,4
646,11,6
647,11,7
648,16,7
649,7,1
650,19,3
651,11,6
652,20,6
653,5,6
654,16,7
655,14,3
656,20,4
657,9,1
658,19,5
659,16,5
660,21,4
661,12,3
662,19,3
663,12,5
664,3,5
665,18,1
666,18,6
667,0,2
668,20,2
669,23,7
670,1,1
671,4,1
672,15,3
673,9,7
674,22,5
675,7,3
676,3,5
677,15,7
678,17,7
679,0,4
680,12,5
681,11,2
682,14,2
683,11,3
684,10,2
685,11,3
686,21,2
687,9,7
688,14,7
689,16,4
690,6,2
691,12,5
692,10,5
693,18,7
694,19,3
695,14,5
696,5,5
697,19,4
698,11,5
699,18,4
700,7,1
701,17,7
702,6,4
703,16,1
704,11,7
705,11,2
706,7,6
707,22,7
708,18,6
709,5,4
710,0,1
711,18,7
712,10,6
713,17,3
714,13,3
715,6,2
716,6,2
717,10,6
718,12,2
719,6,3
720,19,4
721,12,7
722,20,5
723,17,2
724,14,5
725,17,6
726,17,3
727,16,6
728,13,4
729,10,2
730,14,4
731,13,7
732,13,1
733,12,1
734,15,7
735,18,4
736,15,6
737,10,1
738,11,4
739,11,3
740,12,1
741,11,4
742,12,4
743,13,3
744,17,3
745,15,7
746,18,2
747,17,1
748,16,4
749,19,4
750,9,6
751,11,4
752,8,5
753,18,6
754,10,5
755,11,2
756,12,2
757,13,6
758,19,5
759,16,2
760,16,2
761,13,7
762,7,3
763,10,6
764,12,2
765,12,2
766,21,2
767,18,4
768,7,3
769,7,3
770,13,7
771,18,5
772,7,2
773,6,2
774,15,4
775,12,7
776,16,5
777,8,6
778,17,4
779,7,2
780,14,3
781,8,1
782,6,2
783,19,2
784,1,6
785,12,1
786,6,3
787,19,6
788,11,3
789,14,3
790,19,6
791,15,4
792,12,2
793,6,2
794,19,7
795,0,6
796,0,3
797,8,6
798,17,6
799,15,4
800,15,4
801,12,1
802,17,1
803,6,6
804,6,6
805,20,7
806,1,6
807,15,2
808,15,2
809,13,5
810,11,6
811,11,7
812,16,4
813,23,6
814,12,7
815,15,2
816,14,1
817,10,6
818,13,7
819,21,7
820,11,5
821,10,5
822,11,1
823,17,4
824,16,7
825,7,4
826,21,6
827,3,6
828,15,4
829,20,7
830,12,3
831,2,1
832,2,7
833,20,7
834,23,2
835,13,6
836,21,1
837,11,3
838,20,5
839,13,5
840,14,5
841,14,1
842,19,2
843,15,3
844,7,3
845,0,2
846,12,5
847,11,2
848,10,1
849,7,4
850,7,3
851,9,5
852,13,5
853,16,4
854,6,5
855,12,7
856,21,2
857,20,3
858,20,7
859,17,4
860,16,7
861,15,1
862,3,4
863,20,7
864,10,1
865,14,3
866,14,3
867,7,4
868,14,5
869,14,5
870,20,6
871,15,4
872,10,6
873,19,7
874,12,2
875,9,5
876,19,2
877,5,2
878,12,5
879,14,4
880,14,5
881,9,4
882,9,4
883,13,1
884,16,3
885,14,1
886,5,5
887,5,5
888,20,6
889,14,5
890,9,1
891,9,1
892,22,7
893,16,4
894,6,4
895,2,7
896,18,3
897,7,6
898,16,6
899,11,1
900,16,1
901,21,3
902,17,1
903,12,3
904,20,2
905,19,6
906,5,2
907,8,6
908,13,1
909,3,6
910,15,2
911,12,3
912,9,4
913,14,2
914,17,4
915,14,7
916,16,3
917,14,2
918,16,2
919,13,3
920,21,3
