,acchr,dayofweek
0,19,5
1,18,7
2,5,1
3,5,2
4,3,7
5,2,1
6,22,6
7,15,3
8,1,1
9,1,1
10,3,1
11,0,7
12,2,6
13,3,1
14,2,2
15,22,2
16,21,2
17,3,7
18,1,7
19,0,4
20,13,7
21,4,1
22,1,7
23,2,7
24,1,4
25,20,1
26,3,1
27,4,1
28,2,7
29,21,6
30,1,7
31,7,1
32,1,7
33,0,1
34,6,1
35,23,6
36,3,1
37,23,7
38,16,7
39,2,2
40,3,7
41,2,6
42,1,1
43,2,6
44,2,7
45,21,7
46,4,7
47,3,1
48,4,7
49,3,1
50,17,5
51,2,1
52,2,7
53,5,1
54,8,1
55,7,1
56,20,4
57,21,6
58,21,7
59,10,1
60,3,1
61,1,7
62,14,4
63,0,7
64,6,5
65,22,6
66,0,1
67,10,7
68,3,1
69,10,1
70,15,4
71,0,7
72,16,3
73,23,3
74,3,7
75,2,1
76,20,1
77,17,6
78,3,2
79,1,1
80,22,7
81,18,7
82,18,7
83,4,1
84,22,6
85,22,6
86,22,7
87,23,7
88,13,7
89,19,4
90,17,7
91,3,7
92,20,3
93,13,6
94,1,6
95,3,4
96,0,6
97,23,4
98,20,7
99,13,5
100,21,6
101,20,4
102,22,7
103,15,6
104,2,7
105,17,7
106,23,7
107,21,3
108,15,3
109,6,4
110,5,6
111,3,5
112,0,6
113,14,5
114,23,2
115,1,3
116,0,2
117,0,1
118,21,5
119,18,7
120,22,1
121,23,6
122,2,7
123,3,7
124,2,7
125,23,7
126,2,1
127,19,7
128,1,2
129,20,7
130,1,7
131,12,6
132,18,2
133,9,6
134,8,7
135,22,4
136,17,7
137,1,4
138,4,1
139,2,6
140,2,7
141,1,7
142,4,7
143,3,5
144,6,1
145,0,1
146,1,2
147,13,4
148,20,1
149,3,1
150,23,3
151,2,7
152,6,5
153,22,7
154,3,7
155,6,6
156,10,6
157,5,4
158,5,7
159,4,1
160,0,1
161,23,7
162,6,6
163,5,2
164,5,6
165,4,1
166,15,7
