,acchr,dayofweek
0,15,7
1,17,7
2,22,7
3,16,7
4,13,1
5,23,6
6,18,3
7,22,2
8,3,1
9,13,2
10,12,2
11,1,1
12,14,6
13,20,3
14,7,2
15,23,3
16,21,3
17,2,2
18,0,6
19,9,4
20,14,6
21,17,7
22,10,4
23,18,2
24,10,1
25,21,6
26,1,4
27,19,3
28,11,2
29,0,2
30,15,3
31,11,6
32,5,4
33,14,5
34,14,7
35,6,2
36,16,5
37,15,7
38,8,3
39,4,6
40,10,1
41,11,2
42,18,3
43,23,4
44,0,3
45,1,7
46,13,6
47,11,3
48,21,7
49,11,4
50,13,2
51,4,1
52,4,7
53,19,4
54,13,7
55,1,4
56,0,2
57,15,2
58,11,7
59,18,7
60,8,4
61,3,7
62,21,5
63,22,2
64,21,6
65,3,4
66,13,5
67,10,1
68,22,4
69,15,3
70,19,5
71,11,7
72,15,7
73,9,7
74,12,6
75,18,3
76,14,6
77,14,5
78,13,6
79,2,2
80,16,3
81,16,3
82,12,2
83,10,6
84,11,4
85,22,7
86,21,6
87,10,1
88,13,5
89,23,4
90,15,2
91,21,4
92,15,5
93,6,7
94,16,1
95,14,7
96,23,3
97,21,5
98,22,2
99,18,4
100,3,7
101,17,1
102,17,1
103,15,4
104,14,3
105,10,4
106,13,1
107,14,2
108,14,2
109,8,4
110,21,6
111,18,1
112,18,3
113,5,5
114,15,2
115,11,7
116,22,5
117,17,6
118,19,5
119,5,2
120,3,7
121,1,1
122,1,1
123,3,1
124,0,7
125,2,6
126,2,2
127,13,7
128,4,1
129,1,7
130,2,7
131,20,1
132,2,7
133,21,6
134,6,1
135,23,7
136,16,7
137,2,2
138,3,7
139,2,6
140,1,1
141,2,6
142,2,7
143,4,7
144,4,7
145,20,4
146,21,6
147,10,1
148,3,1
149,14,4
150,3,1
151,15,4
152,23,3
153,3,7
154,2,1
155,17,6
156,1,1
157,22,7
158,18,7
159,4,1
160,22,6
161,22,6
162,22,7
163,23,7
164,19,4
165,17,7
166,20,3
167,13,6
168,13,5
169,21,6
170,20,4
171,14,7
172,22,7
173,17,3
174,16,3
175,19,4
176,14,7
177,2,7
178,22,7
179,16,4
180,15,4
181,18,4
182,10,5
183,21,5
184,19,7
185,23,7
186,10,4
187,0,6
188,17,6
189,7,2
190,21,3
191,21,3
192,13,6
193,11,6
194,14,7
195,9,4
196,4,7
197,5,2
198,20,5
199,23,4
200,23,7
201,22,6
202,10,7
203,22,5
204,3,2
205,11,6
206,12,6
207,2,7
208,3,2
209,3,7
210,19,7
211,19,5
212,18,1
213,5,7
214,12,3
215,22,6
216,1,7
217,1,7
218,1,1
219,14,1
220,23,7
221,14,1
222,3,7
223,14,7
224,14,7
225,22,2
226,2,1
227,14,6
228,3,4
229,18,1
230,12,3
231,12,3
232,18,3
233,16,4
234,23,7
235,3,1
236,16,7
237,13,1
238,6,7
239,13,6
240,14,7
241,3,1
242,11,7
243,12,5
244,10,4
245,1,3
246,15,7
247,14,1
248,14,1
249,7,2
250,9,3
251,9,3
252,20,6
253,13,1
254,14,7
255,14,7
256,11,3
257,6,2
258,3,1
259,11,7
260,19,3
261,14,3
262,12,5
263,21,6
264,12,6
265,19,5
266,11,7
267,15,7
268,9,3
269,9,3
270,2,1
271,5,1
272,8,2
273,19,6
274,0,4
275,5,6
276,15,3
277,18,2
278,9,3
279,14,3
280,2,5
281,15,7
282,6,6
283,12,5
284,7,2
285,14,6
286,11,6
287,15,3
288,16,5
289,3,6
290,15,1
291,14,7
292,10,1
293,2,2
294,17,1
295,19,1
296,8,4
297,15,6
298,2,3
299,2,6
300,2,7
301,0,7
302,14,4
303,22,5
304,23,2
305,18,1
306,20,1
307,21,1
308,18,1
309,18,7
310,17,3
311,6,3
312,0,5
313,10,3
314,1,7
315,19,5
316,22,7
317,19,7
318,20,3
319,14,3
320,1,7
321,13,6
322,2,7
323,22,7
324,18,4
325,1,1
326,18,4
327,8,5
328,14,7
329,9,5
330,18,4
331,22,7
332,12,7
333,20,5
334,0,1
335,13,1
336,18,1
337,21,2
338,22,2
339,19,2
340,15,4
341,12,1
342,16,6
343,15,2
344,0,3
345,16,4
346,15,7
347,0,1
348,18,7
349,12,5
350,14,3
351,10,7
352,21,5
353,0,6
354,18,1
355,18,4
356,22,6
357,20,2
358,16,5
359,2,5
360,23,2
361,16,3
362,22,6
363,17,5
364,13,5
365,13,7
366,13,7
367,7,6
368,22,4
369,22,3
370,8,2
371,20,7
372,16,5
373,1,7
374,19,5
375,15,1
376,20,3
377,15,7
378,21,6
379,17,5
380,21,6
381,13,4
382,14,1
383,4,6
384,13,1
385,2,6
386,14,1
387,21,3
388,21,7
389,11,3
390,21,2
391,0,5
392,15,4
393,12,5
394,21,2
395,16,4
396,22,4
397,19,3
398,18,7
399,1,7
400,11,4
401,23,2
402,15,2
403,0,7
404,6,2
405,15,4
406,12,7
407,22,3
408,13,1
409,11,3
410,6,5
411,11,7
412,16,4
413,0,7
414,13,2
415,12,1
416,13,1
417,15,6
418,18,4
419,15,6
420,21,5
421,22,1
422,14,2
423,21,1
424,6,5
425,13,1
426,7,2
427,19,7
428,1,1
429,10,6
430,10,6
431,14,3
432,21,6
433,16,2
434,17,5
435,2,6
436,19,4
437,20,1
438,23,7
439,0,7
440,15,6
441,19,1
442,19,6
