,acchr,dayofweek
0,18,3
1,18,6
2,13,2
3,20,7
4,11,1
5,15,3
6,15,3
7,12,6
8,17,6
9,23,5
10,8,1
11,20,1
12,15,6
13,12,1
14,0,1
15,14,2
16,13,4
17,17,2
18,5,3
19,16,5
20,16,3
21,19,5
22,20,1
23,14,7
24,10,3
25,2,7
26,5,2
27,19,2
28,6,5
29,20,3
30,7,2
31,2,1
32,18,7
33,16,4
34,18,4
35,20,6
36,20,7
37,9,5
38,10,3
39,16,7
40,19,1
41,20,7
42,20,4
43,22,4
44,18,2
45,18,1
46,16,7
47,13,4
48,13,5
49,21,6
50,15,7
51,5,3
52,16,7
53,5,1
54,13,2
55,17,2
56,9,5
57,20,6
58,20,6
59,18,6
60,14,7
61,15,1
62,4,1
63,18,2
64,14,3
65,15,4
66,20,4
67,17,5
68,11,6
69,13,5
70,9,5
71,22,4
72,18,7
73,17,6
74,14,1
75,12,5
76,20,2
77,17,5
78,17,5
79,13,2
80,20,1
81,23,4
82,5,5
83,14,6
84,10,7
85,5,7
86,14,2
87,12,6
88,15,5
89,18,7
90,21,6
91,9,3
92,16,4
93,9,6
94,9,6
95,14,4
96,5,6
97,16,4
98,3,4
99,13,7
100,16,6
101,22,7
102,13,2
103,13,2
104,17,1
105,22,6
106,20,6
107,11,2
108,19,3
109,3,2
110,18,6
111,18,6
112,19,2
113,19,2
114,15,6
115,15,2
116,5,2
117,11,2
118,11,2
119,15,5
120,17,1
121,9,5
122,0,2
123,16,1
124,13,4
125,7,5
126,7,5
127,17,3
128,7,5
129,10,6
130,13,2
131,13,2
132,16,5
133,19,7
134,22,6
135,18,6
136,19,3
137,20,1
138,5,5
139,18,2
140,14,3
141,20,4
142,15,7
143,13,5
144,13,5
145,12,3
146,7,2
147,18,1
148,13,4
149,20,2
150,5,5
151,5,5
152,12,2
153,10,7
154,18,3
155,18,7
156,18,4
157,4,7
158,16,1
159,17,1
160,18,4
161,13,2
162,18,7
163,0,1
164,20,1
165,14,6
166,15,2
167,23,6
168,20,7
169,16,1
170,13,7
171,6,2
172,23,5
173,13,6
174,12,4
175,13,7
176,9,5
177,13,1
178,15,7
179,0,1
180,22,5
181,21,5
182,21,6
183,21,5
184,22,7
185,7,2
186,9,7
187,1,7
188,6,2
189,18,4
190,2,1
191,17,3
192,16,4
193,12,7
194,16,4
195,15,3
196,11,2
197,23,2
198,21,6
199,20,2
200,17,7
201,1,7
202,9,1
203,15,6
204,20,2
205,22,6
206,17,6
207,15,4
208,11,7
209,13,7
210,17,3
211,5,7
212,16,5
213,22,4
214,15,1
215,16,4
216,15,2
217,5,4
218,14,5
219,19,1
220,19,4
221,6,2
222,1,2
223,19,5
224,17,4
225,10,2
226,13,7
227,21,2
228,19,2
229,5,7
230,15,5
231,18,5
232,19,1
233,16,7
234,11,4
235,14,5
236,12,5
237,21,2
238,10,2
239,1,7
240,9,1
241,22,7
242,15,3
243,15,1
244,7,6
245,16,6
246,19,6
247,20,6
248,4,3
249,9,4
250,18,7
251,15,2
252,21,5
253,19,2
254,14,3
255,11,6
256,20,7
257,5,4
258,21,4
259,15,6
260,14,2
261,17,6
262,17,6
263,20,7
264,18,3
265,14,3
266,22,4
267,20,4
268,7,4
269,15,1
270,17,6
271,9,6
272,7,7
273,19,6
274,0,3
275,21,1
276,13,1
277,12,3
278,7,4
279,17,2
280,11,7
281,13,4
282,17,7
283,17,7
284,16,5
285,15,5
286,23,3
287,1,5
288,14,4
289,17,7
290,23,7
291,16,4
292,16,6
293,11,7
294,9,6
295,19,5
296,13,6
297,14,4
298,8,2
299,19,3
300,20,3
301,18,6
302,16,6
303,17,2
304,10,4
305,10,4
306,7,3
307,20,2
308,17,2
309,9,4
310,13,3
311,20,7
312,16,7
313,17,2
314,5,7
315,1,4
316,15,7
317,22,4
318,19,1
319,18,1
320,18,2
321,3,5
322,14,1
323,23,6
324,8,5
325,15,6
326,17,3
327,7,1
328,2,7
329,11,6
330,11,3
331,18,4
332,12,6
333,17,1
334,8,6
335,15,4
336,14,7
337,7,5
338,18,3
339,15,7
340,11,3
341,17,6
342,9,7
343,18,6
344,12,2
345,19,7
346,14,2
347,17,3
348,16,1
349,22,7
350,23,7
351,0,7
352,1,7
353,7,3
354,21,2
355,15,4
356,22,3
357,21,4
358,7,7
359,20,6
360,19,4
361,16,2
362,16,1
363,21,2
364,99,1
365,20,2
366,20,3
367,21,2
368,16,3
369,5,3
370,21,7
371,22,6
372,12,3
373,22,2
374,22,6
375,1,2
376,5,4
377,13,2
378,17,2
379,13,3
380,99,2
381,11,2
382,19,3
383,19,3
384,23,6
385,13,4
386,20,7
387,13,4
388,15,6
389,16,1
390,19,2
391,3,7
