,acchr,dayofweek
0,15,7
1,18,3
2,18,6
3,17,7
4,22,7
5,16,7
6,13,1
7,20,7
8,15,3
9,15,3
10,12,6
11,17,6
12,22,2
13,23,5
14,3,1
15,20,2
16,12,2
17,12,1
18,14,2
19,1,1
20,13,4
21,17,2
22,15,7
23,5,3
24,14,6
25,20,3
26,23,3
27,21,3
28,2,2
29,16,3
30,0,6
31,9,4
32,14,6
33,17,7
34,10,4
35,20,1
36,10,3
37,18,2
38,5,2
39,10,1
40,21,6
41,20,3
42,20,3
43,1,4
44,11,2
45,7,2
46,2,1
47,0,2
48,18,7
49,11,6
50,18,4
51,14,5
52,14,7
53,21,3
54,6,2
55,20,6
56,20,7
57,16,5
58,8,3
59,9,5
60,10,3
61,16,7
62,19,1
63,20,7
64,20,4
65,22,4
66,10,1
67,11,2
68,18,3
69,13,4
70,23,4
71,13,5
72,21,6
73,15,7
74,5,3
75,1,7
76,13,6
77,11,3
78,11,4
79,13,2
80,13,2
81,17,2
82,9,5
83,20,6
84,20,6
85,11,2
86,18,6
87,15,1
88,4,1
89,18,2
90,14,3
91,15,4
92,20,4
93,17,5
94,1,4
95,13,5
96,0,2
97,9,5
98,15,2
99,11,7
100,18,7
101,17,6
102,14,1
103,12,5
104,20,2
105,18,7
106,8,4
107,3,7
108,21,5
109,22,2
110,17,5
111,17,5
112,13,2
113,20,1
114,23,4
115,3,4
116,5,5
117,13,5
118,10,1
119,22,4
120,15,6
121,15,7
122,15,3
123,19,5
124,14,2
125,11,7
126,12,6
127,15,5
128,15,7
129,18,7
130,21,6
131,9,3
132,18,4
133,9,7
134,12,6
135,18,3
136,9,6
137,9,6
138,14,6
139,14,4
140,14,5
141,13,6
142,2,2
143,16,3
144,16,3
145,12,2
146,17,3
147,16,4
148,10,6
149,3,4
150,13,7
151,16,6
152,11,4
153,22,7
154,13,2
155,13,2
156,22,6
157,20,6
158,11,2
159,19,3
160,22,7
161,22,6
162,3,2
163,18,6
164,18,6
165,19,2
166,19,2
167,21,6
168,15,6
169,15,2
170,10,1
171,11,2
172,11,2
173,15,5
174,17,1
175,23,4
176,15,2
177,9,5
178,15,5
179,13,7
180,6,7
181,16,1
182,16,1
183,13,4
184,7,5
185,7,5
186,14,7
187,23,3
188,21,5
189,22,2
190,17,3
191,7,5
192,10,6
193,17,1
194,17,1
195,15,4
196,13,2
197,13,2
198,16,5
199,19,7
200,22,6
201,11,2
202,18,6
203,14,3
204,19,3
205,10,4
206,20,1
207,13,1
208,5,5
209,18,2
210,14,3
211,20,4
212,15,7
213,14,2
214,14,2
215,12,3
216,21,6
217,7,2
218,18,1
219,18,1
220,18,3
221,13,4
222,20,2
223,5,5
224,5,5
225,5,5
226,12,2
227,15,2
228,11,7
229,18,3
230,22,5
231,17,6
232,18,7
233,12,5
234,18,4
235,16,1
236,17,1
237,18,4
238,13,2
239,18,7
240,15,2
241,23,6
242,16,1
243,13,7
244,9,5
245,15,7
246,22,5
247,21,5
248,9,3
249,9,7
250,16,4
251,12,7
252,6,6
253,14,6
254,16,4
255,15,3
256,16,5
257,15,1
258,14,7
259,10,1
260,2,2
261,11,2
262,12,6
263,0,7
264,22,5
265,18,7
266,17,3
267,6,3
268,0,5
269,10,3
270,1,7
271,19,5
272,13,6
273,22,7
274,18,4
275,18,4
276,8,5
277,22,6
278,17,6
279,15,4
280,22,7
281,11,7
282,17,3
283,22,2
284,19,6
285,15,1
286,15,4
287,12,1
288,16,6
289,15,2
290,0,3
291,15,7
292,19,1
293,0,1
294,23,6
295,14,3
296,10,7
297,21,5
298,10,2
299,18,7
300,22,6
301,21,2
302,7,6
303,22,4
304,8,2
305,5,7
306,15,5
307,18,5
308,19,1
309,14,5
310,20,7
311,10,2
312,9,1
313,7,5
314,1,7
315,15,1
316,7,6
317,20,6
318,4,3
319,9,4
320,15,2
321,15,1
322,20,3
323,17,5
324,21,6
325,14,1
326,13,1
327,2,6
328,14,1
329,21,5
330,19,2
331,21,3
332,21,4
333,15,6
334,17,6
335,20,7
336,18,3
337,15,4
338,16,4
339,18,7
340,11,4
341,15,1
342,17,6
343,9,6
344,19,6
345,0,3
346,21,1
347,13,1
348,12,3
349,17,2
350,17,7
351,17,7
352,16,5
353,15,5
354,14,4
355,17,7
356,13,1
357,6,5
358,11,7
359,16,6
360,11,7
361,14,5
362,13,2
363,12,1
364,13,1
365,15,6
366,18,4
367,15,6
368,21,1
369,6,5
370,19,7
371,1,1
372,10,6
373,14,3
374,17,5
375,2,6
376,18,6
377,16,6
378,19,4
379,17,2
380,10,4
381,10,4
382,7,3
383,17,2
384,13,3
385,20,7
386,1,4
387,15,7
388,16,2
389,3,5
390,23,7
391,15,6
392,19,6
393,17,6
394,17,6
395,7,2
396,9,1
397,20,5
398,17,3
399,8,6
400,18,2
401,14,4
402,11,3
403,12,6
404,8,6
405,15,4
406,14,7
407,7,5
408,18,3
409,15,7
410,11,3
411,17,6
412,9,7
413,18,6
414,12,2
415,11,4
416,12,2
417,17,5
418,11,3
419,12,6
420,14,2
421,17,3
422,23,7
423,1,7
424,7,3
425,15,4
426,17,5
427,7,7
428,20,6
429,19,4
430,16,2
431,16,1
432,21,2
433,1,6
434,22,7
435,18,7
436,16,3
437,6,2
438,21,7
439,2,5
440,12,3
441,17,2
442,5,1
443,13,2
444,15,3
445,20,5
446,6,4
447,14,3
448,13,3
449,11,6
450,11,2
451,13,7
452,2,5
453,17,7
454,20,4
455,9,6
456,7,6
457,22,7
458,23,7
459,19,3
460,15,3
461,16,5
462,18,3
463,18,6
464,2,4
465,8,7
466,6,6
467,15,2
468,18,7
469,16,5
470,10,5
471,17,3
472,18,7
473,16,2
474,17,6
475,15,6
476,23,3
477,15,7
478,13,1
479,20,5
480,19,6
481,19,2
482,16,4
483,15,2
484,15,5
485,18,7
486,19,2
487,23,6
488,4,1
489,0,2
490,23,7
491,4,6
492,16,3
493,8,6
494,7,4
495,14,7
496,8,5
497,2,7
498,18,4
499,14,3
500,99,3
501,10,2
502,15,6
503,18,7
504,16,4
505,14,3
506,18,7
507,14,4
508,18,3
509,17,1
510,22,1
511,22,1
512,15,6
513,1,1
514,0,3
515,15,5
516,10,6
517,15,3
518,20,3
519,19,2
520,17,5
521,16,3
522,9,4
523,4,3
524,18,1
525,17,4
526,15,1
527,21,2
528,16,7
529,2,3
530,22,6
531,20,3
532,16,6
533,17,3
534,20,3
535,3,4
536,0,2
537,19,4
538,15,2
539,16,3
540,16,4
541,13,4
542,16,1
543,23,7
544,22,1
545,13,6
546,21,5
547,16,4
548,20,2
549,14,4
550,18,5
551,17,6
552,18,4
553,14,5
554,16,5
555,16,3
556,22,5
557,21,2
558,10,3
559,9,3
560,23,6
561,22,6
562,17,2
563,23,7
564,20,2
565,12,4
566,20,7
567,8,3
568,15,6
569,14,6
570,15,3
571,21,2
572,17,5
573,16,2
574,14,7
575,16,7
576,7,4
577,7,4
578,9,6
579,16,4
580,16,4
581,15,4
582,1,2
583,17,2
584,7,4
585,15,6
586,19,1
587,17,5
588,13,6
589,12,6
590,10,6
591,11,1
592,17,3
593,13,7
594,21,7
595,16,4
596,17,3
597,23,4
598,1,3
599,1,6
600,17,3
601,9,7
602,20,7
603,0,1
604,1,4
605,23,7
606,13,3
607,18,7
608,13,4
609,22,4
610,21,4
611,7,6
612,6,3
613,13,2
614,16,1
615,7,6
616,2,1
617,19,2
618,19,6
619,23,6
620,6,5
621,19,5
622,19,6
623,7,5
624,9,6
625,6,2
626,19,7
627,18,6
628,14,2
629,15,2
630,14,3
631,17,4
632,19,7
