,acchr,dayofweek
0,4,1
1,2,6
2,1,7
3,19,5
4,1,3
5,18,7
6,5,1
7,2,7
8,1,4
9,20,1
10,22,6
11,3,1
12,3,1
13,4,1
14,2,7
15,2,7
16,21,6
17,21,6
18,17,5
19,5,1
20,5,1
21,1,7
22,1,7
23,1,7
24,7,1
25,22,4
26,0,1
27,0,1
28,1,7
29,0,1
30,6,1
31,3,1
32,3,1
33,23,7
34,16,7
35,2,2
36,3,7
37,2,6
38,2,6
39,1,1
40,1,1
41,1,1
42,2,6
43,2,7
44,2,7
45,21,7
46,21,7
47,4,7
48,3,1
49,3,1
50,3,1
51,4,7
52,3,1
53,2,7
54,17,5
55,2,1
56,2,7
57,5,1
58,18,1
59,1,7
60,21,2
61,7,1
62,20,4
63,21,6
64,21,7
65,21,7
66,21,7
67,10,1
68,3,1
69,3,1
70,23,7
71,0,7
72,17,7
73,16,7
74,23,5
75,2,7
76,3,6
77,19,5
78,0,7
79,2,7
80,19,5
81,3,7
82,3,6
83,23,4
84,99,1
85,18,1
86,17,1
87,18,2
88,21,6
89,22,7
90,6,6
91,5,1
92,23,3
93,1,2
94,7,7
95,21,2
96,1,3
97,2,5
98,23,5
99,23,1
100,10,3
101,1,4
102,20,3
103,5,6
104,2,3
105,2,2
106,2,7
107,3,1
108,23,6
109,13,6
110,21,6
111,8,3
112,2,5
113,2,5
114,13,5
115,4,1
116,6,5
117,2,7
118,2,6
119,2,6
120,22,7
121,8,3
122,0,6
123,0,7
124,15,1
125,1,7
126,2,7
127,14,2
128,20,6
129,23,5
130,16,5
131,19,7
132,3,7
133,19,7
134,21,7
135,0,2
136,21,5
137,15,1
138,22,2
139,9,3
140,17,6
141,3,5
142,2,1
143,7,7
144,1,1
145,6,7
146,23,3
147,19,3
148,0,1
149,4,1
150,5,1
151,20,2
152,23,2
153,2,7
154,1,2
155,3,7
156,5,7
157,6,1
158,5,2
159,0,5
160,0,1
161,1,1
162,99,7
163,1,7
164,21,7
165,22,2
166,3,1
167,1,2
168,23,7
169,2,7
170,21,2
171,0,1
172,22,4
173,99,1
174,1,1
175,2,2
176,7,2
177,3,7
178,3,7
179,21,6
180,5,7
181,20,5
182,23,6
183,17,1
184,22,6
185,1,6
186,4,5
187,1,1
188,20,3
189,0,6
190,19,2
191,1,1
192,1,5
193,19,5
194,21,7
195,23,4
196,23,6
197,0,1
198,18,6
199,1,1
200,4,7
201,16,1
202,16,1
203,18,3
204,1,1
205,17,7
206,22,3
207,22,3
208,20,3
209,99,7
210,19,7
211,7,7
212,1,5
213,17,2
214,21,2
215,2,7
216,13,2
217,99,7
218,15,6
219,2,7
220,17,7
221,5,7
222,20,3
223,18,4
224,8,7
225,23,7
226,3,1
227,4,1
228,9,1
229,21,1
230,0,1
231,0,1
232,2,2
233,19,4
234,22,1
235,3,1
236,1,6
237,1,1
238,4,1
239,2,7
240,20,6
241,2,1
242,6,1
243,22,1
244,99,1
245,1,2
246,23,4
247,2,1
248,18,1
249,23,7
250,18,2
251,22,5
252,3,7
253,2,1
254,19,7
255,20,1
256,15,5
257,1,6
258,99,2
259,1,4
260,15,3
261,21,7
262,21,1
263,3,5
264,2,7
265,2,7
266,0,7
267,3,6
268,21,1
269,21,2
270,21,7
271,2,1
272,3,6
273,0,5
274,1,7
275,99,4
276,18,4
277,20,6
278,20,6
279,2,1
280,22,7
281,23,7
282,1,7
283,15,1
284,0,4
285,3,5
286,3,5
287,23,7
288,3,1
289,15,1
290,3,1
291,2,6
292,2,7
293,18,4
294,15,1
295,18,4
296,1,1
297,1,1
298,1,1
299,3,1
300,3,1
301,3,5
302,2,1
303,2,1
304,2,7
305,4,2
306,21,3
307,2,1
308,1,1
309,23,7
310,19,1
311,3,1
312,3,1
313,19,5
314,2,1
315,2,6
316,18,5
317,2,1
318,15,5
319,1,1
320,3,7
321,3,7
322,1,7
323,2,2
324,2,1
325,1,6
326,5,2
327,1,1
328,1,6
329,7,7
330,23,5
331,5,2
332,1,6
333,21,2
334,22,3
335,3,6
336,3,6
337,4,1
338,7,1
339,8,2
340,4,1
341,1,7
342,21,6
343,2,7
344,17,4
345,19,7
346,2,1
347,2,1
348,1,2
349,2,1
350,3,2
351,18,4
352,3,3
353,3,7
354,1,1
355,10,2
356,18,4
357,2,7
358,3,6
359,4,1
360,1,1
361,4,1
362,2,5
363,1,6
364,1,7
365,23,7
366,2,7
367,21,2
368,2,5
369,20,6
370,23,3
371,0,3
372,3,1
373,7,1
374,20,7
375,21,2
376,2,1
377,3,4
378,0,3
379,2,7
380,0,1
381,0,7
382,23,6
383,22,7
384,0,2
385,0,2
386,10,2
387,21,1
388,4,7
389,3,7
390,2,6
391,20,4
392,20,7
393,23,1
394,23,7
395,3,1
396,0,7
397,22,7
398,2,1
399,3,1
400,22,4
401,15,7
402,17,6
403,1,2
404,23,3
405,7,6
406,0,7
407,5,1
408,2,4
409,5,7
410,23,5
411,3,7
412,6,7
413,1,1
414,10,7
415,3,1
416,4,1
417,10,1
418,5,1
419,0,4
420,1,4
421,22,7
422,23,3
423,20,4
424,21,1
425,22,1
426,7,4
427,2,7
428,3,7
429,3,7
430,20,5
431,17,7
432,1,1
433,17,2
434,22,2
435,19,4
436,0,1
437,19,2
438,3,1
439,0,1
440,22,5
441,0,1
442,2,5
443,21,6
444,5,7
445,2,7
446,21,1
447,23,7
448,2,7
449,19,7
450,2,6
451,23,5
