,acchr,dayofweek
0,15,7
1,5,3
2,20,3
3,23,3
4,23,3
5,2,2
6,2,6
7,16,3
8,0,6
9,19,4
10,9,4
11,14,6
12,3,1
13,19,5
14,3,4
15,10,4
16,2,7
17,18,2
18,5,2
19,13,5
20,10,1
21,21,6
22,20,4
23,19,2
24,2,1
25,6,5
26,6,5
27,6,5
28,6,5
29,6,5
30,20,3
31,20,3
32,19,3
33,11,2
34,7,2
35,7,2
36,8,1
37,18,3
38,0,2
39,18,7
40,0,2
41,11,6
42,16,4
43,18,4
44,21,3
45,6,2
46,6,2
47,16,5
48,15,7
49,8,3
50,9,5
51,10,3
52,16,7
53,19,1
54,10,1
55,10,1
56,10,1
57,22,2
58,20,7
59,20,4
60,22,4
61,18,2
62,11,2
63,18,3
64,18,3
65,23,4
66,21,2
67,13,5
68,21,6
69,0,2
70,21,7
71,0,7
72,0,3
73,0,3
74,4,1
75,2,6
76,1,7
77,19,5
78,1,3
79,18,7
80,5,1
81,2,7
82,1,4
83,20,1
84,22,6
85,3,1
86,3,1
87,4,1
88,2,7
89,2,7
90,21,6
91,21,6
92,17,5
93,5,1
94,5,1
95,1,7
96,1,7
97,1,7
98,7,1
99,22,4
100,0,1
101,0,1
102,1,7
103,0,1
104,6,1
105,3,1
106,3,1
107,23,7
108,16,7
109,2,2
110,3,7
111,2,6
112,2,6
113,1,1
114,1,1
115,1,1
116,2,6
117,2,7
118,2,7
119,21,7
120,21,7
121,4,7
122,3,1
123,3,1
124,3,1
125,4,7
126,3,1
127,2,7
128,17,5
129,2,1
130,2,7
131,5,1
132,18,1
133,1,7
134,21,2
135,7,1
136,20,4
137,21,6
138,21,7
139,21,7
140,21,7
141,10,1
142,3,1
143,3,1
144,23,7
145,0,7
146,17,7
147,16,7
148,16,6
149,18,4
150,3,7
151,20,3
152,2,6
153,19,5
154,12,2
155,21,7
156,7,5
157,2,7
158,16,3
159,4,7
160,4,7
161,0,6
162,5,2
163,5,2
164,5,2
165,4,7
166,23,4
167,23,4
168,20,7
169,16,5
170,19,4
171,19,7
172,19,7
173,2,7
174,23,7
175,23,7
176,19,5
177,19,3
178,1,4
179,10,3
180,14,1
181,14,1
182,15,4
183,10,1
184,4,6
185,4,6
186,20,4
187,1,1
188,1,1
189,2,7
190,2,7
191,20,5
192,20,5
193,0,6
194,10,7
195,10,7
196,12,1
197,0,2
198,1,7
199,0,1
200,22,5
201,3,2
202,7,2
203,21,3
204,13,6
205,13,6
206,13,6
207,13,6
208,11,6
209,11,6
210,20,6
211,4,3
212,4,3
213,13,4
214,8,3
215,5,3
216,5,3
217,18,4
218,1,7
219,7,5
220,14,5
221,14,5
222,13,6
223,14,7
224,1,3
225,1,3
226,5,6
227,4,7
228,3,1
229,22,2
230,2,7
231,20,7
232,3,1
233,19,4
234,19,4
235,19,4
236,19,4
237,19,4
238,23,5
239,8,3
240,9,5
241,20,1
242,16,1
243,16,1
244,17,7
245,19,4
246,19,4
247,4,7
248,13,1
249,3,1
250,3,1
251,2,2
252,15,4
253,19,1
254,4,6
255,2,7
256,5,2
257,5,2
258,10,1
259,23,4
260,23,7
261,13,5
262,8,1
263,1,7
264,22,6
265,15,3
266,99,7
267,18,7
268,10,7
269,1,1
270,1,3
271,1,3
272,23,6
273,3,2
274,13,6
275,4,3
276,4,3
277,4,3
278,4,3
279,13,7
280,15,5
281,18,7
282,22,1
283,7,3
284,15,1
285,12,6
286,15,1
287,4,1
288,18,6
289,11,5
290,15,2
291,5,4
292,23,7
293,15,1
294,0,4
295,6,4
296,23,3
297,23,3
298,6,1
299,21,3
300,17,6
301,2,7
302,10,1
303,16,3
304,16,1
305,22,6
306,5,3
307,22,7
308,6,7
309,17,1
310,11,5
311,23,7
312,18,3
313,15,2
314,14,3
315,20,7
316,0,6
317,8,1
318,22,2
319,14,5
320,22,6
321,15,7
322,22,4
323,7,2
324,21,4
325,20,6
326,16,7
327,22,4
328,18,7
329,21,5
330,12,2
331,13,6
332,19,2
333,22,7
334,2,4
335,5,3
336,19,5
337,18,4
338,16,2
339,21,3
340,17,4
341,16,6
342,17,3
343,0,2
344,20,3
345,20,3
346,14,7
347,15,7
348,17,1
349,8,6
350,9,3
351,6,3
352,3,1
353,7,3
354,12,3
355,21,4
356,15,6
357,13,7
358,14,3
359,18,2
360,14,7
361,16,5
362,5,3
363,18,1
364,20,4
365,10,6
366,10,6
367,8,7
368,20,3
369,19,1
370,6,2
371,19,2
372,9,7
373,7,2
374,20,2
375,19,2
376,6,6
377,7,6
378,7,6
379,7,6
380,9,2
381,20,5
382,16,3
383,20,3
384,19,4
385,22,4
386,3,6
387,11,7
388,23,1
389,18,2
390,7,1
391,14,3
392,0,1
393,21,6
394,3,1
395,20,6
396,18,4
397,8,2
398,5,7
399,11,7
400,17,1
401,14,5
402,2,6
403,18,4
404,14,1
405,2,3
406,5,2
407,22,1
408,19,2
409,23,6
410,17,2
411,8,5
412,17,6
413,14,1
414,5,3
415,8,3
416,2,5
417,3,1
418,16,1
419,10,1
420,15,2
421,4,3
422,18,3
423,10,7
424,14,3
425,1,6
426,4,6
427,20,3
428,7,1
429,19,3
430,20,3
431,2,2
432,7,1
433,2,2
434,16,3
435,19,6
436,19,4
437,99,6
438,13,2
439,17,2
440,18,5
441,14,3
442,18,5
443,18,1
444,6,2
445,20,7
446,13,1
447,5,5
448,6,1
449,13,1
450,21,4
451,19,4
452,5,6
453,5,1
454,15,3
455,19,7
456,7,1
457,12,1
458,23,7
459,21,2
460,7,6
461,20,4
462,3,7
463,6,3
464,10,3
465,21,1
466,3,4
467,20,6
468,8,3
469,8,7
470,7,7
471,16,6
472,4,2
473,20,3
474,22,7
475,19,2
476,22,6
477,19,5
478,3,3
479,8,2
480,7,2
481,17,1
482,11,2
483,9,1
484,7,3
485,14,5
486,7,1
487,18,4
488,11,2
489,11,7
490,8,2
491,9,5
492,12,5
493,2,2
494,1,4
495,18,4
496,12,5
497,17,2
498,18,6
499,15,2
500,19,1
501,20,4
502,23,4
503,2,1
504,17,1
505,21,7
506,17,7
507,20,3
508,20,3
509,7,5
510,21,5
511,17,3
512,22,3
513,18,1
514,17,2
515,11,2
516,11,5
517,23,6
518,7,3
519,6,5
520,20,5
521,7,7
522,5,2
523,20,1
524,16,5
525,19,6
526,13,6
527,23,7
528,12,2
529,10,1
530,6,6
531,13,7
532,0,7
533,19,6
534,4,5
535,19,7
536,19,6
537,20,3
538,20,3
539,21,3
540,10,3
541,6,3
542,22,6
543,0,3
544,15,2
545,22,1
546,1,7
547,0,7
548,1,7
549,12,4
550,1,2
551,14,3
552,21,5
553,14,6
554,6,2
555,22,7
556,10,6
557,6,2
558,0,6
559,13,7
560,21,4
561,7,1
562,15,1
563,18,5
564,23,1
565,23,6
566,20,7
567,15,6
568,6,4
569,16,3
570,11,5
571,16,6
572,5,7
573,21,2
574,20,3
575,2,1
576,19,1
577,7,3
578,18,2
579,2,3
580,12,5
581,15,6
582,15,1
583,22,3
584,9,2
585,0,2
586,14,3
587,0,2
588,8,5
589,20,1
590,23,7
591,16,6
592,19,7
593,5,5
594,1,5
595,7,7
596,18,2
597,18,2
