,acchr,dayofweek
0,19,5
1,5,2
2,3,1
3,2,1
4,1,1
5,1,1
6,1,1
7,1,7
8,3,1
9,23,7
10,3,7
11,2,6
12,2,6
13,2,6
14,2,2
15,22,6
16,13,7
17,3,1
18,0,7
19,16,7
20,4,1
21,2,6
22,1,7
23,19,5
24,1,3
25,2,7
26,20,1
27,3,1
28,2,7
29,2,7
30,21,6
31,21,6
32,22,4
33,6,1
34,3,1
35,23,7
36,16,7
37,2,2
38,3,7
39,2,6
40,2,6
41,1,1
42,1,1
43,1,1
44,2,6
45,2,7
46,2,7
47,21,7
48,4,7
49,4,7
50,2,7
51,18,1
52,21,2
53,20,4
54,21,6
55,21,7
56,21,7
57,10,1
58,3,1
59,3,1
60,23,7
61,0,7
62,17,7
63,16,7
64,6,2
65,20,4
66,3,1
67,18,4
68,19,5
69,23,3
70,2,1
71,17,6
72,1,1
73,22,7
74,20,4
75,4,1
76,22,6
77,22,6
78,22,7
79,23,7
80,22,7
81,22,7
82,19,4
83,17,7
84,20,3
85,13,6
86,13,5
87,23,7
88,21,6
89,20,4
90,15,3
91,6,4
92,23,6
93,20,4
94,0,2
95,11,6
96,0,1
97,21,5
98,18,7
99,22,1
100,23,6
101,2,7
102,3,7
103,2,7
104,23,7
105,23,7
106,2,1
107,19,7
108,1,2
109,1,2
110,18,4
111,3,5
112,20,5
113,1,7
114,1,7
115,12,6
116,1,7
117,1,1
118,8,7
119,22,4
120,1,1
121,6,1
122,0,1
123,1,2
124,13,4
125,20,1
126,3,7
127,0,1
128,14,6
129,5,7
130,0,1
131,4,1
132,21,7
133,4,7
134,4,2
135,3,1
136,2,1
137,5,6
138,2,7
139,7,7
140,2,1
141,11,1
142,2,7
143,4,1
144,1,6
145,2,1
146,21,7
147,23,6
148,19,6
149,4,7
150,7,5
151,22,6
152,4,6
153,0,7
154,2,1
155,2,7
156,4,7
157,2,1
158,23,3
159,3,1
160,20,7
161,2,1
162,16,7
163,1,7
164,22,6
165,23,3
166,2,3
167,0,7
168,23,5
169,2,6
170,2,1
171,3,6
172,2,7
173,2,7
174,4,7
175,23,1
176,0,7
177,23,4
178,23,4
179,2,3
180,4,1
181,1,7
182,2,1
183,1,7
184,23,6
185,2,1
186,23,2
187,3,7
188,1,7
189,1,1
190,5,6
191,3,1
192,5,1
193,1,6
194,19,7
195,4,3
196,1,7
197,0,4
198,15,5
199,23,5
200,1,4
201,22,7
202,3,7
203,0,7
204,3,3
205,1,7
206,99,1
207,3,7
208,5,7
209,3,7
210,5,4
211,0,5
212,2,7
213,3,1
214,20,7
215,4,7
216,23,5
217,3,6
218,1,6
219,7,1
220,5,7
221,0,1
222,22,2
223,23,5
224,1,6
225,19,6
226,1,4
227,19,3
228,2,7
229,23,1
230,1,7
231,4,1
232,3,7
233,1,5
234,20,7
235,5,1
236,19,3
237,0,1
238,99,3
239,4,7
240,0,7
241,3,1
242,1,6
243,3,2
244,21,5
245,17,6
246,2,2
247,4,1
248,6,7
249,23,6
250,22,7
251,3,7
252,12,7
253,21,1
254,3,6
255,23,5
256,2,1
257,1,1
258,18,1
259,3,7
260,23,7
261,4,2
262,2,1
263,12,4
264,4,1
265,19,1
266,22,6
267,12,6
268,1,6
269,19,2
270,5,7
271,3,6
272,1,4
273,23,5
274,6,1
275,2,7
276,4,7
277,6,7
278,0,7
279,2,7
280,4,1
281,4,1
282,23,5
283,0,1
284,22,6
285,5,1
286,2,7
287,11,3
288,3,1
289,3,1
290,1,7
291,23,3
292,2,1
293,1,1
294,1,7
295,23,5
296,1,4
297,3,1
298,3,3
299,12,5
300,2,6
301,2,5
302,14,3
303,4,7
304,21,2
305,19,6
306,2,7
307,21,4
308,22,6
309,2,1
310,22,4
311,13,6
312,2,7
313,23,3
314,23,2
315,3,6
316,7,1
317,1,5
318,3,1
319,2,7
320,19,1
321,7,7
322,2,7
323,0,1
324,2,5
325,21,6
326,16,1
327,5,1
328,0,1
329,3,2
330,7,1
331,2,1
332,0,7
333,3,7
334,7,1
335,23,7
336,22,6
337,2,1
338,6,6
339,3,7
340,1,7
341,20,5
342,2,7
343,5,7
344,22,6
345,23,6
346,0,1
347,23,2
348,1,2
349,2,4
350,6,1
351,4,1
352,23,1
353,23,5
354,3,6
355,2,7
356,3,7
357,3,6
358,23,4
359,18,1
360,18,2
361,21,6
362,5,1
363,23,1
364,1,4
365,2,3
366,2,2
367,3,1
368,13,6
369,2,5
370,2,5
371,13,5
372,2,7
373,2,6
374,8,3
375,14,2
376,23,5
377,16,5
378,19,7
379,0,2
380,21,5
381,15,1
382,9,3
383,17,6
384,3,5
385,2,1
386,7,7
387,1,1
388,6,7
389,23,3
390,19,3
391,0,1
392,4,1
393,20,2
394,23,2
395,2,7
396,1,2
397,3,7
398,5,7
399,6,1
400,5,2
401,0,5
402,1,1
403,99,7
404,1,7
405,21,7
406,22,2
407,3,1
408,1,2
409,23,7
410,2,7
411,21,2
412,0,1
413,22,4
414,99,1
415,1,1
416,2,2
417,7,2
418,3,7
419,3,7
420,21,6
421,5,7
422,20,5
423,23,6
424,17,1
425,22,6
426,1,6
427,4,5
428,1,1
429,20,3
430,0,6
431,19,2
432,1,1
433,1,5
434,19,5
435,21,7
436,23,4
437,23,6
438,0,1
439,18,6
440,1,1
441,4,7
442,16,1
443,18,3
444,1,1
445,17,7
446,22,3
447,20,3
448,99,7
449,19,7
450,7,7
451,1,5
452,17,2
453,21,2
454,2,7
455,13,2
456,99,7
457,15,6
458,2,7
459,17,7
460,5,7
461,20,3
462,18,4
463,8,7
464,23,7
465,3,1
466,4,1
467,9,1
468,21,1
469,0,1
470,0,1
471,2,2
472,19,4
473,22,1
474,3,1
475,1,6
476,1,1
477,2,7
478,2,1
479,6,1
480,22,1
481,99,1
482,1,2
483,23,4
484,2,1
485,18,1
486,23,7
487,18,2
488,22,5
489,3,7
490,19,7
491,20,1
492,15,5
493,99,2
494,1,4
495,21,1
496,2,7
497,2,7
498,3,6
499,21,1
500,21,2
501,21,7
502,2,1
503,3,6
504,99,4
505,18,4
506,20,6
507,20,6
508,23,7
509,15,1
510,0,4
511,3,5
512,3,5
513,23,7
514,3,1
515,15,1
516,19,1
517,2,1
518,2,6
519,18,5
520,15,5
521,1,1
522,3,7
523,1,6
524,5,2
525,1,1
526,23,5
527,5,2
528,1,6
529,22,3
530,3,6
531,3,6
532,4,1
533,1,7
534,17,4
535,1,2
536,3,7
537,10,2
538,2,7
539,4,1
540,2,5
541,1,6
542,2,7
543,21,2
544,2,5
545,20,6
546,23,3
547,0,3
548,3,1
549,7,1
550,20,7
551,21,2
552,0,1
553,0,7
554,0,2
555,0,2
556,4,7
557,3,7
558,2,6
559,20,4
560,0,7
561,2,1
562,22,4
563,17,6
564,1,2
565,7,6
566,0,7
567,2,4
568,5,7
569,23,5
570,3,7
571,1,1
572,4,1
573,23,3
574,20,4
575,21,1
576,7,4
577,3,7
578,3,7
579,20,5
580,17,2
581,22,2
582,19,4
583,0,1
584,19,2
585,3,1
586,0,1
587,22,5
588,0,1
589,21,1
590,23,7
591,19,7
592,2,6
593,23,5
594,23,5
595,10,1
596,16,7
597,21,2
598,12,1
599,17,7
600,18,5
601,3,1
602,2,7
603,18,2
604,23,6
605,5,2
606,21,7
607,2,2
608,2,2
609,16,1
610,16,1
611,2,7
612,10,4
613,0,5
614,1,1
615,21,3
616,20,3
617,19,5
618,4,1
619,11,1
620,5,5
621,9,4
622,23,6
623,2,5
624,23,2
625,4,2
626,23,6
627,2,6
628,4,3
629,3,7
630,2,1
631,2,1
632,2,1
633,5,7
634,2,7
635,18,1
636,3,6
637,3,6
638,2,3
639,6,1
640,0,7
641,2,2
642,5,7
643,2,6
644,2,1
645,21,4
646,4,1
647,6,2
648,15,4
649,2,4
650,6,7
651,3,4
652,23,5
653,18,7
654,2,5
655,23,1
656,20,6
657,2,6
658,0,1
659,2,3
660,23,3
661,2,3
662,21,4
663,2,7
664,3,5
665,11,1
666,23,6
667,22,1
668,15,3
669,17,7
670,3,7
671,23,6
672,1,6
673,3,5
674,2,1
675,0,7
676,17,6
677,0,2
678,23,3
679,4,7
680,23,7
681,1,3
682,15,5
683,2,1
684,0,6
685,1,6
686,1,5
687,2,7
688,0,3
689,1,1
690,1,1
691,1,7
692,2,1
693,2,1
694,23,7
695,1,1
696,2,1
697,1,6
698,1,6
699,1,4
700,1,4
701,23,2
702,22,3
703,11,2
704,4,1
705,1,7
706,1,1
707,1,6
708,9,7
709,0,2
710,20,7
711,19,1
712,23,3
713,1,1
714,4,7
715,21,5
716,2,6
717,16,3
718,3,7
719,1,6
720,0,4
721,3,7
722,20,5
723,2,4
724,0,2
725,22,7
726,18,5
727,18,7
728,20,2
729,13,1
730,12,5
731,0,1
732,20,3
733,3,1
734,2,1
735,2,6
736,22,7
737,22,5
738,2,7
739,1,1
740,2,3
741,2,3
742,16,7
743,0,4
744,0,7
745,1,6
746,15,6
747,3,6
748,6,1
749,23,7
750,4,2
751,3,7
752,3,1
753,3,7
754,2,1
755,3,4
756,0,5
757,1,2
758,1,2
759,2,6
760,16,1
761,23,6
762,2,7
763,3,2
764,3,1
765,5,1
766,22,4
767,2,3
768,21,5
769,0,2
770,2,7
771,2,1
772,6,2
773,5,4
774,0,5
775,23,3
776,21,7
777,0,7
778,3,7
779,0,3
780,20,3
781,5,6
782,3,7
783,0,7
784,22,5
785,2,6
786,1,1
787,19,7
788,5,6
789,19,7
790,19,7
791,2,5
792,2,1
793,22,4
794,2,3
795,6,7
796,3,1
797,20,5
798,2,7
799,6,7
800,0,7
801,1,5
802,0,6
803,21,6
804,21,1
805,23,1
806,17,7
807,23,7
808,0,5
809,0,4
810,5,1
811,1,1
812,2,1
813,2,6
814,0,7
815,12,5
816,4,5
817,23,6
818,1,1
819,6,3
820,23,7
821,2,7
822,9,2
823,19,5
824,3,4
825,5,1
826,3,7
827,22,2
828,6,6
829,2,7
830,1,6
831,2,6
832,18,7
833,3,3
834,21,4
835,1,1
836,18,1
837,2,1
838,2,4
839,4,1
840,1,2
841,12,3
842,21,6
843,2,2
844,1,1
845,0,6
846,1,5
847,5,5
848,7,6
849,2,7
850,7,7
851,1,7
852,2,4
853,2,2
854,23,4
855,2,7
856,20,7
857,20,3
858,1,7
859,4,7
860,12,2
861,7,1
862,5,1
863,13,1
864,17,7
865,1,7
866,4,6
867,4,1
868,15,1
869,1,1
870,1,6
871,1,7
872,0,2
873,14,1
874,20,2
875,4,1
876,20,2
877,21,1
878,2,7
879,23,7
880,2,7
881,0,7
882,0,1
883,23,6
884,23,6
885,22,6
886,22,7
887,99,1
888,21,6
889,12,5
890,23,1
891,2,7
892,20,7
893,1,2
894,1,3
895,4,7
896,14,5
897,2,5
898,21,4
899,21,7
900,16,7
901,1,1
902,20,1
903,0,7
904,4,1
905,3,1
906,1,2
907,17,2
908,2,1
909,22,1
910,0,7
911,1,1
912,19,3
913,20,7
914,22,7
915,22,1
916,2,4
917,4,7
918,14,6
919,23,6
920,6,1
921,2,2
922,5,7
923,21,7
924,6,7
925,4,5
926,23,5
927,21,6
928,19,7
929,1,1
930,20,4
931,8,2
932,2,1
933,2,7
934,23,1
935,3,5
936,2,7
937,3,1
938,2,7
939,1,7
940,1,1
941,1,4
942,2,7
943,2,1
944,0,4
945,3,1
946,22,1
947,2,7
948,22,1
949,8,1
950,2,6
951,16,7
952,20,5
953,2,7
954,6,7
955,2,1
956,4,1
957,4,7
958,1,1
959,3,6
960,2,7
961,2,7
962,22,2
963,0,1
964,6,1
965,23,7
966,5,6
967,3,6
968,1,2
969,6,1
970,1,5
971,4,7
972,12,7
973,21,3
974,2,1
975,23,2
976,8,7
977,17,2
978,0,1
979,2,3
980,4,4
981,2,5
982,1,1
983,22,2
984,2,1
985,22,3
986,0,5
987,3,1
988,1,1
989,4,7
990,1,1
991,2,1
992,2,3
993,1,2
994,7,7
995,2,7
996,23,1
997,0,4
998,23,4
999,1,6
1000,2,6
1001,19,1
1002,2,5
1003,18,1
1004,21,6
1005,17,3
1006,20,4
1007,23,6
1008,1,7
1009,3,1
1010,3,7
1011,3,7
1012,20,7
1013,21,4
1014,21,7
1015,11,7
1016,18,7
1017,2,6
1018,23,5
1019,2,7
1020,1,7
1021,1,7
1022,5,1
1023,2,6
1024,20,7
1025,2,1
1026,23,6
1027,1,7
1028,2,7
1029,0,1
1030,2,5
1031,3,1
1032,21,7
1033,6,7
1034,17,1
1035,11,5
1036,2,7
1037,3,5
1038,1,3
1039,23,5
1040,2,1
1041,3,1
1042,3,5
1043,18,7
1044,1,1
1045,2,5
1046,3,2
1047,2,1
1048,0,5
1049,22,2
1050,3,3
1051,22,7
1052,17,7
1053,2,1
1054,3,1
1055,16,1
1056,2,7
1057,4,1
1058,3,3
1059,1,4
1060,19,7
1061,14,2
1062,16,2
1063,23,3
1064,23,3
1065,17,7
1066,4,7
1067,4,7
1068,21,1
1069,22,7
1070,19,2
1071,5,6
1072,3,6
1073,1,7
1074,4,6
1075,3,5
1076,20,7
1077,0,1
1078,1,1
1079,5,6
1080,3,1
1081,20,6
1082,99,1
1083,15,1
1084,16,4
1085,2,2
1086,0,3
1087,20,7
1088,5,3
1089,7,1
1090,4,6
1091,23,3
1092,4,1
1093,4,1
1094,14,4
1095,3,7
1096,3,1
1097,3,5
1098,20,4
1099,0,1
