,acchr,dayofweek
0,12,6
1,2,2
2,11,4
3,22,7
4,10,1
5,23,4
6,15,2
7,15,5
8,6,7
9,16,1
10,14,7
11,23,3
12,21,5
13,22,2
14,18,4
15,3,7
16,17,1
17,14,3
18,10,4
19,13,1
20,14,2
21,14,2
22,21,6
23,18,1
24,18,3
25,5,5
26,11,7
27,22,5
28,17,6
29,4,1
30,22,6
31,22,6
32,22,7
33,23,7
34,19,4
35,17,7
36,20,3
37,13,6
38,13,5
39,21,6
40,20,4
41,13,6
42,14,7
43,3,1
44,12,5
45,1,3
46,15,7
47,14,1
48,14,1
49,7,2
50,9,3
51,14,7
52,11,3
53,6,2
54,3,1
55,19,3
56,12,5
57,12,6
58,19,5
59,11,7
60,15,7
61,7,2
62,17,1
63,18,7
64,1,4
65,7,6
66,6,2
67,8,2
68,18,3
69,18,3
70,17,7
71,9,7
72,16,2
73,11,6
74,17,7
75,12,2
76,8,2
77,11,3
78,17,2
79,19,7
80,12,1
81,9,7
82,4,5
83,11,4
84,0,1
85,12,4
86,16,3
87,9,5
88,10,6
89,20,6
90,7,4
91,15,6
92,12,1
93,12,2
94,15,3
95,10,2
96,13,4
97,7,4
98,12,6
99,6,6
100,6,6
101,9,4
102,1,4
103,7,4
104,14,4
105,15,6
106,4,6
107,12,1
108,18,7
109,1,1
110,11,4
111,21,5
112,14,6
113,18,7
114,9,3
115,9,3
116,13,5
117,16,7
118,9,7
119,16,2
120,11,5
121,15,3
122,9,6
123,10,7
124,15,7
125,4,5
126,9,5
127,15,1
128,15,6
129,6,6
130,10,3
131,10,3
132,2,4
133,13,6
134,16,1
135,20,6
136,20,6
137,6,4
138,15,3
139,15,4
140,7,1
141,19,7
142,6,5
143,8,4
144,11,4
145,16,2
146,19,2
147,19,2
148,23,3
149,17,4
150,17,6
151,7,7
152,12,7
153,8,4
154,4,6
155,15,2
156,16,2
157,10,6
158,18,2
159,11,3
160,19,1
161,20,7
162,12,4
163,5,7
164,18,7
165,22,3
166,12,7
167,14,3
168,14,5
169,8,5
170,14,3
171,0,7
172,12,2
173,14,4
174,18,5
175,9,2
176,20,5
177,17,3
178,10,6
179,11,5
180,6,6
181,9,6
182,14,4
183,21,1
184,5,5
185,9,5
186,8,2
187,11,1
188,9,4
189,14,4
190,18,1
191,15,3
192,4,5
193,10,1
194,9,2
195,20,2
196,8,4
197,11,4
198,12,3
199,17,3
200,23,4
201,15,5
202,11,3
203,18,3
204,13,2
205,10,4
206,11,2
207,1,3
208,22,5
209,11,4
210,3,7
211,5,2
212,22,5
213,5,7
214,9,2
215,11,2
216,13,6
217,16,3
218,17,1
219,11,2
220,14,4
221,0,5
222,17,6
223,19,1
224,9,4
225,14,1
226,15,7
227,18,1
228,9,2
229,12,3
230,18,4
231,5,2
232,4,1
233,13,3
234,13,1
235,21,3
236,14,3
237,0,4
238,17,6
239,16,6
240,17,2
241,14,3
242,23,2
243,12,1
244,20,7
245,15,1
246,9,1
247,15,7
248,10,7
