,acchr,dayofweek
0,17,3
1,23,6
2,15,7
3,15,7
4,18,6
5,19,1
6,13,2
7,13,7
8,20,7
9,17,5
10,5,2
11,5,2
12,11,1
13,15,3
14,12,6
15,16,4
16,8,1
17,8,1
18,20,7
19,12,6
20,5,2
21,20,1
22,12,1
23,0,1
24,14,2
25,13,4
26,5,3
27,16,3
28,19,5
29,2,7
30,5,2
31,20,4
32,19,2
33,2,1
34,6,5
35,6,5
36,6,5
37,20,3
38,7,2
39,7,2
40,18,7
41,16,4
42,18,4
43,9,5
44,10,3
45,16,7
46,19,1
47,20,7
48,20,4
49,22,4
50,18,2
51,13,5
52,21,6
53,5,3
54,16,7
55,13,2
56,9,5
57,20,6
58,18,6
59,4,1
60,14,3
61,15,4
62,20,4
63,11,6
64,13,5
65,22,4
66,17,6
67,12,5
68,17,5
69,13,2
70,19,7
71,20,1
72,23,4
73,5,2
74,10,7
75,5,7
76,14,2
77,12,6
78,15,5
79,18,7
80,21,6
81,9,3
82,9,6
83,9,6
84,14,4
85,5,6
86,16,4
87,3,4
88,16,6
89,22,7
90,20,6
91,11,2
92,19,3
93,3,2
94,18,6
95,19,2
96,19,2
97,15,6
98,15,2
99,5,2
100,11,2
101,15,5
102,17,1
103,0,2
104,16,1
105,7,5
106,7,5
107,17,3
108,7,5
109,10,6
110,13,2
111,19,7
112,22,6
113,18,6
114,19,3
115,20,1
116,5,5
117,18,2
118,14,3
119,20,4
120,15,7
121,13,5
122,12,3
123,7,2
124,18,1
125,13,4
126,20,2
127,5,5
128,5,5
129,12,2
130,10,7
131,18,3
132,18,7
133,4,7
134,16,1
135,8,3
136,21,5
137,18,1
138,17,1
139,20,7
140,18,1
141,21,4
142,20,2
143,15,2
144,18,5
145,11,4
146,16,2
147,20,6
148,17,1
149,12,2
150,18,1
151,12,7
152,18,4
153,14,7
154,14,1
155,6,3
156,13,2
157,14,7
158,22,6
159,12,7
160,16,1
161,17,4
162,20,5
163,21,2
164,14,7
165,18,7
166,0,1
167,20,1
168,14,6
169,15,2
170,13,7
171,6,2
172,23,5
173,12,4
174,13,7
175,19,5
176,13,1
177,7,5
178,0,1
179,22,5
180,21,5
181,22,7
182,22,7
183,9,7
184,1,7
185,6,2
186,18,4
187,2,1
188,17,3
189,16,4
190,12,7
191,16,4
192,15,3
193,21,6
194,19,3
195,18,7
196,14,6
197,22,6
198,15,4
199,11,7
200,13,7
201,17,3
202,21,7
203,5,7
204,20,2
205,4,3
206,22,4
207,15,2
208,16,4
209,15,2
210,5,4
211,13,3
212,14,5
213,19,4
214,19,4
215,19,5
216,17,4
217,13,7
218,21,2
219,5,7
220,19,1
221,11,4
222,14,5
223,12,5
224,21,2
225,18,6
226,0,5
227,1,7
228,22,7
229,15,3
230,15,1
231,7,6
232,16,6
233,19,6
234,20,6
235,9,4
236,18,7
237,21,5
238,11,6
239,20,7
240,5,4
241,21,4
242,14,2
243,17,6
244,20,7
245,14,3
246,18,3
247,20,4
248,19,2
249,15,1
250,17,6
251,7,7
252,19,6
253,21,1
254,12,3
255,11,7
256,17,7
257,15,5
258,23,7
259,16,4
260,11,7
261,9,6
262,19,5
263,19,5
264,22,1
265,14,4
266,8,2
267,20,3
268,18,6
269,17,2
270,20,2
271,17,2
272,22,7
273,21,2
274,9,4
275,14,4
276,20,7
277,16,7
278,5,7
279,1,4
280,15,7
281,22,4
282,19,1
283,3,5
284,7,5
285,23,6
286,8,5
287,18,4
288,3,7
289,15,6
290,7,1
291,12,4
292,2,1
293,11,6
294,18,4
295,19,3
296,0,7
297,12,6
298,17,1
299,15,4
300,14,7
301,7,5
302,19,7
303,11,3
304,21,6
305,17,6
306,9,7
307,18,6
308,12,2
309,19,7
310,14,2
311,19,2
312,17,3
313,16,1
314,23,7
315,7,3
316,21,2
317,22,3
318,20,6
319,19,4
320,21,2
321,18,2
322,20,3
323,21,2
324,16,3
325,5,3
326,22,6
327,19,2
328,15,3
329,12,3
330,17,2
331,22,2
332,1,2
333,5,4
334,13,2
335,20,6
336,17,2
337,99,2
338,11,2
339,19,3
340,23,6
341,20,7
342,3,7
343,7,6
344,13,4
345,19,3
346,18,3
347,2,4
348,5,7
349,9,2
350,6,6
351,6,4
352,16,5
353,17,3
354,14,2
355,23,3
356,0,7
357,15,7
358,20,5
359,4,1
360,99,1
361,23,7
362,2,7
363,16,3
364,7,4
365,16,4
366,10,7
367,14,7
368,21,2
369,0,3
370,17,3
371,18,5
372,2,7
373,21,4
374,14,3
375,99,3
376,13,5
377,10,2
378,16,4
379,18,7
380,9,1
381,7,3
382,21,3
383,17,1
384,22,1
385,19,1
386,1,1
387,0,3
388,17,3
389,15,3
390,7,3
391,15,6
392,20,7
393,21,2
394,17,3
395,4,3
396,18,1
397,17,4
398,15,1
399,22,7
400,21,7
401,13,3
402,14,6
403,9,2
404,22,6
405,20,3
406,8,4
407,11,4
408,22,6
409,16,4
410,5,6
411,22,1
412,23,7
413,16,4
414,22,5
415,1,7
416,20,2
417,9,3
418,15,4
419,22,6
420,1,3
421,20,2
422,12,2
423,15,6
424,14,6
425,21,6
426,21,2
427,17,5
428,16,2
429,1,1
430,13,6
431,12,6
432,16,6
433,22,4
434,11,1
435,17,3
436,13,7
437,23,4
438,1,3
439,13,7
440,1,6
441,18,5
442,21,3
443,9,7
444,14,4
445,20,7
446,0,1
447,1,4
448,23,7
449,13,4
450,10,6
451,21,4
452,18,5
453,6,3
454,13,2
455,18,3
456,19,7
457,20,6
458,7,6
459,6,5
460,19,6
461,21,5
462,21,4
463,20,1
464,15,4
465,20,5
466,10,2
467,12,1
468,7,4
469,15,4
470,18,1
471,17,6
472,13,3
473,5,5
474,12,5
475,7,4
476,17,3
477,21,6
478,20,2
479,22,3
480,18,2
481,8,2
482,20,4
483,21,6
484,15,1
485,13,6
486,20,5
487,18,7
488,2,5
489,13,1
490,22,6
491,18,7
492,21,5
493,15,3
494,19,6
495,15,2
496,19,4
497,3,2
498,1,1
499,12,7
500,20,2
501,14,3
502,0,4
503,23,3
504,17,3
505,14,6
506,18,7
507,18,3
508,19,2
509,21,1
510,15,7
511,15,2
512,23,2
513,11,2
514,14,1
515,17,5
516,13,5
517,21,2
518,15,4
519,13,5
520,20,7
521,21,6
522,0,3
523,16,7
524,18,2
525,21,2
526,2,5
527,16,6
528,16,4
529,21,2
530,19,6
531,21,6
532,23,7
533,19,5
534,9,4
535,22,5
536,12,1
537,19,6
538,21,6
539,17,1
540,2,7
541,17,2
542,20,7
543,8,1
544,20,7
545,20,5
546,20,5
547,7,3
548,20,1
549,1,2
550,12,6
551,14,3
552,19,2
553,23,5
554,19,7
555,19,4
556,21,1
557,18,5
558,16,1
559,17,2
560,7,4
561,6,1
562,22,1
563,19,5
564,15,5
565,11,7
566,7,1
567,15,2
568,14,1
569,23,6
570,17,7
571,15,5
572,12,6
573,15,1
574,11,5
575,15,2
576,5,4
577,15,1
578,0,4
579,6,4
580,23,3
581,21,3
582,17,6
583,2,7
584,10,1
585,22,6
586,5,3
587,22,7
588,6,7
589,17,1
590,11,5
591,23,7
592,15,2
593,14,3
594,20,7
595,8,1
596,22,2
597,22,6
598,22,4
599,7,2
600,21,4
601,16,7
602,18,7
603,21,5
604,12,2
605,13,6
606,22,7
607,5,3
608,19,5
609,18,4
610,16,2
611,21,3
612,17,4
613,16,6
614,20,3
615,20,3
616,14,7
617,15,7
618,17,1
619,9,3
620,12,3
621,14,7
622,20,4
623,6,2
624,7,2
625,20,2
626,21,6
627,20,6
628,18,4
629,8,2
630,16,1
631,19,4
632,19,4
633,12,1
634,3,7
635,6,3
636,20,3
637,19,2
638,22,6
639,3,3
640,8,2
641,17,1
642,9,1
643,7,3
644,18,4
645,1,4
646,18,4
647,12,5
648,18,6
649,20,4
650,23,4
651,2,1
652,17,1
653,20,3
654,7,5
655,21,5
656,22,3
657,18,1
658,17,2
659,11,2
660,11,5
661,23,6
662,7,3
663,20,5
664,7,7
665,5,2
666,20,1
667,16,5
668,13,6
669,23,7
670,12,2
671,13,7
672,19,7
673,20,3
674,0,3
675,6,2
676,0,6
677,13,7
678,23,1
679,23,6
680,20,7
681,6,4
682,11,5
683,5,7
684,20,3
685,2,1
686,12,5
687,15,6
688,9,2
689,18,2
690,2,1
691,3,4
692,4,5
693,9,3
694,17,1
695,9,3
696,11,5
697,11,3
698,19,2
699,11,3
700,6,3
701,20,1
702,15,1
703,10,2
704,12,5
705,22,7
706,15,6
707,21,1
708,12,7
709,19,4
710,22,6
711,14,2
712,16,4
713,15,7
714,14,2
715,22,7
716,13,1
717,5,4
718,20,5
719,10,5
720,6,3
721,19,6
722,17,2
723,20,6
724,6,4
725,18,6
726,10,6
727,16,6
728,15,2
729,15,2
730,12,5
731,16,6
732,10,1
733,14,5
734,8,4
735,17,4
736,7,7
737,8,2
738,19,1
739,0,5
740,1,6
741,14,6
742,17,3
743,22,6
744,12,7
745,21,7
746,22,6
747,8,6
748,18,2
749,7,6
750,7,4
751,16,7
752,21,2
753,22,6
754,19,1
755,14,3
756,0,7
757,12,1
758,15,4
759,12,7
760,20,4
761,17,7
762,5,7
763,23,4
764,20,2
765,0,6
766,14,1
767,16,2
768,12,6
769,17,6
770,16,1
771,12,3
772,14,5
773,21,7
774,12,6
775,19,6
776,22,6
777,18,3
778,11,2
779,13,7
780,1,7
781,20,7
782,18,3
783,23,7
784,6,3
785,20,2
786,17,5
787,22,6
788,11,4
789,13,4
790,2,1
791,5,2
792,10,3
793,19,5
794,15,7
795,12,7
796,22,3
797,6,6
798,2,7
799,10,1
800,19,7
801,20,5
802,0,3
803,21,7
804,7,7
805,15,1
806,6,2
807,15,7
808,18,3
809,2,7
810,0,6
811,15,5
812,14,4
813,6,4
814,20,1
815,18,7
816,22,5
817,6,2
818,12,7
819,18,6
820,0,2
821,10,5
822,4,1
823,7,4
824,10,6
825,9,2
826,6,5
827,19,1
828,15,3
829,20,1
830,20,2
831,16,5
832,13,7
833,16,5
834,12,1
835,8,6
836,19,1
837,19,2
838,12,6
839,18,7
840,14,2
841,14,2
842,8,1
843,15,4
844,18,5
845,18,6
846,16,3
847,7,4
848,6,5
849,15,7
850,13,6
851,16,7
852,0,7
853,22,6
854,20,2
855,20,2
856,5,6
857,22,4
858,9,3
859,18,2
860,17,4
861,17,1
862,18,1
863,16,4
864,18,1
865,18,7
866,19,7
867,6,4
868,10,2
869,17,2
870,19,5
871,5,7
872,21,7
873,18,1
874,13,7
875,21,3
876,18,3
877,20,5
878,20,6
879,18,7
880,14,7
881,20,2
882,11,1
883,9,5
884,21,1
885,14,7
886,6,6
887,18,3
888,17,2
889,15,5
890,16,5
891,10,4
892,5,6
893,19,7
894,6,2
895,10,5
896,14,4
897,8,5
898,16,6
899,12,6
900,18,2
901,7,3
902,2,3
903,18,2
904,1,1
905,12,1
906,7,1
907,8,4
908,15,6
909,10,7
910,5,2
911,9,2
912,7,5
913,16,1
914,17,1
915,9,3
916,11,3
917,15,2
918,15,2
919,19,2
920,16,4
921,14,2
922,22,3
923,18,4
924,1,7
925,3,3
926,18,3
927,12,3
928,9,1
929,12,6
930,11,6
931,7,2
932,14,7
933,12,2
934,7,7
935,23,7
936,20,6
937,15,4
938,13,6
939,15,3
940,10,5
941,20,3
942,12,1
943,5,6
944,13,1
945,11,4
946,1,2
947,19,3
948,11,2
949,9,3
950,20,3
951,8,1
952,6,7
953,17,1
954,21,7
955,19,1
956,13,7
957,21,3
958,0,7
959,22,5
960,17,6
961,7,2
962,14,7
963,6,6
964,17,7
965,18,4
966,2,1
967,12,5
968,7,5
969,18,2
970,5,2
971,11,6
972,9,4
973,15,6
974,17,6
975,5,2
976,19,2
977,17,5
978,23,7
979,22,3
980,16,4
981,15,5
982,7,6
983,7,6
984,4,7
985,14,6
986,7,2
987,18,4
988,8,1
989,5,5
990,3,4
991,15,2
992,12,3
993,11,2
994,11,7
995,15,6
996,8,5
997,18,6
998,17,2
999,17,2
1000,15,3
1001,12,3
1002,20,5
1003,20,4
1004,10,1
1005,10,1
1006,10,1
1007,5,7
1008,20,2
1009,16,2
1010,20,1
1011,11,7
1012,20,2
1013,0,6
1014,13,6
1015,13,6
1016,4,6
1017,10,1
1018,19,7
1019,10,7
1020,22,6
1021,6,5
1022,23,6
1023,7,7
1024,20,3
1025,17,6
1026,17,6
1027,5,1
1028,18,1
1029,3,6
1030,21,7
1031,22,1
1032,18,5
1033,17,7
1034,17,4
1035,17,1
1036,8,4
1037,3,1
1038,18,1
1039,1,7
1040,21,3
1041,19,6
1042,16,1
1043,18,3
1044,15,7
1045,0,7
1046,15,2
1047,21,6
1048,13,5
1049,9,7
1050,6,5
1051,12,1
1052,10,2
1053,19,4
1054,8,3
1055,1,1
1056,8,6
1057,16,7
1058,13,4
1059,16,2
1060,1,2
1061,13,2
1062,2,3
1063,17,3
1064,14,3
1065,14,1
1066,23,2
1067,17,4
1068,9,3
1069,16,4
1070,7,5
1071,8,1
1072,15,2
1073,16,2
1074,23,7
1075,7,6
1076,4,1
1077,19,3
1078,17,4
1079,15,2
1080,1,7
1081,22,7
1082,19,7
1083,23,1
1084,19,1
1085,8,5
1086,9,2
1087,1,1
1088,8,5
1089,22,1
1090,10,6
1091,19,6
1092,9,7
1093,7,1
1094,15,6
1095,23,6
1096,10,7
1097,4,7
1098,22,4
1099,22,4
1100,4,2
1101,18,3
1102,22,1
1103,8,6
1104,9,6
1105,6,1
1106,99,3
1107,20,6
1108,99,2
1109,17,1
1110,18,6
1111,22,6
1112,22,6
1113,5,2
1114,12,7
1115,15,3
1116,6,3
1117,17,7
1118,22,1
1119,22,1
1120,21,1
1121,14,2
1122,22,7
1123,18,5
1124,16,6
1125,0,7
1126,9,7
1127,1,7
1128,14,1
1129,17,2
1130,0,2
1131,2,7
1132,1,1
1133,14,3
1134,20,7
1135,3,2
1136,1,5
1137,13,3
1138,10,2
1139,14,3
1140,23,7
1141,12,1
1142,5,2
1143,20,6
1144,20,1
1145,20,6
1146,3,5
1147,19,4
1148,11,5
1149,21,6
1150,10,2
1151,14,3
1152,4,2
1153,1,3
1154,10,1
1155,18,3
1156,22,1
1157,9,6
1158,17,2
1159,17,3
1160,18,6
1161,17,4
1162,8,5
1163,0,3
1164,11,7
1165,20,1
1166,12,1
1167,19,6
1168,18,1
1169,23,6
1170,20,7
1171,19,5
1172,6,1
1173,23,1
1174,3,3
1175,22,5
1176,16,6
1177,13,1
1178,17,6
1179,2,7
1180,16,3
1181,0,7
1182,13,1
1183,20,1
1184,3,4
1185,21,1
1186,3,1
1187,23,6
1188,20,2
1189,4,1
1190,15,2
1191,1,2
1192,8,7
1193,21,6
1194,16,7
1195,14,1
1196,17,6
1197,17,7
1198,1,6
1199,0,1
1200,14,3
1201,20,5
1202,5,6
1203,14,3
1204,19,7
1205,15,2
1206,22,3
1207,9,5
1208,8,7
1209,4,1
1210,12,1
1211,13,5
1212,13,7
1213,14,3
1214,18,5
1215,12,7
1216,5,5
1217,19,1
1218,23,1
1219,15,3
1220,21,6
1221,2,4
1222,17,3
1223,13,6
1224,14,6
1225,5,7
1226,20,1
1227,6,5
1228,0,5
1229,8,1
1230,23,7
1231,15,3
1232,5,7
1233,19,1
1234,15,3
1235,13,5
