,acchr,dayofweek
0,17,3
1,18,6
2,10,1
3,2,1
4,18,6
5,19,1
6,11,2
7,10,1
8,15,7
9,21,5
10,11,3
11,6,2
12,3,7
13,17,7
14,22,7
15,13,1
16,20,7
17,17,5
18,20,2
19,15,3
20,15,3
21,12,6
22,8,4
23,16,4
24,22,2
25,3,1
26,20,7
27,20,2
28,12,2
29,12,1
30,12,1
31,9,5
32,14,2
33,8,4
34,13,4
35,15,7
36,5,3
37,20,3
38,23,3
39,23,3
40,2,2
41,16,3
42,0,6
43,9,4
44,14,6
45,3,1
46,3,4
47,10,4
48,18,2
49,5,2
50,13,5
51,10,1
52,21,6
53,20,4
54,20,3
55,20,3
56,11,2
57,7,2
58,7,2
59,8,1
60,18,3
61,0,2
62,18,7
63,11,6
64,18,4
65,21,3
66,6,2
67,6,2
68,16,5
69,8,3
70,9,5
71,10,3
72,16,7
73,19,1
74,10,1
75,10,1
76,10,1
77,20,7
78,20,4
79,22,4
80,11,2
81,18,3
82,18,3
83,23,4
84,13,5
85,21,6
86,5,3
87,11,3
88,11,4
89,13,2
90,13,2
91,9,5
92,20,6
93,18,6
94,4,1
95,4,1
96,14,3
97,15,4
98,20,4
99,13,5
100,11,7
101,17,6
102,12,5
103,18,7
104,3,7
105,21,5
106,17,5
107,13,2
108,19,7
109,20,1
110,23,4
111,3,4
112,4,1
113,5,2
114,13,5
115,10,1
116,15,6
117,15,3
118,7,2
119,18,3
120,14,2
121,11,7
122,12,6
123,15,5
124,17,6
125,15,7
126,18,7
127,21,6
128,9,3
129,18,4
130,6,7
131,9,7
132,12,6
133,9,6
134,9,6
135,14,4
136,2,2
137,12,2
138,17,3
139,16,4
140,3,4
141,16,6
142,11,4
143,22,7
144,20,6
145,11,2
146,19,3
147,22,7
148,22,6
149,3,2
150,18,6
151,19,2
152,19,2
153,15,6
154,15,2
155,10,1
156,11,2
157,15,5
158,17,1
159,5,5
160,23,4
161,15,2
162,15,5
163,13,7
164,6,7
165,16,1
166,16,1
167,7,5
168,7,5
169,14,7
170,23,3
171,21,5
172,22,2
173,21,7
174,17,3
175,7,5
176,10,6
177,17,1
178,13,2
179,19,7
180,22,6
181,18,6
182,14,3
183,19,3
184,10,4
185,20,1
186,13,1
187,5,5
188,18,2
189,14,3
190,20,4
191,15,7
192,14,2
193,14,2
194,12,3
195,21,6
196,7,2
197,18,1
198,18,1
199,18,3
200,13,4
201,20,2
202,5,5
203,5,5
204,5,5
205,12,2
206,11,7
207,18,3
208,22,5
209,17,6
210,18,7
211,10,1
212,16,1
213,17,2
214,14,4
215,8,6
216,8,4
217,0,1
218,13,2
219,16,2
220,9,7
221,17,1
222,18,4
223,13,2
224,14,7
225,9,7
226,23,2
227,20,7
228,13,2
229,17,2
230,16,4
231,17,3
232,16,5
233,13,7
234,18,7
235,15,2
236,13,7
237,22,5
238,21,5
239,9,3
240,9,7
241,16,4
242,12,7
243,6,6
244,16,4
245,15,3
246,15,1
247,14,7
248,10,1
249,2,2
250,2,2
251,0,7
252,22,5
253,18,7
254,6,3
255,0,5
256,11,4
257,10,3
258,13,6
259,22,7
260,0,7
261,8,5
262,22,6
263,15,4
264,11,7
265,17,3
266,22,2
267,15,4
268,16,6
269,0,3
270,7,4
271,15,7
272,0,1
273,23,6
274,10,7
275,21,5
276,18,7
277,21,2
278,7,6
279,22,4
280,8,2
281,5,7
282,19,1
283,14,5
284,7,5
285,1,7
286,15,1
287,7,6
288,20,6
289,9,4
290,15,1
291,20,3
292,17,5
293,21,6
294,14,1
295,13,1
296,2,6
297,14,1
298,21,5
299,21,3
300,21,4
301,17,6
302,20,7
303,15,4
304,16,4
305,11,4
306,7,6
307,15,1
308,17,6
309,21,1
310,12,3
311,17,7
312,15,5
313,6,5
314,11,7
315,11,7
316,12,1
317,15,6
318,15,6
319,18,4
320,21,1
321,16,5
322,6,5
323,1,1
324,10,6
325,14,3
326,17,5
327,2,6
328,18,6
329,17,2
330,17,2
331,20,7
332,1,4
333,15,7
334,16,2
335,3,5
336,23,7
337,15,6
338,17,6
339,17,6
340,8,7
341,9,1
342,16,5
343,0,7
344,14,1
345,12,4
346,2,1
347,12,6
348,15,4
349,14,7
350,7,5
351,11,3
352,17,6
353,17,6
354,9,7
355,18,6
356,12,2
357,12,2
358,17,5
359,12,6
360,14,2
361,17,3
362,22,6
363,23,7
364,7,3
365,20,6
366,19,4
367,21,2
368,1,6
369,22,7
370,18,7
371,16,3
372,6,2
373,2,5
374,12,3
375,17,2
376,5,1
377,13,2
378,20,5
379,17,1
380,6,4
381,2,5
382,14,3
