,acchr,dayofweek
0,15,7
1,5,3
2,20,3
3,23,3
4,2,2
5,16,3
6,0,6
7,19,4
8,9,4
9,14,6
10,19,5
11,10,4
12,2,7
13,18,2
14,5,2
15,10,1
16,21,6
17,19,2
18,6,5
19,6,5
20,20,3
21,20,3
22,19,3
23,11,2
24,7,2
25,0,2
26,18,7
27,11,6
28,16,4
29,18,4
30,21,3
31,6,2
32,16,5
33,15,7
34,8,3
35,9,5
36,10,3
37,16,7
38,19,1
39,20,7
40,20,4
41,22,4
42,18,2
43,11,2
44,18,3
45,23,4
46,13,5
47,21,6
48,0,3
49,4,1
50,1,7
51,2,7
52,1,4
53,20,1
54,3,1
55,4,1
56,2,7
57,21,6
58,1,7
59,7,1
60,1,7
61,0,1
62,6,1
63,3,1
64,23,7
65,16,7
66,2,2
67,3,7
68,2,6
69,1,1
70,2,6
71,2,7
72,21,7
73,4,7
74,3,1
75,4,7
76,3,1
77,17,5
78,2,1
79,2,7
80,5,1
81,7,1
82,20,4
83,21,6
84,21,7
85,10,1
86,3,1
87,16,6
88,18,4
89,21,7
90,7,5
91,16,3
92,5,2
93,19,7
94,23,7
95,1,4
96,15,4
97,12,1
98,0,2
99,7,2
100,21,3
101,13,6
102,11,6
103,8,3
104,14,7
105,1,3
106,3,1
107,23,5
108,16,1
109,4,7
110,19,1
111,5,2
112,23,4
113,23,7
114,13,5
115,8,1
116,22,6
117,10,7
118,3,2
119,13,7
120,15,5
121,18,7
122,22,1
123,7,3
124,15,1
125,12,6
126,15,1
127,4,1
128,18,6
129,11,5
130,15,2
131,5,4
132,23,7
133,15,1
134,0,4
135,6,4
136,23,3
137,6,1
138,21,3
139,17,6
140,2,7
141,10,1
142,16,3
143,16,1
144,22,6
145,5,3
146,22,7
147,6,7
148,17,1
149,11,5
150,23,7
151,18,3
152,15,2
153,14,3
154,20,7
155,0,6
156,8,1
157,22,2
158,14,5
159,22,6
160,15,7
161,22,4
162,7,2
163,21,4
164,20,6
165,16,7
166,22,4
167,18,7
168,21,5
169,13,6
170,19,2
171,22,7
172,2,4
173,5,3
174,19,5
175,18,4
176,16,2
177,21,3
178,17,4
179,16,6
180,17,3
181,20,3
182,20,3
183,14,7
184,15,7
185,17,1
186,8,6
187,9,3
188,6,3
189,3,1
190,7,3
191,12,3
192,21,4
193,15,6
194,13,7
195,14,3
196,18,2
197,14,7
198,5,3
199,18,1
200,20,4
201,10,6
202,10,6
203,8,7
204,20,3
205,19,1
206,6,2
207,19,2
208,9,7
209,7,2
210,20,2
211,19,2
212,6,6
213,7,6
214,7,6
215,9,2
216,20,5
217,16,3
218,20,3
219,19,4
220,3,6
221,11,7
222,23,1
223,7,1
224,14,3
225,0,1
226,21,6
227,20,6
228,18,4
229,8,2
230,11,7
231,17,1
232,14,5
233,2,6
234,14,1
235,2,3
236,22,1
237,19,2
238,23,6
239,17,2
240,17,6
241,14,1
242,8,3
243,16,1
244,10,1
245,15,2
246,4,3
247,18,3
248,10,7
249,1,6
250,4,6
251,20,3
252,19,3
253,20,3
254,2,2
255,7,1
256,2,2
257,16,3
258,19,6
259,19,4
260,99,6
261,13,2
262,17,2
263,14,3
264,18,5
265,18,1
266,6,2
267,20,7
268,13,1
269,5,5
270,6,1
271,13,1
272,21,4
273,19,4
274,5,6
275,5,1
276,15,3
277,19,7
278,7,1
279,12,1
280,23,7
281,21,2
282,7,6
283,3,7
284,6,3
285,10,3
286,21,1
287,3,4
288,20,6
289,8,3
290,7,7
291,20,3
292,22,7
293,19,2
294,22,6
295,19,5
296,3,3
297,8,2
298,7,2
299,17,1
300,11,2
301,9,1
302,7,3
303,14,5
304,7,1
305,18,4
306,11,2
307,11,7
308,8,2
309,9,5
310,2,2
311,1,4
312,18,4
313,12,5
314,18,6
315,15,2
316,19,1
317,20,4
318,23,4
319,2,1
320,17,1
321,17,7
322,20,3
323,7,5
324,21,5
325,17,3
326,22,3
327,11,2
328,11,5
329,23,6
330,7,3
331,6,5
332,20,5
333,5,2
334,20,1
335,16,5
336,19,6
337,13,6
338,23,7
339,12,2
340,10,1
341,6,6
342,13,7
343,0,7
344,19,7
345,20,3
346,10,3
347,6,3
348,22,6
349,0,3
350,15,2
351,22,1
352,1,7
353,0,7
354,1,7
355,12,4
356,14,3
357,21,5
358,14,6
359,6,2
360,22,7
361,10,6
362,6,2
363,0,6
364,21,4
365,7,1
366,15,1
367,18,5
368,23,1
369,23,6
370,20,7
371,15,6
372,6,4
373,16,3
374,11,5
375,16,6
376,5,7
377,21,2
378,20,3
379,2,1
380,19,1
381,7,3
382,18,2
383,2,3
384,12,5
385,15,6
386,15,1
387,22,3
388,9,2
389,0,2
390,14,3
391,0,2
392,8,5
393,20,1
394,23,7
395,16,6
396,19,7
397,5,5
398,7,7
399,18,2
400,2,1
401,4,5
402,9,3
403,20,4
404,11,4
405,7,3
406,9,3
407,11,5
408,11,3
409,18,1
410,11,6
411,19,2
412,20,5
413,15,3
414,22,7
415,20,3
416,7,6
417,14,5
418,1,3
419,11,3
420,6,3
421,20,1
422,17,5
423,15,1
424,10,2
425,21,2
426,2,5
427,10,6
428,14,2
429,12,5
430,22,7
431,11,3
432,15,6
433,21,1
434,0,7
435,12,7
436,19,4
437,6,6
438,23,7
439,14,1
440,14,2
441,15,6
442,16,4
443,15,7
444,14,2
445,18,4
446,7,3
447,14,1
448,21,7
449,11,1
450,11,1
451,17,1
452,22,3
453,14,7
454,22,7
455,8,6
456,7,5
457,22,6
458,4,7
459,13,1
460,5,4
461,4,1
462,21,7
463,20,5
464,9,7
465,15,5
466,15,1
467,22,2
468,1,4
469,18,3
470,11,2
471,14,2
472,16,3
473,22,6
474,6,5
475,18,2
476,12,5
477,12,5
478,10,6
479,13,5
480,12,7
481,10,5
482,16,1
483,6,5
484,16,3
485,20,3
486,11,2
487,21,2
488,8,4
489,6,3
490,19,6
491,21,7
492,19,1
493,6,6
494,18,7
495,17,2
496,17,2
497,20,6
498,20,3
499,6,4
500,18,6
501,10,6
502,16,6
503,15,2
504,15,2
505,21,7
506,12,5
507,16,6
508,6,2
509,16,5
510,10,1
511,14,5
512,22,6
513,17,4
514,5,2
515,8,4
516,16,7
517,15,3
518,17,4
519,7,7
520,8,2
521,19,1
522,0,5
523,22,7
524,14,6
525,17,3
526,16,3
527,21,6
528,22,6
529,12,7
530,21,7
531,8,6
532,18,2
533,7,6
534,7,4
535,16,7
536,21,2
537,22,6
538,19,1
539,14,3
540,0,7
541,12,1
542,15,4
543,12,7
544,20,4
545,9,5
546,9,2
547,18,2
548,6,6
549,7,4
550,11,2
551,21,5
552,16,4
553,22,5
554,21,6
555,21,5
556,23,6
557,16,7
558,10,2
559,19,7
560,15,7
561,1,6
562,17,1
563,13,4
564,14,6
565,0,1
566,20,5
567,15,1
568,17,4
569,9,4
570,19,2
571,10,5
572,9,7
573,22,4
574,17,7
575,5,7
576,5,4
577,20,2
578,20,2
579,0,6
580,19,7
581,17,7
582,14,1
583,16,2
584,13,4
585,12,1
586,7,6
587,20,7
588,12,6
589,17,6
590,16,1
591,12,3
592,14,5
593,16,1
594,23,7
595,21,7
596,12,1
597,12,6
