,acchr,dayofweek
0,12,6
1,9,6
2,9,6
3,14,4
4,2,2
5,5,6
6,17,3
7,16,4
8,3,4
9,16,6
10,11,4
11,22,7
12,20,6
13,11,2
14,19,3
15,22,7
16,22,6
17,3,2
18,18,6
19,19,2
20,19,2
21,15,6
22,15,2
23,5,2
24,10,1
25,11,2
26,15,5
27,17,1
28,23,4
29,15,2
30,15,5
31,13,7
32,0,2
33,6,7
34,16,1
35,16,1
36,7,5
37,7,5
38,14,7
39,23,3
40,21,5
41,22,2
42,18,4
43,3,7
44,17,3
45,7,5
46,10,6
47,17,1
48,13,2
49,19,7
50,22,6
51,18,6
52,14,3
53,19,3
54,10,4
55,20,1
56,13,1
57,5,5
58,18,2
59,14,3
60,20,4
61,15,7
62,14,2
63,14,2
64,13,5
65,12,3
66,21,6
67,7,2
68,18,1
69,18,1
70,18,3
71,13,4
72,20,2
73,5,5
74,5,5
75,5,5
76,12,2
77,10,7
78,11,7
79,18,3
80,22,5
81,17,6
82,18,7
83,4,7
84,16,1
85,8,4
86,15,7
87,22,4
88,17,1
89,7,2
90,17,1
91,12,2
92,11,3
93,18,7
94,1,4
95,18,3
96,10,4
97,7,6
98,10,7
99,6,2
100,8,2
101,9,1
102,0,4
103,10,7
104,16,2
105,11,4
106,7,5
107,18,3
108,18,3
109,13,7
110,14,6
111,17,2
112,17,2
113,17,7
114,9,7
115,22,1
116,16,2
117,12,7
118,11,6
119,17,7
120,20,2
121,12,7
122,14,7
123,12,4
124,16,5
125,12,2
126,12,2
127,9,6
128,10,4
129,8,2
130,7,4
131,22,4
132,11,3
133,20,4
134,16,4
135,16,6
136,23,6
137,17,3
138,13,6
139,13,6
140,0,2
141,17,2
142,1,4
143,5,3
144,7,2
145,23,6
146,19,2
147,20,6
148,19,7
149,12,1
150,17,3
151,9,7
152,9,2
153,4,5
154,17,6
155,11,4
156,0,1
157,17,3
158,12,4
159,22,6
160,22,6
161,16,3
162,9,5
163,21,5
164,10,6
165,10,6
166,10,6
167,20,6
168,7,2
169,8,6
170,7,4
171,15,6
172,23,7
173,19,7
174,12,1
175,1,7
176,9,3
177,17,5
178,3,3
179,8,3
180,12,2
181,18,3
182,18,7
183,15,3
184,9,6
185,19,5
186,14,7
187,10,2
188,99,3
189,13,4
190,22,5
191,7,4
192,17,4
193,7,3
194,12,6
195,19,7
196,10,3
197,6,6
198,6,6
199,9,4
200,1,4
201,18,4
202,7,4
203,14,4
204,21,4
205,15,6
206,4,6
207,12,1
208,21,5
209,18,7
210,1,1
211,11,4
212,21,5
213,11,6
214,14,6
215,18,7
216,9,3
217,9,3
218,6,5
219,12,2
220,13,5
221,16,7
222,9,7
223,16,2
224,11,5
225,15,3
226,9,6
227,18,1
228,10,7
229,15,7
230,4,5
231,9,5
232,15,1
233,15,6
234,6,6
235,10,3
236,10,3
237,2,4
238,13,6
239,16,1
240,20,6
241,20,6
242,19,3
243,6,4
244,15,3
245,15,4
246,10,4
247,13,4
248,7,1
249,8,4
250,19,7
251,12,6
252,6,5
253,8,4
254,11,4
255,16,2
256,19,2
257,19,2
258,23,3
259,17,4
260,17,6
261,7,7
262,12,7
263,8,4
264,4,6
265,15,2
266,16,2
267,10,6
268,18,2
269,11,3
270,19,1
271,20,7
272,12,4
273,5,7
274,18,7
275,22,3
276,4,1
277,12,7
278,14,3
279,14,5
280,8,5
281,2,5
282,14,3
283,23,6
284,0,7
285,12,2
286,14,4
287,18,5
288,9,2
289,20,5
290,17,3
291,10,6
292,11,5
293,6,6
294,9,6
295,14,4
296,21,1
297,5,5
298,9,5
299,8,2
300,11,1
301,9,4
302,14,4
303,18,1
304,15,3
305,4,5
306,10,1
307,9,2
308,20,2
309,8,4
310,11,4
311,12,3
312,17,3
313,23,4
314,15,5
315,11,3
316,18,3
317,13,2
318,10,4
319,11,2
320,1,3
321,22,5
322,23,1
323,11,4
324,3,7
325,5,2
326,22,5
327,5,7
328,9,2
329,11,2
330,13,6
331,14,3
332,16,3
333,17,1
334,11,2
335,14,4
336,0,5
337,17,6
338,19,1
339,9,4
340,14,1
341,15,7
342,18,1
343,9,2
344,12,3
345,18,4
346,11,5
347,5,2
348,4,1
349,13,3
350,13,1
351,21,3
352,14,3
353,0,4
354,17,6
355,16,6
356,17,2
357,14,3
358,23,2
359,12,1
360,20,7
361,15,1
362,13,4
363,19,3
364,2,2
365,9,1
366,19,1
367,15,7
368,10,7
369,15,4
370,22,5
371,12,2
372,16,2
373,3,2
374,14,2
375,18,2
376,13,5
377,4,6
378,8,1
379,18,1
380,3,2
381,9,2
382,15,3
383,14,6
384,22,7
385,11,7
386,7,1
387,11,6
388,5,6
389,16,7
390,14,3
391,20,4
392,9,1
393,16,5
394,21,4
395,12,3
396,19,3
397,12,5
398,3,5
399,18,1
400,0,2
401,20,2
402,23,7
403,1,1
404,4,1
405,15,3
406,9,7
407,22,5
408,7,3
409,15,7
410,17,7
411,0,4
412,12,5
413,14,2
414,11,3
415,10,2
416,9,7
417,14,7
418,16,4
419,6,2
420,10,5
421,18,7
422,19,3
423,14,5
424,11,5
425,7,1
426,6,4
427,16,1
428,11,7
429,11,2
430,22,7
431,18,6
432,5,4
433,0,1
434,18,7
435,10,6
