,acchr,dayofweek
0,15,7
1,17,7
2,22,7
3,13,1
4,13,2
5,23,6
6,20,7
7,12,6
8,11,1
9,15,3
10,12,6
11,18,3
12,1,1
13,22,2
14,3,1
15,8,1
16,20,1
17,20,2
18,13,2
19,12,2
20,12,1
21,0,1
22,14,2
23,13,4
24,15,7
25,5,3
26,20,3
27,23,3
28,2,2
29,16,3
30,0,6
31,19,4
32,9,4
33,14,6
34,19,5
35,10,4
36,2,7
37,18,2
38,5,2
39,10,1
40,21,6
41,19,2
42,6,5
43,6,5
44,20,3
45,20,3
46,19,3
47,11,2
48,7,2
49,0,2
50,18,7
51,11,6
52,16,4
53,18,4
54,21,3
55,6,2
56,16,5
57,15,7
58,8,3
59,9,5
60,10,3
61,16,7
62,19,1
63,20,7
64,20,4
65,22,4
66,18,2
67,11,2
68,18,3
69,23,4
70,13,5
71,21,6
72,0,3
73,5,3
74,11,3
75,16,7
76,11,4
77,13,2
78,13,2
79,9,5
80,20,6
81,18,6
82,19,4
83,4,1
84,14,3
85,15,4
86,13,7
87,20,4
88,11,6
89,13,5
90,22,4
91,11,7
92,17,6
93,12,5
94,3,7
95,21,5
96,17,5
97,13,2
98,20,1
99,23,4
100,3,4
101,13,5
102,10,1
103,15,6
104,15,3
105,10,7
106,5,7
107,14,2
108,11,7
109,12,6
110,15,5
111,15,7
112,18,7
113,21,6
114,9,3
115,18,4
116,9,7
117,12,6
118,9,6
119,9,6
120,14,4
121,2,2
122,5,6
123,17,3
124,16,4
125,3,4
126,16,6
127,11,4
128,22,7
129,20,6
130,11,2
131,19,3
132,22,7
133,22,6
134,3,2
135,18,6
136,19,2
137,19,2
138,15,6
139,15,2
140,5,2
141,10,1
142,11,2
143,15,5
144,17,1
145,23,4
146,15,2
147,15,5
148,13,7
149,0,2
150,6,7
151,16,1
152,16,1
153,7,5
154,7,5
155,14,7
156,23,3
157,21,5
158,22,2
159,18,4
160,3,7
161,17,3
162,7,5
163,10,6
164,17,1
165,13,2
166,19,7
167,22,6
168,18,6
169,14,3
170,19,3
171,10,4
172,20,1
173,13,1
174,5,5
175,18,2
176,14,3
177,20,4
178,15,7
179,14,2
180,14,2
181,13,5
182,12,3
183,21,6
184,7,2
185,18,1
186,18,1
187,18,3
188,13,4
189,20,2
190,5,5
191,5,5
192,5,5
193,12,2
194,10,7
195,11,7
196,18,3
197,22,5
198,17,6
199,18,7
200,4,7
201,16,1
202,8,2
203,19,6
204,17,1
205,18,4
206,13,2
207,18,7
208,0,1
209,20,1
210,14,6
211,15,2
212,0,4
213,5,6
214,15,3
215,18,7
216,13,7
217,6,2
218,23,5
219,5,5
220,12,4
221,13,7
222,13,1
223,0,1
224,22,5
225,21,5
226,9,3
227,22,7
228,14,3
229,9,7
230,1,7
231,6,2
232,18,4
233,2,1
234,2,5
235,17,3
236,16,4
237,12,7
238,15,7
239,6,6
240,7,2
241,16,4
242,15,3
243,15,3
244,3,6
245,15,1
246,14,7
247,10,1
248,2,2
249,17,1
250,19,1
251,15,6
252,2,6
253,2,7
254,0,7
255,22,5
256,23,2
257,18,1
258,21,1
259,18,1
260,18,7
261,6,3
262,0,5
263,10,3
264,14,3
265,1,7
266,21,6
267,13,6
268,2,7
269,22,7
270,1,1
271,8,5
272,15,7
273,22,6
274,23,5
275,15,4
276,9,5
277,18,4
278,11,7
279,13,7
280,17,3
281,5,7
282,12,7
283,22,4
284,13,1
285,18,1
286,21,2
287,22,2
288,16,4
289,15,2
290,5,4
291,15,4
292,16,6
293,0,3
294,16,4
295,21,3
296,14,5
297,0,1
298,19,4
299,23,6
300,19,5
301,18,7
302,12,5
303,17,4
304,10,7
305,21,5
306,13,7
307,18,7
308,18,1
309,3,5
310,2,5
311,23,2
312,16,3
313,17,5
314,21,2
315,13,7
316,7,6
317,22,4
318,22,3
319,8,2
320,5,7
321,19,1
322,11,4
323,15,7
324,14,5
325,12,5
326,21,2
327,1,7
328,22,7
329,15,3
330,16,5
331,7,5
332,1,7
333,15,1
334,7,6
335,16,6
336,19,6
337,20,6
338,9,4
339,18,7
340,19,5
341,15,1
342,20,3
343,21,6
344,17,5
345,21,6
346,13,4
347,14,1
348,4,6
349,13,1
350,2,6
351,14,1
352,21,5
353,21,3
354,11,3
355,11,6
356,20,7
357,5,4
358,21,2
359,0,5
360,21,4
361,14,2
362,17,6
363,20,7
364,14,3
365,15,4
366,12,5
367,21,2
368,16,4
369,22,4
370,19,3
371,1,7
372,11,4
373,20,4
374,23,2
375,15,2
376,0,7
377,15,4
378,15,1
379,17,6
380,7,7
381,21,1
382,12,7
383,12,3
384,11,7
385,17,7
386,22,3
387,15,5
388,23,7
389,11,3
390,16,4
391,6,5
392,11,7
393,11,7
394,9,6
395,19,5
396,9,2
397,14,4
398,0,7
399,12,1
400,15,6
401,18,4
402,21,5
403,22,1
404,14,2
405,21,1
406,6,5
407,7,2
408,1,1
409,10,6
410,14,3
411,17,5
412,2,6
413,8,2
414,20,3
415,18,6
416,17,2
417,20,2
418,17,2
419,22,1
420,9,4
421,20,7
422,16,7
423,5,7
424,1,4
425,15,7
426,16,2
427,22,4
428,19,1
429,3,5
430,20,1
431,23,7
432,0,7
433,15,6
434,19,2
435,17,6
436,15,6
437,17,6
438,20,7
439,9,1
440,11,7
441,16,1
442,19,1
