,acchr,dayofweek
0,15,7
1,17,7
2,22,7
3,13,1
4,23,6
5,18,3
6,22,2
7,3,1
8,13,2
9,12,2
10,20,3
11,23,3
12,2,2
13,0,6
14,9,4
15,14,6
16,10,4
17,18,2
18,10,1
19,21,6
20,19,3
21,11,2
22,0,2
23,11,6
24,6,2
25,16,5
26,15,7
27,8,3
28,11,2
29,18,3
30,23,4
31,0,3
32,11,3
33,11,4
34,13,2
35,19,4
36,13,7
37,11,7
38,3,7
39,21,5
40,3,4
41,13,5
42,10,1
43,15,3
44,11,7
45,15,7
46,9,7
47,12,6
48,2,2
49,11,4
50,22,7
51,10,1
52,23,4
53,15,2
54,15,5
55,6,7
56,16,1
57,14,7
58,23,3
59,21,5
60,22,2
61,18,4
62,3,7
63,17,1
64,14,3
65,10,4
66,13,1
67,14,2
68,14,2
69,21,6
70,18,1
71,18,3
72,5,5
73,11,7
74,22,5
75,17,6
76,8,2
77,19,6
78,0,4
79,5,6
80,15,3
81,9,3
82,14,3
83,2,5
84,15,7
85,6,6
86,7,2
87,15,3
88,3,6
89,15,1
90,14,7
91,10,1
92,2,2
93,17,1
94,19,1
95,15,6
96,2,6
97,2,7
98,0,7
99,22,5
100,23,2
101,18,1
102,21,1
103,18,1
104,18,7
105,6,3
106,0,5
107,10,3
108,14,3
109,1,7
110,13,6
111,2,7
112,22,7
113,1,1
114,8,5
115,9,5
116,18,4
117,12,7
118,13,1
119,18,1
120,21,2
121,22,2
122,15,4
123,16,6
124,0,3
125,16,4
126,0,1
127,18,7
128,12,5
129,10,7
130,21,5
131,18,1
132,2,5
133,23,2
134,16,3
135,17,5
136,13,7
137,7,6
138,22,4
139,22,3
140,8,2
141,16,5
142,1,7
143,19,5
144,15,1
145,20,3
146,21,6
147,17,5
148,21,6
149,13,4
150,14,1
151,4,6
152,13,1
153,2,6
154,14,1
155,21,3
156,11,3
157,21,2
158,0,5
159,15,4
160,12,5
161,21,2
162,16,4
163,22,4
164,19,3
165,1,7
166,11,4
167,23,2
168,15,2
169,0,7
170,15,4
171,12,7
172,22,3
173,11,3
174,6,5
175,11,7
176,0,7
177,12,1
178,15,6
179,18,4
180,21,5
181,22,1
182,14,2
183,21,1
184,6,5
185,7,2
186,1,1
187,10,6
188,14,3
189,17,5
190,2,6
191,20,1
192,23,7
193,0,7
194,15,6
195,19,2
196,17,6
197,17,6
198,20,7
199,9,1
200,11,7
201,16,1
202,19,1
203,17,4
204,16,4
205,14,3
206,8,2
207,1,1
208,12,2
209,17,5
210,17,6
211,12,6
212,16,2
213,21,6
214,8,4
215,16,3
216,19,1
217,21,2
218,1,6
219,4,3
220,22,7
221,18,7
222,6,2
223,16,3
224,2,5
225,17,2
226,5,1
227,20,5
228,10,5
229,1,5
230,6,4
231,5,4
232,14,3
233,10,7
234,18,5
235,21,2
236,13,7
237,20,4
238,2,7
239,4,3
240,9,6
241,22,7
242,23,7
243,16,5
244,18,6
245,8,7
246,20,1
247,10,5
248,6,3
249,20,1
250,21,4
251,20,1
252,18,7
253,3,7
254,14,2
255,17,6
256,15,6
257,23,2
258,19,2
259,16,4
260,15,2
261,15,5
262,22,1
263,0,5
264,18,1
265,19,2
266,17,4
267,0,2
268,4,1
269,18,5
270,23,7
271,15,6
272,18,3
273,14,3
274,23,7
275,10,2
276,7,3
277,18,5
278,19,6
279,7,7
280,20,1
281,22,5
282,18,3
283,22,3
284,22,1
285,5,5
286,23,3
287,14,2
288,23,7
289,7,4
290,14,7
291,18,7
292,1,1
293,15,5
294,23,6
295,10,6
296,15,5
297,16,7
298,5,3
299,2,3
300,0,7
301,17,3
302,20,3
303,3,4
304,0,2
305,16,1
306,15,2
307,13,4
308,15,3
309,9,2
310,16,6
311,23,7
312,1,2
313,18,3
314,13,6
315,23,7
316,18,3
317,11,5
318,18,5
319,0,5
320,17,6
321,3,6
322,14,5
323,16,3
324,17,2
325,21,2
326,20,1
327,10,3
328,17,6
329,18,3
330,23,6
331,19,2
332,12,4
333,20,7
334,17,6
335,16,7
336,7,4
337,7,4
338,9,6
339,22,1
340,16,4
341,1,5
342,15,4
343,1,2
344,16,1
345,19,6
346,6,1
347,17,2
348,13,5
349,8,6
350,1,1
351,22,4
352,4,6
353,16,4
354,10,2
355,7,7
356,1,1
357,18,4
358,16,1
359,19,2
360,7,5
361,7,3
362,9,6
363,6,4
364,14,1
365,19,7
366,1,7
367,18,6
368,7,4
369,23,7
370,18,6
371,0,1
372,20,1
373,0,6
374,14,3
375,17,4
376,19,7
377,22,7
378,13,4
379,11,2
380,23,7
381,19,1
382,23,1
383,15,6
384,6,1
385,20,5
386,17,3
387,0,7
388,14,6
389,20,1
390,16,3
391,2,1
392,16,1
393,2,1
394,18,1
395,1,1
396,14,4
397,1,6
398,17,1
399,15,1
400,3,6
401,6,4
402,18,3
403,20,1
404,14,2
405,18,5
406,17,3
407,22,3
408,7,3
409,18,7
410,22,7
411,22,4
412,6,4
413,13,3
414,15,3
415,7,5
416,7,5
417,16,2
418,11,3
419,13,5
420,13,7
421,7,7
422,17,7
423,15,2
424,18,6
425,21,1
426,21,1
427,16,4
428,18,4
429,7,7
430,23,4
431,0,2
432,1,3
433,17,1
434,5,1
435,23,5
436,15,6
437,9,1
438,23,5
439,15,5
440,19,2
441,20,6
442,10,3
