,acchr,dayofweek
0,15,7
1,17,7
2,22,7
3,13,1
4,23,6
5,18,3
6,22,2
7,3,1
8,13,2
9,12,2
10,20,3
11,23,3
12,2,2
13,0,6
14,9,4
15,14,6
16,10,4
17,18,2
18,10,1
19,21,6
20,19,3
21,11,2
22,0,2
23,11,6
24,6,2
25,16,5
26,15,7
27,8,3
28,11,2
29,18,3
30,23,4
31,0,3
32,11,3
33,11,4
34,13,2
35,19,4
36,13,7
37,11,7
38,3,7
39,21,5
40,3,4
41,13,5
42,10,1
43,15,3
44,11,7
45,15,7
46,9,7
47,12,6
48,2,2
49,11,4
50,22,7
51,10,1
52,23,4
53,15,2
54,15,5
55,6,7
56,16,1
57,14,7
58,23,3
59,21,5
60,22,2
61,18,4
62,3,7
63,17,1
64,14,3
65,10,4
66,13,1
67,14,2
68,14,2
69,21,6
70,18,1
71,18,3
72,5,5
73,11,7
74,22,5
75,17,6
76,19,5
77,5,2
78,1,1
79,1,1
80,3,1
81,2,6
82,2,2
83,13,7
84,4,1
85,1,7
86,2,7
87,20,1
88,2,7
89,21,6
90,6,1
91,23,7
92,16,7
93,2,2
94,3,7
95,2,6
96,1,1
97,2,6
98,2,7
99,4,7
100,4,7
101,20,4
102,21,6
103,10,1
104,3,1
105,3,1
106,23,3
107,2,1
108,17,6
109,1,1
110,22,7
111,4,1
112,22,6
113,22,6
114,22,7
115,23,7
116,19,4
117,17,7
118,20,3
119,13,6
120,13,5
121,21,6
122,20,4
123,22,7
124,17,3
125,16,3
126,19,4
127,14,7
128,2,7
129,16,4
130,15,4
131,18,4
132,19,7
133,23,7
134,7,2
135,21,3
136,13,6
137,11,6
138,14,7
139,4,7
140,5,2
141,23,4
142,23,7
143,22,6
144,10,7
145,3,2
146,12,6
147,3,2
148,19,7
149,19,5
150,18,1
151,5,7
152,12,3
153,22,6
154,1,7
155,1,1
156,14,1
157,14,1
158,3,7
159,14,7
160,14,7
161,14,6
162,3,4
163,12,3
164,12,3
165,16,4
166,23,7
167,16,7
168,6,7
169,13,6
170,14,7
171,3,1
172,12,5
173,1,3
174,15,7
175,14,1
176,14,1
177,7,2
178,9,3
179,14,7
180,11,3
181,6,2
182,3,1
183,19,3
184,12,5
185,12,6
186,19,5
187,11,7
188,15,7
189,2,1
190,8,2
191,19,6
192,0,4
193,5,6
194,15,3
195,9,3
196,14,3
197,2,5
198,15,7
199,6,6
200,7,2
201,15,3
202,3,6
203,15,1
204,14,7
205,10,1
206,2,2
207,17,1
208,19,1
209,15,6
210,2,6
211,2,7
212,0,7
213,22,5
214,23,2
215,18,1
216,21,1
217,18,1
218,18,7
219,6,3
220,0,5
221,10,3
222,14,3
223,1,7
224,13,6
225,2,7
226,22,7
227,1,1
228,8,5
229,9,5
230,18,4
231,12,7
232,13,1
233,18,1
234,21,2
235,22,2
236,15,4
237,16,6
238,0,3
239,16,4
240,0,1
241,18,7
242,12,5
243,10,7
244,21,5
245,18,1
246,2,5
247,23,2
248,16,3
249,17,5
250,13,7
251,7,6
252,22,4
253,22,3
254,8,2
255,16,5
256,1,7
257,19,5
258,15,1
259,20,3
260,21,6
261,17,5
262,21,6
263,13,4
264,14,1
265,4,6
266,13,1
267,2,6
268,14,1
269,21,3
270,11,3
271,21,2
272,0,5
273,15,4
274,12,5
275,21,2
276,16,4
277,22,4
278,19,3
279,1,7
280,11,4
281,23,2
282,15,2
283,0,7
284,15,4
285,12,7
286,22,3
287,11,3
288,6,5
289,11,7
290,0,7
291,12,1
292,15,6
293,18,4
294,21,5
295,22,1
296,14,2
297,21,1
298,6,5
299,7,2
300,1,1
301,10,6
302,14,3
303,17,5
304,2,6
305,20,1
306,23,7
307,0,7
308,15,6
309,19,2
310,17,6
311,17,6
312,20,7
313,9,1
314,11,7
315,16,1
316,19,1
317,17,4
318,16,4
319,14,3
320,8,2
321,1,1
322,12,2
323,17,5
324,17,6
325,12,6
326,16,2
327,21,6
328,8,4
329,16,3
330,19,1
331,21,2
332,1,6
333,4,3
334,22,7
335,18,7
336,6,2
337,16,3
338,2,5
339,17,2
340,5,1
341,20,5
342,10,5
343,1,5
344,6,4
345,5,4
346,14,3
347,10,7
348,18,5
349,21,2
350,13,7
351,20,4
352,2,7
353,4,3
354,9,6
355,22,7
356,23,7
357,16,5
358,18,6
359,8,7
360,20,1
361,10,5
362,6,3
363,20,1
364,21,4
365,20,1
366,18,7
367,3,7
368,14,2
369,17,6
370,15,6
371,23,2
372,19,2
373,16,4
374,15,2
375,15,5
376,22,1
377,0,5
378,18,1
379,19,2
380,17,4
381,0,2
382,4,1
383,18,5
384,23,7
385,15,6
386,18,3
387,14,3
388,23,7
389,10,2
390,7,3
391,18,5
392,19,6
393,7,7
394,20,1
395,22,5
396,18,3
397,22,3
398,22,1
399,5,5
400,23,3
401,14,2
402,23,7
403,7,4
404,14,7
405,18,7
406,1,1
407,15,5
408,23,6
409,10,6
410,15,5
411,16,7
412,5,3
413,2,3
414,0,7
415,17,3
416,20,3
417,3,4
418,0,2
419,16,1
420,15,2
421,13,4
422,15,3
423,9,2
424,16,6
425,23,7
426,1,2
427,18,3
428,13,6
429,23,7
430,18,3
431,11,5
432,18,5
433,0,5
434,17,6
435,3,6
436,14,5
437,16,3
438,17,2
439,21,2
440,20,1
441,10,3
442,17,6
