,acchr,dayofweek
0,15,7
1,17,7
2,22,7
3,13,1
4,20,7
5,15,3
6,12,6
7,22,2
8,3,1
9,20,2
10,12,2
11,12,1
12,14,2
13,13,4
14,15,7
15,5,3
16,20,3
17,23,3
18,2,2
19,16,3
20,0,6
21,9,4
22,14,6
23,10,4
24,18,2
25,5,2
26,10,1
27,21,6
28,20,3
29,20,3
30,11,2
31,7,2
32,0,2
33,18,7
34,11,6
35,18,4
36,21,3
37,6,2
38,16,5
39,8,3
40,9,5
41,10,3
42,16,7
43,19,1
44,20,7
45,20,4
46,22,4
47,11,2
48,18,3
49,23,4
50,13,5
51,21,6
52,5,3
53,11,3
54,11,4
55,13,2
56,13,2
57,9,5
58,20,6
59,18,6
60,4,1
61,14,3
62,15,4
63,20,4
64,13,5
65,11,7
66,17,6
67,12,5
68,3,7
69,21,5
70,17,5
71,13,2
72,20,1
73,23,4
74,3,4
75,13,5
76,10,1
77,15,6
78,15,3
79,14,2
80,11,7
81,12,6
82,15,5
83,15,7
84,18,7
85,21,6
86,9,3
87,18,4
88,9,7
89,12,6
90,9,6
91,9,6
92,14,4
93,2,2
94,17,3
95,16,4
96,3,4
97,16,6
98,11,4
99,22,7
100,20,6
101,11,2
102,19,3
103,22,7
104,22,6
105,3,2
106,18,6
107,19,2
108,19,2
109,15,6
110,15,2
111,10,1
112,11,2
113,15,5
114,17,1
115,23,4
116,15,2
117,15,5
118,13,7
119,6,7
120,16,1
121,16,1
122,7,5
123,7,5
124,14,7
125,23,3
126,21,5
127,22,2
128,17,3
129,7,5
130,10,6
131,17,1
132,13,2
133,19,7
134,22,6
135,18,6
136,14,3
137,19,3
138,10,4
139,20,1
140,13,1
141,5,5
142,18,2
143,14,3
144,20,4
145,15,7
146,14,2
147,14,2
148,12,3
149,21,6
150,7,2
151,18,1
152,18,1
153,18,3
154,13,4
155,20,2
156,5,5
157,5,5
158,5,5
159,12,2
160,11,7
161,18,3
162,22,5
163,17,6
164,18,7
165,16,1
166,17,1
167,18,4
168,13,2
169,18,7
170,15,2
171,13,7
172,22,5
173,21,5
174,9,3
175,9,7
176,16,4
177,12,7
178,6,6
179,16,4
180,15,3
181,15,1
182,14,7
183,10,1
184,2,2
185,0,7
186,22,5
187,18,7
188,6,3
189,0,5
190,10,3
191,13,6
192,22,7
193,8,5
194,22,6
195,15,4
196,11,7
197,17,3
198,22,2
199,15,4
200,16,6
201,0,3
202,0,1
203,23,6
204,10,7
205,21,5
206,18,7
207,21,2
208,7,6
209,22,4
210,8,2
211,5,7
212,19,1
213,14,5
214,7,5
215,1,7
216,15,1
217,7,6
218,20,6
219,9,4
220,15,1
221,20,3
222,17,5
223,21,6
224,14,1
225,13,1
226,2,6
227,14,1
228,21,5
229,21,3
230,21,4
231,17,6
232,20,7
233,15,4
234,16,4
235,11,4
236,15,1
237,17,6
238,21,1
239,12,3
240,17,7
241,15,5
242,6,5
243,11,7
244,11,7
245,12,1
246,15,6
247,18,4
248,21,1
249,6,5
250,1,1
251,10,6
252,14,3
253,17,5
254,2,6
255,18,6
256,17,2
257,17,2
258,20,7
259,1,4
260,15,7
261,16,2
262,3,5
263,23,7
264,15,6
265,17,6
266,17,6
267,9,1
268,12,6
269,15,4
270,14,7
271,7,5
272,11,3
273,17,6
274,9,7
275,18,6
276,12,2
277,12,2
278,17,5
279,12,6
280,14,2
281,17,3
282,23,7
283,7,3
284,20,6
285,19,4
286,21,2
287,1,6
288,22,7
289,18,7
290,16,3
291,6,2
292,2,5
293,12,3
294,17,2
295,5,1
296,13,2
297,20,5
298,6,4
299,14,3
300,11,6
301,11,2
302,13,7
303,17,7
304,20,4
305,9,6
306,7,6
307,22,7
308,23,7
309,19,3
310,15,3
311,16,5
312,18,3
313,18,6
314,8,7
315,6,6
316,16,5
317,10,5
318,17,3
319,18,7
320,17,6
321,15,6
322,23,3
323,15,7
324,20,5
325,19,2
326,16,4
327,15,2
328,15,5
329,19,2
330,4,1
331,0,2
332,23,7
333,16,3
334,7,4
335,14,7
336,2,7
337,14,3
338,99,3
339,10,2
340,15,6
341,16,4
342,14,3
343,18,7
344,18,3
345,17,1
346,22,1
347,22,1
348,1,1
349,0,3
350,15,5
351,10,6
352,15,3
353,4,3
354,18,1
355,17,4
356,15,1
357,16,7
358,2,3
359,22,6
360,20,3
361,17,3
362,20,3
363,3,4
364,0,2
365,15,2
366,16,4
367,13,4
368,23,7
369,22,1
370,13,6
371,21,5
372,16,4
373,20,2
374,18,5
375,17,6
376,14,5
377,16,3
378,21,2
379,10,3
380,9,3
381,23,6
382,22,6
383,23,7
384,20,2
385,12,4
386,20,7
387,15,6
388,14,6
389,21,2
390,17,5
391,16,2
392,16,7
393,7,4
394,7,4
395,9,6
396,16,4
397,15,4
398,1,2
399,17,2
400,13,6
401,12,6
402,11,1
403,17,3
404,13,7
405,16,4
406,23,4
407,1,3
408,1,6
409,9,7
410,20,7
411,0,1
412,1,4
413,23,7
414,13,4
415,21,4
416,6,3
417,13,2
418,16,1
419,7,6
420,19,2
421,19,6
422,7,5
423,9,6
424,19,7
425,18,6
426,14,3
427,17,4
428,19,7
429,22,7
430,15,4
431,18,1
432,5,5
433,12,5
434,21,6
435,18,2
436,8,2
437,15,6
438,21,6
439,13,6
440,23,7
441,19,1
442,15,6
