,acchr,dayofweek
0,15,7
1,17,7
2,22,7
3,13,1
4,13,2
5,23,6
6,20,7
7,12,6
8,11,1
9,15,3
10,12,6
11,18,3
12,1,1
13,22,2
14,3,1
15,8,1
16,20,1
17,20,2
18,13,2
19,12,2
20,12,1
21,0,1
22,14,2
23,13,4
24,15,7
25,5,3
26,20,3
27,23,3
28,2,2
29,16,3
30,0,6
31,19,4
32,9,4
33,14,6
34,19,5
35,10,4
36,2,7
37,18,2
38,5,2
39,10,1
40,21,6
41,19,2
42,6,5
43,6,5
44,20,3
45,20,3
46,19,3
47,11,2
48,7,2
49,0,2
50,18,7
51,11,6
52,16,4
53,18,4
54,21,3
55,6,2
56,16,5
57,15,7
58,8,3
59,9,5
60,10,3
61,16,7
62,19,1
63,20,7
64,20,4
65,22,4
66,18,2
67,11,2
68,18,3
69,23,4
70,13,5
71,21,6
72,0,3
73,5,3
74,11,3
75,16,7
76,11,4
77,13,2
78,13,2
79,9,5
80,20,6
81,18,6
82,19,4
83,4,1
84,14,3
85,15,4
86,13,7
87,20,4
88,11,6
89,13,5
90,22,4
91,11,7
92,17,6
93,12,5
94,3,7
95,21,5
96,17,5
97,13,2
98,20,1
99,23,4
100,3,4
101,13,5
102,10,1
103,15,6
104,15,3
105,10,7
106,5,7
107,14,2
108,11,7
109,12,6
110,15,5
111,15,7
112,18,7
113,21,6
114,9,3
115,18,4
116,9,7
117,12,6
118,9,6
119,9,6
120,14,4
121,2,2
122,5,6
123,17,3
124,16,4
125,3,4
126,16,6
127,11,4
128,22,7
129,20,6
130,11,2
131,19,3
132,22,7
133,22,6
134,3,2
135,18,6
136,19,2
137,19,2
138,15,6
139,15,2
140,5,2
141,10,1
142,11,2
143,15,5
144,17,1
145,23,4
146,15,2
147,15,5
148,13,7
149,0,2
150,6,7
151,16,1
152,16,1
153,7,5
154,7,5
155,14,7
156,23,3
157,21,5
158,22,2
159,18,4
160,3,7
161,17,3
162,7,5
163,10,6
164,17,1
165,13,2
166,19,7
167,22,6
168,18,6
169,14,3
170,19,3
171,10,4
172,20,1
173,13,1
174,5,5
175,18,2
176,14,3
177,20,4
178,15,7
179,14,2
180,14,2
181,13,5
182,12,3
183,21,6
184,7,2
185,18,1
186,18,1
187,18,3
188,13,4
189,20,2
190,5,5
191,5,5
192,5,5
193,12,2
194,10,7
195,11,7
196,18,3
197,22,5
198,17,6
199,18,7
200,4,7
201,16,1
202,19,5
203,18,7
204,5,1
205,5,2
206,2,1
207,22,6
208,1,1
209,1,1
210,3,1
211,2,6
212,2,2
213,22,2
214,3,7
215,1,7
216,0,4
217,13,7
218,4,1
219,1,7
220,2,7
221,1,4
222,20,1
223,3,1
224,4,1
225,2,7
226,21,6
227,1,7
228,7,1
229,1,7
230,0,1
231,6,1
232,3,1
233,23,7
234,16,7
235,2,2
236,3,7
237,2,6
238,1,1
239,2,6
240,2,7
241,21,7
242,4,7
243,3,1
244,4,7
245,3,1
246,17,5
247,2,1
248,2,7
249,5,1
250,7,1
251,20,4
252,21,6
253,21,7
254,10,1
255,3,1
256,1,7
257,0,7
258,6,5
259,22,6
260,10,7
261,3,1
262,0,7
263,23,3
264,2,1
265,17,6
266,3,2
267,1,1
268,22,7
269,18,7
270,4,1
271,22,6
272,22,6
273,22,7
274,23,7
275,19,4
276,17,7
277,3,7
278,20,3
279,13,6
280,1,6
281,3,4
282,0,6
283,23,4
284,20,7
285,13,5
286,21,6
287,20,4
288,15,6
289,22,7
290,16,3
291,17,3
292,12,3
293,16,3
294,19,4
295,14,7
296,2,7
297,20,6
298,3,2
299,16,4
300,15,4
301,16,6
302,18,4
303,21,7
304,7,5
305,16,3
306,5,2
307,19,7
308,23,7
309,1,4
310,15,4
311,12,1
312,0,2
313,7,2
314,21,3
315,13,6
316,11,6
317,8,3
318,14,7
319,1,3
320,3,1
321,23,5
322,16,1
323,4,7
324,19,1
325,5,2
326,23,4
327,23,7
328,13,5
329,8,1
330,22,6
331,10,7
332,3,2
333,13,7
334,12,6
335,16,4
336,12,2
337,0,7
338,18,1
339,3,2
340,19,7
341,19,5
342,23,4
343,18,1
344,18,6
345,5,7
346,12,3
347,15,5
348,13,4
349,22,6
350,0,1
351,1,7
352,1,1
353,14,1
354,14,1
355,3,7
356,9,7
357,1,3
358,16,4
359,14,7
360,14,7
361,12,2
362,17,5
363,14,6
364,3,4
365,5,2
366,12,3
367,12,3
368,19,5
369,16,4
370,23,7
371,16,7
372,4,3
373,6,7
374,3,7
375,3,7
376,13,6
377,14,7
378,15,3
379,3,1
380,12,5
381,14,3
382,13,7
383,15,4
384,2,7
385,12,3
386,15,5
387,17,1
388,11,1
389,1,3
390,15,7
391,14,1
392,14,1
393,7,2
394,9,3
395,20,6
396,18,4
397,11,6
398,7,5
399,7,5
400,14,7
401,11,3
402,6,2
403,12,2
404,5,6
405,16,4
406,3,1
407,13,7
408,19,3
409,12,5
410,12,5
411,15,1
412,13,7
413,15,4
414,15,4
415,2,1
416,12,6
417,15,5
418,15,2
419,19,5
420,0,1
421,12,5
422,11,7
423,15,7
424,20,6
425,20,2
426,8,4
427,2,1
428,8,2
429,19,6
430,17,1
431,18,4
432,13,2
433,18,7
434,0,1
435,20,1
436,14,6
437,15,2
438,0,4
439,5,6
440,15,3
441,18,7
442,13,7
