,acchr,dayofweek
0,9,4
1,18,6
2,12,1
3,15,3
4,14,1
5,20,2
6,3,4
7,15,6
8,8,1
9,14,1
10,3,1
11,18,3
12,11,3
13,22,2
14,18,6
15,16,7
16,23,6
17,22,2
18,11,6
19,15,3
20,17,6
21,18,3
22,21,3
23,1,1
24,1,1
25,23,5
26,18,6
27,2,7
28,13,2
29,13,5
30,2,7
31,17,5
32,15,6
33,23,4
34,1,1
35,17,2
36,16,5
37,14,6
38,7,2
39,21,3
40,17,7
41,17,6
42,20,1
43,14,7
44,10,3
45,19,1
46,6,5
47,1,4
48,2,1
49,2,1
50,13,5
51,15,3
52,20,2
53,5,4
54,14,5
55,14,7
56,23,3
57,20,6
58,23,4
59,20,7
60,4,6
61,20,7
62,10,1
63,18,1
64,16,7
65,13,4
66,18,7
67,15,3
68,13,7
69,15,7
70,1,7
71,7,5
72,7,2
73,7,2
74,13,6
75,2,2
76,21,7
77,5,1
78,4,1
79,17,2
80,4,7
81,3,1
82,20,6
83,11,2
84,17,6
85,14,7
86,2,7
87,15,1
88,18,2
89,17,5
90,1,4
91,15,3
92,12,1
93,0,2
94,9,5
95,15,2
96,18,7
97,18,7
98,14,1
99,20,2
100,18,7
101,8,4
102,22,2
103,22,2
104,17,5
105,17,5
106,0,7
107,21,6
108,18,6
109,5,5
110,13,2
111,22,4
112,14,6
113,15,7
114,2,1
115,19,5
116,0,1
117,18,7
118,17,6
119,9,7
120,16,4
121,18,3
122,14,6
123,14,5
124,13,6
125,10,5
126,3,7
127,22,2
128,16,3
129,16,3
130,12,2
131,10,6
132,13,7
133,13,2
134,13,2
135,16,5
136,8,3
137,17,1
138,22,6
139,20,6
140,20,6
141,4,1
142,18,6
143,19,2
144,21,6
145,5,7
146,5,7
147,5,7
148,5,7
149,8,4
150,8,4
151,23,7
152,13,5
153,11,2
154,16,7
155,13,4
156,0,2
157,9,5
158,21,4
159,13,7
160,15,4
161,8,4
162,13,4
163,14,7
164,21,5
165,2,2
166,2,2
167,17,1
168,15,4
169,13,2
170,16,5
171,8,3
172,20,6
173,11,2
174,5,7
175,8,4
176,8,4
177,13,5
178,12,3
179,21,6
180,16,7
181,15,2
182,15,2
183,3,1
184,12,5
185,18,4
186,16,1
187,5,7
188,14,4
189,7,5
190,19,3
191,17,7
192,8,2
193,18,2
194,10,7
195,9,1
196,18,2
197,18,4
198,13,7
199,19,5
200,9,1
201,11,4
202,19,6
203,11,7
204,13,4
205,8,4
206,21,5
207,13,3
208,17,5
209,16,2
210,21,2
211,13,1
212,21,2
213,21,1
214,20,1
215,15,4
216,7,7
217,20,1
218,22,5
219,17,2
220,20,4
221,20,7
222,23,3
223,10,5
224,18,4
225,16,1
226,16,4
227,8,4
228,12,7
229,20,2
230,20,7
231,14,1
232,18,3
233,12,5
234,16,5
235,16,2
236,14,4
237,15,4
238,11,5
239,8,6
240,15,5
241,19,3
242,6,1
243,7,2
244,11,3
245,20,6
246,20,2
247,16,4
248,18,1
249,15,3
250,16,6
251,11,7
252,10,6
253,12,4
254,7,4
255,12,1
256,14,6
257,1,2
258,23,6
259,20,7
260,16,1
261,13,6
262,9,5
263,15,7
264,11,1
265,21,5
266,21,6
267,18,2
268,16,5
269,7,2
270,12,5
271,14,6
272,11,6
273,16,5
274,11,2
275,19,6
276,7,5
277,8,4
278,12,6
279,2,3
280,22,7
281,4,1
282,8,4
283,14,4
284,20,1
285,18,1
286,17,3
287,1,7
288,19,5
289,1,2
290,22,7
291,19,7
292,20,3
293,4,2
294,23,2
295,21,2
296,8,4
297,18,3
298,18,4
299,1,1
300,20,2
301,17,7
302,1,7
303,18,4
304,7,3
305,9,1
306,15,6
307,16,7
308,20,2
309,17,6
310,14,7
311,22,7
312,16,5
313,20,5
314,0,1
315,6,4
316,19,2
317,20,4
318,19,6
319,15,1
320,20,1
321,12,1
322,19,6
323,15,2
324,15,7
325,19,1
326,6,2
327,1,2
328,14,3
329,0,6
330,10,2
331,18,4
332,22,6
333,20,2
334,16,5
335,23,2
336,22,6
337,0,3
338,13,5
339,13,7
340,19,6
341,0,3
342,19,2
343,13,3
344,15,5
345,18,5
346,20,1
347,16,7
348,20,7
349,10,2
350,5,2
351,9,1
352,17,3
353,4,3
354,15,2
355,15,7
356,19,2
357,21,7
358,14,3
359,15,6
360,17,6
361,18,3
362,21,5
363,18,7
364,18,4
365,22,4
366,13,2
367,15,5
368,21,6
369,20,5
370,7,4
371,6,2
372,9,6
373,19,6
374,0,3
375,13,1
376,7,4
377,17,2
378,13,4
379,17,7
380,16,5
381,23,3
382,1,5
383,14,4
384,3,7
385,17,7
386,17,4
387,13,1
388,13,3
389,16,4
390,16,6
391,13,4
392,14,5
393,13,6
394,13,2
395,13,1
396,15,6
397,13,1
398,19,7
399,10,6
400,21,6
401,16,2
402,19,3
403,16,6
404,19,4
405,10,4
406,10,4
407,7,3
408,13,3
409,17,2
410,18,1
411,18,2
412,19,1
413,19,1
414,19,6
415,7,2
416,12,3
417,15,4
418,15,4
419,8,1
420,14,1
421,20,5
422,3,3
423,17,3
424,11,7
425,8,6
426,18,2
427,14,4
428,13,7
429,16,3
430,19,6
431,2,7
432,11,6
433,11,3
434,21,6
435,14,7
436,11,7
437,8,6
438,21,4
439,17,1
440,14,3
441,18,3
442,15,7
443,17,6
444,23,7
445,11,4
446,21,6
447,11,3
448,19,5
449,21,7
450,3,1
451,23,5
452,14,1
453,3,1
454,22,7
455,22,7
456,0,7
457,1,7
458,12,5
459,15,4
460,17,5
461,21,4
462,7,7
463,16,2
464,16,1
465,16,1
466,99,1
467,20,1
468,20,2
469,21,7
470,23,1
471,22,6
472,15,3
473,18,1
474,7,2
475,17,2
476,20,7
477,16,6
478,13,3
479,15,7
480,0,1
481,19,3
482,7,5
483,13,4
484,13,4
485,15,6
486,16,1
487,19,2
488,22,6
489,2,5
490,3,7
491,13,1
492,18,3
493,21,6
494,8,7
495,2,4
496,18,3
497,8,7
498,12,3
499,18,7
500,15,2
501,18,7
502,14,1
503,16,2
504,21,3
505,1,4
506,22,1
507,12,1
508,16,2
509,16,3
510,15,4
511,16,4
512,13,1
513,19,6
514,17,2
515,19,7
516,18,4
517,18,7
518,23,6
519,16,3
520,8,3
521,7,3
522,23,4
523,4,6
524,8,6
525,0,6
526,14,4
527,8,5
528,19,7
529,2,1
530,7,2
531,18,6
532,18,4
533,2,1
534,16,2
535,18,7
536,14,4
537,15,2
538,23,3
539,13,6
540,13,6
541,17,2
542,19,1
543,20,6
544,11,2
545,0,1
546,22,7
547,22,5
548,19,1
549,19,2
550,13,6
551,3,6
552,15,6
553,13,6
554,5,5
555,10,6
556,3,1
557,22,6
558,20,3
559,19,2
560,17,5
561,23,7
562,16,7
563,16,3
564,8,5
565,10,1
566,9,4
567,21,7
568,1,5
569,3,4
570,20,4
571,21,2
572,16,6
573,8,1
574,19,4
575,16,3
576,17,3
577,19,1
578,16,1
579,22,5
580,19,1
581,20,1
582,15,1
583,99,4
584,14,4
585,12,7
586,18,4
587,22,6
588,0,3
589,7,4
590,16,5
591,22,5
592,3,6
593,23,5
594,18,4
595,16,1
596,17,2
597,13,5
598,13,5
599,17,1
600,8,3
601,20,6
602,14,7
603,0,2
604,15,3
605,14,5
606,14,7
607,1,1
608,16,4
609,7,4
610,15,6
611,19,1
612,15,1
613,17,5
614,22,3
615,18,6
616,16,1
617,22,5
618,10,6
619,22,4
620,22,6
621,21,7
622,20,7
623,17,3
624,0,7
625,2,6
626,23,4
627,11,3
628,17,3
629,22,7
630,16,5
631,8,2
632,13,3
633,18,7
634,20,4
635,22,4
636,7,6
637,19,4
638,21,6
639,16,1
640,2,1
641,22,6
642,23,6
643,6,5
644,7,2
645,19,5
646,1,1
647,19,6
648,6,2
649,20,7
650,18,6
651,14,2
652,14,2
653,15,2
654,16,7
655,12,4
656,7,4
657,0,3
658,18,2
659,18,2
660,20,1
661,15,2
662,13,5
663,12,7
664,16,2
665,21,6
666,20,2
667,21,1
668,18,1
669,13,1
670,21,6
671,20,5
672,11,2
673,9,3
674,16,7
675,18,7
676,21,3
677,7,2
678,18,3
679,23,6
680,19,5
681,15,4
682,7,5
683,6,5
684,17,4
685,19,2
686,1,1
687,15,4
688,20,2
689,0,1
690,13,7
691,20,2
692,16,5
693,14,3
694,2,7
695,22,7
696,0,7
697,23,6
698,15,3
699,19,4
700,21,3
701,20,5
702,21,6
703,18,1
704,19,4
705,20,6
706,21,2
707,7,4
708,22,7
709,22,7
710,14,6
711,17,2
712,17,5
713,12,1
714,19,7
715,20,4
716,19,1
717,22,3
718,20,7
719,14,3
720,20,4
721,22,6
722,3,7
723,20,3
724,18,3
725,21,6
726,20,1
727,23,1
728,18,5
729,18,5
730,20,5
731,18,6
732,6,2
733,11,7
734,20,5
735,16,1
736,5,1
737,8,1
738,20,6
739,22,1
740,16,4
741,2,2
742,23,3
743,0,7
744,15,4
745,20,2
746,10,4
747,21,4
748,2,6
749,23,4
750,15,1
751,17,5
752,18,2
753,19,5
754,4,6
755,17,5
756,5,4
757,23,7
758,11,1
759,1,1
760,18,6
761,14,6
762,18,3
763,8,2
764,23,6
765,17,2
766,12,5
767,11,7
768,16,3
769,15,4
770,7,2
771,23,7
772,21,5
773,21,7
774,17,3
775,0,1
776,0,2
777,20,2
778,18,4
779,4,1
780,1,4
781,17,6
782,9,7
783,2,5
784,16,4
785,8,6
786,8,1
787,13,2
788,19,6
789,17,3
790,16,4
791,7,4
792,14,6
793,3,1
794,10,4
795,1,6
796,12,5
797,15,5
798,22,7
799,13,3
800,13,1
801,18,5
802,3,7
803,6,5
804,7,3
805,5,3
806,16,3
807,22,5
808,12,2
809,15,6
810,19,6
811,8,5
812,7,5
813,8,7
814,15,2
815,14,2
816,4,5
817,0,7
818,11,7
819,11,7
820,4,7
821,8,4
822,22,1
823,0,7
824,18,3
825,23,5
826,14,4
827,19,2
828,20,7
829,20,7
830,21,2
831,1,3
832,23,2
833,0,1
834,0,1
835,22,2
836,18,7
837,22,1
838,22,6
839,0,4
840,19,2
841,19,7
842,14,6
843,18,1
844,16,3
845,16,3
846,12,3
847,9,6
848,20,7
849,0,5
850,22,5
851,6,3
852,19,4
853,16,4
854,23,5
855,2,7
856,18,1
857,18,2
858,18,7
859,11,3
860,22,4
861,16,6
862,0,2
863,13,3
864,15,7
865,16,7
866,15,1
867,14,5
868,18,5
869,18,5
870,18,5
871,20,4
872,19,3
873,23,7
874,20,4
875,20,3
876,6,1
877,0,7
878,15,4
879,9,3
880,6,5
881,17,2
882,11,4
883,19,1
884,15,1
885,20,7
886,5,6
887,8,3
888,7,3
889,22,7
890,0,2
891,9,5
892,21,4
893,21,5
894,19,4
895,19,2
896,18,4
897,18,4
898,21,1
899,7,7
900,22,3
901,8,7
902,10,6
903,9,4
904,20,4
905,18,5
906,7,6
907,17,1
908,23,6
909,9,7
910,19,1
911,23,1
912,7,2
913,13,7
914,4,6
915,21,6
916,0,2
917,7,2
918,14,4
919,2,5
920,16,5
921,20,1
922,12,2
923,22,4
924,15,1
925,14,3
926,7,6
927,6,6
928,17,6
929,19,3
930,10,1
931,6,4
932,18,4
933,0,5
934,23,3
935,16,5
936,12,4
937,0,1
938,12,7
939,10,2
940,7,6
941,22,2
942,19,3
943,10,2
944,19,2
945,19,2
946,7,7
947,22,6
948,21,7
949,19,7
950,10,4
951,2,6
952,6,5
953,13,6
954,18,3
955,19,5
956,15,6
957,17,3
958,13,7
959,8,2
