key,value,title
1,support Sunday,support1
2,confidence Sunday,confidence1
3,Lift Sunday,Lift1
4,support Monday,support2
5,confidence Monday,confidence2
6,Lift Monday,Lift2
7,support Tuesday,support3
8,confidence Tuesday,confidence3
9,Lift Tuesday,Lift3
10,support Wednesday,support4
11,confidence Wednesday,confidence4
12,Lift Wednesday,Lift4
13,support Thursday,support5
14,confidence Thursday,confidence5
15,Lift Thursday,Lift5
16,support Friday,support6
17,confidence Friday,confidence6
18,Lift Friday,Lift6
19,support Saturday,support7
20,confidence Saturday,confidence7
21,Lift Saturday,Lift7
