,acchr,dayofweek,accmon,accday,num
330,16,4,6,1,1
334,9,6,7,1,1
336,14,4,9,28,1
348,5,6,9,2,1
350,16,4,5,4,1
353,13,7,6,11,1
356,22,7,7,30,1
357,13,2,8,8,1
358,13,2,8,8,1
361,17,1,1,9,1
362,22,6,7,29,1
370,3,2,6,6,1
372,18,6,6,17,1
374,19,2,8,1,1
375,19,2,8,1,1
395,11,2,3,21,1
396,11,2,3,21,1
397,15,5,6,30,1
405,9,5,8,18,1
418,13,4,8,10,1
420,7,5,9,8,1
421,7,5,9,8,1
434,17,3,3,22,1
435,7,5,10,13,1
436,10,6,3,18,1
441,13,2,8,8,1
445,22,6,7,29,1
456,14,3,2,8,1
469,12,3,4,19,1
494,18,4,8,10,1
495,4,7,12,3,1
496,16,1,6,19,1
681,1,6,6,3,1
686,23,4,4,6,1
687,20,7,10,8,1
688,13,7,4,9,1
689,11,2,10,10,1
692,2,1,10,16,1
697,22,7,10,29,1
1522,16,6,1,21,1
1553,22,7,7,30,1
1563,19,5,10,27,1
1574,14,3,2,8,1
1576,13,7,4,2,1
1577,13,7,4,2,1
1578,15,4,8,31,1
1620,20,6,10,14,1
1666,3,2,9,5,1
1671,12,7,5,7,1
1672,12,7,5,7,1
1674,13,7,4,9,1
1675,13,7,4,9,1
1676,13,7,4,9,1
1680,22,6,7,29,1
1688,12,5,9,22,1
1693,15,1,10,9,1
1694,13,7,4,2,1
1699,15,4,8,31,1
1732,15,5,6,30,1
1742,12,5,9,22,1
1746,0,1,10,23,1
1761,4,3,5,31,1
1772,13,4,8,10,1
10302,16,1,1,2,1
10303,15,7,1,15,1
10305,22,4,1,26,1
10312,16,5,2,10,1
10315,17,4,2,2,1
10324,10,7,4,9,1
10336,10,7,5,21,1
10343,4,1,6,12,1
10344,12,3,6,14,1
10345,11,4,6,15,1
10350,13,7,7,2,1
10351,14,6,7,8,1
10353,17,2,7,18,1
10364,20,2,8,29,1
10365,12,7,8,27,1
10366,14,7,9,3,1
10367,12,4,9,14,1
10369,19,3,9,13,1
10373,9,6,10,7,1
10378,7,4,11,9,1
10379,1,7,12,3,1
10382,20,4,12,14,1
10384,18,4,12,28,1
10390,13,6,3,18,1
10394,12,4,1,5,1
10395,13,2,5,9,1
10400,19,7,1,1,1
10407,5,3,1,18,1
10409,7,2,2,14,1
10411,19,6,2,4,1
10412,19,2,3,7,1
10430,17,3,4,26,1
10437,21,5,6,23,1
10439,10,6,6,10,1
10444,8,6,7,15,1
10448,23,7,8,6,1
10452,1,7,9,24,1
10454,6,4,8,24,1
10456,9,1,9,4,1
10462,18,3,10,18,1
10471,9,7,11,19,1
10474,99,3,12,6,1
10477,14,5,12,15,1
10479,22,5,12,29,1
10481,19,7,11,19,1
10483,10,1,12,4,1
10485,7,3,11,29,1
10491,10,3,1,25,1
10511,15,7,4,23,1
10524,6,5,6,2,1
10526,12,7,6,4,1
10527,12,2,6,6,1
10530,8,5,6,16,1
10564,21,3,11,8,1
10565,13,4,11,9,1
10575,12,6,12,30,1
10819,2,6,9,16,1
10824,2,2,9,12,1
10828,7,2,10,3,1
10830,12,4,9,21,1
10849,19,1,10,16,1
10852,18,2,10,17,1
10871,19,3,10,11,1
10874,11,6,10,14,1
