,acchr,dayofweek,accmon,accday,num
330,16,4,6,1,1
338,13,6,12,9,1
340,10,5,1,27,1
343,22,2,8,8,1
344,16,3,10,11,1
345,16,3,10,11,1
346,12,2,8,8,1
351,10,6,3,18,1
353,13,7,6,11,1
357,13,2,8,8,1
358,13,2,8,8,1
360,8,3,10,11,1
361,17,1,1,9,1
362,22,6,7,29,1
371,4,1,10,23,1
376,19,2,8,1,1
382,5,7,3,12,1
384,5,7,3,12,1
386,5,7,3,12,1
389,5,7,3,12,1
391,8,4,8,10,1
392,8,4,8,10,1
395,11,2,3,21,1
398,16,7,8,20,1
404,0,2,8,8,1
405,9,5,8,18,1
406,21,4,11,2,1
411,13,7,11,5,1
418,13,4,8,10,1
423,14,7,1,15,1
427,21,5,3,31,1
430,2,2,6,27,1
431,2,2,6,27,1
444,8,3,10,11,1
447,11,2,10,10,1
462,5,7,3,12,1
465,8,4,8,10,1
468,12,3,4,19,1
472,16,7,8,20,1
484,15,2,8,15,1
485,15,2,8,15,1
490,3,1,6,12,1
492,12,5,12,8,1
494,18,4,8,10,1
497,16,1,6,19,1
668,3,2,6,6,1
669,11,6,6,24,1
673,22,7,10,29,1
674,22,7,10,29,1
675,13,7,2,5,1
681,1,6,6,3,1
690,3,2,6,6,1
693,11,6,6,24,1
697,22,7,10,29,1
1522,16,6,1,21,1
1536,4,7,3,5,1
1542,15,3,5,24,1
1553,22,7,7,30,1
1554,14,6,6,17,1
1561,11,7,12,31,1
1570,14,7,5,28,1
1571,19,4,6,22,1
1573,15,1,10,9,1
1574,14,3,2,8,1
1577,13,7,4,2,1
1581,21,6,11,18,1
1582,11,6,6,24,1
1591,12,3,7,19,1
1601,12,5,9,22,1
1606,16,4,2,23,1
1609,15,6,3,4,1
1618,9,3,12,27,1
1619,20,6,10,14,1
1624,4,3,5,31,1
1630,4,7,12,3,1
1635,9,6,7,1,1
1638,13,6,4,22,1
1640,7,2,7,25,1
1654,4,7,3,5,1
1656,10,6,3,18,1
1660,15,3,5,24,1
1668,17,1,2,20,1
1671,12,7,5,7,1
1672,12,7,5,7,1
1674,13,7,4,9,1
1678,11,7,12,31,1
1680,22,6,7,29,1
1687,12,5,9,22,1
1702,21,6,11,18,1
1706,2,1,10,16,1
1707,15,2,12,26,1
1724,12,3,7,19,1
1727,12,3,7,19,1
1730,12,3,4,19,1
1732,15,5,6,30,1
1749,14,1,7,3,1
1751,9,3,12,27,1
1754,20,6,10,14,1
1755,4,3,5,31,1
1761,4,3,5,31,1
1767,4,7,12,3,1
10299,14,6,1,14,1
10302,16,1,1,2,1
