,acchr,dayofweek,accmon,accday,num
42,23,6,10,7,1
64,18,3,12,20,1
73,22,2,6,13,1
76,3,1,8,28,1
98,13,2,7,4,1
108,1,1,6,19,1
118,14,6,5,27,1
119,20,3,9,20,1
123,21,3,4,5,1
127,0,6,5,20,1
130,14,6,6,17,1
135,10,4,5,4,1
146,21,6,11,18,1
158,1,4,6,22,1
159,19,3,9,27,1
168,0,2,8,8,1
171,15,3,5,31,1
172,11,6,11,11,1
176,5,4,1,26,1
177,14,5,3,10,1
178,14,7,1,15,1
187,15,7,1,29,1
188,8,3,10,11,1
196,4,6,8,26,1
208,18,3,12,20,1
210,23,4,8,10,1
228,13,6,12,9,1
230,11,3,8,2,1
232,21,7,2,12,1
239,4,7,3,19,1
248,19,4,6,22,1
260,1,4,6,22,1
265,0,2,8,8,1
268,15,2,8,15,1
269,11,7,7,30,1
276,18,7,3,5,1
279,3,7,6,11,1
281,22,2,4,25,1
289,21,6,3,4,1
306,15,3,3,8,1
311,19,5,8,4,1
314,11,7,7,30,1
322,15,7,6,25,1
338,13,6,12,9,1
344,16,3,10,11,1
345,16,3,10,11,1
346,12,2,8,8,1
351,10,6,3,18,1
355,11,4,4,20,1
402,23,4,8,10,1
406,21,4,11,2,1
408,15,5,6,16,1
413,16,1,6,19,1
422,14,7,1,15,1
426,21,5,3,31,1
428,22,2,4,25,1
429,18,4,3,30,1
437,17,1,2,20,1
451,10,4,5,4,1
479,5,5,8,4,1
484,15,2,8,15,1
486,11,7,7,30,1
1796,8,2,7,25,1
1799,19,6,8,19,1
1945,5,6,3,25,1
1969,18,2,5,30,1
1971,9,3,7,12,1
1988,6,6,3,25,1
1989,12,5,5,5,1
1990,7,2,5,9,1
1997,16,5,9,1,1
1998,3,6,9,16,1
1999,15,1,10,9,1
2000,14,7,10,22,1
2007,19,1,2,6,1
2010,15,6,2,25,1
2014,2,3,4,12,1
2015,2,6,4,22,1
2019,0,7,4,2,1
2023,22,5,5,26,1
2027,21,1,6,26,1
2031,17,3,7,19,1
2032,6,3,8,2,1
2035,10,3,8,16,1
2037,19,5,6,23,1
2042,14,3,8,30,1
2051,2,7,9,24,1
2064,18,4,11,9,1
2079,14,7,8,13,1
2081,9,5,12,15,1
2082,18,4,6,8,1
2094,20,5,8,11,1
2097,13,1,9,11,1
2100,21,2,6,20,1
2101,22,2,10,3,1
2103,19,2,10,24,1
2117,16,6,2,11,1
2118,15,2,2,14,1
2119,0,3,2,8,1
2120,16,4,3,2,1
2127,0,1,5,1,1
2136,12,5,6,23,1
2138,14,3,9,20,1
2146,18,1,3,20,1
2150,22,6,5,6,1
2151,20,2,5,16,1
2152,16,5,5,26,1
2153,2,5,6,2,1
2156,16,3,6,14,1
2158,17,5,6,16,1
2161,13,7,7,9,1
2165,13,7,7,9,1
2166,7,6,8,19,1
2168,22,3,8,9,1
2171,8,2,12,19,1
2208,19,5,1,13,1
2209,15,1,2,6,1
2211,15,7,2,26,1
