,acchr,dayofweek,accmon,accday,num
1797,17,2,12,12,1
1801,10,7,1,22,1
1805,14,4,12,28,1
1808,13,7,10,29,1
1810,19,5,4,7,1
1815,8,6,3,4,1
1840,0,1,2,27,1
1844,13,2,3,21,1
1847,17,2,6,13,1
1849,20,7,10,15,1
1850,23,3,12,20,1
1857,9,7,6,25,1
1858,16,1,5,15,1
1871,17,1,9,11,1
1881,16,2,5,30,1
1884,18,4,8,10,1
1890,13,2,7,18,1
1898,6,1,8,7,1
1908,23,2,8,8,1
1909,20,7,11,26,1
1911,13,2,8,15,1
1915,17,2,5,9,1
1916,20,2,7,18,1
1920,16,4,8,17,1
1924,17,3,6,7,1
1926,16,5,12,1,1
1927,13,7,12,31,1
1929,10,6,7,8,1
1934,7,4,7,20,1
1948,23,6,4,15,1
1966,22,5,4,28,1
1971,9,3,7,12,1
1972,16,5,7,28,1
1986,12,7,11,5,1
1988,6,6,3,25,1
1997,16,5,9,1,1
1999,15,1,10,9,1
2000,14,7,10,22,1
2012,12,6,2,11,1
2019,0,7,4,2,1
2023,22,5,5,26,1
2031,17,3,7,19,1
2032,6,3,8,2,1
2034,11,4,8,10,1
2035,10,3,8,16,1
2037,19,5,6,23,1
2043,4,2,6,27,1
2064,18,4,11,9,1
2075,22,6,5,27,1
2077,17,6,12,30,1
2080,15,4,6,8,1
2084,11,7,2,12,1
2086,17,3,2,22,1
2101,22,2,10,3,1
2116,19,6,1,14,1
2117,16,6,2,11,1
2118,15,2,2,14,1
2119,0,3,2,8,1
2124,15,7,4,9,1
2127,0,1,5,1,1
2138,14,3,9,20,1
2145,18,7,3,12,1
2164,21,2,7,4,1
2166,7,6,8,19,1
2171,8,2,12,19,1
2175,18,5,2,24,1
2192,9,1,12,11,1
2204,4,3,7,19,1
2205,9,4,8,3,1
2207,15,2,12,12,1
2209,15,1,2,6,1
2216,14,1,7,31,1
2223,21,3,2,8,1
2235,17,6,9,9,1
2241,15,4,2,9,1
2252,13,2,2,14,1
2253,11,4,3,30,1
2260,7,6,9,16,1
2274,19,6,2,4,1
2275,0,3,2,22,1
2285,17,7,9,10,1
2298,13,1,1,9,1
2302,6,5,7,28,1
2303,11,7,9,3,1
2305,16,6,10,7,1
2312,14,5,9,1,1
2320,15,6,6,10,1
2328,21,1,8,14,1
2330,16,5,7,21,1
2331,6,5,9,8,1
2338,10,6,11,4,1
2348,16,6,9,2,1
2351,10,4,12,28,1
2360,13,3,2,8,1
2362,20,7,4,2,1
2366,1,4,6,15,1
2367,15,7,5,28,1
2375,23,7,4,2,1
2377,15,6,8,12,1
2384,17,6,10,7,1
2387,7,2,1,10,1
2397,16,5,7,14,1
2403,0,7,11,26,1
2418,20,5,3,3,1
2421,17,3,4,19,1
2423,8,6,4,1,1
2426,18,2,5,9,1
2427,14,4,6,8,1
2430,2,1,7,24,1
2444,12,6,11,11,1
2445,11,7,12,10,1
2455,7,5,2,17,1
2456,18,3,3,1,1
2468,9,7,7,2,1
2470,12,2,7,11,1
2472,11,4,8,17,1
2474,12,2,8,22,1
2479,11,3,11,1,1
2486,14,2,11,7,1
2489,17,3,11,15,1
2494,22,6,1,7,1
2502,1,7,5,14,1
2506,15,4,6,29,1
2508,17,5,9,1,1
2525,1,6,8,19,1
2535,18,7,3,26,1
2547,17,2,7,11,1
2554,5,1,9,18,1
2559,15,3,2,15,1
2560,20,5,3,17,1
2565,6,4,5,25,1
2568,2,5,6,30,1
2569,14,3,7,5,1
2596,13,7,2,5,1
2607,17,7,6,4,1
2609,20,4,7,20,1
2614,13,1,8,28,1
2616,22,7,9,10,1
2620,19,3,9,27,1
2632,2,4,12,14,1
2642,15,2,10,17,1
2648,12,7,4,2,1
2649,16,5,4,14,1
2653,10,5,8,11,1
2655,16,2,8,29,1
2658,17,3,10,18,1
2667,16,2,7,18,1
2678,23,3,8,30,1
2680,15,7,10,8,1
2681,13,1,10,16,1
2683,20,5,11,24,1
2684,19,6,12,2,1
2687,16,4,2,9,1
2689,15,2,4,25,1
2695,18,7,7,16,1
2696,19,2,7,18,1
2697,17,3,8,16,1
2710,4,6,5,6,1
2715,7,4,8,17,1
2723,8,5,2,10,1
2736,14,3,11,8,1
2737,99,3,11,8,1
2739,10,2,12,5,1
2774,18,3,3,1,1
2784,23,7,4,2,1
2801,19,1,9,11,1
2810,15,6,11,4,1
2814,11,2,11,7,1
2816,15,5,11,17,1
2818,10,6,12,9,1
2829,20,3,4,12,1
2831,17,5,8,11,1
2833,16,7,10,15,1
2834,16,3,12,27,1
2843,4,3,8,2,1
2846,15,1,2,13,1
2859,16,7,4,30,1
2869,17,3,10,11,1
2870,20,3,11,1,1
2873,0,2,12,12,1
2874,19,4,1,12,1
2877,15,2,2,14,1
2878,16,3,2,15,1
2886,16,1,7,24,1
2910,18,5,2,17,1
2911,12,7,3,12,1
2914,17,6,5,6,1
2915,18,4,5,11,1
2916,22,6,6,10,1
2921,14,5,8,11,1
2922,16,5,6,30,1
2923,16,3,9,20,1
2930,10,3,9,27,1
2935,9,3,5,3,1
2953,15,6,11,25,1
2962,16,2,6,13,1
2966,14,7,1,8,1
2967,16,7,2,12,1
2973,11,3,4,5,1
2977,15,4,6,1,1
2987,7,4,10,26,1
2993,17,5,3,10,1
3008,13,7,12,3,1
3012,16,4,9,28,1
3015,0,7,3,5,1
3016,23,4,4,6,1
3018,2,6,6,3,1
3019,1,3,6,14,1
3021,1,6,5,6,1
3040,1,4,5,11,1
3061,7,6,7,29,1
3077,19,6,10,7,1
3088,19,7,4,9,1
3098,14,2,9,5,1
3110,7,4,12,7,1
3113,22,7,6,25,1
3118,18,2,5,2,1
3124,13,5,9,1,1
3139,20,2,2,21,1
3144,15,6,7,15,1
3167,17,3,1,4,1
3168,14,4,1,26,1
3177,7,3,4,26,1
3182,7,2,8,1,1
3186,14,4,9,14,1
3193,19,5,12,8,1
3197,7,5,3,24,1
3199,16,1,4,24,1
3209,15,4,6,29,1
3213,15,2,8,22,1
3216,0,1,9,25,1
3228,23,3,2,15,1
3230,14,3,3,22,1
3242,23,2,7,18,1
3247,23,6,10,28,1
3254,15,3,3,22,1
3257,19,4,3,23,1
3261,16,6,6,10,1
3273,18,2,6,20,1
3281,22,7,2,19,1
3282,16,4,2,9,1
3286,14,6,3,4,1
3294,18,7,4,9,1
3297,12,1,5,29,1
3298,19,7,6,11,1
3321,17,1,2,27,1
3323,15,3,3,29,1
3324,7,5,1,20,1
3325,7,5,4,7,1
3327,7,5,9,29,1
3333,13,7,10,1,1
3335,21,6,11,4,1
3336,2,7,9,3,1
