,acchr,dayofweek,accmon,accday,num
230,11,3,8,2,1
231,16,7,4,2,1
245,18,6,12,16,1
248,19,4,6,22,1
251,4,1,10,23,1
252,4,1,10,23,1
254,14,3,2,8,1
257,20,4,8,3,1
259,11,6,6,24,1
261,5,7,3,12,1
263,13,5,4,7,1
269,11,7,7,30,1
277,18,7,3,5,1
279,3,7,6,11,1
283,5,6,9,2,1
284,5,6,9,2,1
287,17,5,2,17,1
292,20,1,8,14,1
297,4,1,10,23,1
299,5,2,11,7,1
306,15,3,3,8,1
308,18,3,12,20,1
310,10,7,6,4,1
312,5,7,9,3,1
314,11,7,7,30,1
315,21,4,11,2,1
320,17,6,4,8,1
322,15,7,6,25,1
323,18,7,10,1,1
325,9,3,12,27,1
326,18,4,8,10,1
631,0,7,9,24,1
632,6,5,10,20,1
633,6,5,10,20,1
635,5,1,6,5,1
638,22,4,7,27,1
642,3,1,6,12,1
644,18,4,8,10,1
647,19,5,10,20,1
649,1,6,6,3,1
650,0,7,9,24,1
652,23,3,11,15,1
654,2,1,6,19,1
656,17,6,9,2,1
660,22,7,2,26,1
1350,8,3,6,21,1
1352,5,4,1,26,1
1355,18,4,3,30,1
1366,3,2,9,5,1
1377,23,4,3,2,1
1378,19,3,6,14,1
1382,18,1,4,17,1
1388,1,1,9,25,1
1396,15,5,6,30,1
1405,15,3,8,2,1
1406,15,3,8,2,1
1407,0,1,10,23,1
1408,1,7,12,17,1
1410,15,6,3,4,1
1415,23,7,7,2,1
1419,16,7,8,27,1
1421,18,7,10,1,1
1428,11,6,11,11,1
1434,8,3,6,21,1
1436,5,4,1,26,1
1444,1,3,6,28,1
1466,19,3,6,14,1
1470,14,7,5,28,1
1481,18,2,7,11,1
1487,12,3,7,19,1
1489,12,3,7,19,1
1495,5,7,9,3,1
1496,5,7,9,3,1
1502,16,4,2,23,1
1505,1,3,6,28,1
1511,18,7,10,1,1
6790,18,3,1,11,1
6791,7,1,1,16,1
6792,11,6,1,21,1
6794,6,1,1,9,1
6795,15,5,1,13,1
6798,3,6,1,28,1
6800,9,6,2,11,1
6804,5,6,3,4,1
6806,7,2,3,21,1
6807,11,3,3,22,1
6816,5,6,6,10,1
6817,1,1,4,17,1
6823,8,4,7,20,1
6826,10,1,7,10,1
6830,12,7,8,13,1
6831,23,5,8,18,1
6832,16,5,8,18,1
6837,17,6,9,2,1
6839,11,7,8,27,1
6842,12,7,10,29,1
6843,8,2,10,31,1
6846,6,7,11,5,1
6847,22,5,11,24,1
6855,19,6,8,5,1
6858,11,7,1,15,1
6860,4,7,1,15,1
6863,21,5,3,10,1
6865,3,6,2,18,1
6868,10,1,4,24,1
6872,21,5,5,12,1
6874,12,3,5,31,1
6875,5,4,5,25,1
6879,11,4,6,22,1
6882,7,2,7,25,1
6884,2,3,9,6,1
6887,6,5,9,29,1
6891,18,7,9,24,1
6895,18,4,11,23,1
6897,16,3,11,29,1
6898,14,3,12,6,1
6903,23,2,11,21,1
6904,17,2,11,28,1
6906,2,6,12,23,1
6907,11,6,1,7,1
6912,17,7,1,29,1
6914,8,7,2,5,1
6915,12,2,2,14,1
6918,4,6,2,25,1
6921,0,4,3,23,1
6923,23,7,4,2,1
6925,15,3,4,26,1
6927,8,2,5,9,1
6928,22,6,5,13,1
6933,13,2,6,27,1
6934,14,7,1,1,1
6940,14,3,8,2,1
6941,15,3,8,2,1
6942,12,7,8,6,1
6945,14,2,9,5,1
6949,13,4,11,30,1
6951,17,5,12,1,1
6952,5,2,12,12,1
6955,14,5,12,29,1
6956,9,2,6,13,1
6957,3,7,1,8,1
6958,6,4,1,5,1
6959,14,3,1,4,1
6963,18,6,1,14,1
6965,19,7,1,22,1
6968,18,2,1,31,1
6969,0,3,2,1,1
6972,16,1,2,6,1
6975,11,1,2,13,1
6978,17,6,2,11,1
6984,20,7,2,26,1
6985,2,7,3,5,1
6986,10,6,3,18,1
6987,4,5,3,17,1
6988,5,4,3,30,1
6994,13,5,3,10,1
6995,5,1,4,3,1
6996,11,4,3,30,1
6997,9,6,4,1,1
7000,12,4,4,13,1
7001,19,5,4,14,1
7004,4,6,4,22,1
7005,10,2,4,25,1
7009,7,3,4,5,1
7011,15,5,5,12,1
7012,7,6,5,13,1
7016,17,7,5,21,1
7018,4,6,5,27,1
7019,9,4,6,1,1
7023,11,3,6,14,1
7024,11,4,6,15,1
7025,14,5,6,16,1
7027,0,5,6,9,1
7033,6,3,7,19,1
7035,18,2,8,1,1
7039,21,7,7,9,1
7045,13,1,6,19,1
7047,10,7,6,25,1
7049,17,1,7,31,1
7051,4,6,7,15,1
7052,13,3,7,26,1
7055,8,2,8,22,1
7056,17,7,7,23,1
7058,1,5,7,21,1
7059,22,7,8,6,1
7060,14,6,8,26,1
7064,9,1,10,2,1
7065,2,1,9,4,1
7066,3,7,9,10,1
7069,22,3,10,11,1
7072,21,4,9,14,1
7073,19,1,9,18,1
7075,23,2,10,3,1
7081,3,7,7,16,1
7085,19,2,11,14,1
7089,9,1,10,23,1
7095,7,5,9,15,1
7096,9,1,11,27,1
7097,5,4,10,26,1
7098,16,5,10,27,1
7101,11,5,6,2,1
7102,99,7,12,24,1
7104,20,5,11,10,1
7106,18,2,10,31,1
7108,7,5,12,15,1
7109,15,5,12,15,1
7110,17,1,12,18,1
7111,14,2,12,19,1
7114,12,3,12,6,1
7115,7,6,12,9,1
7118,14,4,11,2,1
7124,14,4,8,3,1
7128,7,5,12,15,1
7129,12,5,5,26,1
7134,20,4,4,13,1
7139,8,4,3,23,1
7141,22,1,5,8,1
7143,2,1,6,5,1
7144,18,7,6,25,1
7145,2,1,7,3,1
7148,16,1,10,16,1
7150,6,5,12,15,1
7154,19,6,7,22,1
7155,14,2,8,8,1
7156,20,3,8,16,1
7157,15,6,9,16,1
7160,16,1,10,9,1
7161,1,2,6,27,1
7162,0,7,8,13,1
7163,18,4,9,21,1
7164,6,3,2,15,1
7167,6,4,1,5,1
7173,17,5,1,13,1
7182,21,6,4,8,1
7185,9,1,4,17,1
7186,12,4,1,12,1
7187,22,4,5,11,1
7190,22,3,5,10,1
7191,7,5,5,12,1
7193,21,1,5,29,1
7197,18,7,2,19,1
7199,8,6,3,11,1
7200,14,2,5,30,1
7201,16,4,6,1,1
7202,23,5,6,9,1
7206,0,2,6,13,1
7211,18,3,6,21,1
7215,10,4,5,4,1
7216,19,5,4,28,1
7217,7,1,7,3,1
7218,8,6,7,15,1
7219,23,1,7,24,1
7221,22,3,4,5,1
7224,12,1,6,12,1
7228,17,7,8,6,1
7229,9,2,8,1,1
7231,11,7,7,16,1
7235,0,4,8,31,1
7240,5,7,9,17,1
7245,19,5,10,13,1
7249,18,7,10,15,1
7256,9,7,12,3,1
7259,3,2,12,19,1
7271,16,7,2,19,1
7272,5,2,2,21,1
7276,0,3,4,19,1
7280,6,2,5,23,1
7284,20,4,5,11,1
7285,16,2,5,23,1
7287,19,4,6,1,1
7289,0,1,7,10,1
7291,10,1,7,17,1
7292,13,5,7,21,1
7293,7,7,7,23,1
7295,16,7,7,30,1
7296,15,6,9,2,1
7300,5,6,9,30,1
7302,4,6,5,20,1
7307,6,2,10,31,1
7309,23,1,11,6,1
7310,18,2,11,7,1
7311,6,2,11,7,1
7316,9,3,11,22,1
7326,2,7,11,19,1
7343,14,7,4,9,1
7345,11,2,4,11,1
7347,12,3,4,12,1
7349,12,4,4,6,1
7352,20,2,4,4,1
7359,5,5,6,9,1
7361,17,7,6,18,1
7362,11,4,6,22,1
7363,6,3,7,5,1
7365,9,1,7,10,1
7366,23,4,8,3,1
7367,9,4,8,10,1
7368,23,7,7,16,1
7373,4,3,8,30,1
7378,14,7,7,9,1
7380,18,2,8,15,1
7381,5,1,10,2,1
7383,7,6,9,23,1
7393,11,1,11,27,1
7400,14,5,1,20,1
7402,18,4,2,9,1
7404,15,5,2,17,1
7409,16,7,4,30,1
7412,18,3,5,31,1
7414,9,5,6,9,1
7419,13,7,7,2,1
7420,17,2,7,11,1
7429,21,1,8,21,1
7431,23,5,9,1,1
7433,9,4,9,7,1
7436,16,7,9,17,1
7437,13,3,9,20,1
7444,5,2,10,17,1
7448,15,3,10,11,1
7451,8,2,11,7,1
7456,15,2,12,12,1
7469,17,2,2,28,1
7471,13,1,4,24,1
7477,13,5,8,4,1
7499,14,6,3,18,1
7500,21,3,3,1,1
7501,12,1,3,20,1
7502,21,5,4,7,1
7505,19,3,4,19,1
7506,13,6,4,22,1
7509,22,3,5,3,1
7512,16,2,5,30,1
7514,13,7,6,11,1
7515,18,4,6,22,1
7516,20,5,6,30,1
7528,11,1,9,25,1
7529,16,7,8,27,1
7534,20,7,10,1,1
7537,8,4,10,12,1
7541,21,6,10,28,1
7542,8,2,10,31,1
7555,5,5,1,20,1
7565,16,5,3,31,1
7579,20,5,3,10,1
7580,8,1,2,27,1
7588,22,2,8,29,1
7590,15,4,8,31,1
7598,13,3,10,4,1
7600,0,1,10,16,1
7601,19,1,10,16,1
7602,19,3,11,8,1
7606,20,2,11,7,1
7610,15,4,12,28,1
7616,1,7,6,25,1
7618,16,6,7,22,1
7619,12,1,8,21,1
7622,9,3,12,20,1
7624,14,7,12,31,1
7627,21,7,1,15,1
7628,17,6,2,4,1
7629,11,2,3,14,1
7632,14,6,6,10,1
7633,17,1,5,8,1
7634,4,7,5,14,1
7636,5,2,7,25,1
7637,8,4,8,24,1
7638,12,6,9,16,1
7639,99,3,9,27,1
7640,19,6,10,7,1
7641,19,1,10,2,1
7642,21,6,10,21,1
7643,13,2,10,31,1
7644,11,7,11,12,1
7647,18,3,5,24,1
7651,0,2,6,27,1
7655,23,3,1,4,1
7665,20,5,2,10,1
7672,18,1,4,10,1
