,acchr,dayofweek,accmon,accday,num
2,18,6,6,17,1
7,0,1,9,11,1
9,10,1,6,26,1
13,2,1,6,19,1
16,2,7,8,13,1
23,10,1,6,26,1
26,21,5,3,31,1
27,11,3,8,2,1
31,3,7,4,30,1
32,16,3,11,29,1
40,23,6,10,7,1
42,23,6,10,7,1
50,20,1,6,5,1
51,20,1,6,5,1
52,20,2,3,21,1
54,0,1,7,3,1
55,0,1,7,3,1
61,15,3,5,31,1
64,18,3,12,20,1
66,2,6,6,3,1
71,16,7,4,2,1
73,22,2,6,13,1
74,16,5,8,25,1
76,3,1,8,28,1
77,16,3,11,29,1
78,16,3,11,29,1
87,23,6,10,7,1
93,19,3,9,27,1
95,15,6,2,18,1
98,13,2,7,4,1
99,13,2,7,4,1
102,12,1,7,17,1
104,9,5,8,18,1
105,0,1,7,3,1
109,1,7,9,10,1
112,18,3,12,20,1
119,20,3,9,20,1
125,2,6,6,3,1
127,0,6,5,20,1
130,14,6,6,17,1
131,3,1,8,28,1
133,3,4,2,23,1
135,10,4,5,4,1
144,13,5,1,20,1
146,21,6,11,18,1
159,19,3,9,27,1
163,8,1,9,11,1
164,18,3,12,20,1
168,0,2,8,8,1
172,11,6,11,11,1
187,15,7,1,29,1
188,8,3,10,11,1
193,10,1,5,8,1
194,10,1,5,8,1
195,10,1,5,8,1
197,22,2,12,12,1
207,18,3,12,20,1
208,18,3,12,20,1
210,23,4,8,10,1
211,21,2,12,12,1
216,21,7,4,16,1
230,11,3,8,2,1
248,19,4,6,22,1
251,4,1,10,23,1
261,5,7,3,12,1
269,11,7,7,30,1
277,18,7,3,5,1
279,3,7,6,11,1
283,5,6,9,2,1
284,5,6,9,2,1
297,4,1,10,23,1
306,15,3,3,8,1
308,18,3,12,20,1
314,11,7,7,30,1
315,21,4,11,2,1
320,17,6,4,8,1
322,15,7,6,25,1
339,10,5,1,27,1
347,12,2,8,8,1
355,11,4,4,20,1
383,5,7,3,12,1
385,5,7,3,12,1
387,5,7,3,12,1
388,5,7,3,12,1
390,5,7,3,12,1
401,5,5,8,4,1
402,23,4,8,10,1
407,21,4,11,2,1
408,15,5,6,16,1
413,16,1,6,19,1
422,14,7,1,15,1
424,10,5,1,27,1
426,21,5,3,31,1
428,22,2,4,25,1
429,18,4,3,30,1
433,21,7,9,17,1
437,17,1,2,20,1
451,10,4,5,4,1
461,5,7,3,12,1
