,acchr,dayofweek,accmon,accday,num
330,16,4,6,1,1
331,12,6,6,10,1
334,9,6,7,1,1
336,14,4,9,28,1
338,13,6,12,9,1
339,10,5,1,27,1
340,10,5,1,27,1
342,3,7,6,25,1
343,22,2,8,8,1
344,16,3,10,11,1
345,16,3,10,11,1
346,12,2,8,8,1
347,12,2,8,8,1
348,5,6,9,2,1
349,17,3,3,22,1
350,16,4,5,4,1
351,10,6,3,18,1
353,13,7,6,11,1
354,16,6,6,17,1
355,11,4,4,20,1
356,22,7,7,30,1
357,13,2,8,8,1
358,13,2,8,8,1
360,8,3,10,11,1
361,17,1,1,9,1
362,22,6,7,29,1
363,20,6,9,16,1
365,20,6,9,16,1
369,22,6,4,1,1
370,3,2,6,6,1
371,4,1,10,23,1
372,18,6,6,17,1
374,19,2,8,1,1
375,19,2,8,1,1
376,19,2,8,1,1
382,5,7,3,12,1
383,5,7,3,12,1
384,5,7,3,12,1
385,5,7,3,12,1
386,5,7,3,12,1
387,5,7,3,12,1
388,5,7,3,12,1
389,5,7,3,12,1
390,5,7,3,12,1
391,8,4,8,10,1
392,8,4,8,10,1
393,23,7,10,29,1
394,13,5,2,24,1
395,11,2,3,21,1
396,11,2,3,21,1
397,15,5,6,30,1
398,16,7,8,20,1
399,13,4,3,9,1
400,17,1,4,24,1
401,5,5,8,4,1
402,23,4,8,10,1
403,15,2,11,14,1
404,0,2,8,8,1
405,9,5,8,18,1
406,21,4,11,2,1
407,21,4,11,2,1
408,15,5,6,16,1
409,13,7,2,5,1
410,0,2,11,14,1
411,13,7,11,5,1
412,6,7,11,12,1
413,16,1,6,19,1
415,15,4,10,12,1
416,15,4,10,12,1
417,8,4,11,9,1
418,13,4,8,10,1
420,7,5,9,8,1
421,7,5,9,8,1
422,14,7,1,15,1
423,14,7,1,15,1
424,10,5,1,27,1
426,21,5,3,31,1
427,21,5,3,31,1
428,22,2,4,25,1
429,18,4,3,30,1
430,2,2,6,27,1
431,2,2,6,27,1
432,3,7,6,25,1
433,21,7,9,17,1
434,17,3,3,22,1
435,7,5,10,13,1
436,10,6,3,18,1
437,17,1,2,20,1
439,15,4,3,30,1
441,13,2,8,8,1
442,16,5,10,20,1
443,19,7,5,28,1
444,8,3,10,11,1
445,22,6,7,29,1
446,20,6,9,16,1
447,11,2,10,10,1
451,10,4,5,4,1
453,13,1,12,25,1
454,5,5,2,3,1
456,14,3,2,8,1
459,14,2,12,19,1
461,5,7,3,12,1
462,5,7,3,12,1
463,5,7,3,12,1
