,acchr,dayofweek,accmon,accday,num
0,17,3,3,22,1
1,9,4,6,1,1
2,18,6,6,17,1
3,18,6,6,17,1
4,23,6,10,7,1
5,12,1,7,17,1
6,15,3,12,6,1
7,0,1,9,11,1
8,14,1,6,26,1
9,10,1,6,26,1
10,20,2,4,18,1
11,15,7,1,29,1
12,15,7,1,29,1
13,2,1,6,19,1
14,18,6,12,16,1
15,3,4,2,23,1
16,2,7,8,13,1
17,19,1,12,25,1
18,15,6,4,22,1
19,11,2,9,5,1
20,8,1,9,11,1
21,14,1,6,26,1
22,3,1,6,12,1
23,10,1,6,26,1
24,15,7,3,26,1
26,21,5,3,31,1
27,11,3,8,2,1
28,11,3,8,2,1
29,22,2,8,8,1
30,6,2,9,19,1
31,3,7,4,30,1
32,16,3,11,29,1
33,18,6,12,16,1
34,17,7,4,16,1
35,22,7,5,7,1
37,13,1,12,25,1
38,13,2,5,30,1
39,13,7,5,14,1
40,23,6,10,7,1
41,23,6,10,7,1
42,23,6,10,7,1
43,22,2,12,12,1
44,20,7,7,2,1
45,17,5,12,29,1
46,11,6,6,24,1
47,12,6,8,19,1
48,5,2,7,4,1
49,5,2,7,4,1
50,20,1,6,5,1
51,20,1,6,5,1
52,20,2,3,21,1
53,11,1,1,16,1
54,0,1,7,3,1
55,0,1,7,3,1
56,15,3,12,6,1
57,15,3,12,6,1
58,15,3,8,2,1
59,12,6,5,13,1
60,17,6,4,8,1
61,15,3,5,31,1
62,8,4,11,9,1
63,18,3,12,20,1
64,18,3,12,20,1
65,21,3,4,5,1
66,2,6,6,3,1
67,1,1,10,23,1
68,1,1,10,23,1
69,1,1,10,23,1
70,1,1,10,23,1
71,16,7,4,2,1
72,16,4,5,4,1
73,22,2,6,13,1
74,16,5,8,25,1
75,23,5,7,7,1
76,3,1,8,28,1
77,16,3,11,29,1
78,16,3,11,29,1
80,2,7,8,13,1
81,12,3,2,1,1
82,13,2,5,30,1
83,8,1,10,30,1
84,8,1,10,30,1
85,13,5,1,20,1
86,2,7,10,29,1
87,23,6,10,7,1
88,20,7,7,2,1
89,17,5,12,29,1
90,12,6,8,19,1
91,12,6,8,19,1
92,5,2,7,4,1
93,19,3,9,27,1
94,20,1,6,5,1
95,15,6,2,18,1
96,15,6,2,18,1
97,20,2,3,21,1
98,13,2,7,4,1
99,13,2,7,4,1
100,23,4,8,10,1
101,12,2,3,14,1
102,12,1,7,17,1
103,12,1,7,17,1
104,9,5,8,18,1
105,0,1,7,3,1
106,0,1,7,3,1
107,14,2,12,5,1
108,1,1,6,19,1
109,1,7,9,10,1
110,0,3,3,8,1
111,8,4,11,9,1
112,18,3,12,20,1
114,17,2,3,7,1
115,15,7,3,26,1
116,5,3,9,13,1
117,16,5,11,3,1
118,14,6,5,27,1
119,20,3,9,20,1
122,23,3,2,15,1
123,21,3,4,5,1
125,2,6,6,3,1
126,16,3,1,11,1
127,0,6,5,20,1
128,19,4,6,22,1
130,14,6,6,17,1
131,3,1,8,28,1
133,3,4,2,23,1
135,10,4,5,4,1
136,17,6,9,2,1
139,10,3,7,26,1
142,5,2,11,7,1
143,19,1,12,25,1
144,13,5,1,20,1
146,21,6,11,18,1
147,20,4,8,3,1
149,2,1,10,16,1
150,6,5,2,24,1
151,6,5,2,24,1
152,6,5,2,24,1
153,6,5,2,3,1
154,6,5,2,3,1
155,6,5,2,3,1
156,20,3,4,26,1
157,20,3,4,26,1
158,1,4,6,22,1
159,19,3,9,27,1
160,11,2,9,5,1
161,7,2,9,19,1
162,7,2,9,19,1
163,8,1,9,11,1
164,18,3,12,20,1
165,2,1,11,6,1
166,2,1,11,6,1
167,13,5,4,7,1
168,0,2,8,8,1
170,0,2,11,14,1
171,15,3,5,31,1
172,11,6,11,11,1
173,20,2,4,18,1
176,5,4,1,26,1
177,14,5,3,10,1
178,14,7,1,15,1
